time,performance_context,performance_type,instruments,notes,flux,number_performers,entropy,trace,length_seconds,determinant,norm,filename
2014-04-28 17:17:36.485892,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.059302325581395365,4,1.1688574718423417,0.9406976744186046,214.534442,0.0,0.8559908816101229,2014-04-28T17-17-36-MetatoneOSCLog-autosplit
2014-04-28 17:26:22.653950,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.04806201550387569,3,1.2890872919105978,0.951937984496124,215.143819,-4.1151103098155834e-19,0.8373514091281199,2014-04-28T17-26-22-MetatoneOSCLog-autosplit
2014-04-28 17:32:15.063122,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.0753076292042657,5,1.6828660411953664,0.9246923707957343,1219.633336,5.2368416832733186e-17,0.7773784881549375,2014-04-28T17-30-16-MetatoneOSCLog
2014-04-28 18:01:21.370280,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.13076923076923067,4,2.7374450473484764,0.8692307692307693,1560.205627,2.0982928585583557e-14,0.5744937277535235,2014-04-28T18-00-49-MetatoneOSCLog
2014-04-28 18:27:25.527146,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.10366886171213499,5,2.187317412661242,0.8963311382878647,1062.926421,1.1221006187243807e-16,0.6795400025427578,2014-04-28T18-27-25-MetatoneOSCLog
2014-04-28 18:45:15.011494,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.10319410319410306,4,2.2699473637102106,0.8968058968058968,407.872543,4.5375480114658875e-15,0.68325710880291,2014-04-28T18-45-15-MetatoneOSCLog
2014-04-28 18:52:07.020441,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.1392045454545456,4,2.7368414002263446,0.8607954545454546,264.953374,2.1385886747409934e-14,0.6004609326272362,2014-04-28T18-52-07-MetatoneOSCLog
2014-04-28 18:56:35.998714,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.16604477611940294,4,3.1225909549650335,0.8339552238805971,133.311205,-2.8856890163485316e-17,0.49098012549047537,2014-04-28T18-56-35-MetatoneOSCLog
2014-04-28 18:58:53.799657,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.0746575342465754,4,1.656984613087899,0.9253424657534246,364.461235,-4.785930818882199e-18,0.7737070704650412,2014-04-28T18-58-53-MetatoneOSCLog
2014-04-28 19:05:59.101803,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.11772486772486779,4,2.37461283790315,0.8822751322751322,189.163548,1.0357101723656566e-15,0.6386820899440825,2014-04-28T19-05-15-MetatoneOSCLog
2014-04-28 19:09:58.130290,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.08131487889273359,2,1.9742513062678646,0.9186851211072664,289.369243,0.0,0.6942999481166379,2014-04-28T19-09-52-MetatoneOSCLog
2014-04-28 19:18:42.386768,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.09935258964143431,4,2.168238118063874,0.9006474103585659,1003.833114,8.778606442331811e-17,0.6838371167542443,2014-04-28T19-18-42-MetatoneOSCLog
2014-04-28 19:35:29.963207,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.09389671361502319,4,2.0695239644244956,0.9061032863849766,212.497279,0.0,0.7114941767149648,2014-04-28T19-35-29-MetatoneOSCLog
2014-04-29 10:46:48.745465,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.06733724504051408,3,1.7185720047122073,0.9326627549594859,1192.934166,5.9951197397194605e-22,0.7063091191276232,2014-04-29T10-46-36-MetatoneOSCLog
2014-04-29 15:19:05.612958,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.059401309635173094,4,1.5402060172309244,0.9405986903648269,1069.015559,1.8610559945783142e-19,0.7563838029875974,2014-04-29T15-19-05-MetatoneOSCLog-autosplit
2014-04-29 15:40:16.134918,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.07846153846153836,4,1.847037179978283,0.9215384615384616,650.051514,2.1029891958081796e-17,0.7297348955281494,2014-04-29T15-40-16-MetatoneOSCLog-autosplit
2014-04-29 15:51:11.507481,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.08239795918367364,4,2.013440149595195,0.9176020408163266,980.2538,7.232349728511161e-16,0.702661333654114,2014-04-29T15-51-11-MetatoneOSCLog-autosplit
2014-04-29 16:13:36.117433,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.06499780412823906,6,1.6130939466392582,0.9350021958717611,759.15302,3.693138262642226e-17,0.7917672320738469,2014-04-29T16-13-36-MetatoneOSCLog-autosplit
2014-05-05 20:05:21.683728,rehearsal,composition,iPad,Outpost 186 Boston - study in bowls rehearsal,0.21993769470405006,3,3.8225664692767554,0.7800623052959501,534.619541,2.044165287891551e-16,0.3276743264037628,2014-05-05T20-02-01-MetatoneOSCLog
2014-05-05 20:26:47.513622,rehearsal,improvisation,percussion,"Outpost 186 Boston - metalonsdale, birdsnest experimentation session",0.16899224806201552,3,2.903037213934273,0.8310077519379845,214.818499,0.0,0.4898954952827178,2014-05-05T20-26-38-MetatoneOSCLog
2014-05-05 20:42:54.146521,performance,composition,iPad,Outpost 186 Boston study in bowls,0.2583139984532097,3,3.6298395369185137,0.7416860015467903,430.95197,0.0,0.3478464767613201,2014-05-05T20-39-43-MetatoneOSCLog
2014-05-05 21:06:10.346007,performance,improvisation,iPad,Outpost 186 Boston metalonsdale iPads alone,0.16713881019830024,3,3.5636306790341963,0.8328611898016998,353.012787,1.2188642131359356e-12,0.400666019454756,2014-05-05T21-05-37-MetatoneOSCLog
2014-05-05 21:13:50.836545,performance,improvisation,percussion,Outpost 186 Boston BirdsNest with percussion,0.10370370370370355,3,2.4503215594921977,0.8962962962962963,809.592437,7.893608571765884e-15,0.6195084745627287,2014-05-05T21-12-48-MetatoneOSCLog
2014-05-05 21:34:11.403789,demonstration,improvisation,iPad,Outpost 186 Boston show and tell,0.2621870882740449,3,4.148082827408946,0.7378129117259551,505.776848,1.8736549402688157e-12,0.3135123560779673,2014-05-05T21-34-04-MetatoneOSCLog
2014-07-11 17:55:54.025469,performance,improvisation,iPad,ACMC duo,0.194620253164557,2,3.6711871031836165,0.805379746835443,316.907735,1.1901017790200676e-12,0.3835450871028472,2014-07-11T17-55-17-MetatoneOSCLog
2014-07-19 13:42:20.190750,demonstration,improvisation,iPad,2014 iPad Study Session.,0.18205394190871363,4,3.527763338897822,0.8179460580912863,481.863443,-1.7849412103501612e-16,0.39777660459799574,2014-07-19T13-42-16-MetatoneOSCLog
2014-07-19 13:58:19.311375,study,improvisation,iPad,2014 iPad Study Session.,0.2510964912280702,3,4.100409037271967,0.7489035087719298,304.681904,2.6079842235330553e-12,0.3394734008793414,2014-07-19T13-58-10-MetatoneOSCLog
2014-07-19 14:06:09.653339,study,improvisation,iPad,2014 iPad Study Session.,0.1922222222222223,3,3.4220342208738557,0.8077777777777777,299.570147,1.9971774884527568e-13,0.44629614261561823,2014-07-19T14-06-01-MetatoneOSCLog
2014-07-19 14:13:35.436289,study,improvisation,iPad,2014 iPad Study Session.,0.239956568946797,3,4.096181096356827,0.7600434310532032,306.748271,2.1641467134124983e-11,0.3222305374973225,2014-07-19T14-13-30-MetatoneOSCLog
2014-07-19 14:40:09.285000,study,improvisation,iPad,2014 iPad Study Session.,0.10041407867494812,3,2.654206442679217,0.8995859213250519,322.032841,0.0,0.5022976583243606,2014-07-19T14-39-52-MetatoneOSCLog
2014-07-19 14:47:38.703846,study,improvisation,iPad,2014 iPad Study Session.,0.23948220064724923,3,4.117056478796493,0.7605177993527508,308.911332,1.2620621667044048e-11,0.3145084247282335,2014-07-19T14-47-24-MetatoneOSCLog
2014-07-19 14:54:37.752794,study,improvisation,iPad,2014 iPad Study Session.,0.17521367521367526,3,3.741905106360184,0.8247863247863247,311.507208,4.9193603918679575e-12,0.3464702574138342,2014-07-19T14-54-08-MetatoneOSCLog
