time,filename,number_performers,performance_context,performance_type,instruments,notes,video_location
2015-05-08 15:28:20.560413,2015-05-08T15-27-39-MetatoneOSCLog,4,study,improvisation,iPad,2015 iPad Study Session in Listening Space,
2015-05-08 15:41:15.725976,2015-05-08T15-40-48-MetatoneOSCLog,4,study,improvisation,iPad,2015 iPad Study Session in Listening Space,
2015-05-08 15:53:57.501890,2015-05-08T15-53-31-MetatoneOSCLog,4,study,improvisation,iPad,2015 iPad Study Session in Listening Space,
2015-05-08 16:08:10.914470,2015-05-08T16-07-46-MetatoneOSCLog,4,study,improvisation,iPad,2015 iPad Study Session in Listening Space,
2015-06-03 11:49:44.247576,2015-06-03T11-44-21-MetatoneOSCLog,2,demonstration,improvisation,iPad,NIME 2015 poster demo session,
2015-06-03 11:58:07.670342,2015-06-03T11-58-07-MetatoneOSCLog,2,demonstration,improvisation,iPad,NIME 2015 poster demo session,
2015-06-03 12:24:33.903959,2015-06-03T12-23-20-MetatoneOSCLog,2,demonstration,improvisation,iPad,NIME 2015 poster demo session,
2015-06-03 12:32:50.235958,2015-06-03T12-32-45-MetatoneOSCLog,2,demonstration,improvisation,iPad,NIME 2015 poster demo session,
2015-06-03 12:45:18.075280,2015-06-03T12-43-43-MetatoneOSCLog,2,demonstration,improvisation,iPad,NIME 2015 poster demo session,
2015-06-03 12:56:45.571663,2015-06-03T12-56-05-MetatoneOSCLog,2,demonstration,improvisation,iPad,NIME 2015 poster demo session,
2015-06-03 13:15:18.136367,2015-06-03T13-15-15-MetatoneOSCLog,2,demonstration,improvisation,iPad,NIME 2015 poster demo session,
2015-06-03 13:28:26.262378,2015-06-03T13-27-38-MetatoneOSCLog,2,demonstration,improvisation,iPad,NIME 2015 poster demo session,
2015-06-03 13:43:26.981226,2015-06-03T13-42-22-MetatoneOSCLog,2,demonstration,improvisation,iPad,NIME 2015 poster demo session,
2015-06-03 13:55:51.408092,2015-06-03T13-53-06-MetatoneOSCLog,2,demonstration,improvisation,iPad,NIME 2015 poster demo session,
2015-06-03 14:03:48.767869,2015-06-03T14-03-40-MetatoneOSCLog,2,demonstration,improvisation,iPad,NIME 2015 poster demo session,
2015-06-03 14:16:41.628736,2015-06-03T14-14-37-MetatoneOSCLog,2,demonstration,improvisation,iPad,NIME 2015 poster demo session,
2015-06-03 14:25:30.962074,2015-06-03T14-25-25-MetatoneOSCLog,2,demonstration,improvisation,iPad,NIME 2015 poster demo session,
2015-06-22 14:41:54.881804,2015-06-22T14-41-40-MetatoneOSCLog,2,class,improvisation,iPad,CGS classroom session,
2015-06-22 14:46:21.531978,2015-06-22T14-46-15-MetatoneOSCLog,2,class,improvisation,iPad,CGS classroom session,
2015-06-22 14:50:19.611843,2015-06-22T14-50-15-MetatoneOSCLog,2,class,improvisation,iPad,CGS classroom session,
2015-06-22 14:55:26.811268,2015-06-22T14-55-12-MetatoneOSCLog,2,class,improvisation,iPad,CGS classroom session,
2015-06-22 14:56:03.293495,2015-06-22T14-56-00-MetatoneOSCLog,2,class,improvisation,iPad,CGS classroom session,
2015-06-22 14:59:37.180664,2015-06-22T14-59-30-MetatoneOSCLog,2,class,improvisation,iPad,CGS classroom session,
2015-06-22 15:00:15.521448,2015-06-22T15-00-08-MetatoneOSCLog,2,class,improvisation,iPad,CGS classroom session,
2015-06-22 15:05:29.536208,2015-06-22T15-05-24-MetatoneOSCLog,2,class,improvisation,iPad,CGS classroom session,
2015-06-22 15:13:55.003444,2015-06-22T15-13-49-MetatoneOSCLog,4,class,improvisation,iPad,CGS classroom session,
2015-06-22 15:20:57.202154,2015-06-22T15-20-54-MetatoneOSCLog,4,class,improvisation,iPad,CGS classroom session,
2015-06-23 14:46:59.704682,2015-06-23T14-46-55-MetatoneOSCLog,5,class,improvisation,iPad,CGS classroom session,
2015-06-23 15:00:11.449963,2015-06-23T15-00-08-MetatoneOSCLog,5,class,improvisation,iPad,CGS classroom session,
2015-06-23 15:10:44.193902,2015-06-23T15-10-41-MetatoneOSCLog,5,class,improvisation,iPad,CGS classroom session,
