,filename,number_performers,length_seconds,performance_context,performance_type,instruments,notes,touch_orientation,video_location,flux,number_performers,length_seconds,entropy,filename
2014-04-28 16:33:13.538548,2014-04-28T16-33-11-MetatoneOSCLog,4.0,"3,404.259221",demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,,,0.07604166666666666,4,239.939247,1.467038351244112,2014-04-28T16-33-13-MetatoneOSCLog-autosplit
2014-04-28 16:43:08.745580,,,,,,,,,,0.15357142857142858,2,280.024653,2.9066015562156693,2014-04-28T16-43-08-MetatoneOSCLog-autosplit
2014-04-28 17:01:45.337242,,,,,,,,,,0.38624545418833756,4,242.497405,4.414338129370858,2014-04-28T17-01-45-MetatoneOSCLog-autosplit
2014-04-28 17:17:36.485892,,,,,,,,,,0.05930232558139535,4,214.534442,1.168857471842342,2014-04-28T17-17-36-MetatoneOSCLog-autosplit
2014-04-28 17:26:22.653950,,,,,,,,,,0.34244753483530566,3,215.143819,4.186079605382174,2014-04-28T17-26-22-MetatoneOSCLog-autosplit
2014-04-28 17:32:15.063122,2014-04-28T17-30-16-MetatoneOSCLog,5.0,"1,219.633336",demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,,,0.3253982949232687,5,1219.633336,4.63761701564404,2014-04-28T17-30-16-MetatoneOSCLog
2014-04-28 18:01:21.370280,2014-04-28T18-00-49-MetatoneOSCLog,4.0,"1,560.205627",demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,,,0.28689146330853393,4,1560.205627,4.620972513753479,2014-04-28T18-00-49-MetatoneOSCLog
2014-04-28 18:27:25.527146,2014-04-28T18-27-25-MetatoneOSCLog,5.0,"1,062.926421",demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,,,0.35468895984573945,5,1062.926421,4.711537140198272,2014-04-28T18-27-25-MetatoneOSCLog
2014-04-28 18:45:15.011494,2014-04-28T18-45-15-MetatoneOSCLog,4.0,407.872543,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,,,0.3095532757596431,4,407.872543,4.566681699579212,2014-04-28T18-45-15-MetatoneOSCLog
2014-04-28 18:52:07.020441,2014-04-28T18-52-07-MetatoneOSCLog,4.0,264.953374,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,,,0.33781842896318853,4,264.953374,4.6206716238099785,2014-04-28T18-52-07-MetatoneOSCLog
2014-04-28 18:56:35.998714,2014-04-28T18-56-35-MetatoneOSCLog,4.0,133.311205,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,,,0.37869237332885713,4,133.311205,4.369198640204949,2014-04-28T18-56-35-MetatoneOSCLog
