time,BD49B35A-8999-4987-9759-8D3F28D1292B,9A5116EA-2793-4C75-AC93-524C9EF550FD
2015-06-22 15:01:11,4,8
2015-06-22 15:01:12,7,3
2015-06-22 15:01:13,7,3
2015-06-22 15:01:14,6,3
2015-06-22 15:01:15,2,3
2015-06-22 15:01:16,2,8
2015-06-22 15:01:17,5,4
2015-06-22 15:01:18,8,4
2015-06-22 15:01:19,8,4
2015-06-22 15:01:20,6,8
2015-06-22 15:01:21,6,8
2015-06-22 15:01:22,6,8
2015-06-22 15:01:23,6,8
2015-06-22 15:01:24,7,8
2015-06-22 15:01:25,7,8
2015-06-22 15:01:26,7,3
2015-06-22 15:01:27,7,1
2015-06-22 15:01:28,7,3
2015-06-22 15:01:29,7,1
2015-06-22 15:01:30,7,1
2015-06-22 15:01:31,7,3
2015-06-22 15:01:32,7,3
2015-06-22 15:01:33,7,2
2015-06-22 15:01:34,4,2
2015-06-22 15:01:35,6,2
2015-06-22 15:01:36,2,4
2015-06-22 15:01:37,2,4
2015-06-22 15:01:38,8,4
2015-06-22 15:01:39,8,4
2015-06-22 15:01:40,3,4
2015-06-22 15:01:41,8,8
2015-06-22 15:01:42,7,4
2015-06-22 15:01:43,3,4
2015-06-22 15:01:44,7,4
2015-06-22 15:01:45,3,4
2015-06-22 15:01:46,3,4
2015-06-22 15:01:47,3,4
2015-06-22 15:01:48,8,3
2015-06-22 15:01:49,8,4
2015-06-22 15:01:50,8,3
2015-06-22 15:01:51,8,4
2015-06-22 15:01:52,8,8
2015-06-22 15:01:53,8,7
2015-06-22 15:01:54,7,7
2015-06-22 15:01:55,8,7
2015-06-22 15:01:56,3,7
2015-06-22 15:01:57,3,7
2015-06-22 15:01:58,1,4
2015-06-22 15:01:59,2,3
2015-06-22 15:02:00,2,1
2015-06-22 15:02:01,2,3
2015-06-22 15:02:02,8,3
2015-06-22 15:02:03,8,7
2015-06-22 15:02:04,8,7
2015-06-22 15:02:05,8,7
2015-06-22 15:02:06,8,7
2015-06-22 15:02:07,8,6
2015-06-22 15:02:08,8,2
2015-06-22 15:02:09,8,2
2015-06-22 15:02:10,8,8
2015-06-22 15:02:11,8,7
2015-06-22 15:02:12,8,7
2015-06-22 15:02:13,8,7
2015-06-22 15:02:14,8,7
2015-06-22 15:02:15,8,7
2015-06-22 15:02:16,3,8
2015-06-22 15:02:17,3,8
2015-06-22 15:02:18,2,8
2015-06-22 15:02:19,1,8
2015-06-22 15:02:20,3,7
2015-06-22 15:02:21,3,7
2015-06-22 15:02:22,4,4
2015-06-22 15:02:23,7,4
2015-06-22 15:02:24,7,3
2015-06-22 15:02:25,8,4
2015-06-22 15:02:26,7,4
2015-06-22 15:02:27,7,7
2015-06-22 15:02:28,7,8
2015-06-22 15:02:29,7,4
2015-06-22 15:02:30,7,4
2015-06-22 15:02:31,7,4
2015-06-22 15:02:32,8,8
2015-06-22 15:02:33,8,8
2015-06-22 15:02:34,8,8
2015-06-22 15:02:35,8,3
2015-06-22 15:02:36,8,3
2015-06-22 15:02:37,8,3
2015-06-22 15:02:38,8,2
2015-06-22 15:02:39,8,3
2015-06-22 15:02:40,8,3
2015-06-22 15:02:41,8,3
2015-06-22 15:02:42,7,3
2015-06-22 15:02:43,7,4
2015-06-22 15:02:44,7,2
2015-06-22 15:02:45,6,2
2015-06-22 15:02:46,2,2
2015-06-22 15:02:47,2,2
2015-06-22 15:02:48,2,2
2015-06-22 15:02:49,2,2
2015-06-22 15:02:50,2,2
2015-06-22 15:02:51,2,2
2015-06-22 15:02:52,2,2
2015-06-22 15:02:53,2,2
2015-06-22 15:02:54,8,2
2015-06-22 15:02:55,8,4
2015-06-22 15:02:56,8,4
2015-06-22 15:02:57,8,4
2015-06-22 15:02:58,7,4
2015-06-22 15:02:59,6,4
2015-06-22 15:03:00,2,4
2015-06-22 15:03:01,2,4
2015-06-22 15:03:02,5,5
2015-06-22 15:03:03,5,5
2015-06-22 15:03:04,5,5
2015-06-22 15:03:05,7,5
2015-06-22 15:03:06,7,5
2015-06-22 15:03:07,7,2
2015-06-22 15:03:08,7,2
2015-06-22 15:03:09,7,4
2015-06-22 15:03:10,7,4
2015-06-22 15:03:11,8,4
2015-06-22 15:03:12,8,7
2015-06-22 15:03:13,8,7
2015-06-22 15:03:14,8,8
2015-06-22 15:03:15,8,7
2015-06-22 15:03:16,5,7
2015-06-22 15:03:17,5,8
2015-06-22 15:03:18,5,8
2015-06-22 15:03:19,5,8
2015-06-22 15:03:20,5,8
2015-06-22 15:03:21,1,8
2015-06-22 15:03:22,2,8
2015-06-22 15:03:23,2,4
2015-06-22 15:03:24,0,5
2015-06-22 15:03:25,0,2
2015-06-22 15:03:26,0,3
2015-06-22 15:03:27,2,3
2015-06-22 15:03:28,8,3
2015-06-22 15:03:29,8,3
2015-06-22 15:03:30,8,3
2015-06-22 15:03:31,8,3
2015-06-22 15:03:32,8,8
2015-06-22 15:03:33,5,8
2015-06-22 15:03:34,5,6
2015-06-22 15:03:35,5,6
2015-06-22 15:03:36,5,6
2015-06-22 15:03:37,3,2
2015-06-22 15:03:38,1,2
2015-06-22 15:03:39,1,5
2015-06-22 15:03:40,1,5
2015-06-22 15:03:41,1,5
2015-06-22 15:03:42,3,5
2015-06-22 15:03:43,3,5
2015-06-22 15:03:44,3,7
2015-06-22 15:03:45,8,7
2015-06-22 15:03:46,8,7
2015-06-22 15:03:47,8,7
2015-06-22 15:03:48,8,7
2015-06-22 15:03:49,8,7
2015-06-22 15:03:50,8,5
2015-06-22 15:03:51,7,5
2015-06-22 15:03:52,7,6
2015-06-22 15:03:53,7,6
2015-06-22 15:03:54,7,4
2015-06-22 15:03:55,7,4
2015-06-22 15:03:56,0,4
2015-06-22 15:03:57,0,2
2015-06-22 15:03:58,0,2
2015-06-22 15:03:59,0,2
2015-06-22 15:04:00,0,2
2015-06-22 15:04:01,0,0
2015-06-22 15:04:02,0,0
2015-06-22 15:04:03,0,0
