time,yvonne,christina,charles
2014-04-28 17:27:37,3,0,0
2014-04-28 17:27:38,1,0,0
2014-04-28 17:27:39,1,0,0
2014-04-28 17:27:40,2,0,0
2014-04-28 17:27:41,1,0,0
2014-04-28 17:27:42,1,0,0
2014-04-28 17:27:43,1,0,0
2014-04-28 17:27:44,1,0,0
2014-04-28 17:27:45,1,0,0
2014-04-28 17:27:46,1,0,0
2014-04-28 17:27:47,1,0,0
2014-04-28 17:27:48,1,0,0
2014-04-28 17:27:49,1,0,0
2014-04-28 17:27:50,1,0,0
2014-04-28 17:27:51,1,0,0
2014-04-28 17:27:52,1,0,0
2014-04-28 17:27:53,1,0,0
2014-04-28 17:27:54,1,0,0
2014-04-28 17:27:55,2,0,0
2014-04-28 17:27:56,2,0,0
2014-04-28 17:27:57,0,0,0
2014-04-28 17:27:58,2,0,0
2014-04-28 17:27:59,2,0,0
2014-04-28 17:28:00,2,0,0
2014-04-28 17:28:01,2,0,0
2014-04-28 17:28:02,2,0,0
2014-04-28 17:28:03,3,0,0
2014-04-28 17:28:04,3,0,0
2014-04-28 17:28:05,3,0,0
2014-04-28 17:28:06,3,0,0
2014-04-28 17:28:07,3,0,0
2014-04-28 17:28:08,2,0,0
2014-04-28 17:28:09,0,0,0
2014-04-28 17:28:10,0,0,0
2014-04-28 17:28:11,0,0,0
2014-04-28 17:28:12,0,0,0
2014-04-28 17:28:13,0,0,0
2014-04-28 17:28:14,0,0,0
2014-04-28 17:28:15,0,0,0
2014-04-28 17:28:16,0,0,0
2014-04-28 17:28:17,0,0,0
2014-04-28 17:28:18,0,0,0
2014-04-28 17:28:19,0,0,0
2014-04-28 17:28:20,0,0,0
2014-04-28 17:28:21,0,0,0
2014-04-28 17:28:22,2,0,0
2014-04-28 17:28:23,2,0,0
2014-04-28 17:28:24,2,0,0
2014-04-28 17:28:25,4,0,0
2014-04-28 17:28:26,4,0,0
2014-04-28 17:28:27,4,0,0
2014-04-28 17:28:28,4,0,0
2014-04-28 17:28:29,4,0,0
2014-04-28 17:28:30,4,0,0
2014-04-28 17:28:31,4,0,0
2014-04-28 17:28:32,4,0,0
2014-04-28 17:28:33,4,0,0
2014-04-28 17:28:34,7,0,0
2014-04-28 17:28:35,7,0,0
2014-04-28 17:28:36,7,0,0
2014-04-28 17:28:37,7,0,0
2014-04-28 17:28:38,7,0,0
2014-04-28 17:28:39,7,0,0
2014-04-28 17:28:40,7,0,0
2014-04-28 17:28:41,7,0,0
2014-04-28 17:28:42,7,0,0
2014-04-28 17:28:43,7,0,0
2014-04-28 17:28:44,7,0,0
2014-04-28 17:28:45,7,0,0
2014-04-28 17:28:46,3,0,0
2014-04-28 17:28:47,3,0,0
2014-04-28 17:28:48,1,0,0
2014-04-28 17:28:49,1,0,0
2014-04-28 17:28:50,1,0,0
2014-04-28 17:28:51,1,0,0
2014-04-28 17:28:52,1,0,0
2014-04-28 17:28:53,1,0,0
2014-04-28 17:28:54,1,0,0
2014-04-28 17:28:55,1,0,0
2014-04-28 17:28:56,1,0,0
2014-04-28 17:28:57,3,0,0
2014-04-28 17:28:58,3,0,0
2014-04-28 17:28:59,4,0,0
2014-04-28 17:29:00,4,0,0
2014-04-28 17:29:01,2,0,0
2014-04-28 17:29:02,2,0,0
2014-04-28 17:29:03,0,0,0
2014-04-28 17:29:04,0,0,0
2014-04-28 17:29:05,0,0,0
2014-04-28 17:29:06,0,0,0
2014-04-28 17:29:07,0,0,0
2014-04-28 17:29:08,0,0,0
2014-04-28 17:29:09,0,0,0
2014-04-28 17:29:10,0,0,0
2014-04-28 17:29:11,0,0,0
2014-04-28 17:29:12,0,0,0
2014-04-28 17:29:13,0,0,0
2014-04-28 17:29:14,0,0,0
2014-04-28 17:29:15,0,0,0
2014-04-28 17:29:16,0,0,0
2014-04-28 17:29:17,0,0,0
2014-04-28 17:29:18,0,0,0
2014-04-28 17:29:19,0,0,0
2014-04-28 17:29:20,0,0,0
2014-04-28 17:29:21,0,0,0
2014-04-28 17:29:22,0,0,0
2014-04-28 17:29:23,0,0,0
2014-04-28 17:29:24,0,0,0
2014-04-28 17:29:25,0,0,0
2014-04-28 17:29:26,0,0,0
2014-04-28 17:29:27,0,0,0
2014-04-28 17:29:28,0,0,0
2014-04-28 17:29:29,0,0,0
2014-04-28 17:29:30,0,0,0
2014-04-28 17:29:31,0,0,0
2014-04-28 17:29:32,0,0,0
2014-04-28 17:29:33,0,0,0
2014-04-28 17:29:34,0,0,0
2014-04-28 17:29:35,0,0,0
2014-04-28 17:29:36,0,0,0
2014-04-28 17:29:37,0,0,0
2014-04-28 17:29:38,0,0,0
2014-04-28 17:29:39,0,0,0
2014-04-28 17:29:40,0,0,0
2014-04-28 17:29:41,0,0,0
2014-04-28 17:29:42,0,0,0
2014-04-28 17:29:43,0,0,0
2014-04-28 17:29:44,0,0,0
2014-04-28 17:29:45,0,0,0
2014-04-28 17:29:46,0,0,0
2014-04-28 17:29:47,0,0,0
2014-04-28 17:29:48,0,0,0
2014-04-28 17:29:49,0,0,0
2014-04-28 17:29:50,0,0,0
2014-04-28 17:29:51,0,0,0
2014-04-28 17:29:52,0,0,0
2014-04-28 17:29:53,0,0,0
2014-04-28 17:29:54,0,0,0
2014-04-28 17:29:55,0,0,0
2014-04-28 17:29:56,0,0,0
2014-04-28 17:29:57,0,0,0
