time,jonathan,charles_ipadair
2014-03-13 16:15:22,4,2
2014-03-13 16:15:23,4,2
2014-03-13 16:15:24,4,2
2014-03-13 16:15:25,4,2
2014-03-13 16:15:26,4,2
2014-03-13 16:15:27,4,2
2014-03-13 16:15:28,4,2
2014-03-13 16:15:29,4,2
2014-03-13 16:15:30,7,2
2014-03-13 16:15:31,4,2
2014-03-13 16:15:32,8,2
2014-03-13 16:15:33,3,2
2014-03-13 16:15:34,4,2
2014-03-13 16:15:35,3,2
2014-03-13 16:15:36,4,2
2014-03-13 16:15:37,4,2
2014-03-13 16:15:38,4,2
2014-03-13 16:15:39,4,2
2014-03-13 16:15:40,7,2
2014-03-13 16:15:41,7,2
2014-03-13 16:15:42,4,2
2014-03-13 16:15:43,7,6
2014-03-13 16:15:44,7,0
2014-03-13 16:15:45,7,0
2014-03-13 16:15:46,7,0
2014-03-13 16:15:47,7,0
2014-03-13 16:15:48,7,0
2014-03-13 16:15:49,4,0
2014-03-13 16:15:50,7,0
2014-03-13 16:15:51,4,0
2014-03-13 16:15:52,4,0
2014-03-13 16:15:53,3,0
2014-03-13 16:15:54,3,0
2014-03-13 16:15:55,3,0
2014-03-13 16:15:56,3,0
2014-03-13 16:15:57,3,0
2014-03-13 16:15:58,4,0
2014-03-13 16:15:59,7,0
2014-03-13 16:16:00,7,0
2014-03-13 16:16:01,7,0
2014-03-13 16:16:02,7,0
2014-03-13 16:16:03,4,0
2014-03-13 16:16:04,4,0
2014-03-13 16:16:05,7,0
2014-03-13 16:16:06,4,0
2014-03-13 16:16:07,7,0
2014-03-13 16:16:08,4,0
2014-03-13 16:16:09,7,0
2014-03-13 16:16:10,4,0
2014-03-13 16:16:11,4,0
2014-03-13 16:16:12,4,0
2014-03-13 16:16:13,4,0
2014-03-13 16:16:14,3,0
2014-03-13 16:16:15,3,0
2014-03-13 16:16:16,1,0
2014-03-13 16:16:17,1,0
2014-03-13 16:16:18,1,0
2014-03-13 16:16:19,1,0
2014-03-13 16:16:20,1,0
2014-03-13 16:16:21,2,0
2014-03-13 16:16:22,2,0
2014-03-13 16:16:23,2,0
2014-03-13 16:16:24,2,0
2014-03-13 16:16:25,2,0
2014-03-13 16:16:26,2,0
2014-03-13 16:16:27,2,0
2014-03-13 16:16:28,2,0
2014-03-13 16:16:29,2,0
2014-03-13 16:16:30,2,0
2014-03-13 16:16:31,2,0
2014-03-13 16:16:32,2,0
2014-03-13 16:16:33,2,0
2014-03-13 16:16:34,2,0
2014-03-13 16:16:35,2,0
2014-03-13 16:16:36,1,0
2014-03-13 16:16:37,2,7
2014-03-13 16:16:38,2,4
2014-03-13 16:16:39,2,7
2014-03-13 16:16:40,8,7
2014-03-13 16:16:41,6,7
2014-03-13 16:16:42,6,7
2014-03-13 16:16:43,6,7
2014-03-13 16:16:44,7,6
2014-03-13 16:16:45,7,6
2014-03-13 16:16:46,8,7
2014-03-13 16:16:47,8,4
2014-03-13 16:16:48,8,4
2014-03-13 16:16:49,8,4
2014-03-13 16:16:50,8,3
2014-03-13 16:16:51,8,4
2014-03-13 16:16:52,7,8
2014-03-13 16:16:53,7,8
2014-03-13 16:16:54,8,8
2014-03-13 16:16:55,8,2
2014-03-13 16:16:56,8,1
2014-03-13 16:16:57,8,2
2014-03-13 16:16:58,8,2
2014-03-13 16:16:59,7,1
2014-03-13 16:17:00,7,1
2014-03-13 16:17:01,8,2
2014-03-13 16:17:02,8,2
2014-03-13 16:17:03,8,2
2014-03-13 16:17:04,4,2
2014-03-13 16:17:05,4,1
2014-03-13 16:17:06,4,1
2014-03-13 16:17:07,8,1
2014-03-13 16:17:08,8,1
2014-03-13 16:17:09,8,1
2014-03-13 16:17:10,7,1
2014-03-13 16:17:11,8,1
2014-03-13 16:17:12,8,1
2014-03-13 16:17:13,4,1
2014-03-13 16:17:14,4,1
