time,charles_ipadair,jonathan_iPad2,yvonne,jonathan,christina,iPad2-64-white,charles
2014-03-17 18:15:29,4,4,4,8,2,2,4
2014-03-17 18:15:30,4,4,4,8,2,2,4
2014-03-17 18:15:31,4,4,4,8,2,2,8
2014-03-17 18:15:32,4,4,4,8,2,2,4
2014-03-17 18:15:33,4,4,4,4,2,2,4
2014-03-17 18:15:34,4,4,4,8,2,2,4
2014-03-17 18:15:35,4,4,4,8,2,2,4
2014-03-17 18:15:36,4,4,4,8,2,2,4
2014-03-17 18:15:37,4,4,4,8,2,2,4
2014-03-17 18:15:38,4,4,4,8,2,2,4
2014-03-17 18:15:39,4,4,4,8,2,2,4
2014-03-17 18:15:40,4,4,4,7,2,2,4
2014-03-17 18:15:41,4,4,4,8,2,2,4
2014-03-17 18:15:42,4,4,4,7,2,2,3
2014-03-17 18:15:43,4,4,4,8,2,2,4
2014-03-17 18:15:44,4,4,4,8,2,2,4
2014-03-17 18:15:45,4,4,4,8,2,2,4
2014-03-17 18:15:46,4,4,4,8,2,2,4
2014-03-17 18:15:47,4,4,4,8,2,2,4
2014-03-17 18:15:48,4,4,4,8,2,2,4
2014-03-17 18:15:49,4,4,4,8,2,3,4
2014-03-17 18:15:50,4,4,4,4,2,2,4
2014-03-17 18:15:51,4,4,4,8,2,2,4
2014-03-17 18:15:52,4,4,4,4,2,2,4
2014-03-17 18:15:53,4,4,4,8,2,3,4
2014-03-17 18:15:54,4,4,4,4,2,2,4
2014-03-17 18:15:55,4,4,4,8,2,3,4
2014-03-17 18:15:56,4,4,4,4,2,2,4
2014-03-17 18:15:57,4,4,4,8,2,3,4
2014-03-17 18:15:58,4,4,4,4,2,2,4
2014-03-17 18:15:59,4,4,4,8,2,3,4
2014-03-17 18:16:00,4,4,4,4,2,8,4
2014-03-17 18:16:01,4,4,4,8,2,3,4
2014-03-17 18:16:02,4,4,4,4,2,2,4
2014-03-17 18:16:03,4,4,4,8,2,2,4
2014-03-17 18:16:04,4,4,4,4,2,2,4
2014-03-17 18:16:05,4,4,4,4,2,2,4
2014-03-17 18:16:06,4,4,4,4,2,2,4
2014-03-17 18:16:07,4,4,4,4,2,2,4
2014-03-17 18:16:08,4,4,4,4,2,2,4
2014-03-17 18:16:09,4,3,4,4,2,2,4
2014-03-17 18:16:10,4,4,4,4,2,2,4
2014-03-17 18:16:11,4,4,4,4,2,2,4
2014-03-17 18:16:12,4,4,4,4,2,2,4
2014-03-17 18:16:13,4,4,4,4,2,2,4
2014-03-17 18:16:14,4,4,4,3,2,2,4
2014-03-17 18:16:15,4,4,4,4,2,2,4
2014-03-17 18:16:16,4,4,4,4,2,2,4
2014-03-17 18:16:17,4,4,4,7,2,2,4
2014-03-17 18:16:18,4,4,4,4,2,2,3
2014-03-17 18:16:19,4,4,4,4,2,2,3
2014-03-17 18:16:20,4,4,4,8,2,2,4
2014-03-17 18:16:21,4,4,4,8,2,2,4
2014-03-17 18:16:22,4,4,4,8,2,2,4
2014-03-17 18:16:23,4,4,4,8,2,2,4
2014-03-17 18:16:24,4,4,4,8,2,2,4
2014-03-17 18:16:25,4,4,4,8,2,2,4
2014-03-17 18:16:26,4,4,4,8,2,2,8
2014-03-17 18:16:27,4,8,4,8,2,2,8
2014-03-17 18:16:28,4,4,4,3,2,2,8
2014-03-17 18:16:29,4,4,4,8,2,2,4
2014-03-17 18:16:30,4,4,4,3,2,2,4
2014-03-17 18:16:31,4,3,4,8,2,2,3
2014-03-17 18:16:32,4,4,3,8,2,2,3
2014-03-17 18:16:33,4,3,3,8,2,2,3
2014-03-17 18:16:34,4,3,3,3,2,2,3
2014-03-17 18:16:35,4,2,3,3,2,2,3
2014-03-17 18:16:36,4,2,3,3,2,2,3
2014-03-17 18:16:37,4,2,3,3,2,2,3
2014-03-17 18:16:38,4,2,3,3,2,2,8
2014-03-17 18:16:39,4,2,3,8,2,2,3
2014-03-17 18:16:40,4,2,3,8,2,2,3
2014-03-17 18:16:41,4,2,3,7,2,2,3
2014-03-17 18:16:42,4,2,4,3,2,2,3
2014-03-17 18:16:43,4,2,4,8,2,2,3
2014-03-17 18:16:44,4,2,4,3,2,2,3
2014-03-17 18:16:45,4,2,4,8,2,2,3
2014-03-17 18:16:46,4,2,4,3,2,2,3
2014-03-17 18:16:47,4,2,4,8,2,2,3
2014-03-17 18:16:48,4,2,4,3,2,2,4
2014-03-17 18:16:49,4,2,4,8,2,2,3
2014-03-17 18:16:50,4,2,4,8,2,2,3
2014-03-17 18:16:51,4,2,4,7,2,2,3
2014-03-17 18:16:52,4,2,4,3,2,2,3
2014-03-17 18:16:53,4,2,4,7,2,2,3
2014-03-17 18:16:54,4,2,4,3,2,2,4
2014-03-17 18:16:55,4,2,4,7,2,2,3
2014-03-17 18:16:56,4,2,4,3,2,2,3
2014-03-17 18:16:57,4,2,4,8,2,2,3
2014-03-17 18:16:58,4,2,4,8,2,2,3
2014-03-17 18:16:59,4,2,4,7,2,2,3
2014-03-17 18:17:00,4,2,4,3,2,2,3
2014-03-17 18:17:01,4,1,3,4,2,2,3
2014-03-17 18:17:02,4,2,8,3,2,2,3
2014-03-17 18:17:03,4,1,1,3,2,2,3
2014-03-17 18:17:04,4,1,1,3,2,2,3
2014-03-17 18:17:05,4,8,3,3,2,2,8
2014-03-17 18:17:06,4,8,3,1,2,8,8
2014-03-17 18:17:07,4,1,3,1,2,3,3
2014-03-17 18:17:08,4,3,3,2,2,3,8
2014-03-17 18:17:09,3,3,3,2,2,3,3
2014-03-17 18:17:10,3,1,3,2,2,3,3
2014-03-17 18:17:11,3,1,3,2,2,3,8
2014-03-17 18:17:12,3,1,3,2,2,3,8
2014-03-17 18:17:13,3,1,3,2,2,3,3
