time,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,9A5116EA-2793-4C75-AC93-524C9EF550FD,2FA454D2-F35D-45D6-BE5D-D848B409B713,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-06-23 15:03:17,2,4,7,7,4
2015-06-23 15:03:18,1,4,7,7,4
2015-06-23 15:03:19,1,7,7,7,4
2015-06-23 15:03:20,3,4,7,7,4
2015-06-23 15:03:21,3,8,7,8,4
2015-06-23 15:03:22,3,8,7,4,4
2015-06-23 15:03:23,3,8,7,8,4
2015-06-23 15:03:24,3,4,7,8,7
2015-06-23 15:03:25,3,4,7,2,4
2015-06-23 15:03:26,3,4,7,2,4
2015-06-23 15:03:27,3,2,7,1,4
2015-06-23 15:03:28,3,2,7,3,4
2015-06-23 15:03:29,3,4,7,3,4
2015-06-23 15:03:30,1,4,7,3,4
2015-06-23 15:03:31,3,8,7,4,7
2015-06-23 15:03:32,3,4,6,7,7
2015-06-23 15:03:33,3,4,7,7,7
2015-06-23 15:03:34,5,4,4,4,7
2015-06-23 15:03:35,5,4,4,4,7
2015-06-23 15:03:36,7,3,7,3,7
2015-06-23 15:03:37,4,3,6,2,7
2015-06-23 15:03:38,4,8,6,2,4
2015-06-23 15:03:39,4,8,6,0,4
2015-06-23 15:03:40,4,8,6,2,4
2015-06-23 15:03:41,4,8,4,7,7
2015-06-23 15:03:42,4,8,4,7,7
2015-06-23 15:03:43,7,1,4,7,7
2015-06-23 15:03:44,7,1,3,7,3
2015-06-23 15:03:45,7,1,3,7,1
2015-06-23 15:03:46,7,1,3,7,3
2015-06-23 15:03:47,7,1,3,7,3
2015-06-23 15:03:48,7,3,2,7,1
2015-06-23 15:03:49,7,4,2,7,1
2015-06-23 15:03:50,4,4,2,7,0
2015-06-23 15:03:51,7,6,2,8,0
2015-06-23 15:03:52,7,6,1,8,0
2015-06-23 15:03:53,7,6,5,4,0
2015-06-23 15:03:54,7,6,5,3,2
2015-06-23 15:03:55,7,4,5,3,8
2015-06-23 15:03:56,4,4,5,3,8
2015-06-23 15:03:57,3,4,6,3,3
