time,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78
2015-05-08 15:57:31,2,8,0,0
2015-05-08 15:57:32,0,8,0,0
2015-05-08 15:57:33,0,8,0,0
2015-05-08 15:57:34,0,8,0,0
2015-05-08 15:57:35,0,8,0,0
2015-05-08 15:57:36,0,8,0,0
2015-05-08 15:57:37,0,8,0,0
2015-05-08 15:57:38,0,8,0,0
2015-05-08 15:57:39,2,3,2,0
2015-05-08 15:57:40,2,8,4,0
2015-05-08 15:57:41,2,8,4,0
2015-05-08 15:57:42,2,8,4,0
2015-05-08 15:57:43,2,8,4,0
2015-05-08 15:57:44,2,8,4,0
2015-05-08 15:57:45,2,3,4,0
2015-05-08 15:57:46,2,3,4,0
2015-05-08 15:57:47,8,3,4,0
2015-05-08 15:57:48,8,3,3,0
2015-05-08 15:57:49,2,8,4,0
2015-05-08 15:57:50,2,8,3,0
2015-05-08 15:57:51,2,8,4,0
2015-05-08 15:57:52,2,8,3,0
2015-05-08 15:57:53,2,3,4,0
2015-05-08 15:57:54,2,3,4,0
2015-05-08 15:57:55,2,3,4,0
2015-05-08 15:57:56,4,3,4,0
2015-05-08 15:57:57,4,3,4,0
2015-05-08 15:57:58,4,8,4,0
2015-05-08 15:57:59,4,8,4,0
2015-05-08 15:58:00,4,8,3,0
2015-05-08 15:58:01,3,8,3,0
2015-05-08 15:58:02,3,8,3,0
2015-05-08 15:58:03,8,8,4,0
2015-05-08 15:58:04,4,8,3,0
2015-05-08 15:58:05,4,8,4,0
2015-05-08 15:58:06,3,8,4,0
2015-05-08 15:58:07,8,3,4,0
2015-05-08 15:58:08,8,4,3,0
2015-05-08 15:58:09,8,4,3,0
2015-05-08 15:58:10,8,4,4,0
2015-05-08 15:58:11,8,4,4,0
2015-05-08 15:58:12,8,4,3,0
2015-05-08 15:58:13,7,4,3,0
2015-05-08 15:58:14,7,4,3,0
2015-05-08 15:58:15,7,4,1,0
2015-05-08 15:58:16,2,4,1,0
2015-05-08 15:58:17,2,4,1,0
2015-05-08 15:58:18,2,4,1,0
2015-05-08 15:58:19,2,4,3,0
2015-05-08 15:58:20,2,7,3,0
2015-05-08 15:58:21,2,3,3,0
2015-05-08 15:58:22,2,8,3,0
2015-05-08 15:58:23,2,8,3,0
2015-05-08 15:58:24,2,3,3,0
2015-05-08 15:58:25,2,3,3,0
2015-05-08 15:58:26,2,3,3,0
2015-05-08 15:58:27,3,3,3,0
2015-05-08 15:58:28,3,3,3,0
2015-05-08 15:58:29,3,3,3,0
2015-05-08 15:58:30,3,3,3,0
2015-05-08 15:58:31,4,3,3,0
2015-05-08 15:58:32,4,3,3,0
2015-05-08 15:58:33,3,3,3,0
2015-05-08 15:58:34,3,3,3,0
2015-05-08 15:58:35,3,3,1,0
2015-05-08 15:58:36,3,3,1,0
2015-05-08 15:58:37,1,3,1,0
2015-05-08 15:58:38,1,3,1,0
2015-05-08 15:58:39,8,3,1,0
2015-05-08 15:58:40,8,3,1,0
2015-05-08 15:58:41,8,3,1,0
2015-05-08 15:58:42,1,3,3,0
2015-05-08 15:58:43,1,3,3,0
2015-05-08 15:58:44,3,3,4,0
2015-05-08 15:58:45,3,3,7,0
2015-05-08 15:58:46,3,8,4,0
2015-05-08 15:58:47,3,8,4,0
2015-05-08 15:58:48,4,8,4,0
2015-05-08 15:58:49,0,8,3,0
2015-05-08 15:58:50,0,8,3,0
2015-05-08 15:58:51,3,8,3,0
2015-05-08 15:58:52,3,8,4,0
