time,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-04-29 17:58:17,4,3,8,3
2015-04-29 17:58:18,3,3,8,3
2015-04-29 17:58:19,3,3,8,4
2015-04-29 17:58:20,3,3,8,4
2015-04-29 17:58:21,3,1,8,3
2015-04-29 17:58:22,3,1,8,1
2015-04-29 17:58:23,3,1,8,1
2015-04-29 17:58:24,1,1,8,3
2015-04-29 17:58:25,2,1,8,4
2015-04-29 17:58:26,2,1,8,4
2015-04-29 17:58:27,2,1,8,7
2015-04-29 17:58:28,2,1,8,7
2015-04-29 17:58:29,2,1,8,7
2015-04-29 17:58:30,2,3,8,4
2015-04-29 17:58:31,2,4,8,4
2015-04-29 17:58:32,2,4,7,4
2015-04-29 17:58:33,2,4,7,6
2015-04-29 17:58:34,2,4,7,8
2015-04-29 17:58:35,4,4,7,8
2015-04-29 17:58:36,4,2,8,3
2015-04-29 17:58:37,3,2,0,3
2015-04-29 17:58:38,2,2,0,4
2015-04-29 17:58:39,2,2,0,2
2015-04-29 17:58:40,2,2,0,2
2015-04-29 17:58:41,2,2,0,2
2015-04-29 17:58:42,2,2,0,5
2015-04-29 17:58:43,2,2,0,2
2015-04-29 17:58:44,2,2,0,2
2015-04-29 17:58:45,2,2,0,2
2015-04-29 17:58:46,2,2,0,8
2015-04-29 17:58:47,2,2,0,7
2015-04-29 17:58:48,2,2,0,7
2015-04-29 17:58:49,2,4,0,7
2015-04-29 17:58:50,2,4,0,7
2015-04-29 17:58:51,2,4,0,7
2015-04-29 17:58:52,2,4,0,7
2015-04-29 17:58:53,2,4,2,7
2015-04-29 17:58:54,2,4,2,7
2015-04-29 17:58:55,2,4,2,7
2015-04-29 17:58:56,2,4,2,7
2015-04-29 17:58:57,2,2,2,7
2015-04-29 17:58:58,2,2,2,4
2015-04-29 17:58:59,2,1,2,4
2015-04-29 17:59:00,2,1,2,4
2015-04-29 17:59:01,2,1,2,3
2015-04-29 17:59:02,2,1,2,4
2015-04-29 17:59:03,2,3,2,4
2015-04-29 17:59:04,2,3,2,4
2015-04-29 17:59:05,2,3,1,6
2015-04-29 17:59:06,3,2,1,6
2015-04-29 17:59:07,3,2,1,5
2015-04-29 17:59:08,3,2,1,3
2015-04-29 17:59:09,3,3,2,3
2015-04-29 17:59:10,3,3,2,4
2015-04-29 17:59:11,3,4,2,4
2015-04-29 17:59:12,3,4,2,4
2015-04-29 17:59:13,3,4,2,4
2015-04-29 17:59:14,3,4,2,3
2015-04-29 17:59:15,3,2,2,2
2015-04-29 17:59:16,3,2,2,4
2015-04-29 17:59:17,3,2,2,4
2015-04-29 17:59:18,2,2,2,4
2015-04-29 17:59:19,3,2,2,6
2015-04-29 17:59:20,5,2,2,2
2015-04-29 17:59:21,5,2,2,2
2015-04-29 17:59:22,5,2,2,2
2015-04-29 17:59:23,5,2,2,6
2015-04-29 17:59:24,5,2,2,7
2015-04-29 17:59:25,3,2,2,4
2015-04-29 17:59:26,3,2,2,4
2015-04-29 17:59:27,1,3,2,7
2015-04-29 17:59:28,1,1,2,7
2015-04-29 17:59:29,1,3,2,7
2015-04-29 17:59:30,1,3,2,7
2015-04-29 17:59:31,1,3,2,7
2015-04-29 17:59:32,1,2,1,7
2015-04-29 17:59:33,1,2,1,7
2015-04-29 17:59:34,1,2,1,7
2015-04-29 17:59:35,1,2,1,7
2015-04-29 17:59:36,1,2,1,4
2015-04-29 17:59:37,1,2,1,4
2015-04-29 17:59:38,1,2,1,8
2015-04-29 17:59:39,1,2,1,8
2015-04-29 17:59:40,1,2,1,7
2015-04-29 17:59:41,1,2,1,7
