time,charles,yvonne,jonathan,christina
2014-04-29 15:56:56,0,0,2,0
2014-04-29 15:56:57,0,0,2,0
2014-04-29 15:56:58,0,0,2,0
2014-04-29 15:56:59,0,0,2,0
2014-04-29 15:57:00,0,0,2,0
2014-04-29 15:57:01,0,0,2,0
2014-04-29 15:57:02,0,0,0,0
2014-04-29 15:57:03,0,0,0,0
2014-04-29 15:57:04,0,0,2,0
2014-04-29 15:57:05,0,0,2,0
2014-04-29 15:57:06,0,0,2,0
2014-04-29 15:57:07,0,0,2,0
2014-04-29 15:57:08,0,0,2,0
2014-04-29 15:57:09,0,0,2,0
2014-04-29 15:57:10,0,0,2,0
2014-04-29 15:57:11,0,0,2,0
2014-04-29 15:57:12,0,0,2,0
2014-04-29 15:57:13,0,0,2,0
2014-04-29 15:57:14,0,0,2,0
2014-04-29 15:57:15,2,0,2,0
2014-04-29 15:57:16,2,0,2,0
2014-04-29 15:57:17,2,0,2,0
2014-04-29 15:57:18,2,0,0,0
2014-04-29 15:57:19,2,0,0,0
2014-04-29 15:57:20,0,0,0,0
2014-04-29 15:57:21,0,0,0,0
2014-04-29 15:57:22,0,0,0,0
2014-04-29 15:57:23,7,0,0,0
2014-04-29 15:57:24,7,0,0,0
2014-04-29 15:57:25,8,0,0,0
2014-04-29 15:57:26,8,0,0,0
2014-04-29 15:57:27,8,0,0,0
2014-04-29 15:57:28,7,0,0,0
2014-04-29 15:57:29,2,0,0,0
2014-04-29 15:57:30,2,0,0,0
2014-04-29 15:57:31,0,0,0,0
2014-04-29 15:57:32,0,0,0,0
2014-04-29 15:57:33,0,0,0,0
2014-04-29 15:57:34,0,0,0,0
2014-04-29 15:57:35,2,0,0,0
2014-04-29 15:57:36,2,0,0,0
2014-04-29 15:57:37,2,0,0,0
2014-04-29 15:57:38,2,0,0,0
2014-04-29 15:57:39,2,0,0,0
2014-04-29 15:57:40,0,0,0,0
2014-04-29 15:57:41,0,0,0,0
2014-04-29 15:57:42,0,0,2,0
2014-04-29 15:57:43,0,0,2,0
2014-04-29 15:57:44,0,0,2,0
2014-04-29 15:57:45,0,0,2,0
2014-04-29 15:57:46,0,0,2,0
2014-04-29 15:57:47,0,0,2,0
2014-04-29 15:57:48,0,0,0,0
2014-04-29 15:57:49,0,0,0,0
2014-04-29 15:57:50,6,0,0,0
2014-04-29 15:57:51,6,0,0,0
2014-04-29 15:57:52,2,0,0,0
2014-04-29 15:57:53,2,0,0,0
2014-04-29 15:57:54,2,0,0,0
2014-04-29 15:57:55,2,0,0,0
2014-04-29 15:57:56,2,0,0,0
2014-04-29 15:57:57,2,0,0,0
2014-04-29 15:57:58,2,0,0,0
