time,BD49B35A-8999-4987-9759-8D3F28D1292B,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-05-07 18:30:46,2,8,0,3
2015-05-07 18:30:47,2,7,0,3
2015-05-07 18:30:48,2,4,0,3
2015-05-07 18:30:49,2,4,2,3
2015-05-07 18:30:50,2,4,2,3
2015-05-07 18:30:51,2,4,2,3
2015-05-07 18:30:52,2,7,2,3
2015-05-07 18:30:53,2,7,2,2
2015-05-07 18:30:54,2,8,2,2
2015-05-07 18:30:55,2,7,2,2
2015-05-07 18:30:56,2,7,2,2
2015-05-07 18:30:57,2,7,2,2
2015-05-07 18:30:58,2,8,2,2
2015-05-07 18:30:59,2,7,2,2
2015-05-07 18:31:00,2,7,2,2
2015-05-07 18:31:01,2,7,2,2
2015-05-07 18:31:02,2,7,2,3
2015-05-07 18:31:03,2,7,2,3
2015-05-07 18:31:04,2,7,2,3
2015-05-07 18:31:05,2,7,8,2
2015-05-07 18:31:06,2,7,2,3
2015-05-07 18:31:07,2,8,2,2
2015-05-07 18:31:08,2,8,2,2
2015-05-07 18:31:09,2,8,2,3
2015-05-07 18:31:10,2,8,2,2
2015-05-07 18:31:11,2,8,2,3
2015-05-07 18:31:12,2,8,2,2
2015-05-07 18:31:13,2,8,2,3
2015-05-07 18:31:14,2,8,2,2
2015-05-07 18:31:15,2,8,2,3
2015-05-07 18:31:16,2,8,2,2
2015-05-07 18:31:17,2,8,2,2
2015-05-07 18:31:18,2,8,2,2
2015-05-07 18:31:19,2,8,2,2
2015-05-07 18:31:20,2,8,2,2
2015-05-07 18:31:21,8,8,2,2
2015-05-07 18:31:22,8,8,2,2
2015-05-07 18:31:23,8,8,2,2
2015-05-07 18:31:24,3,7,2,3
2015-05-07 18:31:25,3,6,2,3
2015-05-07 18:31:26,3,6,2,3
2015-05-07 18:31:27,3,6,2,3
2015-05-07 18:31:28,3,6,2,3
2015-05-07 18:31:29,3,6,2,3
2015-05-07 18:31:30,3,6,2,3
2015-05-07 18:31:31,3,7,2,3
2015-05-07 18:31:32,3,7,2,3
2015-05-07 18:31:33,3,7,3,1
2015-05-07 18:31:34,3,7,3,3
2015-05-07 18:31:35,3,7,2,3
2015-05-07 18:31:36,3,7,2,3
2015-05-07 18:31:37,2,7,3,3
2015-05-07 18:31:38,1,6,3,1
2015-05-07 18:31:39,1,6,2,2
2015-05-07 18:31:40,1,6,3,1
2015-05-07 18:31:41,1,6,2,1
2015-05-07 18:31:42,1,6,2,1
2015-05-07 18:31:43,1,6,2,3
2015-05-07 18:31:44,1,6,2,3
2015-05-07 18:31:45,1,6,3,3
2015-05-07 18:31:46,1,6,3,2
2015-05-07 18:31:47,1,7,2,3
2015-05-07 18:31:48,1,7,2,2
2015-05-07 18:31:49,1,7,3,3
2015-05-07 18:31:50,1,7,2,3
2015-05-07 18:31:51,1,7,2,3
2015-05-07 18:31:52,1,6,3,3
2015-05-07 18:31:53,1,6,2,3
2015-05-07 18:31:54,1,6,2,1
2015-05-07 18:31:55,1,6,2,2
2015-05-07 18:31:56,3,6,3,3
2015-05-07 18:31:57,2,6,2,3
2015-05-07 18:31:58,2,6,2,3
2015-05-07 18:31:59,3,6,2,3
2015-05-07 18:32:00,3,6,2,3
2015-05-07 18:32:01,3,7,2,3
2015-05-07 18:32:02,3,7,2,3
2015-05-07 18:32:03,4,7,2,3
2015-05-07 18:32:04,4,7,2,3
2015-05-07 18:32:05,2,6,2,3
2015-05-07 18:32:06,2,6,2,1
2015-05-07 18:32:07,2,6,2,2
2015-05-07 18:32:08,2,4,2,3
2015-05-07 18:32:09,2,8,2,3
2015-05-07 18:32:10,2,8,2,3
2015-05-07 18:32:11,2,6,2,3
2015-05-07 18:32:12,2,6,3,3
2015-05-07 18:32:13,2,4,2,3
2015-05-07 18:32:14,1,4,3,3
2015-05-07 18:32:15,1,4,2,3
2015-05-07 18:32:16,1,4,2,3
2015-05-07 18:32:17,1,4,2,3
2015-05-07 18:32:18,1,4,2,3
2015-05-07 18:32:19,2,4,2,3
2015-05-07 18:32:20,2,8,2,2
