time,charles,jonathan,yvonne,christina
2013-08-03 17:15:34,2,2,2,2
2013-08-03 17:15:35,2,2,3,2
2013-08-03 17:15:36,2,2,3,2
2013-08-03 17:15:37,2,2,2,2
2013-08-03 17:15:38,2,2,2,2
2013-08-03 17:15:39,2,2,2,2
2013-08-03 17:15:40,2,2,2,2
2013-08-03 17:15:41,2,2,2,2
2013-08-03 17:15:42,2,3,2,2
2013-08-03 17:15:43,2,2,2,2
2013-08-03 17:15:44,2,2,2,2
2013-08-03 17:15:45,2,2,2,2
2013-08-03 17:15:46,2,6,2,2
2013-08-03 17:15:47,2,6,2,2
2013-08-03 17:15:48,2,5,2,2
2013-08-03 17:15:49,2,5,2,2
2013-08-03 17:15:50,2,5,2,2
2013-08-03 17:15:51,2,2,2,2
2013-08-03 17:15:52,2,2,2,2
2013-08-03 17:15:53,2,2,2,2
2013-08-03 17:15:54,0,2,2,2
2013-08-03 17:15:55,0,2,2,2
2013-08-03 17:15:56,0,2,2,2
2013-08-03 17:15:57,0,2,2,0
2013-08-03 17:15:58,0,2,2,0
2013-08-03 17:15:59,0,2,2,2
2013-08-03 17:16:00,7,2,2,2
2013-08-03 17:16:01,7,2,2,2
2013-08-03 17:16:02,7,2,2,2
2013-08-03 17:16:03,7,2,2,2
2013-08-03 17:16:04,7,2,2,2
2013-08-03 17:16:05,7,2,2,2
2013-08-03 17:16:06,7,2,2,2
2013-08-03 17:16:07,7,2,2,2
2013-08-03 17:16:08,7,2,2,2
2013-08-03 17:16:09,7,2,2,2
2013-08-03 17:16:10,7,2,2,2
2013-08-03 17:16:11,7,2,2,2
2013-08-03 17:16:12,7,2,2,4
2013-08-03 17:16:13,7,2,2,4
2013-08-03 17:16:14,7,2,2,4
2013-08-03 17:16:15,7,2,2,7
2013-08-03 17:16:16,7,2,2,7
2013-08-03 17:16:17,7,2,2,7
2013-08-03 17:16:18,7,2,2,7
2013-08-03 17:16:19,7,2,3,7
2013-08-03 17:16:20,7,2,2,7
2013-08-03 17:16:21,7,2,2,7
2013-08-03 17:16:22,7,2,2,7
2013-08-03 17:16:23,7,2,1,7
2013-08-03 17:16:24,7,2,2,4
2013-08-03 17:16:25,7,2,2,4
2013-08-03 17:16:26,7,2,2,2
2013-08-03 17:16:27,7,2,2,2
2013-08-03 17:16:28,7,2,2,2
2013-08-03 17:16:29,7,2,2,2
2013-08-03 17:16:30,7,2,2,2
2013-08-03 17:16:31,7,2,2,0
2013-08-03 17:16:32,7,2,2,0
2013-08-03 17:16:33,7,2,2,0
2013-08-03 17:16:34,7,2,2,0
2013-08-03 17:16:35,7,2,2,4
2013-08-03 17:16:36,7,2,3,4
2013-08-03 17:16:37,7,2,2,4
2013-08-03 17:16:38,7,2,2,4
2013-08-03 17:16:39,7,2,2,4
2013-08-03 17:16:40,7,2,2,4
2013-08-03 17:16:41,7,2,2,4
2013-08-03 17:16:42,7,2,2,4
2013-08-03 17:16:43,7,2,2,2
2013-08-03 17:16:44,7,2,2,2
2013-08-03 17:16:45,7,2,2,2
