time,jonathan,charles,christina,yvonne,95585C5C-C1C1-4612-9836-BFC68B0DC36F,00088B8E-D27C-4AE1-8102-5FE318589D3E
2014-04-29 16:17:33,4,0,0,7,0,0
2014-04-29 16:17:34,4,0,0,7,0,0
2014-04-29 16:17:35,4,0,0,7,0,0
2014-04-29 16:17:36,4,0,0,7,0,0
2014-04-29 16:17:37,4,0,0,8,0,0
2014-04-29 16:17:38,4,0,0,7,0,0
2014-04-29 16:17:39,6,0,0,7,0,0
2014-04-29 16:17:40,8,0,0,7,0,0
2014-04-29 16:17:41,6,0,0,7,0,0
2014-04-29 16:17:42,6,0,0,7,0,0
2014-04-29 16:17:43,3,0,0,4,0,0
2014-04-29 16:17:44,3,0,0,2,0,0
2014-04-29 16:17:45,3,0,0,0,0,0
2014-04-29 16:17:46,3,0,0,0,0,0
2014-04-29 16:17:47,4,0,0,0,0,0
2014-04-29 16:17:48,6,0,0,0,0,0
2014-04-29 16:17:49,6,0,0,0,0,0
2014-04-29 16:17:50,6,0,0,0,0,0
2014-04-29 16:17:51,4,0,0,0,0,0
2014-04-29 16:17:52,4,0,0,0,0,0
2014-04-29 16:17:53,2,0,0,0,0,0
2014-04-29 16:17:54,3,0,0,0,0,0
2014-04-29 16:17:55,4,0,0,0,0,0
2014-04-29 16:17:56,4,0,0,0,0,0
2014-04-29 16:17:57,4,0,0,0,0,0
2014-04-29 16:17:58,4,0,0,0,0,0
2014-04-29 16:17:59,4,0,0,0,0,0
2014-04-29 16:18:00,4,0,0,0,0,0
2014-04-29 16:18:01,3,0,0,0,0,0
2014-04-29 16:18:02,0,0,0,0,0,0
2014-04-29 16:18:03,2,0,0,0,0,0
2014-04-29 16:18:04,2,0,0,0,0,0
2014-04-29 16:18:05,2,0,0,0,0,0
2014-04-29 16:18:06,3,0,0,0,0,0
2014-04-29 16:18:07,3,0,0,0,0,0
2014-04-29 16:18:08,3,0,0,0,0,0
2014-04-29 16:18:09,3,0,0,0,0,0
2014-04-29 16:18:10,3,0,0,0,0,0
2014-04-29 16:18:11,3,0,0,0,0,0
2014-04-29 16:18:12,3,0,0,0,0,0
2014-04-29 16:18:13,3,0,0,0,0,0
2014-04-29 16:18:14,3,0,0,0,0,0
2014-04-29 16:18:15,3,0,0,8,0,0
2014-04-29 16:18:16,3,0,0,5,0,0
2014-04-29 16:18:17,3,0,0,7,0,0
2014-04-29 16:18:18,3,0,0,7,0,0
2014-04-29 16:18:19,1,0,0,7,0,0
2014-04-29 16:18:20,1,0,0,7,0,0
2014-04-29 16:18:21,1,0,0,7,0,0
2014-04-29 16:18:22,1,0,0,7,0,0
2014-04-29 16:18:23,1,0,0,7,0,0
2014-04-29 16:18:24,2,0,0,7,0,0
2014-04-29 16:18:25,2,0,0,8,0,0
2014-04-29 16:18:26,3,0,0,7,0,0
2014-04-29 16:18:27,3,0,0,7,0,0
2014-04-29 16:18:28,1,0,0,7,0,0
2014-04-29 16:18:29,1,0,0,7,0,0
2014-04-29 16:18:30,1,0,0,7,0,0
2014-04-29 16:18:31,1,0,0,7,0,0
2014-04-29 16:18:32,1,0,0,7,0,0
2014-04-29 16:18:33,1,0,0,7,0,0
2014-04-29 16:18:34,1,0,0,7,0,0
2014-04-29 16:18:35,1,0,0,7,0,0
2014-04-29 16:18:36,2,0,0,7,0,0
2014-04-29 16:18:37,1,0,0,7,0,0
2014-04-29 16:18:38,2,0,0,7,0,0
2014-04-29 16:18:39,1,0,0,7,0,0
2014-04-29 16:18:40,1,0,0,7,0,0
2014-04-29 16:18:41,1,0,0,7,0,0
2014-04-29 16:18:42,3,0,0,7,0,0
2014-04-29 16:18:43,1,0,0,7,0,0
2014-04-29 16:18:44,3,0,0,8,0,0
2014-04-29 16:18:45,3,0,0,7,0,0
2014-04-29 16:18:46,1,0,0,7,0,0
2014-04-29 16:18:47,2,0,0,7,0,0
2014-04-29 16:18:48,2,0,0,7,0,0
2014-04-29 16:18:49,6,0,0,7,0,0
2014-04-29 16:18:50,0,0,0,4,0,0
2014-04-29 16:18:51,0,0,0,7,0,0
2014-04-29 16:18:52,0,0,0,7,0,0
2014-04-29 16:18:53,0,0,0,7,0,0
2014-04-29 16:18:54,0,0,0,7,0,0
2014-04-29 16:18:55,2,0,0,7,0,0
2014-04-29 16:18:56,2,0,0,8,0,0
2014-04-29 16:18:57,2,0,0,0,0,0
2014-04-29 16:18:58,2,0,0,0,0,0
2014-04-29 16:18:59,2,0,0,0,0,0
2014-04-29 16:19:00,1,0,0,0,0,0
2014-04-29 16:19:01,1,0,0,0,0,0
2014-04-29 16:19:02,1,0,0,0,0,0
2014-04-29 16:19:03,1,0,0,0,0,0
2014-04-29 16:19:04,1,0,0,0,0,0
2014-04-29 16:19:05,3,0,0,0,0,0
2014-04-29 16:19:06,3,0,0,0,0,0
2014-04-29 16:19:07,3,0,0,0,0,0
2014-04-29 16:19:08,2,0,0,0,0,0
2014-04-29 16:19:09,2,0,0,0,0,0
2014-04-29 16:19:10,2,0,0,0,0,0
2014-04-29 16:19:11,2,0,0,0,0,0
2014-04-29 16:19:12,2,0,0,0,0,0
2014-04-29 16:19:13,2,0,0,0,0,0
2014-04-29 16:19:14,2,0,0,0,0,0
2014-04-29 16:19:15,2,0,0,0,0,0
2014-04-29 16:19:16,2,0,0,0,0,0
2014-04-29 16:19:17,2,0,0,0,0,0
2014-04-29 16:19:18,2,0,0,0,0,0
2014-04-29 16:19:19,2,0,0,0,0,0
2014-04-29 16:19:20,1,0,0,0,0,0
2014-04-29 16:19:21,1,0,0,0,0,0
2014-04-29 16:19:22,1,0,0,0,0,0
2014-04-29 16:19:23,1,0,0,0,0,0
2014-04-29 16:19:24,2,0,0,0,0,0
2014-04-29 16:19:25,2,0,0,0,0,0
2014-04-29 16:19:26,2,0,0,0,0,0
2014-04-29 16:19:27,2,0,0,0,0,0
2014-04-29 16:19:28,1,0,0,0,0,0
2014-04-29 16:19:29,1,0,0,0,0,0
2014-04-29 16:19:30,1,0,0,0,0,0
2014-04-29 16:19:31,1,0,0,0,0,0
2014-04-29 16:19:32,1,0,0,0,0,0
2014-04-29 16:19:33,1,0,0,0,0,0
2014-04-29 16:19:34,1,0,0,0,0,0
2014-04-29 16:19:35,1,0,0,0,0,0
2014-04-29 16:19:36,1,0,0,0,0,0
2014-04-29 16:19:37,1,0,0,0,0,0
2014-04-29 16:19:38,3,0,0,0,0,0
2014-04-29 16:19:39,3,0,0,0,0,0
2014-04-29 16:19:40,2,0,0,0,0,0
2014-04-29 16:19:41,2,0,0,0,0,0
2014-04-29 16:19:42,0,0,0,0,0,0
2014-04-29 16:19:43,0,0,0,0,0,0
2014-04-29 16:19:44,0,0,0,0,0,0
2014-04-29 16:19:45,0,0,0,0,0,0
2014-04-29 16:19:46,0,0,0,0,0,0
2014-04-29 16:19:47,0,0,0,0,0,0
2014-04-29 16:19:48,0,0,0,0,0,0
2014-04-29 16:19:49,0,0,0,0,0,0
2014-04-29 16:19:50,0,0,0,0,0,0
2014-04-29 16:19:51,0,0,0,0,0,0
2014-04-29 16:19:52,0,0,0,0,0,0
2014-04-29 16:19:53,0,0,0,0,0,0
2014-04-29 16:19:54,0,0,0,0,0,2
2014-04-29 16:19:55,0,0,0,0,0,2
2014-04-29 16:19:56,0,0,0,0,0,2
2014-04-29 16:19:57,0,0,0,0,0,2
2014-04-29 16:19:58,0,0,0,0,0,2
2014-04-29 16:19:59,0,0,0,0,0,3
2014-04-29 16:20:00,0,0,0,0,0,3
2014-04-29 16:20:01,0,0,0,0,0,3
2014-04-29 16:20:02,0,0,0,0,0,3
2014-04-29 16:20:03,0,0,0,0,0,1
2014-04-29 16:20:04,0,0,0,0,0,1
2014-04-29 16:20:05,0,0,0,0,0,1
2014-04-29 16:20:06,0,0,0,0,0,1
2014-04-29 16:20:07,0,0,0,0,0,1
2014-04-29 16:20:08,0,0,0,0,0,1
2014-04-29 16:20:09,0,0,0,0,0,3
2014-04-29 16:20:10,0,0,0,0,0,1
2014-04-29 16:20:11,0,0,0,0,0,3
2014-04-29 16:20:12,0,0,0,0,0,2
2014-04-29 16:20:13,0,0,0,0,0,2
2014-04-29 16:20:14,0,0,0,0,0,2
2014-04-29 16:20:15,0,0,0,0,0,2
2014-04-29 16:20:16,0,0,0,0,0,0
2014-04-29 16:20:17,0,0,0,0,0,0
2014-04-29 16:20:18,0,0,0,0,0,2
2014-04-29 16:20:19,0,0,0,0,0,2
2014-04-29 16:20:20,0,0,0,0,0,2
2014-04-29 16:20:21,0,0,0,0,0,3
2014-04-29 16:20:22,0,0,0,0,0,3
2014-04-29 16:20:23,0,0,0,0,0,2
2014-04-29 16:20:24,0,0,0,0,0,4
2014-04-29 16:20:25,0,0,0,0,0,4
2014-04-29 16:20:26,0,0,0,0,0,0
2014-04-29 16:20:27,0,0,0,0,0,0
2014-04-29 16:20:28,0,0,0,0,0,0
2014-04-29 16:20:29,0,0,0,0,0,0
2014-04-29 16:20:30,0,0,0,0,0,0
2014-04-29 16:20:31,0,0,0,0,0,0
2014-04-29 16:20:32,0,0,0,0,0,0
2014-04-29 16:20:33,0,0,0,0,0,0
2014-04-29 16:20:34,0,0,0,0,0,0
2014-04-29 16:20:35,2,0,0,0,0,0
2014-04-29 16:20:36,2,0,0,0,0,0
2014-04-29 16:20:37,2,0,0,0,0,0
2014-04-29 16:20:38,2,0,0,0,0,0
2014-04-29 16:20:39,2,0,0,0,0,0
2014-04-29 16:20:40,2,0,0,0,0,0
2014-04-29 16:20:41,2,0,0,0,0,0
2014-04-29 16:20:42,2,0,0,0,0,0
2014-04-29 16:20:43,2,0,0,0,0,0
2014-04-29 16:20:44,2,0,0,0,0,0
2014-04-29 16:20:45,2,0,0,0,0,0
2014-04-29 16:20:46,2,0,0,0,0,0
2014-04-29 16:20:47,2,0,0,2,0,0
2014-04-29 16:20:48,2,0,0,2,0,0
2014-04-29 16:20:49,2,0,0,2,0,0
2014-04-29 16:20:50,2,0,0,2,0,0
2014-04-29 16:20:51,0,0,0,2,0,0
2014-04-29 16:20:52,0,0,0,0,0,0
2014-04-29 16:20:53,0,0,0,0,0,0
2014-04-29 16:20:54,0,0,0,0,0,0
2014-04-29 16:20:55,0,0,0,0,0,0
2014-04-29 16:20:56,2,0,0,0,0,0
2014-04-29 16:20:57,2,0,0,0,0,0
2014-04-29 16:20:58,2,0,0,0,0,0
2014-04-29 16:20:59,2,0,0,0,0,0
2014-04-29 16:21:00,2,0,0,0,0,0
2014-04-29 16:21:01,0,0,0,0,0,0
2014-04-29 16:21:02,0,0,0,0,0,0
2014-04-29 16:21:03,0,0,0,0,0,0
2014-04-29 16:21:04,0,0,0,0,0,0
2014-04-29 16:21:05,0,0,0,0,0,0
2014-04-29 16:21:06,0,0,0,0,0,0
2014-04-29 16:21:07,0,0,0,0,0,0
2014-04-29 16:21:08,0,0,0,0,0,0
2014-04-29 16:21:09,0,0,0,0,0,0
2014-04-29 16:21:10,0,0,0,0,0,0
2014-04-29 16:21:11,0,0,0,0,0,0
2014-04-29 16:21:12,0,0,0,0,0,0
2014-04-29 16:21:13,0,0,0,0,0,0
2014-04-29 16:21:14,0,0,0,0,0,0
2014-04-29 16:21:15,0,0,0,0,0,0
2014-04-29 16:21:16,0,0,0,0,0,0
2014-04-29 16:21:17,0,0,0,0,0,0
2014-04-29 16:21:18,0,0,0,0,0,0
2014-04-29 16:21:19,0,0,0,0,0,0
2014-04-29 16:21:20,0,0,0,0,0,0
2014-04-29 16:21:21,0,0,0,0,0,0
2014-04-29 16:21:22,0,0,0,0,0,0
2014-04-29 16:21:23,0,0,0,0,0,0
2014-04-29 16:21:24,0,0,0,0,0,0
2014-04-29 16:21:25,0,0,0,0,0,0
2014-04-29 16:21:26,0,0,0,0,0,0
2014-04-29 16:21:27,0,0,0,0,0,0
2014-04-29 16:21:28,1,0,0,8,0,0
2014-04-29 16:21:29,1,0,0,8,0,0
2014-04-29 16:21:30,1,0,0,8,0,0
2014-04-29 16:21:31,1,0,0,8,0,0
2014-04-29 16:21:32,1,0,0,8,0,0
2014-04-29 16:21:33,0,0,0,0,0,0
2014-04-29 16:21:34,0,0,0,0,0,0
2014-04-29 16:21:35,0,0,0,0,0,0
2014-04-29 16:21:36,0,0,0,0,0,0
2014-04-29 16:21:37,0,0,0,0,0,0
2014-04-29 16:21:38,0,0,0,0,0,0
2014-04-29 16:21:39,0,0,0,0,0,0
2014-04-29 16:21:40,0,0,0,0,0,0
2014-04-29 16:21:41,0,0,0,0,0,0
2014-04-29 16:21:42,0,0,0,0,0,0
2014-04-29 16:21:43,0,0,0,0,0,0
2014-04-29 16:21:44,0,0,0,0,0,0
2014-04-29 16:21:45,0,0,0,0,0,0
2014-04-29 16:21:46,0,0,0,0,0,0
2014-04-29 16:21:47,0,0,0,0,0,0
2014-04-29 16:21:48,0,0,0,0,0,0
2014-04-29 16:21:49,0,0,0,0,0,0
2014-04-29 16:21:50,0,0,0,0,0,0
2014-04-29 16:21:51,0,0,0,0,0,0
2014-04-29 16:21:52,0,0,0,0,0,0
2014-04-29 16:21:53,0,0,0,0,0,0
2014-04-29 16:21:54,0,0,0,0,0,0
2014-04-29 16:21:55,0,0,0,0,0,0
2014-04-29 16:21:56,0,0,0,0,0,0
2014-04-29 16:21:57,0,0,0,0,0,0
2014-04-29 16:21:58,0,0,0,0,0,0
2014-04-29 16:21:59,0,0,0,0,0,0
2014-04-29 16:22:00,0,0,0,0,0,0
2014-04-29 16:22:01,0,0,0,0,0,0
2014-04-29 16:22:02,0,0,0,0,0,0
2014-04-29 16:22:03,0,0,0,0,0,0
2014-04-29 16:22:04,0,0,0,0,0,0
2014-04-29 16:22:05,0,0,0,0,0,0
2014-04-29 16:22:06,0,0,0,0,0,0
2014-04-29 16:22:07,0,0,0,0,0,0
2014-04-29 16:22:08,0,0,0,0,0,0
2014-04-29 16:22:09,0,0,0,4,0,0
2014-04-29 16:22:10,0,0,0,7,0,0
2014-04-29 16:22:11,0,0,0,7,0,0
2014-04-29 16:22:12,0,0,0,7,0,0
2014-04-29 16:22:13,0,0,0,7,0,0
2014-04-29 16:22:14,0,0,0,7,0,0
2014-04-29 16:22:15,0,0,0,2,0,0
2014-04-29 16:22:16,0,0,0,2,0,0
2014-04-29 16:22:17,0,0,0,4,0,0
2014-04-29 16:22:18,0,0,0,4,0,0
2014-04-29 16:22:19,0,0,0,4,0,0
2014-04-29 16:22:20,0,0,0,4,0,0
2014-04-29 16:22:21,0,0,0,7,0,0
2014-04-29 16:22:22,0,0,0,4,0,0
2014-04-29 16:22:23,0,0,0,7,0,0
2014-04-29 16:22:24,0,0,0,7,0,0
2014-04-29 16:22:25,0,0,0,7,0,0
2014-04-29 16:22:26,0,0,0,7,0,0
2014-04-29 16:22:27,0,0,0,3,0,0
2014-04-29 16:22:28,0,0,0,0,0,0
2014-04-29 16:22:29,0,0,0,0,2,0
2014-04-29 16:22:30,0,0,0,0,2,0
2014-04-29 16:22:31,0,0,0,0,2,0
2014-04-29 16:22:32,0,0,0,0,6,0
2014-04-29 16:22:33,0,0,0,0,7,0
2014-04-29 16:22:34,0,0,0,0,7,0
2014-04-29 16:22:35,0,0,0,8,7,0
2014-04-29 16:22:36,0,0,0,7,7,0
2014-04-29 16:22:37,0,0,0,7,7,0
2014-04-29 16:22:38,0,0,0,7,7,0
2014-04-29 16:22:39,0,0,0,7,2,0
2014-04-29 16:22:40,0,0,0,7,2,0
2014-04-29 16:22:41,0,0,0,7,8,0
2014-04-29 16:22:42,0,0,0,7,8,0
2014-04-29 16:22:43,0,0,0,0,8,0
2014-04-29 16:22:44,0,0,0,0,8,0
2014-04-29 16:22:45,0,0,0,0,4,0
2014-04-29 16:22:46,0,0,0,0,6,0
