time,christina,charles,jonathan,yvonne
2014-08-24 15:18:48,2,1,3,1
2014-08-24 15:18:49,2,1,3,1
2014-08-24 15:18:50,2,1,3,1
2014-08-24 15:18:51,0,3,3,1
2014-08-24 15:18:52,0,3,3,1
2014-08-24 15:18:53,0,3,3,1
2014-08-24 15:18:54,0,3,3,1
2014-08-24 15:18:55,0,3,3,1
2014-08-24 15:18:56,0,3,3,1
2014-08-24 15:18:57,2,3,3,1
2014-08-24 15:18:58,2,3,3,1
2014-08-24 15:18:59,2,3,1,1
2014-08-24 15:19:00,2,3,1,1
2014-08-24 15:19:01,1,3,1,1
2014-08-24 15:19:02,1,3,1,1
2014-08-24 15:19:03,1,3,1,1
2014-08-24 15:19:04,1,3,1,1
2014-08-24 15:19:05,1,1,1,1
2014-08-24 15:19:06,1,1,3,1
2014-08-24 15:19:07,1,1,1,1
2014-08-24 15:19:08,1,1,1,1
2014-08-24 15:19:09,1,1,1,1
2014-08-24 15:19:10,1,1,1,1
2014-08-24 15:19:11,1,1,1,1
2014-08-24 15:19:12,1,1,3,1
2014-08-24 15:19:13,3,1,1,1
2014-08-24 15:19:14,2,1,1,1
2014-08-24 15:19:15,2,1,1,1
2014-08-24 15:19:16,2,3,1,1
2014-08-24 15:19:17,3,3,1,1
2014-08-24 15:19:18,1,3,1,1
2014-08-24 15:19:19,1,3,2,1
2014-08-24 15:19:20,1,3,2,1
2014-08-24 15:19:21,1,3,2,1
2014-08-24 15:19:22,2,3,1,1
2014-08-24 15:19:23,2,3,3,1
2014-08-24 15:19:24,0,3,1,1
2014-08-24 15:19:25,1,3,1,1
2014-08-24 15:19:26,1,3,1,1
2014-08-24 15:19:27,1,3,2,1
2014-08-24 15:19:28,1,3,1,1
2014-08-24 15:19:29,1,3,1,1
2014-08-24 15:19:30,1,3,3,1
2014-08-24 15:19:31,1,3,1,1
2014-08-24 15:19:32,2,3,1,1
2014-08-24 15:19:33,2,3,2,1
2014-08-24 15:19:34,0,3,2,1
2014-08-24 15:19:35,0,3,2,1
2014-08-24 15:19:36,0,7,0,1
2014-08-24 15:19:37,0,7,0,1
2014-08-24 15:19:38,0,3,2,1
2014-08-24 15:19:39,0,3,2,1
2014-08-24 15:19:40,0,3,2,1
2014-08-24 15:19:41,0,3,2,1
2014-08-24 15:19:42,0,3,2,1
2014-08-24 15:19:43,0,3,2,8
2014-08-24 15:19:44,0,8,2,8
2014-08-24 15:19:45,0,8,2,0
2014-08-24 15:19:46,0,8,2,0
2014-08-24 15:19:47,0,8,2,0
2014-08-24 15:19:48,0,8,2,0
2014-08-24 15:19:49,0,8,2,0
2014-08-24 15:19:50,0,8,2,0
2014-08-24 15:19:51,0,2,2,0
2014-08-24 15:19:52,0,2,0,0
2014-08-24 15:19:53,0,2,0,0
2014-08-24 15:19:54,0,2,0,0
2014-08-24 15:19:55,1,2,0,0
2014-08-24 15:19:56,2,2,0,0
2014-08-24 15:19:57,2,2,0,0
2014-08-24 15:19:58,2,2,0,0
2014-08-24 15:19:59,2,2,0,0
2014-08-24 15:20:00,2,2,0,0
2014-08-24 15:20:01,2,2,0,0
2014-08-24 15:20:02,2,2,0,0
2014-08-24 15:20:03,2,2,0,0
2014-08-24 15:20:04,2,2,0,0
2014-08-24 15:20:05,2,2,0,0
2014-08-24 15:20:06,2,2,0,0
2014-08-24 15:20:07,2,2,0,0
2014-08-24 15:20:08,2,2,0,0
2014-08-24 15:20:09,2,2,0,0
2014-08-24 15:20:10,2,2,0,0
2014-08-24 15:20:11,2,2,0,0
2014-08-24 15:20:12,2,2,0,0
2014-08-24 15:20:13,2,2,0,0
2014-08-24 15:20:14,2,2,0,0
2014-08-24 15:20:15,2,2,0,0
2014-08-24 15:20:16,2,2,0,0
2014-08-24 15:20:17,0,2,0,0
2014-08-24 15:20:18,4,2,2,0
2014-08-24 15:20:19,4,2,2,0
2014-08-24 15:20:20,4,2,2,0
2014-08-24 15:20:21,6,2,2,0
2014-08-24 15:20:22,6,3,2,0
2014-08-24 15:20:23,6,4,0,0
2014-08-24 15:20:24,6,4,0,2
2014-08-24 15:20:25,6,7,0,2
2014-08-24 15:20:26,6,6,0,1
2014-08-24 15:20:27,6,6,0,3
2014-08-24 15:20:28,6,8,0,1
2014-08-24 15:20:29,7,7,0,1
2014-08-24 15:20:30,7,6,0,1
2014-08-24 15:20:31,7,6,0,1
2014-08-24 15:20:32,7,6,4,1
2014-08-24 15:20:33,7,6,4,1
2014-08-24 15:20:34,7,6,4,1
2014-08-24 15:20:35,7,6,4,1
2014-08-24 15:20:36,7,6,4,1
2014-08-24 15:20:37,7,6,7,1
2014-08-24 15:20:38,7,6,6,1
