time,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,BD49B35A-8999-4987-9759-8D3F28D1292B,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-05-01 18:24:06,8,4,4,6
2015-05-01 18:24:07,8,4,2,6
2015-05-01 18:24:08,8,4,1,6
2015-05-01 18:24:09,8,4,4,7
2015-05-01 18:24:10,8,4,5,7
2015-05-01 18:24:11,1,4,4,4
2015-05-01 18:24:12,3,4,4,3
2015-05-01 18:24:13,2,4,3,3
2015-05-01 18:24:14,2,3,3,3
2015-05-01 18:24:15,3,4,4,1
2015-05-01 18:24:16,3,4,4,1
2015-05-01 18:24:17,3,4,4,1
2015-05-01 18:24:18,3,4,6,1
2015-05-01 18:24:19,3,4,6,1
2015-05-01 18:24:20,3,2,7,1
2015-05-01 18:24:21,3,2,8,1
2015-05-01 18:24:22,3,1,8,1
2015-05-01 18:24:23,3,1,8,1
2015-05-01 18:24:24,3,1,8,1
2015-05-01 18:24:25,3,1,8,8
2015-05-01 18:24:26,3,1,8,8
2015-05-01 18:24:27,3,1,8,8
2015-05-01 18:24:28,3,1,6,8
2015-05-01 18:24:29,3,1,7,8
2015-05-01 18:24:30,3,1,4,8
2015-05-01 18:24:31,3,3,1,8
2015-05-01 18:24:32,1,1,8,8
2015-05-01 18:24:33,1,1,8,8
2015-05-01 18:24:34,8,8,8,8
2015-05-01 18:24:35,8,8,8,8
2015-05-01 18:24:36,8,8,8,8
2015-05-01 18:24:37,8,8,8,8
2015-05-01 18:24:38,8,8,8,8
2015-05-01 18:24:39,8,1,8,8
2015-05-01 18:24:40,8,1,8,8
2015-05-01 18:24:41,8,1,8,8
2015-05-01 18:24:42,8,1,8,8
2015-05-01 18:24:43,1,3,8,8
2015-05-01 18:24:44,8,8,8,8
2015-05-01 18:24:45,8,8,8,8
2015-05-01 18:24:46,8,7,8,8
2015-05-01 18:24:47,8,7,7,8
2015-05-01 18:24:48,8,7,7,8
2015-05-01 18:24:49,3,7,7,8
2015-05-01 18:24:50,4,7,8,8
2015-05-01 18:24:51,4,6,8,8
2015-05-01 18:24:52,4,6,3,8
2015-05-01 18:24:53,3,6,2,1
2015-05-01 18:24:54,2,6,2,1
2015-05-01 18:24:55,3,7,2,1
2015-05-01 18:24:56,1,7,2,1
2015-05-01 18:24:57,1,7,2,1
2015-05-01 18:24:58,1,4,3,1
2015-05-01 18:24:59,1,4,3,1
2015-05-01 18:25:00,1,7,3,1
2015-05-01 18:25:01,1,4,3,1
2015-05-01 18:25:02,1,4,3,1
2015-05-01 18:25:03,3,4,3,1
2015-05-01 18:25:04,3,3,3,1
2015-05-01 18:25:05,8,3,3,1
2015-05-01 18:25:06,7,4,3,1
2015-05-01 18:25:07,8,4,3,1
2015-05-01 18:25:08,8,4,3,1
2015-05-01 18:25:09,8,4,3,1
2015-05-01 18:25:10,8,4,3,1
2015-05-01 18:25:11,8,4,4,1
2015-05-01 18:25:12,8,3,4,1
2015-05-01 18:25:13,3,4,4,1
