time,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74,2FA454D2-F35D-45D6-BE5D-D848B409B713,9A5116EA-2793-4C75-AC93-524C9EF550FD
2015-06-23 15:14:49,2,7,3,2,2
2015-06-23 15:14:50,2,7,3,2,2
2015-06-23 15:14:51,2,6,3,2,2
2015-06-23 15:14:52,2,5,1,2,2
2015-06-23 15:14:53,2,2,1,2,2
2015-06-23 15:14:54,2,2,2,2,2
2015-06-23 15:14:55,2,8,2,2,2
2015-06-23 15:14:56,2,8,2,2,2
2015-06-23 15:14:57,3,8,2,2,2
2015-06-23 15:14:58,3,7,2,2,2
2015-06-23 15:14:59,3,7,2,2,2
2015-06-23 15:15:00,3,7,2,2,2
2015-06-23 15:15:01,3,7,2,2,2
2015-06-23 15:15:02,2,7,2,2,2
2015-06-23 15:15:03,2,2,2,2,2
2015-06-23 15:15:04,2,2,2,2,2
2015-06-23 15:15:05,2,2,2,2,2
2015-06-23 15:15:06,2,2,2,2,2
2015-06-23 15:15:07,2,2,2,2,2
2015-06-23 15:15:08,6,2,2,2,2
2015-06-23 15:15:09,6,2,2,2,2
2015-06-23 15:15:10,2,2,2,2,2
2015-06-23 15:15:11,2,2,3,2,2
2015-06-23 15:15:12,2,2,3,2,2
2015-06-23 15:15:13,2,2,3,2,2
2015-06-23 15:15:14,2,2,2,2,2
2015-06-23 15:15:15,2,2,3,2,2
2015-06-23 15:15:16,2,2,2,8,2
2015-06-23 15:15:17,2,2,2,2,8
2015-06-23 15:15:18,2,3,2,3,4
2015-06-23 15:15:19,2,3,2,4,7
2015-06-23 15:15:20,2,3,3,4,7
2015-06-23 15:15:21,2,3,3,6,4
2015-06-23 15:15:22,2,1,3,6,4
2015-06-23 15:15:23,2,1,8,8,4
2015-06-23 15:15:24,3,1,7,8,6
2015-06-23 15:15:25,3,1,8,8,6
2015-06-23 15:15:26,3,3,2,6,6
2015-06-23 15:15:27,3,3,2,7,4
2015-06-23 15:15:28,3,7,2,4,4
2015-06-23 15:15:29,7,7,2,4,4
2015-06-23 15:15:30,7,4,2,4,4
2015-06-23 15:15:31,7,4,2,0,4
2015-06-23 15:15:32,6,4,3,0,0
2015-06-23 15:15:33,6,3,3,0,2
2015-06-23 15:15:34,6,2,3,0,2
2015-06-23 15:15:35,0,2,3,2,2
2015-06-23 15:15:36,0,2,3,2,2
2015-06-23 15:15:37,0,3,2,2,2
2015-06-23 15:15:38,0,2,2,2,2
2015-06-23 15:15:39,0,2,2,2,2
2015-06-23 15:15:40,0,2,2,2,2
2015-06-23 15:15:41,0,2,2,2,2
2015-06-23 15:15:42,0,2,2,2,2
2015-06-23 15:15:43,0,2,2,2,2
2015-06-23 15:15:44,0,2,2,2,2
2015-06-23 15:15:45,0,2,2,2,2
2015-06-23 15:15:46,0,1,2,2,2
2015-06-23 15:15:47,0,1,2,2,2
2015-06-23 15:15:48,0,1,1,2,1
