time,christina,yvonne,jonathan,charles
2014-04-28 17:04:49,0,0,0,2
2014-04-28 17:04:50,0,0,0,1
2014-04-28 17:04:51,0,0,0,0
2014-04-28 17:04:52,0,0,0,0
2014-04-28 17:04:53,0,0,0,0
2014-04-28 17:04:54,0,0,0,0
2014-04-28 17:04:55,0,0,0,0
2014-04-28 17:04:56,0,0,0,0
2014-04-28 17:04:57,0,0,0,0
2014-04-28 17:04:58,0,0,0,0
2014-04-28 17:04:59,0,0,0,0
2014-04-28 17:05:00,0,0,0,0
2014-04-28 17:05:01,0,0,0,0
2014-04-28 17:05:02,0,0,0,0
2014-04-28 17:05:03,0,0,0,0
2014-04-28 17:05:04,0,0,0,0
2014-04-28 17:05:05,0,0,0,0
2014-04-28 17:05:06,0,0,0,0
2014-04-28 17:05:07,0,0,0,0
2014-04-28 17:05:08,0,0,0,0
2014-04-28 17:05:09,0,0,0,0
2014-04-28 17:05:10,0,0,0,0
2014-04-28 17:05:11,0,0,0,0
2014-04-28 17:05:12,0,0,0,0
2014-04-28 17:05:13,0,0,0,0
2014-04-28 17:05:14,0,0,0,0
2014-04-28 17:05:15,0,0,0,0
2014-04-28 17:05:16,0,0,0,0
2014-04-28 17:05:17,0,0,0,0
2014-04-28 17:05:18,0,0,0,0
2014-04-28 17:05:19,0,0,0,0
2014-04-28 17:05:20,0,0,0,0
2014-04-28 17:05:21,0,0,0,0
2014-04-28 17:05:22,0,0,0,0
2014-04-28 17:05:23,0,0,0,0
2014-04-28 17:05:24,0,0,0,0
2014-04-28 17:05:25,0,0,0,0
2014-04-28 17:05:26,0,0,0,2
2014-04-28 17:05:27,0,0,0,2
2014-04-28 17:05:28,0,0,0,2
2014-04-28 17:05:29,0,0,0,2
2014-04-28 17:05:30,0,0,0,2
2014-04-28 17:05:31,0,0,0,2
2014-04-28 17:05:32,0,0,0,2
2014-04-28 17:05:33,0,0,0,2
2014-04-28 17:05:34,0,0,0,0
2014-04-28 17:05:35,0,0,0,0
2014-04-28 17:05:36,0,0,0,0
2014-04-28 17:05:37,0,0,0,0
2014-04-28 17:05:38,0,0,0,0
2014-04-28 17:05:39,0,0,0,0
2014-04-28 17:05:40,0,0,0,0
2014-04-28 17:05:41,0,0,0,0
2014-04-28 17:05:42,0,0,0,0
2014-04-28 17:05:43,0,0,0,0
2014-04-28 17:05:44,0,0,0,4
2014-04-28 17:05:45,0,0,0,4
2014-04-28 17:05:46,0,0,0,0
2014-04-28 17:05:47,0,0,0,0
