time,yvonne,charles,charles_ipadair
2014-05-05 21:38:22,8,3,1
2014-05-05 21:38:23,7,1,3
2014-05-05 21:38:24,7,1,3
2014-05-05 21:38:25,4,1,3
2014-05-05 21:38:26,4,1,3
2014-05-05 21:38:27,2,1,2
2014-05-05 21:38:28,0,1,3
2014-05-05 21:38:29,0,3,4
2014-05-05 21:38:30,0,0,4
2014-05-05 21:38:31,0,0,4
2014-05-05 21:38:32,0,0,4
2014-05-05 21:38:33,0,0,4
2014-05-05 21:38:34,4,0,4
2014-05-05 21:38:35,7,0,2
2014-05-05 21:38:36,7,0,2
2014-05-05 21:38:37,7,0,2
2014-05-05 21:38:38,7,0,2
2014-05-05 21:38:39,7,0,8
2014-05-05 21:38:40,7,0,2
2014-05-05 21:38:41,7,0,2
2014-05-05 21:38:42,4,0,2
2014-05-05 21:38:43,3,0,2
2014-05-05 21:38:44,0,0,0
2014-05-05 21:38:45,0,0,0
2014-05-05 21:38:46,0,0,0
2014-05-05 21:38:47,0,0,0
2014-05-05 21:38:48,0,0,0
2014-05-05 21:38:49,0,0,0
2014-05-05 21:38:50,0,0,0
2014-05-05 21:38:51,0,0,0
2014-05-05 21:38:52,0,0,0
2014-05-05 21:38:53,0,0,0
2014-05-05 21:38:54,0,0,0
2014-05-05 21:38:55,0,0,0
2014-05-05 21:38:56,0,0,0
2014-05-05 21:38:57,0,0,0
2014-05-05 21:38:58,0,0,0
2014-05-05 21:38:59,0,0,0
2014-05-05 21:39:00,0,0,0
2014-05-05 21:39:01,0,0,0
2014-05-05 21:39:02,0,0,0
2014-05-05 21:39:03,0,0,0
2014-05-05 21:39:04,0,0,0
2014-05-05 21:39:05,0,0,0
2014-05-05 21:39:06,0,0,0
2014-05-05 21:39:07,0,0,0
2014-05-05 21:39:08,2,0,0
2014-05-05 21:39:09,2,0,0
2014-05-05 21:39:10,2,0,0
2014-05-05 21:39:11,2,0,0
2014-05-05 21:39:12,2,0,0
2014-05-05 21:39:13,2,0,0
2014-05-05 21:39:14,2,0,0
2014-05-05 21:39:15,2,0,0
2014-05-05 21:39:16,0,0,0
2014-05-05 21:39:17,0,0,0
2014-05-05 21:39:18,0,0,2
2014-05-05 21:39:19,0,0,2
2014-05-05 21:39:20,0,0,2
2014-05-05 21:39:21,0,0,2
2014-05-05 21:39:22,0,2,2
2014-05-05 21:39:23,0,2,0
2014-05-05 21:39:24,0,2,0
2014-05-05 21:39:25,0,2,0
2014-05-05 21:39:26,0,2,0
2014-05-05 21:39:27,2,2,0
2014-05-05 21:39:28,2,0,0
2014-05-05 21:39:29,2,0,0
2014-05-05 21:39:30,2,0,0
2014-05-05 21:39:31,2,0,0
2014-05-05 21:39:32,2,0,0
2014-05-05 21:39:33,2,2,0
2014-05-05 21:39:34,2,2,0
2014-05-05 21:39:35,2,5,0
2014-05-05 21:39:36,2,5,0
2014-05-05 21:39:37,0,5,0
2014-05-05 21:39:38,0,5,2
2014-05-05 21:39:39,0,5,2
2014-05-05 21:39:40,0,2,2
2014-05-05 21:39:41,0,2,2
2014-05-05 21:39:42,0,2,2
2014-05-05 21:39:43,0,2,2
2014-05-05 21:39:44,2,2,2
2014-05-05 21:39:45,7,0,2
2014-05-05 21:39:46,7,0,2
2014-05-05 21:39:47,7,0,8
2014-05-05 21:39:48,7,0,7
2014-05-05 21:39:49,7,0,4
2014-05-05 21:39:50,7,0,4
2014-05-05 21:39:51,7,0,4
2014-05-05 21:39:52,7,0,4
2014-05-05 21:39:53,7,0,8
2014-05-05 21:39:54,7,0,4
2014-05-05 21:39:55,7,2,4
2014-05-05 21:39:56,6,2,6
2014-05-05 21:39:57,6,2,4
2014-05-05 21:39:58,3,2,6
2014-05-05 21:39:59,3,2,6
2014-05-05 21:40:00,3,4,6
2014-05-05 21:40:01,3,4,4
2014-05-05 21:40:02,2,4,4
2014-05-05 21:40:03,2,7,4
2014-05-05 21:40:04,2,7,4
2014-05-05 21:40:05,3,7,2
2014-05-05 21:40:06,3,7,2
2014-05-05 21:40:07,3,7,4
2014-05-05 21:40:08,3,8,4
2014-05-05 21:40:09,3,4,8
2014-05-05 21:40:10,3,4,7
2014-05-05 21:40:11,4,2,7
2014-05-05 21:40:12,7,2,8
2014-05-05 21:40:13,6,2,8
2014-05-05 21:40:14,6,2,8
2014-05-05 21:40:15,7,2,8
2014-05-05 21:40:16,7,2,8
2014-05-05 21:40:17,6,2,7
2014-05-05 21:40:18,6,2,7
2014-05-05 21:40:19,4,2,8
2014-05-05 21:40:20,4,2,4
2014-05-05 21:40:21,3,3,3
2014-05-05 21:40:22,3,4,4
2014-05-05 21:40:23,3,8,4
2014-05-05 21:40:24,3,8,2
2014-05-05 21:40:25,3,7,3
2014-05-05 21:40:26,3,7,8
2014-05-05 21:40:27,3,4,8
2014-05-05 21:40:28,3,3,7
2014-05-05 21:40:29,3,2,7
2014-05-05 21:40:30,3,2,8
2014-05-05 21:40:31,2,2,8
2014-05-05 21:40:32,2,8,8
2014-05-05 21:40:33,4,7,2
2014-05-05 21:40:34,8,7,4
2014-05-05 21:40:35,8,7,7
2014-05-05 21:40:36,7,7,7
2014-05-05 21:40:37,7,7,7
2014-05-05 21:40:38,7,7,7
2014-05-05 21:40:39,6,4,7
2014-05-05 21:40:40,8,4,8
2014-05-05 21:40:41,6,4,7
2014-05-05 21:40:42,6,4,7
2014-05-05 21:40:43,7,4,7
2014-05-05 21:40:44,7,8,7
2014-05-05 21:40:45,7,8,7
2014-05-05 21:40:46,4,7,4
2014-05-05 21:40:47,8,4,4
2014-05-05 21:40:48,4,7,4
2014-05-05 21:40:49,4,7,4
2014-05-05 21:40:50,4,7,3
2014-05-05 21:40:51,4,7,3
2014-05-05 21:40:52,4,7,4
2014-05-05 21:40:53,5,7,4
2014-05-05 21:40:54,8,8,4
2014-05-05 21:40:55,7,8,4
2014-05-05 21:40:56,4,8,3
2014-05-05 21:40:57,4,4,3
2014-05-05 21:40:58,4,4,3
2014-05-05 21:40:59,2,4,4
2014-05-05 21:41:00,0,4,3
2014-05-05 21:41:01,0,4,8
2014-05-05 21:41:02,0,7,8
2014-05-05 21:41:03,0,7,8
2014-05-05 21:41:04,0,7,4
2014-05-05 21:41:05,0,7,7
2014-05-05 21:41:06,0,7,8
2014-05-05 21:41:07,2,7,4
2014-05-05 21:41:08,2,7,4
2014-05-05 21:41:09,8,6,7
2014-05-05 21:41:10,8,6,7
2014-05-05 21:41:11,8,6,7
2014-05-05 21:41:12,7,6,7
2014-05-05 21:41:13,7,6,7
2014-05-05 21:41:14,7,4,8
2014-05-05 21:41:15,7,4,3
2014-05-05 21:41:16,6,4,3
2014-05-05 21:41:17,6,4,3
2014-05-05 21:41:18,6,3,3
2014-05-05 21:41:19,6,3,3
2014-05-05 21:41:20,6,3,3
