time,christina,jonathan,charles,yvonne
2014-08-24 15:36:49,2,2,2,2
2014-08-24 15:36:50,2,2,2,2
2014-08-24 15:36:51,3,2,2,2
2014-08-24 15:36:52,3,2,3,2
2014-08-24 15:36:53,3,0,3,2
2014-08-24 15:36:54,3,0,3,2
2014-08-24 15:36:55,3,4,3,2
2014-08-24 15:36:56,3,7,3,2
2014-08-24 15:36:57,3,7,3,2
2014-08-24 15:36:58,3,7,3,2
2014-08-24 15:36:59,3,8,3,2
2014-08-24 15:37:00,3,7,3,2
2014-08-24 15:37:01,3,8,3,2
2014-08-24 15:37:02,3,8,3,2
2014-08-24 15:37:03,3,8,3,2
2014-08-24 15:37:04,3,8,3,2
2014-08-24 15:37:05,3,4,3,2
2014-08-24 15:37:06,3,4,3,2
2014-08-24 15:37:07,3,4,3,2
2014-08-24 15:37:08,3,4,3,2
2014-08-24 15:37:09,4,7,3,2
2014-08-24 15:37:10,4,3,3,2
2014-08-24 15:37:11,4,8,3,2
2014-08-24 15:37:12,4,7,3,2
2014-08-24 15:37:13,4,7,3,2
2014-08-24 15:37:14,4,7,3,2
2014-08-24 15:37:15,4,7,3,2
2014-08-24 15:37:16,4,7,3,2
2014-08-24 15:37:17,4,8,3,2
2014-08-24 15:37:18,4,4,3,2
2014-08-24 15:37:19,3,4,3,2
2014-08-24 15:37:20,2,4,3,2
2014-08-24 15:37:21,3,4,3,2
2014-08-24 15:37:22,1,7,3,2
2014-08-24 15:37:23,3,2,3,2
2014-08-24 15:37:24,3,4,3,2
2014-08-24 15:37:25,1,4,3,2
2014-08-24 15:37:26,1,4,3,2
2014-08-24 15:37:27,1,4,3,2
2014-08-24 15:37:28,3,7,3,2
2014-08-24 15:37:29,1,3,3,2
2014-08-24 15:37:30,3,8,3,2
2014-08-24 15:37:31,2,4,3,2
2014-08-24 15:37:32,2,4,3,2
2014-08-24 15:37:33,2,4,3,2
2014-08-24 15:37:34,2,4,3,2
2014-08-24 15:37:35,2,4,2,0
2014-08-24 15:37:36,2,0,2,0
2014-08-24 15:37:37,2,0,2,0
2014-08-24 15:37:38,2,0,2,0
2014-08-24 15:37:39,2,0,2,0
2014-08-24 15:37:40,2,0,2,0
2014-08-24 15:37:41,2,8,2,0
2014-08-24 15:37:42,2,8,2,0
2014-08-24 15:37:43,2,8,2,0
2014-08-24 15:37:44,2,8,2,0
2014-08-24 15:37:45,2,8,2,0
2014-08-24 15:37:46,2,3,2,0
2014-08-24 15:37:47,2,0,2,0
2014-08-24 15:37:48,2,0,2,0
2014-08-24 15:37:49,2,8,4,0
2014-08-24 15:37:50,2,4,3,4
2014-08-24 15:37:51,2,4,2,4
2014-08-24 15:37:52,2,4,2,4
2014-08-24 15:37:53,2,4,2,4
2014-08-24 15:37:54,2,7,2,4
2014-08-24 15:37:55,2,0,2,4
2014-08-24 15:37:56,2,8,2,0
2014-08-24 15:37:57,2,7,2,4
2014-08-24 15:37:58,2,7,2,4
2014-08-24 15:37:59,2,7,2,4
2014-08-24 15:38:00,2,7,2,4
2014-08-24 15:38:01,2,7,2,4
2014-08-24 15:38:02,2,0,2,4
2014-08-24 15:38:03,2,8,2,0
2014-08-24 15:38:04,2,7,2,4
2014-08-24 15:38:05,2,8,2,4
2014-08-24 15:38:06,2,8,2,4
2014-08-24 15:38:07,2,8,2,4
2014-08-24 15:38:08,2,7,2,4
2014-08-24 15:38:09,2,7,2,0
2014-08-24 15:38:10,2,0,2,0
2014-08-24 15:38:11,2,0,2,0
2014-08-24 15:38:12,2,8,2,0
2014-08-24 15:38:13,2,8,2,4
2014-08-24 15:38:14,2,8,2,7
2014-08-24 15:38:15,4,8,2,7
2014-08-24 15:38:16,4,8,2,7
2014-08-24 15:38:17,4,8,2,7
2014-08-24 15:38:18,3,0,2,7
2014-08-24 15:38:19,3,0,2,0
2014-08-24 15:38:20,3,0,2,0
2014-08-24 15:38:21,3,0,2,0
2014-08-24 15:38:22,3,0,2,0
2014-08-24 15:38:23,3,8,2,0
2014-08-24 15:38:24,3,7,4,4
2014-08-24 15:38:25,3,8,2,4
2014-08-24 15:38:26,3,8,4,4
2014-08-24 15:38:27,3,8,4,8
2014-08-24 15:38:28,3,8,4,8
2014-08-24 15:38:29,4,8,2,7
2014-08-24 15:38:30,3,8,4,7
2014-08-24 15:38:31,4,8,4,7
2014-08-24 15:38:32,2,8,4,8
2014-08-24 15:38:33,4,8,4,8
2014-08-24 15:38:34,4,8,3,8
2014-08-24 15:38:35,4,8,2,8
2014-08-24 15:38:36,4,8,2,8
2014-08-24 15:38:37,4,8,4,7
2014-08-24 15:38:38,3,7,4,7
2014-08-24 15:38:39,3,0,8,5
2014-08-24 15:38:40,1,0,8,5
2014-08-24 15:38:41,1,0,8,0
2014-08-24 15:38:42,1,0,8,2
2014-08-24 15:38:43,3,8,2,2
2014-08-24 15:38:44,3,8,2,2
2014-08-24 15:38:45,2,8,2,4
2014-08-24 15:38:46,2,8,2,8
2014-08-24 15:38:47,3,8,2,3
2014-08-24 15:38:48,3,8,2,3
2014-08-24 15:38:49,3,7,2,3
2014-08-24 15:38:50,3,2,2,3
2014-08-24 15:38:51,3,0,2,5
2014-08-24 15:38:52,3,0,2,5
2014-08-24 15:38:53,3,0,2,5
2014-08-24 15:38:54,2,8,2,5
2014-08-24 15:38:55,2,8,2,5
2014-08-24 15:38:56,2,8,2,5
2014-08-24 15:38:57,2,8,2,3
2014-08-24 15:38:58,3,8,2,3
2014-08-24 15:38:59,3,0,2,3
2014-08-24 15:39:00,3,8,2,3
2014-08-24 15:39:01,3,8,2,3
2014-08-24 15:39:02,3,8,2,3
2014-08-24 15:39:03,3,8,2,3
2014-08-24 15:39:04,3,8,2,3
2014-08-24 15:39:05,3,3,2,3
2014-08-24 15:39:06,3,8,2,8
2014-08-24 15:39:07,3,8,2,8
2014-08-24 15:39:08,3,8,2,3
2014-08-24 15:39:09,3,8,2,3
2014-08-24 15:39:10,1,8,2,3
2014-08-24 15:39:11,1,4,3,1
2014-08-24 15:39:12,3,4,3,3
2014-08-24 15:39:13,3,8,3,3
2014-08-24 15:39:14,3,8,3,3
2014-08-24 15:39:15,3,8,3,3
2014-08-24 15:39:16,1,8,3,8
2014-08-24 15:39:17,1,8,3,8
2014-08-24 15:39:18,3,8,3,8
2014-08-24 15:39:19,1,7,3,8
2014-08-24 15:39:20,1,7,3,3
2014-08-24 15:39:21,3,8,3,3
2014-08-24 15:39:22,3,0,3,3
2014-08-24 15:39:23,3,0,3,3
2014-08-24 15:39:24,3,0,3,3
2014-08-24 15:39:25,3,0,3,3
2014-08-24 15:39:26,2,0,3,3
2014-08-24 15:39:27,2,0,3,3
2014-08-24 15:39:28,2,0,3,3
2014-08-24 15:39:29,0,0,3,3
2014-08-24 15:39:30,5,0,2,3
2014-08-24 15:39:31,8,2,3,3
2014-08-24 15:39:32,8,2,2,3
2014-08-24 15:39:33,7,2,2,3
2014-08-24 15:39:34,7,2,2,3
2014-08-24 15:39:35,7,1,5,3
2014-08-24 15:39:36,7,1,5,3
2014-08-24 15:39:37,7,2,5,3
2014-08-24 15:39:38,7,2,5,3
2014-08-24 15:39:39,7,2,5,3
2014-08-24 15:39:40,7,2,7,3
2014-08-24 15:39:41,7,2,7,3
2014-08-24 15:39:42,7,2,7,3
2014-08-24 15:39:43,7,2,7,3
2014-08-24 15:39:44,4,2,7,3
2014-08-24 15:39:45,3,2,7,3
2014-08-24 15:39:46,2,2,7,3
2014-08-24 15:39:47,2,2,7,3
2014-08-24 15:39:48,2,2,7,3
2014-08-24 15:39:49,2,2,7,3
2014-08-24 15:39:50,2,2,7,3
2014-08-24 15:39:51,2,2,7,3
2014-08-24 15:39:52,2,2,7,3
2014-08-24 15:39:53,2,2,7,3
2014-08-24 15:39:54,8,1,7,5
2014-08-24 15:39:55,8,1,7,5
2014-08-24 15:39:56,8,1,7,5
2014-08-24 15:39:57,8,3,7,3
2014-08-24 15:39:58,7,3,7,3
2014-08-24 15:39:59,7,1,7,3
2014-08-24 15:40:00,7,1,7,3
2014-08-24 15:40:01,7,1,7,3
2014-08-24 15:40:02,4,1,7,3
2014-08-24 15:40:03,4,1,7,1
2014-08-24 15:40:04,4,1,7,1
2014-08-24 15:40:05,7,1,7,1
2014-08-24 15:40:06,6,1,7,1
2014-08-24 15:40:07,6,1,7,1
2014-08-24 15:40:08,4,1,7,1
2014-08-24 15:40:09,4,1,7,1
2014-08-24 15:40:10,4,1,7,1
2014-08-24 15:40:11,7,1,8,1
2014-08-24 15:40:12,6,1,3,1
2014-08-24 15:40:13,6,1,1,1
2014-08-24 15:40:14,6,1,1,1
2014-08-24 15:40:15,6,1,1,1
2014-08-24 15:40:16,6,1,1,1
2014-08-24 15:40:17,4,1,1,1
2014-08-24 15:40:18,3,1,1,1
2014-08-24 15:40:19,3,1,1,1
2014-08-24 15:40:20,1,1,1,1
2014-08-24 15:40:21,1,1,1,1
2014-08-24 15:40:22,1,1,1,1
2014-08-24 15:40:23,1,1,1,1
2014-08-24 15:40:24,1,1,1,1
2014-08-24 15:40:25,1,1,1,1
2014-08-24 15:40:26,1,1,1,1
2014-08-24 15:40:27,1,1,1,1
2014-08-24 15:40:28,1,1,1,1
2014-08-24 15:40:29,1,1,1,1
2014-08-24 15:40:30,1,1,1,1
2014-08-24 15:40:31,1,1,1,1
2014-08-24 15:40:32,1,1,1,1
2014-08-24 15:40:33,1,1,1,1
2014-08-24 15:40:34,1,1,1,1
2014-08-24 15:40:35,1,1,1,1
2014-08-24 15:40:36,1,1,1,1
2014-08-24 15:40:37,1,1,1,1
2014-08-24 15:40:38,1,1,1,1
2014-08-24 15:40:39,1,1,1,1
2014-08-24 15:40:40,2,1,1,5
2014-08-24 15:40:41,2,1,1,5
2014-08-24 15:40:42,2,2,1,5
2014-08-24 15:40:43,2,2,1,5
2014-08-24 15:40:44,0,2,1,5
2014-08-24 15:40:45,2,2,1,5
2014-08-24 15:40:46,2,2,1,5
2014-08-24 15:40:47,2,2,1,5
2014-08-24 15:40:48,2,2,1,5
2014-08-24 15:40:49,2,2,1,5
2014-08-24 15:40:50,2,2,1,5
2014-08-24 15:40:51,2,2,1,5
2014-08-24 15:40:52,2,2,1,5
2014-08-24 15:40:53,2,2,1,5
2014-08-24 15:40:54,2,2,1,5
2014-08-24 15:40:55,2,2,1,3
2014-08-24 15:40:56,2,2,1,3
2014-08-24 15:40:57,2,2,1,3
2014-08-24 15:40:58,2,2,1,3
2014-08-24 15:40:59,2,2,1,5
2014-08-24 15:41:00,2,2,2,5
2014-08-24 15:41:01,2,2,2,7
2014-08-24 15:41:02,2,2,2,7
2014-08-24 15:41:03,2,2,2,7
