time,jonathan,yvonne,charles,christina
2014-04-28 18:49:06,0,0,4,7
2014-04-28 18:49:07,0,0,3,4
2014-04-28 18:49:08,0,0,3,4
2014-04-28 18:49:09,0,0,1,4
2014-04-28 18:49:10,0,0,1,4
2014-04-28 18:49:11,0,0,1,4
2014-04-28 18:49:12,0,0,1,4
2014-04-28 18:49:13,0,0,1,4
2014-04-28 18:49:14,0,0,1,4
2014-04-28 18:49:15,0,0,1,2
2014-04-28 18:49:16,0,0,1,4
2014-04-28 18:49:17,0,0,3,4
2014-04-28 18:49:18,0,0,3,4
2014-04-28 18:49:19,0,0,4,4
2014-04-28 18:49:20,0,0,3,3
2014-04-28 18:49:21,0,0,3,2
2014-04-28 18:49:22,0,0,3,2
2014-04-28 18:49:23,0,0,3,2
2014-04-28 18:49:24,0,0,1,2
2014-04-28 18:49:25,0,0,3,3
2014-04-28 18:49:26,0,2,3,3
2014-04-28 18:49:27,0,2,3,3
2014-04-28 18:49:28,0,2,3,3
2014-04-28 18:49:29,0,4,3,3
2014-04-28 18:49:30,0,4,4,3
2014-04-28 18:49:31,0,4,0,3
2014-04-28 18:49:32,0,4,0,3
2014-04-28 18:49:33,0,8,6,3
2014-04-28 18:49:34,0,8,2,3
2014-04-28 18:49:35,0,8,2,3
2014-04-28 18:49:36,0,8,2,3
2014-04-28 18:49:37,0,2,2,3
2014-04-28 18:49:38,0,2,2,3
2014-04-28 18:49:39,0,2,2,3
2014-04-28 18:49:40,0,0,2,3
2014-04-28 18:49:41,0,0,2,3
2014-04-28 18:49:42,0,0,2,3
2014-04-28 18:49:43,0,0,2,4
2014-04-28 18:49:44,0,0,2,4
2014-04-28 18:49:45,0,0,2,4
2014-04-28 18:49:46,0,0,2,3
2014-04-28 18:49:47,0,0,2,2
2014-04-28 18:49:48,0,0,8,3
2014-04-28 18:49:49,0,0,1,1
2014-04-28 18:49:50,0,0,1,1
2014-04-28 18:49:51,0,0,1,1
2014-04-28 18:49:52,0,0,1,1
2014-04-28 18:49:53,0,0,1,1
2014-04-28 18:49:54,0,0,1,3
2014-04-28 18:49:55,0,0,1,3
2014-04-28 18:49:56,0,0,1,1
2014-04-28 18:49:57,0,0,3,1
2014-04-28 18:49:58,0,0,3,1
2014-04-28 18:49:59,0,0,1,1
2014-04-28 18:50:00,0,0,3,1
2014-04-28 18:50:01,0,0,3,1
2014-04-28 18:50:02,2,0,1,1
2014-04-28 18:50:03,2,0,1,1
2014-04-28 18:50:04,2,6,3,3
2014-04-28 18:50:05,2,6,3,3
2014-04-28 18:50:06,2,6,3,3
2014-04-28 18:50:07,0,6,4,4
2014-04-28 18:50:08,0,6,4,3
2014-04-28 18:50:09,0,5,4,3
2014-04-28 18:50:10,0,0,4,3
2014-04-28 18:50:11,0,0,4,3
2014-04-28 18:50:12,0,5,4,3
2014-04-28 18:50:13,0,5,4,3
2014-04-28 18:50:14,0,7,4,3
2014-04-28 18:50:15,0,7,4,3
2014-04-28 18:50:16,0,0,0,2
2014-04-28 18:50:17,0,0,0,0
2014-04-28 18:50:18,0,0,0,0
2014-04-28 18:50:19,0,0,0,0
2014-04-28 18:50:20,0,0,0,0
2014-04-28 18:50:21,0,0,0,0
2014-04-28 18:50:22,0,0,0,0
2014-04-28 18:50:23,0,0,0,0
2014-04-28 18:50:24,0,0,0,0
2014-04-28 18:50:25,0,0,0,0
2014-04-28 18:50:26,0,0,0,0
2014-04-28 18:50:27,0,0,0,0
2014-04-28 18:50:28,0,0,0,0
2014-04-28 18:50:29,0,0,0,0
2014-04-28 18:50:30,0,0,0,0
2014-04-28 18:50:31,0,0,0,0
2014-04-28 18:50:32,0,0,0,0
2014-04-28 18:50:33,0,0,0,0
2014-04-28 18:50:34,0,0,2,2
2014-04-28 18:50:35,0,0,2,2
2014-04-28 18:50:36,0,0,2,2
2014-04-28 18:50:37,0,0,2,2
2014-04-28 18:50:38,0,0,2,2
2014-04-28 18:50:39,0,0,2,2
2014-04-28 18:50:40,0,0,2,2
2014-04-28 18:50:41,0,0,0,2
2014-04-28 18:50:42,0,0,0,2
2014-04-28 18:50:43,0,0,0,2
2014-04-28 18:50:44,0,0,0,2
2014-04-28 18:50:45,0,0,0,2
2014-04-28 18:50:46,0,0,0,2
