time,BD49B35A-8999-4987-9759-8D3F28D1292B,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78
2015-04-29 18:28:36,4,2,1,7
2015-04-29 18:28:37,4,5,2,7
2015-04-29 18:28:38,4,4,3,7
2015-04-29 18:28:39,4,4,3,7
2015-04-29 18:28:40,4,4,3,7
2015-04-29 18:28:41,4,4,3,7
2015-04-29 18:28:42,4,4,3,7
2015-04-29 18:28:43,3,3,3,7
2015-04-29 18:28:44,3,3,3,7
2015-04-29 18:28:45,3,3,3,7
2015-04-29 18:28:46,2,3,3,7
2015-04-29 18:28:47,2,3,3,7
2015-04-29 18:28:48,2,3,3,7
2015-04-29 18:28:49,2,3,3,7
2015-04-29 18:28:50,2,3,3,7
2015-04-29 18:28:51,3,4,3,7
2015-04-29 18:28:52,3,4,1,7
2015-04-29 18:28:53,3,4,1,7
2015-04-29 18:28:54,3,4,1,7
2015-04-29 18:28:55,3,4,3,7
2015-04-29 18:28:56,3,4,3,7
2015-04-29 18:28:57,3,4,3,7
2015-04-29 18:28:58,2,4,3,7
2015-04-29 18:28:59,2,4,3,7
2015-04-29 18:29:00,2,4,1,7
2015-04-29 18:29:01,2,4,1,6
2015-04-29 18:29:02,4,4,1,6
2015-04-29 18:29:03,4,4,1,6
2015-04-29 18:29:04,4,4,1,7
2015-04-29 18:29:05,7,7,3,7
2015-04-29 18:29:06,7,7,3,8
2015-04-29 18:29:07,7,8,1,8
2015-04-29 18:29:08,7,8,1,8
2015-04-29 18:29:09,8,8,3,8
2015-04-29 18:29:10,7,7,1,8
2015-04-29 18:29:11,8,8,1,8
2015-04-29 18:29:12,8,4,1,7
2015-04-29 18:29:13,8,4,1,7
2015-04-29 18:29:14,8,4,1,7
2015-04-29 18:29:15,8,4,1,7
2015-04-29 18:29:16,8,8,1,7
2015-04-29 18:29:17,8,3,1,7
2015-04-29 18:29:18,8,3,1,7
2015-04-29 18:29:19,8,3,1,7
2015-04-29 18:29:20,8,3,1,7
2015-04-29 18:29:21,7,3,1,7
2015-04-29 18:29:22,3,3,1,7
2015-04-29 18:29:23,3,3,1,7
2015-04-29 18:29:24,3,3,1,7
2015-04-29 18:29:25,3,3,1,7
2015-04-29 18:29:26,3,3,1,7
2015-04-29 18:29:27,3,3,3,7
2015-04-29 18:29:28,3,3,4,7
2015-04-29 18:29:29,3,3,4,7
2015-04-29 18:29:30,3,3,3,8
2015-04-29 18:29:31,3,3,3,8
2015-04-29 18:29:32,3,3,1,8
2015-04-29 18:29:33,3,3,1,8
