time,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,BD49B35A-8999-4987-9759-8D3F28D1292B,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD
2015-05-07 18:56:27,1,1,1,1
2015-05-07 18:56:28,1,1,1,1
2015-05-07 18:56:29,3,2,1,1
2015-05-07 18:56:30,3,1,1,1
2015-05-07 18:56:31,3,1,1,3
2015-05-07 18:56:32,3,1,1,3
2015-05-07 18:56:33,3,2,1,3
2015-05-07 18:56:34,3,2,1,3
2015-05-07 18:56:35,1,2,1,8
2015-05-07 18:56:36,1,3,1,3
2015-05-07 18:56:37,1,3,1,8
2015-05-07 18:56:38,1,3,1,8
2015-05-07 18:56:39,1,3,1,8
2015-05-07 18:56:40,1,3,1,3
2015-05-07 18:56:41,1,3,1,3
2015-05-07 18:56:42,1,3,1,3
2015-05-07 18:56:43,1,3,1,3
2015-05-07 18:56:44,1,3,1,4
2015-05-07 18:56:45,1,3,1,2
2015-05-07 18:56:46,2,3,1,2
2015-05-07 18:56:47,2,3,1,2
2015-05-07 18:56:48,2,3,1,2
2015-05-07 18:56:49,2,3,1,5
2015-05-07 18:56:50,1,3,1,5
2015-05-07 18:56:51,1,3,1,5
2015-05-07 18:56:52,1,3,1,5
2015-05-07 18:56:53,1,3,1,5
2015-05-07 18:56:54,2,3,1,5
2015-05-07 18:56:55,1,3,1,5
2015-05-07 18:56:56,3,3,1,5
2015-05-07 18:56:57,3,3,1,8
2015-05-07 18:56:58,3,3,1,8
2015-05-07 18:56:59,4,3,1,8
2015-05-07 18:57:00,3,8,1,8
2015-05-07 18:57:01,4,8,1,8
2015-05-07 18:57:02,3,7,1,8
2015-05-07 18:57:03,3,8,1,8
2015-05-07 18:57:04,4,8,1,8
2015-05-07 18:57:05,3,3,3,8
2015-05-07 18:57:06,3,3,3,8
2015-05-07 18:57:07,3,2,4,7
2015-05-07 18:57:08,3,2,4,7
2015-05-07 18:57:09,3,3,4,6
2015-05-07 18:57:10,3,3,4,4
2015-05-07 18:57:11,3,3,4,4
2015-05-07 18:57:12,3,3,4,4
2015-05-07 18:57:13,3,3,4,4
2015-05-07 18:57:14,1,3,4,3
2015-05-07 18:57:15,1,3,4,3
2015-05-07 18:57:16,1,3,4,3
2015-05-07 18:57:17,1,3,3,3
2015-05-07 18:57:18,1,3,4,1
2015-05-07 18:57:19,1,4,3,3
2015-05-07 18:57:20,1,4,3,3
2015-05-07 18:57:21,1,7,3,3
2015-05-07 18:57:22,1,7,1,3
2015-05-07 18:57:23,1,7,1,3
2015-05-07 18:57:24,1,7,1,3
2015-05-07 18:57:25,3,7,1,8
2015-05-07 18:57:26,3,7,1,4
2015-05-07 18:57:27,3,7,1,3
2015-05-07 18:57:28,3,7,1,8
2015-05-07 18:57:29,3,7,1,8
2015-05-07 18:57:30,7,7,1,8
2015-05-07 18:57:31,8,7,1,8
2015-05-07 18:57:32,8,7,1,8
2015-05-07 18:57:33,3,7,1,8
2015-05-07 18:57:34,3,7,1,8
2015-05-07 18:57:35,3,7,1,8
2015-05-07 18:57:36,3,7,1,8
2015-05-07 18:57:37,3,7,1,8
2015-05-07 18:57:38,1,8,1,8
2015-05-07 18:57:39,1,8,1,8
2015-05-07 18:57:40,1,8,1,8
2015-05-07 18:57:41,1,8,1,8
2015-05-07 18:57:42,3,8,3,8
2015-05-07 18:57:43,3,3,3,8
2015-05-07 18:57:44,3,8,3,8
2015-05-07 18:57:45,3,8,3,8
2015-05-07 18:57:46,3,8,3,8
2015-05-07 18:57:47,8,8,3,8
2015-05-07 18:57:48,8,8,3,8
2015-05-07 18:57:49,8,8,1,8
2015-05-07 18:57:50,8,8,1,8
2015-05-07 18:57:51,8,8,1,8
2015-05-07 18:57:52,8,8,8,8
2015-05-07 18:57:53,8,8,8,8
2015-05-07 18:57:54,8,8,8,8
2015-05-07 18:57:55,8,8,8,8
2015-05-07 18:57:56,8,8,8,8
2015-05-07 18:57:57,8,8,8,8
2015-05-07 18:57:58,8,8,8,8
2015-05-07 18:57:59,8,8,8,8
2015-05-07 18:58:00,8,7,8,8
2015-05-07 18:58:01,8,8,8,8
2015-05-07 18:58:02,4,8,8,8
2015-05-07 18:58:03,4,7,8,7
2015-05-07 18:58:04,4,7,4,2
2015-05-07 18:58:05,4,7,0,2
2015-05-07 18:58:06,0,7,0,2
2015-05-07 18:58:07,0,7,0,2
2015-05-07 18:58:08,0,2,0,2
2015-05-07 18:58:09,0,2,0,2
2015-05-07 18:58:10,0,2,0,2
2015-05-07 18:58:11,0,2,2,2
2015-05-07 18:58:12,0,2,2,2
2015-05-07 18:58:13,0,2,2,2
2015-05-07 18:58:14,0,2,2,2
2015-05-07 18:58:15,0,2,2,2
2015-05-07 18:58:16,0,2,2,2
2015-05-07 18:58:17,0,2,2,3
2015-05-07 18:58:18,0,2,2,3
2015-05-07 18:58:19,2,2,2,3
2015-05-07 18:58:20,2,2,2,2
2015-05-07 18:58:21,2,2,2,2
2015-05-07 18:58:22,2,2,2,2
2015-05-07 18:58:23,2,2,2,2
2015-05-07 18:58:24,2,2,2,2
2015-05-07 18:58:25,2,2,2,2
2015-05-07 18:58:26,2,2,2,2
2015-05-07 18:58:27,2,2,2,2
2015-05-07 18:58:28,2,2,2,2
2015-05-07 18:58:29,2,2,2,2
2015-05-07 18:58:30,3,2,2,2
2015-05-07 18:58:31,3,2,2,2
2015-05-07 18:58:32,3,2,2,2
2015-05-07 18:58:33,3,3,2,2
2015-05-07 18:58:34,3,3,2,2
2015-05-07 18:58:35,3,3,2,2
2015-05-07 18:58:36,2,3,2,2
2015-05-07 18:58:37,3,3,2,3
2015-05-07 18:58:38,3,3,2,3
2015-05-07 18:58:39,3,3,2,3
2015-05-07 18:58:40,3,3,2,1
2015-05-07 18:58:41,3,3,2,1
2015-05-07 18:58:42,3,3,2,2
2015-05-07 18:58:43,2,3,2,2
2015-05-07 18:58:44,3,3,2,2
2015-05-07 18:58:45,2,3,2,1
2015-05-07 18:58:46,3,3,2,1
2015-05-07 18:58:47,3,3,2,1
2015-05-07 18:58:48,3,3,2,5
2015-05-07 18:58:49,3,1,2,3
2015-05-07 18:58:50,3,2,2,5
2015-05-07 18:58:51,3,2,2,5
2015-05-07 18:58:52,3,2,2,5
2015-05-07 18:58:53,3,2,2,5
2015-05-07 18:58:54,1,2,2,8
2015-05-07 18:58:55,3,2,2,8
2015-05-07 18:58:56,1,2,2,8
2015-05-07 18:58:57,3,2,2,8
2015-05-07 18:58:58,3,2,2,5
2015-05-07 18:58:59,3,3,2,3
2015-05-07 18:59:00,3,3,2,3
2015-05-07 18:59:01,3,3,2,3
2015-05-07 18:59:02,3,3,2,3
2015-05-07 18:59:03,3,3,2,3
2015-05-07 18:59:04,3,1,2,3
2015-05-07 18:59:05,3,3,0,2
2015-05-07 18:59:06,3,1,2,2
2015-05-07 18:59:07,3,1,2,2
2015-05-07 18:59:08,3,3,2,2
2015-05-07 18:59:09,3,3,2,2
2015-05-07 18:59:10,4,2,2,2
2015-05-07 18:59:11,8,2,2,2
2015-05-07 18:59:12,8,2,2,2
2015-05-07 18:59:13,8,2,0,2
2015-05-07 18:59:14,8,2,0,2
2015-05-07 18:59:15,8,2,0,2
2015-05-07 18:59:16,3,2,0,2
2015-05-07 18:59:17,3,2,0,2
2015-05-07 18:59:18,2,2,0,2
2015-05-07 18:59:19,2,2,0,2
