time,charles,jonathan,christina
2014-08-11 20:56:35,7,0,0
2014-08-11 20:56:36,7,0,0
2014-08-11 20:56:37,7,0,0
2014-08-11 20:56:38,7,0,0
2014-08-11 20:56:39,7,0,0
2014-08-11 20:56:40,7,0,0
2014-08-11 20:56:41,7,0,0
2014-08-11 20:56:42,7,0,0
2014-08-11 20:56:43,4,0,0
2014-08-11 20:56:44,2,0,0
2014-08-11 20:56:45,0,0,0
2014-08-11 20:56:46,0,0,0
2014-08-11 20:56:47,0,0,0
2014-08-11 20:56:48,0,0,0
2014-08-11 20:56:49,0,0,0
2014-08-11 20:56:50,0,0,0
2014-08-11 20:56:51,0,0,0
2014-08-11 20:56:52,0,0,0
2014-08-11 20:56:53,0,0,0
2014-08-11 20:56:54,0,0,0
2014-08-11 20:56:55,8,0,0
2014-08-11 20:56:56,7,0,0
2014-08-11 20:56:57,7,0,0
2014-08-11 20:56:58,7,0,0
2014-08-11 20:56:59,7,0,0
2014-08-11 20:57:00,7,0,0
2014-08-11 20:57:01,7,0,0
2014-08-11 20:57:02,7,0,0
2014-08-11 20:57:03,7,0,0
2014-08-11 20:57:04,7,0,0
2014-08-11 20:57:05,4,0,0
2014-08-11 20:57:06,4,0,0
2014-08-11 20:57:07,7,0,0
2014-08-11 20:57:08,7,0,0
2014-08-11 20:57:09,7,6,0
2014-08-11 20:57:10,7,8,0
2014-08-11 20:57:11,7,8,0
2014-08-11 20:57:12,7,3,0
2014-08-11 20:57:13,7,3,0
2014-08-11 20:57:14,7,3,4
2014-08-11 20:57:15,7,3,8
2014-08-11 20:57:16,6,3,8
2014-08-11 20:57:17,6,3,8
2014-08-11 20:57:18,6,8,8
2014-08-11 20:57:19,6,4,2
2014-08-11 20:57:20,6,4,0
2014-08-11 20:57:21,6,4,0
2014-08-11 20:57:22,6,6,2
2014-08-11 20:57:23,6,6,2
2014-08-11 20:57:24,6,6,2
2014-08-11 20:57:25,6,6,2
2014-08-11 20:57:26,7,6,2
2014-08-11 20:57:27,6,6,2
2014-08-11 20:57:28,6,6,2
2014-08-11 20:57:29,6,6,2
2014-08-11 20:57:30,7,6,3
2014-08-11 20:57:31,7,6,3
2014-08-11 20:57:32,7,6,3
2014-08-11 20:57:33,6,7,4
2014-08-11 20:57:34,6,7,4
2014-08-11 20:57:35,6,4,2
2014-08-11 20:57:36,7,4,0
2014-08-11 20:57:37,7,0,0
2014-08-11 20:57:38,7,0,0
2014-08-11 20:57:39,6,0,0
2014-08-11 20:57:40,6,0,0
2014-08-11 20:57:41,6,0,0
2014-08-11 20:57:42,6,0,0
2014-08-11 20:57:43,4,0,0
2014-08-11 20:57:44,4,0,0
2014-08-11 20:57:45,4,0,0
2014-08-11 20:57:46,4,0,0
2014-08-11 20:57:47,4,0,0
2014-08-11 20:57:48,4,0,0
2014-08-11 20:57:49,4,0,0
2014-08-11 20:57:50,7,0,0
2014-08-11 20:57:51,7,0,0
2014-08-11 20:57:52,4,0,0
2014-08-11 20:57:53,4,2,0
2014-08-11 20:57:54,4,4,0
2014-08-11 20:57:55,2,4,0
2014-08-11 20:57:56,0,4,0
2014-08-11 20:57:57,0,7,0
2014-08-11 20:57:58,0,7,0
2014-08-11 20:57:59,3,7,0
2014-08-11 20:58:00,3,7,0
2014-08-11 20:58:01,3,7,0
2014-08-11 20:58:02,3,7,0
2014-08-11 20:58:03,3,7,0
2014-08-11 20:58:04,3,7,0
2014-08-11 20:58:05,0,7,0
2014-08-11 20:58:06,0,7,0
