time,charles,christina,jonathan,yvonne
2013-05-04 14:30:57,7,0,2,7
2013-05-04 14:30:58,7,0,2,8
2013-05-04 14:30:59,7,0,2,4
2013-05-04 14:31:00,7,0,2,4
2013-05-04 14:31:01,7,2,2,4
2013-05-04 14:31:02,7,2,2,4
2013-05-04 14:31:03,7,4,2,4
2013-05-04 14:31:04,7,4,2,4
2013-05-04 14:31:05,7,4,2,4
2013-05-04 14:31:06,7,4,2,4
2013-05-04 14:31:07,7,4,0,4
2013-05-04 14:31:08,7,4,0,4
2013-05-04 14:31:09,7,4,0,4
2013-05-04 14:31:10,7,4,2,4
2013-05-04 14:31:11,7,2,2,4
2013-05-04 14:31:12,7,2,2,4
2013-05-04 14:31:13,7,2,2,4
2013-05-04 14:31:14,7,2,2,4
2013-05-04 14:31:15,7,0,2,4
2013-05-04 14:31:16,7,2,2,4
2013-05-04 14:31:17,7,2,0,4
2013-05-04 14:31:18,7,2,0,4
2013-05-04 14:31:19,7,2,0,4
2013-05-04 14:31:20,7,2,0,4
2013-05-04 14:31:21,7,2,0,4
2013-05-04 14:31:22,7,0,0,4
2013-05-04 14:31:23,7,0,0,4
2013-05-04 14:31:24,7,0,0,4
2013-05-04 14:31:25,7,0,0,4
2013-05-04 14:31:26,7,0,0,4
2013-05-04 14:31:27,7,0,0,4
2013-05-04 14:31:28,7,0,0,7
2013-05-04 14:31:29,7,0,0,6
2013-05-04 14:31:30,7,0,0,6
2013-05-04 14:31:31,7,0,0,4
2013-05-04 14:31:32,7,0,0,4
2013-05-04 14:31:33,7,0,0,4
2013-05-04 14:31:34,7,0,0,4
2013-05-04 14:31:35,7,0,0,7
2013-05-04 14:31:36,7,0,0,7
2013-05-04 14:31:37,7,0,0,4
2013-05-04 14:31:38,7,0,0,4
2013-05-04 14:31:39,7,0,0,4
2013-05-04 14:31:40,7,0,0,4
2013-05-04 14:31:41,7,0,0,6
2013-05-04 14:31:42,7,0,0,6
2013-05-04 14:31:43,7,0,0,4
2013-05-04 14:31:44,7,0,0,4
2013-05-04 14:31:45,7,2,0,4
2013-05-04 14:31:46,7,2,0,4
2013-05-04 14:31:47,7,1,0,6
2013-05-04 14:31:48,7,1,0,6
2013-05-04 14:31:49,7,1,0,4
2013-05-04 14:31:50,7,1,0,4
2013-05-04 14:31:51,7,1,0,4
2013-05-04 14:31:52,7,1,0,4
2013-05-04 14:31:53,7,1,0,4
2013-05-04 14:31:54,7,1,0,6
2013-05-04 14:31:55,7,1,0,6
2013-05-04 14:31:56,7,1,0,4
2013-05-04 14:31:57,7,1,0,4
2013-05-04 14:31:58,6,2,0,4
2013-05-04 14:31:59,6,2,0,4
2013-05-04 14:32:00,7,2,0,6
2013-05-04 14:32:01,7,2,0,6
2013-05-04 14:32:02,7,2,0,6
2013-05-04 14:32:03,7,2,0,4
2013-05-04 14:32:04,7,2,0,4
2013-05-04 14:32:05,7,2,0,4
2013-05-04 14:32:06,7,2,0,4
2013-05-04 14:32:07,7,2,0,6
2013-05-04 14:32:08,7,2,0,6
2013-05-04 14:32:09,6,2,0,6
2013-05-04 14:32:10,6,2,0,6
2013-05-04 14:32:11,6,2,0,7
2013-05-04 14:32:12,6,2,0,7
2013-05-04 14:32:13,7,2,0,7
2013-05-04 14:32:14,7,2,0,6
2013-05-04 14:32:15,7,2,0,6
2013-05-04 14:32:16,7,2,0,6
2013-05-04 14:32:17,6,2,0,6
2013-05-04 14:32:18,6,2,0,6
2013-05-04 14:32:19,6,2,0,6
2013-05-04 14:32:20,7,2,0,6
2013-05-04 14:32:21,7,2,0,6
