time,jonathan,charles,yvonne,christina
2014-04-28 16:13:32,0,0,0,0
2014-04-28 16:13:33,0,0,0,0
2014-04-28 16:13:34,0,0,0,0
2014-04-28 16:13:35,0,0,0,0
2014-04-28 16:13:36,0,0,0,0
2014-04-28 16:13:37,0,0,0,0
2014-04-28 16:13:38,0,0,0,0
2014-04-28 16:13:39,0,0,0,0
2014-04-28 16:13:40,0,0,0,0
2014-04-28 16:13:41,0,0,0,0
2014-04-28 16:13:42,0,0,0,0
2014-04-28 16:13:43,0,0,0,0
2014-04-28 16:13:44,0,0,0,0
2014-04-28 16:13:45,0,0,0,0
2014-04-28 16:13:46,0,0,0,0
2014-04-28 16:13:47,0,0,0,0
2014-04-28 16:13:48,0,0,0,0
2014-04-28 16:13:49,0,0,0,0
2014-04-28 16:13:50,0,0,0,0
2014-04-28 16:13:51,0,0,0,0
2014-04-28 16:13:52,0,0,0,0
2014-04-28 16:13:53,0,0,0,0
2014-04-28 16:13:54,0,0,0,0
2014-04-28 16:13:55,0,0,0,0
2014-04-28 16:13:56,0,0,0,0
2014-04-28 16:13:57,0,0,0,0
2014-04-28 16:13:58,0,0,0,0
2014-04-28 16:13:59,0,2,0,0
2014-04-28 16:14:00,0,4,0,0
2014-04-28 16:14:01,0,4,0,0
2014-04-28 16:14:02,0,4,0,0
2014-04-28 16:14:03,2,4,0,0
2014-04-28 16:14:04,3,4,0,0
2014-04-28 16:14:05,3,3,0,0
2014-04-28 16:14:06,1,2,0,0
2014-04-28 16:14:07,1,0,0,0
2014-04-28 16:14:08,1,0,0,0
2014-04-28 16:14:09,3,0,0,0
2014-04-28 16:14:10,3,0,1,0
2014-04-28 16:14:11,2,0,1,0
2014-04-28 16:14:12,0,0,1,0
2014-04-28 16:14:13,0,0,1,2
2014-04-28 16:14:14,0,0,1,2
2014-04-28 16:14:15,0,0,2,2
2014-04-28 16:14:16,0,0,2,7
2014-04-28 16:14:17,0,0,0,7
2014-04-28 16:14:18,0,0,0,8
2014-04-28 16:14:19,0,0,0,8
2014-04-28 16:14:20,0,0,0,8
2014-04-28 16:14:21,0,0,0,7
2014-04-28 16:14:22,0,0,0,7
2014-04-28 16:14:23,0,0,0,7
2014-04-28 16:14:24,0,0,0,7
2014-04-28 16:14:25,0,0,0,7
2014-04-28 16:14:26,0,0,0,7
2014-04-28 16:14:27,0,0,0,7
