time,charles
2013-07-01 17:26:03,7
2013-07-01 17:26:04,7
2013-07-01 17:26:05,7
2013-07-01 17:26:06,7
2013-07-01 17:26:07,7
2013-07-01 17:26:08,7
2013-07-01 17:26:09,7
2013-07-01 17:26:10,7
2013-07-01 17:26:11,7
2013-07-01 17:26:12,7
2013-07-01 17:26:13,7
2013-07-01 17:26:14,7
2013-07-01 17:26:15,7
2013-07-01 17:26:16,7
2013-07-01 17:26:17,7
2013-07-01 17:26:18,7
2013-07-01 17:26:19,7
2013-07-01 17:26:20,7
2013-07-01 17:26:21,7
2013-07-01 17:26:22,7
2013-07-01 17:26:23,7
2013-07-01 17:26:24,7
2013-07-01 17:26:25,7
2013-07-01 17:26:26,7
2013-07-01 17:26:27,7
2013-07-01 17:26:28,7
2013-07-01 17:26:29,7
2013-07-01 17:26:30,7
2013-07-01 17:26:31,7
2013-07-01 17:26:32,7
2013-07-01 17:26:33,7
2013-07-01 17:26:34,7
2013-07-01 17:26:35,7
2013-07-01 17:26:36,7
2013-07-01 17:26:37,7
2013-07-01 17:26:38,7
2013-07-01 17:26:39,7
2013-07-01 17:26:40,7
2013-07-01 17:26:41,7
2013-07-01 17:26:42,8
2013-07-01 17:26:43,7
2013-07-01 17:26:44,7
2013-07-01 17:26:45,7
2013-07-01 17:26:46,7
2013-07-01 17:26:47,8
2013-07-01 17:26:48,8
2013-07-01 17:26:49,8
2013-07-01 17:26:50,8
2013-07-01 17:26:51,8
2013-07-01 17:26:52,8
2013-07-01 17:26:53,8
2013-07-01 17:26:54,8
2013-07-01 17:26:55,8
2013-07-01 17:26:56,8
2013-07-01 17:26:57,8
2013-07-01 17:26:58,8
2013-07-01 17:26:59,8
2013-07-01 17:27:00,8
2013-07-01 17:27:01,8
2013-07-01 17:27:02,8
2013-07-01 17:27:03,8
2013-07-01 17:27:04,8
2013-07-01 17:27:05,3
2013-07-01 17:27:06,8
2013-07-01 17:27:07,8
2013-07-01 17:27:08,8
2013-07-01 17:27:09,7
2013-07-01 17:27:10,8
2013-07-01 17:27:11,8
2013-07-01 17:27:12,8
2013-07-01 17:27:13,7
2013-07-01 17:27:14,6
2013-07-01 17:27:15,0
2013-07-01 17:27:16,0
2013-07-01 17:27:17,0
2013-07-01 17:27:18,0
2013-07-01 17:27:19,7
2013-07-01 17:27:20,7
2013-07-01 17:27:21,7
2013-07-01 17:27:22,7
2013-07-01 17:27:23,7
2013-07-01 17:27:24,8
2013-07-01 17:27:25,8
2013-07-01 17:27:26,8
2013-07-01 17:27:27,8
2013-07-01 17:27:28,8
2013-07-01 17:27:29,8
2013-07-01 17:27:30,8
2013-07-01 17:27:31,8
2013-07-01 17:27:32,8
2013-07-01 17:27:33,8
2013-07-01 17:27:34,8
2013-07-01 17:27:35,8
2013-07-01 17:27:36,8
2013-07-01 17:27:37,8
2013-07-01 17:27:38,8
2013-07-01 17:27:39,8
2013-07-01 17:27:40,8
2013-07-01 17:27:41,8
2013-07-01 17:27:42,8
2013-07-01 17:27:43,8
2013-07-01 17:27:44,8
2013-07-01 17:27:45,8
2013-07-01 17:27:46,8
2013-07-01 17:27:47,8
2013-07-01 17:27:48,8
2013-07-01 17:27:49,8
2013-07-01 17:27:50,8
2013-07-01 17:27:51,8
2013-07-01 17:27:52,8
2013-07-01 17:27:53,8
2013-07-01 17:27:54,8
2013-07-01 17:27:55,8
2013-07-01 17:27:56,8
2013-07-01 17:27:57,8
2013-07-01 17:27:58,8
2013-07-01 17:27:59,8
2013-07-01 17:28:00,8
2013-07-01 17:28:01,8
2013-07-01 17:28:02,8
2013-07-01 17:28:03,8
2013-07-01 17:28:04,8
2013-07-01 17:28:05,8
2013-07-01 17:28:06,8
2013-07-01 17:28:07,8
2013-07-01 17:28:08,8
2013-07-01 17:28:09,8
2013-07-01 17:28:10,8
2013-07-01 17:28:11,8
2013-07-01 17:28:12,8
2013-07-01 17:28:13,8
2013-07-01 17:28:14,8
2013-07-01 17:28:15,8
2013-07-01 17:28:16,8
2013-07-01 17:28:17,8
2013-07-01 17:28:18,8
2013-07-01 17:28:19,8
2013-07-01 17:28:20,8
2013-07-01 17:28:21,8
2013-07-01 17:28:22,8
2013-07-01 17:28:23,8
2013-07-01 17:28:24,8
2013-07-01 17:28:25,8
2013-07-01 17:28:26,8
2013-07-01 17:28:27,7
2013-07-01 17:28:28,7
2013-07-01 17:28:29,7
2013-07-01 17:28:30,2
2013-07-01 17:28:31,0
2013-07-01 17:28:32,0
2013-07-01 17:28:33,0
2013-07-01 17:28:34,0
2013-07-01 17:28:35,0
2013-07-01 17:28:36,0
2013-07-01 17:28:37,0
2013-07-01 17:28:38,0
2013-07-01 17:28:39,2
2013-07-01 17:28:40,2
2013-07-01 17:28:41,2
2013-07-01 17:28:42,2
2013-07-01 17:28:43,2
2013-07-01 17:28:44,2
2013-07-01 17:28:45,2
2013-07-01 17:28:46,2
2013-07-01 17:28:47,2
2013-07-01 17:28:48,2
2013-07-01 17:28:49,2
2013-07-01 17:28:50,2
2013-07-01 17:28:51,2
2013-07-01 17:28:52,2
2013-07-01 17:28:53,2
2013-07-01 17:28:54,2
2013-07-01 17:28:55,2
2013-07-01 17:28:56,2
2013-07-01 17:28:57,2
2013-07-01 17:28:58,2
2013-07-01 17:28:59,2
2013-07-01 17:29:00,2
2013-07-01 17:29:01,2
2013-07-01 17:29:02,2
2013-07-01 17:29:03,2
2013-07-01 17:29:04,2
2013-07-01 17:29:05,2
2013-07-01 17:29:06,2
2013-07-01 17:29:07,2
2013-07-01 17:29:08,2
2013-07-01 17:29:09,2
2013-07-01 17:29:10,2
2013-07-01 17:29:11,0
2013-07-01 17:29:12,0
2013-07-01 17:29:13,0
2013-07-01 17:29:14,0
