time,24C41EC3-7ECC-40DA-B942-7ABE23017E74,BD49B35A-8999-4987-9759-8D3F28D1292B,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78
2015-05-01 18:50:16,2,4,7,7
2015-05-01 18:50:17,4,4,7,7
2015-05-01 18:50:18,4,4,7,7
2015-05-01 18:50:19,4,4,4,7
2015-05-01 18:50:20,4,4,4,7
2015-05-01 18:50:21,4,4,4,7
2015-05-01 18:50:22,4,4,3,8
2015-05-01 18:50:23,4,4,3,8
2015-05-01 18:50:24,4,4,3,7
2015-05-01 18:50:25,4,4,3,7
2015-05-01 18:50:26,4,3,3,7
2015-05-01 18:50:27,3,3,4,7
2015-05-01 18:50:28,3,1,4,7
2015-05-01 18:50:29,3,1,7,4
2015-05-01 18:50:30,1,1,4,4
2015-05-01 18:50:31,1,2,4,4
2015-05-01 18:50:32,1,2,3,4
2015-05-01 18:50:33,1,2,3,4
2015-05-01 18:50:34,1,2,3,7
2015-05-01 18:50:35,1,1,3,6
2015-05-01 18:50:36,1,3,3,6
2015-05-01 18:50:37,1,3,3,6
2015-05-01 18:50:38,1,3,8,4
2015-05-01 18:50:39,1,1,8,2
2015-05-01 18:50:40,1,1,8,2
2015-05-01 18:50:41,1,1,8,2
2015-05-01 18:50:42,3,1,8,2
2015-05-01 18:50:43,3,1,8,2
2015-05-01 18:50:44,4,3,8,2
2015-05-01 18:50:45,4,2,3,2
2015-05-01 18:50:46,7,0,3,2
2015-05-01 18:50:47,7,2,4,2
2015-05-01 18:50:48,7,5,4,2
2015-05-01 18:50:49,7,5,0,2
2015-05-01 18:50:50,7,3,0,2
2015-05-01 18:50:51,7,3,0,2
2015-05-01 18:50:52,7,3,0,2
2015-05-01 18:50:53,7,3,0,2
2015-05-01 18:50:54,6,1,0,8
2015-05-01 18:50:55,6,1,0,8
2015-05-01 18:50:56,6,1,4,7
2015-05-01 18:50:57,6,1,4,7
2015-05-01 18:50:58,6,1,4,7
2015-05-01 18:50:59,6,1,4,7
2015-05-01 18:51:00,6,1,4,7
2015-05-01 18:51:01,6,1,0,7
2015-05-01 18:51:02,7,1,0,1
2015-05-01 18:51:03,7,1,0,1
2015-05-01 18:51:04,7,1,2,1
2015-05-01 18:51:05,7,1,8,1
2015-05-01 18:51:06,7,8,3,1
2015-05-01 18:51:07,7,8,3,1
2015-05-01 18:51:08,7,8,1,8
2015-05-01 18:51:09,7,8,1,8
2015-05-01 18:51:10,7,8,3,8
2015-05-01 18:51:11,7,8,3,8
2015-05-01 18:51:12,7,8,3,8
2015-05-01 18:51:13,7,8,1,8
2015-05-01 18:51:14,7,8,1,8
2015-05-01 18:51:15,7,8,3,8
2015-05-01 18:51:16,7,8,1,8
2015-05-01 18:51:17,7,8,1,8
2015-05-01 18:51:18,7,8,1,8
2015-05-01 18:51:19,7,8,1,1
2015-05-01 18:51:20,7,8,1,1
2015-05-01 18:51:21,7,8,1,1
2015-05-01 18:51:22,7,8,1,1
2015-05-01 18:51:23,7,8,1,1
2015-05-01 18:51:24,7,8,1,1
2015-05-01 18:51:25,4,8,3,8
2015-05-01 18:51:26,3,8,4,8
2015-05-01 18:51:27,3,7,4,8
2015-05-01 18:51:28,1,7,4,8
2015-05-01 18:51:29,1,7,4,8
2015-05-01 18:51:30,1,7,4,8
2015-05-01 18:51:31,1,7,4,8
2015-05-01 18:51:32,1,7,4,1
2015-05-01 18:51:33,1,7,4,1
2015-05-01 18:51:34,2,7,4,1
2015-05-01 18:51:35,1,7,4,1
2015-05-01 18:51:36,1,7,6,1
2015-05-01 18:51:37,1,7,8,1
2015-05-01 18:51:38,1,7,8,1
2015-05-01 18:51:39,1,7,8,1
2015-05-01 18:51:40,1,7,8,1
2015-05-01 18:51:41,1,4,3,1
2015-05-01 18:51:42,1,7,3,1
2015-05-01 18:51:43,1,7,3,1
2015-05-01 18:51:44,1,8,1,1
2015-05-01 18:51:45,1,4,1,1
2015-05-01 18:51:46,1,7,1,1
2015-05-01 18:51:47,8,3,3,1
2015-05-01 18:51:48,8,1,3,1
2015-05-01 18:51:49,8,1,2,1
2015-05-01 18:51:50,8,8,3,1
2015-05-01 18:51:51,8,8,3,8
2015-05-01 18:51:52,8,8,3,8
2015-05-01 18:51:53,8,8,3,8
2015-05-01 18:51:54,8,8,3,8
2015-05-01 18:51:55,8,8,3,8
2015-05-01 18:51:56,8,8,2,8
2015-05-01 18:51:57,8,8,0,8
2015-05-01 18:51:58,8,8,8,8
2015-05-01 18:51:59,8,8,3,8
2015-05-01 18:52:00,8,8,1,1
2015-05-01 18:52:01,8,8,1,1
2015-05-01 18:52:02,8,8,8,1
2015-05-01 18:52:03,1,8,8,1
2015-05-01 18:52:04,1,7,8,1
2015-05-01 18:52:05,1,8,8,1
2015-05-01 18:52:06,1,7,8,1
2015-05-01 18:52:07,1,7,8,1
2015-05-01 18:52:08,1,7,8,1
2015-05-01 18:52:09,1,7,8,3
2015-05-01 18:52:10,1,7,3,3
2015-05-01 18:52:11,1,7,4,4
2015-05-01 18:52:12,1,7,3,4
2015-05-01 18:52:13,1,7,3,4
2015-05-01 18:52:14,1,7,3,4
2015-05-01 18:52:15,1,7,3,4
2015-05-01 18:52:16,1,7,3,4
2015-05-01 18:52:17,1,7,8,3
2015-05-01 18:52:18,1,7,3,3
2015-05-01 18:52:19,3,7,3,3
2015-05-01 18:52:20,8,7,8,3
2015-05-01 18:52:21,8,4,8,3
2015-05-01 18:52:22,8,4,8,3
2015-05-01 18:52:23,8,4,8,4
2015-05-01 18:52:24,8,4,8,4
2015-05-01 18:52:25,8,4,8,4
2015-05-01 18:52:26,4,4,3,4
2015-05-01 18:52:27,4,4,4,4
2015-05-01 18:52:28,4,4,4,3
2015-05-01 18:52:29,4,4,3,3
2015-05-01 18:52:30,3,4,3,3
2015-05-01 18:52:31,3,4,1,2
2015-05-01 18:52:32,4,4,1,2
2015-05-01 18:52:33,3,4,1,2
2015-05-01 18:52:34,3,4,8,2
2015-05-01 18:52:35,4,8,8,2
2015-05-01 18:52:36,4,8,8,3
2015-05-01 18:52:37,4,3,8,4
2015-05-01 18:52:38,3,3,1,4
2015-05-01 18:52:39,0,1,3,7
2015-05-01 18:52:40,2,1,0,7
2015-05-01 18:52:41,2,1,0,7
2015-05-01 18:52:42,1,1,0,7
2015-05-01 18:52:43,1,1,2,7
2015-05-01 18:52:44,1,1,3,8
2015-05-01 18:52:45,1,1,1,8
2015-05-01 18:52:46,1,1,1,8
2015-05-01 18:52:47,1,1,1,8
2015-05-01 18:52:48,3,1,1,8
2015-05-01 18:52:49,3,1,1,8
2015-05-01 18:52:50,3,1,1,1
2015-05-01 18:52:51,3,1,1,1
2015-05-01 18:52:52,8,1,1,1
2015-05-01 18:52:53,8,1,8,1
2015-05-01 18:52:54,8,1,8,1
2015-05-01 18:52:55,8,1,8,1
2015-05-01 18:52:56,8,1,8,1
2015-05-01 18:52:57,8,1,8,8
2015-05-01 18:52:58,8,8,1,8
2015-05-01 18:52:59,8,8,3,8
2015-05-01 18:53:00,7,8,3,8
2015-05-01 18:53:01,7,8,1,8
2015-05-01 18:53:02,7,7,1,8
2015-05-01 18:53:03,7,7,1,1
2015-05-01 18:53:04,7,7,1,1
2015-05-01 18:53:05,3,7,3,1
2015-05-01 18:53:06,3,7,4,1
2015-05-01 18:53:07,3,7,7,1
2015-05-01 18:53:08,4,8,7,1
2015-05-01 18:53:09,4,7,6,2
2015-05-01 18:53:10,7,8,6,2
2015-05-01 18:53:11,7,8,6,3
2015-05-01 18:53:12,7,8,6,3
2015-05-01 18:53:13,6,7,6,3
2015-05-01 18:53:14,6,4,6,3
2015-05-01 18:53:15,6,3,4,3
2015-05-01 18:53:16,6,3,4,2
2015-05-01 18:53:17,6,1,4,1
2015-05-01 18:53:18,6,1,6,2
2015-05-01 18:53:19,6,1,6,2
2015-05-01 18:53:20,6,3,6,2
2015-05-01 18:53:21,6,3,8,1
2015-05-01 18:53:22,8,4,3,2
2015-05-01 18:53:23,8,3,3,2
2015-05-01 18:53:24,8,4,3,2
