time,jonathan,christina,yvonne,charles,00088B8E-D27C-4AE1-8102-5FE318589D3E
2014-04-28 17:36:22,0,0,0,0,0
2014-04-28 17:36:23,0,0,0,0,0
2014-04-28 17:36:24,0,0,2,0,0
2014-04-28 17:36:25,0,0,2,0,0
2014-04-28 17:36:26,0,0,2,0,0
2014-04-28 17:36:27,0,0,2,0,0
2014-04-28 17:36:28,0,0,2,0,0
2014-04-28 17:36:29,0,0,2,0,0
2014-04-28 17:36:30,0,0,2,0,0
2014-04-28 17:36:31,3,0,2,0,0
2014-04-28 17:36:32,3,0,2,2,0
2014-04-28 17:36:33,3,0,2,2,0
2014-04-28 17:36:34,3,0,2,4,0
2014-04-28 17:36:35,3,0,0,4,0
2014-04-28 17:36:36,3,0,2,4,0
2014-04-28 17:36:37,0,0,2,4,0
2014-04-28 17:36:38,0,0,2,4,0
2014-04-28 17:36:39,0,0,2,0,0
2014-04-28 17:36:40,0,0,4,0,0
2014-04-28 17:36:41,0,0,8,0,0
2014-04-28 17:36:42,0,0,5,0,0
2014-04-28 17:36:43,0,0,5,0,0
2014-04-28 17:36:44,0,0,5,0,0
2014-04-28 17:36:45,0,0,7,0,0
2014-04-28 17:36:46,0,0,7,0,0
2014-04-28 17:36:47,0,0,4,0,0
2014-04-28 17:36:48,0,0,4,0,0
2014-04-28 17:36:49,0,0,4,0,0
2014-04-28 17:36:50,0,0,4,0,0
2014-04-28 17:36:51,0,0,4,0,0
2014-04-28 17:36:52,0,0,4,0,0
2014-04-28 17:36:53,0,0,4,0,0
2014-04-28 17:36:54,0,0,4,0,0
2014-04-28 17:36:55,0,0,4,0,0
2014-04-28 17:36:56,0,0,3,0,0
2014-04-28 17:36:57,0,0,1,0,0
2014-04-28 17:36:58,0,0,1,0,0
2014-04-28 17:36:59,0,0,1,0,0
2014-04-28 17:37:00,0,0,1,0,0
2014-04-28 17:37:01,0,0,1,0,0
2014-04-28 17:37:02,0,0,3,0,0
2014-04-28 17:37:03,0,0,3,0,0
2014-04-28 17:37:04,0,0,3,0,0
2014-04-28 17:37:05,0,0,3,0,0
2014-04-28 17:37:06,0,0,3,0,0
2014-04-28 17:37:07,0,0,1,0,0
2014-04-28 17:37:08,0,0,1,0,0
2014-04-28 17:37:09,0,0,1,0,0
2014-04-28 17:37:10,0,0,1,0,0
2014-04-28 17:37:11,2,0,1,0,0
2014-04-28 17:37:12,3,0,1,0,0
2014-04-28 17:37:13,3,0,1,0,0
2014-04-28 17:37:14,3,0,1,0,0
2014-04-28 17:37:15,3,0,3,0,0
2014-04-28 17:37:16,3,0,0,0,0
2014-04-28 17:37:17,3,0,0,0,0
2014-04-28 17:37:18,4,0,0,0,0
2014-04-28 17:37:19,4,0,0,0,0
2014-04-28 17:37:20,4,0,0,0,0
2014-04-28 17:37:21,4,0,0,0,0
2014-04-28 17:37:22,4,0,0,0,0
2014-04-28 17:37:23,4,0,0,0,0
2014-04-28 17:37:24,4,0,0,0,0
2014-04-28 17:37:25,4,0,0,0,0
2014-04-28 17:37:26,0,0,0,0,0
2014-04-28 17:37:27,0,0,0,0,0
2014-04-28 17:37:28,0,0,0,0,0
2014-04-28 17:37:29,0,0,0,0,0
2014-04-28 17:37:30,0,0,0,0,0
2014-04-28 17:37:31,0,0,0,0,0
2014-04-28 17:37:32,0,0,0,0,0
2014-04-28 17:37:33,0,0,0,0,0
2014-04-28 17:37:34,3,0,0,0,0
2014-04-28 17:37:35,3,0,0,0,0
2014-04-28 17:37:36,3,0,0,0,0
2014-04-28 17:37:37,3,0,0,0,0
2014-04-28 17:37:38,3,0,0,0,0
2014-04-28 17:37:39,3,0,0,0,0
2014-04-28 17:37:40,3,0,0,0,0
2014-04-28 17:37:41,3,0,0,0,0
2014-04-28 17:37:42,3,0,0,0,0
2014-04-28 17:37:43,3,0,0,0,0
2014-04-28 17:37:44,3,0,0,0,0
2014-04-28 17:37:45,3,0,0,0,0
2014-04-28 17:37:46,3,0,0,0,0
2014-04-28 17:37:47,3,0,0,0,0
2014-04-28 17:37:48,3,0,2,0,0
2014-04-28 17:37:49,3,0,2,0,0
2014-04-28 17:37:50,0,0,2,0,0
2014-04-28 17:37:51,0,0,2,0,0
2014-04-28 17:37:52,0,0,2,0,0
2014-04-28 17:37:53,0,0,2,0,0
2014-04-28 17:37:54,0,0,2,0,0
2014-04-28 17:37:55,0,0,2,0,0
2014-04-28 17:37:56,0,0,2,0,0
2014-04-28 17:37:57,0,0,2,0,0
2014-04-28 17:37:58,2,0,2,0,0
2014-04-28 17:37:59,3,0,2,0,0
2014-04-28 17:38:00,3,0,2,0,0
2014-04-28 17:38:01,3,0,2,2,0
2014-04-28 17:38:02,3,0,2,3,0
2014-04-28 17:38:03,3,0,2,3,0
2014-04-28 17:38:04,3,0,0,3,0
2014-04-28 17:38:05,3,0,0,3,0
2014-04-28 17:38:06,3,0,0,3,0
2014-04-28 17:38:07,1,0,0,3,0
2014-04-28 17:38:08,1,0,0,3,0
2014-04-28 17:38:09,1,0,0,2,0
2014-04-28 17:38:10,1,0,0,0,0
2014-04-28 17:38:11,1,0,0,0,0
2014-04-28 17:38:12,1,0,0,0,0
2014-04-28 17:38:13,1,0,0,0,0
2014-04-28 17:38:14,1,0,0,0,0
2014-04-28 17:38:15,1,0,0,0,0
2014-04-28 17:38:16,1,0,0,0,0
2014-04-28 17:38:17,1,0,0,3,0
2014-04-28 17:38:18,1,0,0,3,0
2014-04-28 17:38:19,1,0,0,3,0
2014-04-28 17:38:20,2,0,0,3,0
2014-04-28 17:38:21,2,0,0,3,0
2014-04-28 17:38:22,2,0,0,3,0
2014-04-28 17:38:23,2,0,0,2,0
2014-04-28 17:38:24,3,0,0,2,0
2014-04-28 17:38:25,3,0,0,0,0
2014-04-28 17:38:26,3,0,0,0,0
2014-04-28 17:38:27,3,0,0,0,0
2014-04-28 17:38:28,8,0,0,0,0
2014-04-28 17:38:29,0,0,0,0,0
2014-04-28 17:38:30,0,0,0,0,0
2014-04-28 17:38:31,0,0,0,2,0
2014-04-28 17:38:32,0,0,0,3,0
2014-04-28 17:38:33,0,0,0,3,0
2014-04-28 17:38:34,0,0,0,3,0
2014-04-28 17:38:35,0,0,0,3,0
2014-04-28 17:38:36,0,0,0,3,0
2014-04-28 17:38:37,0,0,0,2,0
2014-04-28 17:38:38,0,0,0,0,0
2014-04-28 17:38:39,0,0,0,0,0
2014-04-28 17:38:40,2,0,0,0,0
2014-04-28 17:38:41,8,0,0,0,0
2014-04-28 17:38:42,8,0,0,0,0
2014-04-28 17:38:43,8,0,0,0,0
2014-04-28 17:38:44,8,0,0,0,0
2014-04-28 17:38:45,8,0,0,0,0
2014-04-28 17:38:46,3,0,0,0,0
2014-04-28 17:38:47,3,0,0,0,0
2014-04-28 17:38:48,0,0,0,0,0
2014-04-28 17:38:49,0,0,0,0,0
2014-04-28 17:38:50,0,0,0,0,0
2014-04-28 17:38:51,0,0,0,0,0
2014-04-28 17:38:52,0,0,0,0,0
2014-04-28 17:38:53,0,0,0,0,0
2014-04-28 17:38:54,0,0,0,0,0
2014-04-28 17:38:55,0,0,0,0,0
2014-04-28 17:38:56,0,0,0,0,0
2014-04-28 17:38:57,0,0,0,0,0
2014-04-28 17:38:58,0,0,0,0,0
2014-04-28 17:38:59,0,0,0,0,0
2014-04-28 17:39:00,0,0,0,0,0
2014-04-28 17:39:01,0,0,0,0,0
2014-04-28 17:39:02,0,0,0,0,0
2014-04-28 17:39:03,0,0,0,0,0
2014-04-28 17:39:04,0,0,0,0,0
2014-04-28 17:39:05,0,0,0,0,0
2014-04-28 17:39:06,0,0,0,0,0
2014-04-28 17:39:07,0,0,0,0,0
2014-04-28 17:39:08,0,0,0,0,0
2014-04-28 17:39:09,0,0,0,0,0
2014-04-28 17:39:10,0,0,0,0,0
2014-04-28 17:39:11,0,0,0,0,0
2014-04-28 17:39:12,0,0,0,0,0
2014-04-28 17:39:13,0,0,0,0,0
2014-04-28 17:39:14,0,0,0,0,0
2014-04-28 17:39:15,0,0,0,0,0
2014-04-28 17:39:16,0,0,0,0,0
2014-04-28 17:39:17,0,0,0,0,0
2014-04-28 17:39:18,0,0,0,0,0
2014-04-28 17:39:19,0,0,0,0,0
2014-04-28 17:39:20,0,0,0,0,0
2014-04-28 17:39:21,0,0,0,0,0
2014-04-28 17:39:22,0,0,0,0,0
2014-04-28 17:39:23,0,0,0,0,0
2014-04-28 17:39:24,0,0,0,0,0
2014-04-28 17:39:25,0,0,0,0,0
2014-04-28 17:39:26,0,0,0,0,0
2014-04-28 17:39:27,0,0,0,0,0
2014-04-28 17:39:28,0,0,0,0,0
2014-04-28 17:39:29,0,0,0,0,0
2014-04-28 17:39:30,0,0,0,0,0
2014-04-28 17:39:31,0,0,0,0,0
2014-04-28 17:39:32,0,0,0,0,0
2014-04-28 17:39:33,0,0,0,0,0
2014-04-28 17:39:34,0,0,0,0,0
2014-04-28 17:39:35,0,0,0,0,0
2014-04-28 17:39:36,0,0,0,0,0
2014-04-28 17:39:37,0,0,0,0,0
2014-04-28 17:39:38,0,0,0,0,0
2014-04-28 17:39:39,0,0,0,0,0
2014-04-28 17:39:40,0,0,0,0,0
2014-04-28 17:39:41,0,0,0,0,0
2014-04-28 17:39:42,0,0,0,0,0
2014-04-28 17:39:43,0,0,0,0,0
2014-04-28 17:39:44,0,0,0,0,0
2014-04-28 17:39:45,0,0,0,0,0
2014-04-28 17:39:46,0,0,0,0,0
2014-04-28 17:39:47,0,0,0,0,0
2014-04-28 17:39:48,0,0,0,0,0
2014-04-28 17:39:49,0,0,0,0,0
2014-04-28 17:39:50,0,0,0,0,0
2014-04-28 17:39:51,0,0,0,0,0
2014-04-28 17:39:52,0,0,0,0,0
2014-04-28 17:39:53,0,0,0,0,0
2014-04-28 17:39:54,0,0,0,0,0
2014-04-28 17:39:55,0,0,0,0,0
2014-04-28 17:39:56,0,0,0,0,0
2014-04-28 17:39:57,0,0,0,0,0
2014-04-28 17:39:58,0,0,0,0,0
2014-04-28 17:39:59,0,0,0,0,0
2014-04-28 17:40:00,0,0,0,0,0
2014-04-28 17:40:01,0,0,0,0,0
2014-04-28 17:40:02,0,0,0,0,0
2014-04-28 17:40:03,0,0,0,0,0
2014-04-28 17:40:04,0,0,0,0,0
2014-04-28 17:40:05,0,0,0,0,0
2014-04-28 17:40:06,0,0,0,0,0
2014-04-28 17:40:07,0,0,0,0,0
2014-04-28 17:40:08,0,0,0,0,0
2014-04-28 17:40:09,0,0,0,0,0
2014-04-28 17:40:10,0,0,0,0,0
2014-04-28 17:40:11,0,0,0,0,0
2014-04-28 17:40:12,0,0,0,0,0
2014-04-28 17:40:13,0,2,0,0,0
2014-04-28 17:40:14,0,2,0,0,0
2014-04-28 17:40:15,0,2,0,0,0
2014-04-28 17:40:16,0,2,0,0,0
2014-04-28 17:40:17,0,3,0,0,0
2014-04-28 17:40:18,0,3,0,0,0
2014-04-28 17:40:19,0,4,0,0,0
2014-04-28 17:40:20,0,4,2,0,0
2014-04-28 17:40:21,0,4,2,0,0
2014-04-28 17:40:22,0,4,2,0,0
2014-04-28 17:40:23,0,0,2,0,0
2014-04-28 17:40:24,0,2,1,0,0
2014-04-28 17:40:25,0,2,5,0,0
2014-04-28 17:40:26,0,2,3,0,0
2014-04-28 17:40:27,0,2,4,0,0
2014-04-28 17:40:28,0,2,4,0,0
2014-04-28 17:40:29,0,0,4,0,0
2014-04-28 17:40:30,0,0,4,0,0
2014-04-28 17:40:31,2,0,4,0,0
2014-04-28 17:40:32,2,0,4,0,0
2014-04-28 17:40:33,2,2,4,0,0
2014-04-28 17:40:34,2,2,7,0,0
2014-04-28 17:40:35,2,4,8,0,0
2014-04-28 17:40:36,0,4,7,0,0
2014-04-28 17:40:37,0,4,7,0,0
2014-04-28 17:40:38,0,7,7,0,0
2014-04-28 17:40:39,0,8,7,0,0
2014-04-28 17:40:40,0,7,7,0,0
2014-04-28 17:40:41,8,7,7,0,0
2014-04-28 17:40:42,8,7,4,0,0
2014-04-28 17:40:43,7,7,8,0,0
2014-04-28 17:40:44,7,4,3,0,0
2014-04-28 17:40:45,7,4,3,0,0
2014-04-28 17:40:46,3,4,4,0,0
2014-04-28 17:40:47,3,4,4,0,0
2014-04-28 17:40:48,3,4,8,0,0
2014-04-28 17:40:49,3,4,4,0,0
2014-04-28 17:40:50,3,4,4,0,0
2014-04-28 17:40:51,0,4,4,0,0
2014-04-28 17:40:52,0,4,4,0,0
2014-04-28 17:40:53,3,3,4,0,0
2014-04-28 17:40:54,3,3,4,0,0
2014-04-28 17:40:55,3,2,4,0,0
2014-04-28 17:40:56,3,0,4,0,0
2014-04-28 17:40:57,3,0,0,0,0
2014-04-28 17:40:58,2,2,0,0,0
2014-04-28 17:40:59,0,2,0,0,0
2014-04-28 17:41:00,0,2,0,0,0
2014-04-28 17:41:01,0,2,0,0,0
2014-04-28 17:41:02,0,4,0,0,0
2014-04-28 17:41:03,0,2,0,0,0
2014-04-28 17:41:04,8,3,0,0,0
2014-04-28 17:41:05,6,3,2,0,0
2014-04-28 17:41:06,7,4,4,0,0
2014-04-28 17:41:07,7,4,4,0,0
2014-04-28 17:41:08,7,4,4,0,0
2014-04-28 17:41:09,7,4,3,0,0
2014-04-28 17:41:10,7,4,3,0,0
2014-04-28 17:41:11,7,4,3,0,0
2014-04-28 17:41:12,4,7,3,0,0
2014-04-28 17:41:13,4,8,4,0,0
2014-04-28 17:41:14,4,8,4,0,0
2014-04-28 17:41:15,4,8,4,0,0
2014-04-28 17:41:16,4,8,2,0,0
2014-04-28 17:41:17,8,8,0,0,0
2014-04-28 17:41:18,8,3,0,0,0
2014-04-28 17:41:19,7,3,0,0,0
2014-04-28 17:41:20,7,8,0,0,0
2014-04-28 17:41:21,7,8,0,0,0
2014-04-28 17:41:22,8,8,0,0,0
2014-04-28 17:41:23,8,8,0,0,0
2014-04-28 17:41:24,4,6,0,0,0
2014-04-28 17:41:25,4,3,0,0,0
2014-04-28 17:41:26,4,3,0,0,0
2014-04-28 17:41:27,4,3,0,0,0
2014-04-28 17:41:28,4,3,0,0,0
2014-04-28 17:41:29,4,3,0,0,0
2014-04-28 17:41:30,4,3,0,0,0
2014-04-28 17:41:31,6,3,0,0,0
2014-04-28 17:41:32,6,3,0,0,0
2014-04-28 17:41:33,6,3,0,0,0
2014-04-28 17:41:34,2,3,0,0,0
2014-04-28 17:41:35,2,4,0,0,0
2014-04-28 17:41:36,6,4,0,0,0
2014-04-28 17:41:37,6,4,0,0,0
2014-04-28 17:41:38,6,8,0,0,0
2014-04-28 17:41:39,6,8,0,2,0
2014-04-28 17:41:40,2,6,0,3,0
2014-04-28 17:41:41,2,4,0,3,0
2014-04-28 17:41:42,2,4,0,3,0
2014-04-28 17:41:43,2,4,0,3,0
2014-04-28 17:41:44,2,4,0,3,0
2014-04-28 17:41:45,2,4,0,2,0
2014-04-28 17:41:46,2,4,0,3,0
2014-04-28 17:41:47,2,4,0,4,0
2014-04-28 17:41:48,2,4,0,4,0
2014-04-28 17:41:49,2,4,0,4,0
2014-04-28 17:41:50,5,4,0,4,0
2014-04-28 17:41:51,5,4,0,4,0
2014-04-28 17:41:52,5,4,0,4,0
2014-04-28 17:41:53,5,4,0,3,0
2014-04-28 17:41:54,5,4,0,3,0
2014-04-28 17:41:55,2,4,0,4,0
2014-04-28 17:41:56,2,2,0,4,0
2014-04-28 17:41:57,4,2,0,4,0
2014-04-28 17:41:58,6,0,0,4,0
2014-04-28 17:41:59,6,0,0,4,0
2014-04-28 17:42:00,6,0,0,3,0
2014-04-28 17:42:01,6,0,0,3,0
2014-04-28 17:42:02,4,0,0,4,0
2014-04-28 17:42:03,2,0,0,3,0
2014-04-28 17:42:04,2,0,0,3,2
2014-04-28 17:42:05,2,0,0,3,2
2014-04-28 17:42:06,0,0,0,3,4
2014-04-28 17:42:07,0,2,0,3,4
2014-04-28 17:42:08,0,2,0,4,6
2014-04-28 17:42:09,0,4,0,7,4
2014-04-28 17:42:10,0,4,0,4,4
2014-04-28 17:42:11,0,4,0,4,4
