time,9A5116EA-2793-4C75-AC93-524C9EF550FD,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-06-22 14:57:45,2,3
2015-06-22 14:57:46,3,2
2015-06-22 14:57:47,8,3
2015-06-22 14:57:48,8,3
2015-06-22 14:57:49,3,3
2015-06-22 14:57:50,3,3
2015-06-22 14:57:51,3,4
2015-06-22 14:57:52,3,4
2015-06-22 14:57:53,3,4
2015-06-22 14:57:54,1,7
2015-06-22 14:57:55,1,5
2015-06-22 14:57:56,1,5
2015-06-22 14:57:57,3,7
2015-06-22 14:57:58,3,7
2015-06-22 14:57:59,4,7
2015-06-22 14:58:00,7,7
2015-06-22 14:58:01,7,7
2015-06-22 14:58:02,7,7
2015-06-22 14:58:03,7,7
2015-06-22 14:58:04,7,7
2015-06-22 14:58:05,7,7
2015-06-22 14:58:06,7,5
2015-06-22 14:58:07,4,5
2015-06-22 14:58:08,4,5
2015-06-22 14:58:09,4,7
2015-06-22 14:58:10,4,2
2015-06-22 14:58:11,8,2
2015-06-22 14:58:12,8,2
2015-06-22 14:58:13,8,2
2015-06-22 14:58:14,8,2
2015-06-22 14:58:15,3,2
2015-06-22 14:58:16,3,5
2015-06-22 14:58:17,2,5
2015-06-22 14:58:18,3,6
2015-06-22 14:58:19,3,8
2015-06-22 14:58:20,3,8
2015-06-22 14:58:21,7,4
2015-06-22 14:58:22,7,4
2015-06-22 14:58:23,7,4
2015-06-22 14:58:24,4,6
2015-06-22 14:58:25,2,6
2015-06-22 14:58:26,2,2
2015-06-22 14:58:27,2,2
2015-06-22 14:58:28,2,2
2015-06-22 14:58:29,2,2
2015-06-22 14:58:30,2,0
2015-06-22 14:58:31,2,0
2015-06-22 14:58:32,2,0
2015-06-22 14:58:33,2,0
2015-06-22 14:58:34,2,2
2015-06-22 14:58:35,2,2
2015-06-22 14:58:36,2,2
2015-06-22 14:58:37,2,2
2015-06-22 14:58:38,2,2
2015-06-22 14:58:39,2,0
2015-06-22 14:58:40,2,0
2015-06-22 14:58:41,2,0
2015-06-22 14:58:42,2,0
2015-06-22 14:58:43,0,0
2015-06-22 14:58:44,0,0
2015-06-22 14:58:45,0,0
