time,charles,christina,jonathan
2014-08-14 18:51:32,0,0,0
2014-08-14 18:51:33,0,0,0
2014-08-14 18:51:34,0,0,0
2014-08-14 18:51:35,0,0,0
2014-08-14 18:51:36,0,0,0
2014-08-14 18:51:37,0,0,0
2014-08-14 18:51:38,0,0,0
2014-08-14 18:51:39,0,0,0
2014-08-14 18:51:40,0,0,0
2014-08-14 18:51:41,0,0,0
2014-08-14 18:51:42,0,0,0
2014-08-14 18:51:43,0,0,0
2014-08-14 18:51:44,0,0,0
2014-08-14 18:51:45,0,0,0
2014-08-14 18:51:46,0,0,0
2014-08-14 18:51:47,0,0,0
2014-08-14 18:51:48,0,0,0
2014-08-14 18:51:49,0,0,0
2014-08-14 18:51:50,0,0,0
2014-08-14 18:51:51,0,0,0
2014-08-14 18:51:52,0,0,0
2014-08-14 18:51:53,0,0,0
2014-08-14 18:51:54,0,0,0
2014-08-14 18:51:55,0,0,0
2014-08-14 18:51:56,0,0,0
2014-08-14 18:51:57,0,0,0
2014-08-14 18:51:58,0,0,0
2014-08-14 18:51:59,0,0,0
2014-08-14 18:52:00,0,0,0
2014-08-14 18:52:01,0,0,0
2014-08-14 18:52:02,0,0,0
2014-08-14 18:52:03,0,0,0
2014-08-14 18:52:04,0,0,0
2014-08-14 18:52:05,0,0,0
2014-08-14 18:52:06,0,0,0
2014-08-14 18:52:07,0,0,0
2014-08-14 18:52:08,0,0,0
2014-08-14 18:52:09,0,0,0
2014-08-14 18:52:10,0,0,0
2014-08-14 18:52:11,0,0,0
2014-08-14 18:52:12,0,0,0
2014-08-14 18:52:13,0,0,0
2014-08-14 18:52:14,0,0,0
2014-08-14 18:52:15,0,0,0
2014-08-14 18:52:16,0,0,0
2014-08-14 18:52:17,0,0,0
2014-08-14 18:52:18,0,0,0
2014-08-14 18:52:19,0,0,0
2014-08-14 18:52:20,0,0,0
2014-08-14 18:52:21,0,0,0
2014-08-14 18:52:22,0,0,0
2014-08-14 18:52:23,0,0,0
2014-08-14 18:52:24,0,0,0
2014-08-14 18:52:25,0,0,0
2014-08-14 18:52:26,0,0,0
2014-08-14 18:52:27,0,0,0
2014-08-14 18:52:28,0,0,0
2014-08-14 18:52:29,0,0,0
2014-08-14 18:52:30,0,0,0
2014-08-14 18:52:31,0,0,0
2014-08-14 18:52:32,0,0,0
2014-08-14 18:52:33,0,0,0
2014-08-14 18:52:34,0,0,0
2014-08-14 18:52:35,0,0,0
2014-08-14 18:52:36,0,0,0
2014-08-14 18:52:37,0,0,0
2014-08-14 18:52:38,0,0,0
2014-08-14 18:52:39,0,0,0
2014-08-14 18:52:40,0,0,0
2014-08-14 18:52:41,0,0,0
2014-08-14 18:52:42,0,0,0
2014-08-14 18:52:43,0,0,0
2014-08-14 18:52:44,0,0,0
2014-08-14 18:52:45,0,0,0
2014-08-14 18:52:46,0,0,0
2014-08-14 18:52:47,0,0,0
2014-08-14 18:52:48,0,0,0
2014-08-14 18:52:49,0,0,0
