time,charles,jonathan,christina,yvonne,00088B8E-D27C-4AE1-8102-5FE318589D3E
2014-04-28 18:31:27,2,0,2,4,0
2014-04-28 18:31:28,2,0,3,4,0
2014-04-28 18:31:29,2,0,4,4,0
2014-04-28 18:31:30,2,0,4,4,0
2014-04-28 18:31:31,2,0,4,3,0
2014-04-28 18:31:32,0,0,4,3,0
2014-04-28 18:31:33,0,0,4,3,0
2014-04-28 18:31:34,0,0,4,2,0
2014-04-28 18:31:35,0,0,3,2,0
2014-04-28 18:31:36,0,0,2,2,0
2014-04-28 18:31:37,0,0,2,2,0
2014-04-28 18:31:38,0,0,2,2,0
2014-04-28 18:31:39,2,0,2,2,2
2014-04-28 18:31:40,2,0,2,2,2
2014-04-28 18:31:41,3,0,2,3,2
2014-04-28 18:31:42,3,0,2,3,2
2014-04-28 18:31:43,3,0,3,3,2
2014-04-28 18:31:44,2,0,3,3,2
2014-04-28 18:31:45,2,0,4,3,2
2014-04-28 18:31:46,0,0,4,2,2
2014-04-28 18:31:47,0,0,4,2,2
2014-04-28 18:31:48,2,0,4,3,8
2014-04-28 18:31:49,2,0,4,3,3
2014-04-28 18:31:50,2,0,3,4,4
2014-04-28 18:31:51,2,0,0,4,4
2014-04-28 18:31:52,2,0,0,4,4
2014-04-28 18:31:53,2,0,0,2,4
2014-04-28 18:31:54,0,0,0,3,4
2014-04-28 18:31:55,0,0,0,4,4
2014-04-28 18:31:56,2,0,0,4,4
2014-04-28 18:31:57,2,0,0,4,4
2014-04-28 18:31:58,2,0,0,4,4
2014-04-28 18:31:59,2,0,0,4,4
2014-04-28 18:32:00,2,0,0,4,4
2014-04-28 18:32:01,2,0,0,2,4
2014-04-28 18:32:02,2,0,0,3,4
2014-04-28 18:32:03,2,0,0,3,4
2014-04-28 18:32:04,2,0,0,2,4
2014-04-28 18:32:05,2,0,0,2,2
2014-04-28 18:32:06,2,0,0,2,2
2014-04-28 18:32:07,2,0,0,4,2
2014-04-28 18:32:08,2,0,0,4,3
2014-04-28 18:32:09,2,0,0,4,2
2014-04-28 18:32:10,2,0,0,4,3
2014-04-28 18:32:11,2,0,0,4,3
2014-04-28 18:32:12,2,0,0,4,1
2014-04-28 18:32:13,2,0,0,4,1
2014-04-28 18:32:14,2,0,0,4,3
2014-04-28 18:32:15,3,0,0,4,3
2014-04-28 18:32:16,3,0,0,7,8
2014-04-28 18:32:17,3,0,0,3,8
2014-04-28 18:32:18,3,0,0,3,4
2014-04-28 18:32:19,4,0,0,3,3
2014-04-28 18:32:20,4,0,0,3,3
2014-04-28 18:32:21,4,0,2,3,3
2014-04-28 18:32:22,4,0,2,3,3
2014-04-28 18:32:23,4,0,2,3,3
2014-04-28 18:32:24,4,0,2,3,3
2014-04-28 18:32:25,3,0,2,3,3
2014-04-28 18:32:26,4,0,2,3,3
2014-04-28 18:32:27,4,0,4,3,3
2014-04-28 18:32:28,4,0,4,4,3
2014-04-28 18:32:29,4,0,3,4,3
2014-04-28 18:32:30,4,0,3,4,3
2014-04-28 18:32:31,4,0,3,4,3
2014-04-28 18:32:32,4,0,3,4,1
2014-04-28 18:32:33,3,0,3,4,2
2014-04-28 18:32:34,3,0,0,4,0
2014-04-28 18:32:35,3,0,0,2,6
2014-04-28 18:32:36,3,0,0,2,2
2014-04-28 18:32:37,3,0,0,2,2
2014-04-28 18:32:38,7,0,0,3,2
2014-04-28 18:32:39,8,0,0,1,2
2014-04-28 18:32:40,8,0,0,1,2
2014-04-28 18:32:41,3,0,0,2,0
2014-04-28 18:32:42,3,0,0,2,0
2014-04-28 18:32:43,3,0,0,2,0
2014-04-28 18:32:44,3,0,0,0,2
2014-04-28 18:32:45,4,0,0,0,2
2014-04-28 18:32:46,4,0,0,0,2
2014-04-28 18:32:47,3,0,0,0,2
2014-04-28 18:32:48,4,0,0,0,2
2014-04-28 18:32:49,3,0,0,0,2
2014-04-28 18:32:50,0,0,0,0,2
2014-04-28 18:32:51,0,0,0,0,2
2014-04-28 18:32:52,0,0,0,0,2
2014-04-28 18:32:53,0,0,0,0,2
2014-04-28 18:32:54,0,0,0,0,2
2014-04-28 18:32:55,0,0,0,0,2
2014-04-28 18:32:56,0,0,0,0,2
2014-04-28 18:32:57,0,0,0,0,1
2014-04-28 18:32:58,3,0,0,0,1
2014-04-28 18:32:59,4,0,0,0,1
2014-04-28 18:33:00,4,0,0,0,1
2014-04-28 18:33:01,4,0,0,0,1
2014-04-28 18:33:02,4,0,0,0,2
2014-04-28 18:33:03,4,0,0,0,2
2014-04-28 18:33:04,4,0,0,0,2
2014-04-28 18:33:05,4,0,0,0,2
2014-04-28 18:33:06,0,0,0,0,2
2014-04-28 18:33:07,0,0,0,0,2
2014-04-28 18:33:08,3,0,0,0,2
2014-04-28 18:33:09,3,0,0,0,2
2014-04-28 18:33:10,4,0,0,0,1
2014-04-28 18:33:11,4,0,0,0,2
2014-04-28 18:33:12,4,0,0,0,2
2014-04-28 18:33:13,2,0,0,0,3
2014-04-28 18:33:14,2,0,0,0,1
2014-04-28 18:33:15,0,0,0,0,2
2014-04-28 18:33:16,0,0,0,0,2
2014-04-28 18:33:17,0,0,0,0,2
2014-04-28 18:33:18,0,0,0,0,2
2014-04-28 18:33:19,0,0,0,0,2
2014-04-28 18:33:20,0,0,0,0,2
2014-04-28 18:33:21,0,0,0,0,1
2014-04-28 18:33:22,2,0,0,0,1
2014-04-28 18:33:23,6,0,0,0,1
2014-04-28 18:33:24,5,0,0,2,1
2014-04-28 18:33:25,7,0,0,2,1
2014-04-28 18:33:26,7,0,0,2,2
2014-04-28 18:33:27,7,0,0,2,2
2014-04-28 18:33:28,4,0,0,2,2
2014-04-28 18:33:29,4,0,0,2,2
2014-04-28 18:33:30,4,0,0,2,2
2014-04-28 18:33:31,4,0,0,2,2
2014-04-28 18:33:32,3,0,0,2,2
2014-04-28 18:33:33,3,0,0,2,2
2014-04-28 18:33:34,2,0,0,5,2
