time,0E98DD2F-94C2-45EE-BEC5-18718CA36D8B,jonathan
2014-03-13 15:33:06,7,0
2014-03-13 15:33:07,7,0
2014-03-13 15:33:08,7,0
2014-03-13 15:33:09,7,0
2014-03-13 15:33:10,7,0
2014-03-13 15:33:11,7,0
2014-03-13 15:33:12,7,0
2014-03-13 15:33:13,7,0
2014-03-13 15:33:14,7,0
2014-03-13 15:33:15,7,0
2014-03-13 15:33:16,7,0
2014-03-13 15:33:17,7,0
2014-03-13 15:33:18,7,0
2014-03-13 15:33:19,7,0
2014-03-13 15:33:20,7,0
2014-03-13 15:33:21,7,0
2014-03-13 15:33:22,7,0
2014-03-13 15:33:23,7,0
2014-03-13 15:33:24,7,0
2014-03-13 15:33:25,7,0
2014-03-13 15:33:26,7,0
2014-03-13 15:33:27,7,0
2014-03-13 15:33:28,7,0
2014-03-13 15:33:29,7,0
2014-03-13 15:33:30,7,0
2014-03-13 15:33:31,7,2
2014-03-13 15:33:32,7,2
2014-03-13 15:33:33,7,2
2014-03-13 15:33:34,7,2
2014-03-13 15:33:35,7,2
2014-03-13 15:33:36,7,2
2014-03-13 15:33:37,7,2
2014-03-13 15:33:38,7,2
2014-03-13 15:33:39,7,2
2014-03-13 15:33:40,7,0
2014-03-13 15:33:41,7,0
2014-03-13 15:33:42,7,0
2014-03-13 15:33:43,7,0
2014-03-13 15:33:44,7,0
2014-03-13 15:33:45,7,0
2014-03-13 15:33:46,7,0
2014-03-13 15:33:47,7,0
2014-03-13 15:33:48,7,0
2014-03-13 15:33:49,7,0
2014-03-13 15:33:50,7,0
2014-03-13 15:33:51,7,0
2014-03-13 15:33:52,7,0
2014-03-13 15:33:53,4,0
2014-03-13 15:33:54,4,0
2014-03-13 15:33:55,2,0
2014-03-13 15:33:56,2,0
2014-03-13 15:33:57,0,0
2014-03-13 15:33:58,0,0
2014-03-13 15:33:59,0,0
2014-03-13 15:34:00,0,0
2014-03-13 15:34:01,0,0
2014-03-13 15:34:02,0,0
2014-03-13 15:34:03,0,0
2014-03-13 15:34:04,0,0
2014-03-13 15:34:05,0,0
2014-03-13 15:34:06,0,0
2014-03-13 15:34:07,2,0
2014-03-13 15:34:08,2,0
2014-03-13 15:34:09,2,0
2014-03-13 15:34:10,2,0
2014-03-13 15:34:11,2,0
2014-03-13 15:34:12,2,0
2014-03-13 15:34:13,2,0
2014-03-13 15:34:14,2,0
2014-03-13 15:34:15,2,0
2014-03-13 15:34:16,2,0
2014-03-13 15:34:17,2,0
2014-03-13 15:34:18,2,0
2014-03-13 15:34:19,2,0
2014-03-13 15:34:20,2,0
2014-03-13 15:34:21,2,0
2014-03-13 15:34:22,2,0
2014-03-13 15:34:23,2,0
2014-03-13 15:34:24,2,0
2014-03-13 15:34:25,2,0
2014-03-13 15:34:26,2,0
2014-03-13 15:34:27,2,0
2014-03-13 15:34:28,2,0
2014-03-13 15:34:29,1,0
2014-03-13 15:34:30,1,0
2014-03-13 15:34:31,1,0
2014-03-13 15:34:32,1,0
2014-03-13 15:34:33,1,0
2014-03-13 15:34:34,2,0
2014-03-13 15:34:35,2,0
2014-03-13 15:34:36,1,0
2014-03-13 15:34:37,1,0
2014-03-13 15:34:38,1,0
2014-03-13 15:34:39,1,0
2014-03-13 15:34:40,1,0
2014-03-13 15:34:41,2,0
2014-03-13 15:34:42,2,0
2014-03-13 15:34:43,0,0
2014-03-13 15:34:44,2,0
2014-03-13 15:34:45,1,0
2014-03-13 15:34:46,3,0
2014-03-13 15:34:47,3,0
2014-03-13 15:34:48,3,0
2014-03-13 15:34:49,3,4
2014-03-13 15:34:50,3,4
2014-03-13 15:34:51,5,4
2014-03-13 15:34:52,5,4
2014-03-13 15:34:53,5,4
2014-03-13 15:34:54,5,4
2014-03-13 15:34:55,5,0
2014-03-13 15:34:56,1,0
2014-03-13 15:34:57,1,0
2014-03-13 15:34:58,2,0
2014-03-13 15:34:59,2,0
2014-03-13 15:35:00,2,0
2014-03-13 15:35:01,2,0
2014-03-13 15:35:02,6,0
2014-03-13 15:35:03,0,0
2014-03-13 15:35:04,0,0
2014-03-13 15:35:05,0,0
2014-03-13 15:35:06,0,0
2014-03-13 15:35:07,0,0
2014-03-13 15:35:08,0,0
2014-03-13 15:35:09,0,0
2014-03-13 15:35:10,0,0
2014-03-13 15:35:11,0,0
2014-03-13 15:35:12,0,0
2014-03-13 15:35:13,0,0
2014-03-13 15:35:14,0,0
2014-03-13 15:35:15,0,0
2014-03-13 15:35:16,0,0
2014-03-13 15:35:17,0,0
2014-03-13 15:35:18,0,0
2014-03-13 15:35:19,0,0
2014-03-13 15:35:20,0,0
2014-03-13 15:35:21,0,0
2014-03-13 15:35:22,0,0
2014-03-13 15:35:23,0,0
2014-03-13 15:35:24,0,0
2014-03-13 15:35:25,0,0
2014-03-13 15:35:26,0,0
2014-03-13 15:35:27,0,0
2014-03-13 15:35:28,0,0
2014-03-13 15:35:29,0,0
2014-03-13 15:35:30,0,0
2014-03-13 15:35:31,0,0
2014-03-13 15:35:32,0,0
2014-03-13 15:35:33,0,0
2014-03-13 15:35:34,0,0
2014-03-13 15:35:35,0,0
2014-03-13 15:35:36,0,0
2014-03-13 15:35:37,0,0
2014-03-13 15:35:38,0,0
2014-03-13 15:35:39,0,0
2014-03-13 15:35:40,0,0
2014-03-13 15:35:41,0,0
2014-03-13 15:35:42,0,0
2014-03-13 15:35:43,0,0
2014-03-13 15:35:44,0,0
2014-03-13 15:35:45,0,0
2014-03-13 15:35:46,0,0
2014-03-13 15:35:47,0,0
2014-03-13 15:35:48,0,0
2014-03-13 15:35:49,0,0
2014-03-13 15:35:50,0,0
2014-03-13 15:35:51,0,0
2014-03-13 15:35:52,0,0
2014-03-13 15:35:53,0,0
2014-03-13 15:35:54,0,0
2014-03-13 15:35:55,0,0
2014-03-13 15:35:56,0,0
2014-03-13 15:35:57,0,0
2014-03-13 15:35:58,0,0
2014-03-13 15:35:59,0,0
