time,jonathan,charles,christina,yvonne
2013-08-03 17:34:04,0,0,0,2
2013-08-03 17:34:05,0,0,0,2
2013-08-03 17:34:06,0,0,0,2
2013-08-03 17:34:07,0,0,0,2
2013-08-03 17:34:08,0,0,0,2
2013-08-03 17:34:09,0,0,0,2
2013-08-03 17:34:10,0,0,0,2
2013-08-03 17:34:11,0,0,0,2
2013-08-03 17:34:12,0,0,0,2
2013-08-03 17:34:13,0,0,0,0
2013-08-03 17:34:14,0,0,0,0
2013-08-03 17:34:15,0,0,0,0
2013-08-03 17:34:16,2,0,0,0
2013-08-03 17:34:17,2,0,0,0
2013-08-03 17:34:18,2,0,0,0
2013-08-03 17:34:19,2,0,0,0
2013-08-03 17:34:20,2,0,0,0
2013-08-03 17:34:21,2,0,0,0
2013-08-03 17:34:22,2,0,0,0
2013-08-03 17:34:23,0,0,0,0
2013-08-03 17:34:24,0,0,0,0
2013-08-03 17:34:25,0,0,0,0
2013-08-03 17:34:26,0,0,0,0
2013-08-03 17:34:27,0,0,0,0
2013-08-03 17:34:28,0,0,0,0
2013-08-03 17:34:29,0,0,0,0
2013-08-03 17:34:30,0,0,0,0
2013-08-03 17:34:31,0,0,0,0
2013-08-03 17:34:32,0,0,0,0
2013-08-03 17:34:33,0,0,0,0
2013-08-03 17:34:34,0,0,0,0
2013-08-03 17:34:35,0,0,0,0
2013-08-03 17:34:36,0,0,0,0
2013-08-03 17:34:37,0,0,0,0
2013-08-03 17:34:38,0,0,0,0
2013-08-03 17:34:39,0,0,0,0
2013-08-03 17:34:40,0,0,0,0
2013-08-03 17:34:41,0,0,2,0
2013-08-03 17:34:42,0,4,2,0
2013-08-03 17:34:43,0,4,2,0
2013-08-03 17:34:44,0,7,2,0
2013-08-03 17:34:45,0,7,2,0
2013-08-03 17:34:46,0,7,1,0
2013-08-03 17:34:47,0,7,1,0
2013-08-03 17:34:48,0,7,1,0
2013-08-03 17:34:49,0,7,1,0
2013-08-03 17:34:50,0,7,1,0
2013-08-03 17:34:51,0,7,1,0
2013-08-03 17:34:52,0,7,2,0
2013-08-03 17:34:53,0,7,2,0
2013-08-03 17:34:54,0,7,2,0
2013-08-03 17:34:55,0,7,2,0
2013-08-03 17:34:56,0,7,2,0
2013-08-03 17:34:57,0,7,2,0
2013-08-03 17:34:58,0,7,2,0
2013-08-03 17:34:59,0,7,1,0
2013-08-03 17:35:00,0,7,1,0
2013-08-03 17:35:01,0,7,2,0
2013-08-03 17:35:02,0,8,1,0
2013-08-03 17:35:03,0,8,2,0
2013-08-03 17:35:04,0,8,2,0
2013-08-03 17:35:05,0,2,2,0
2013-08-03 17:35:06,0,2,2,0
2013-08-03 17:35:07,0,2,2,0
2013-08-03 17:35:08,0,0,2,0
2013-08-03 17:35:09,0,0,1,0
2013-08-03 17:35:10,0,0,1,0
2013-08-03 17:35:11,0,0,2,0
2013-08-03 17:35:12,0,0,2,0
2013-08-03 17:35:13,0,0,2,0
2013-08-03 17:35:14,0,0,2,0
2013-08-03 17:35:15,0,0,2,0
2013-08-03 17:35:16,0,0,1,0
2013-08-03 17:35:17,0,0,1,0
2013-08-03 17:35:18,0,0,1,0
2013-08-03 17:35:19,0,0,1,0
2013-08-03 17:35:20,0,0,1,0
2013-08-03 17:35:21,0,0,1,0
2013-08-03 17:35:22,0,0,2,0
2013-08-03 17:35:23,0,0,0,0
2013-08-03 17:35:24,0,0,0,0
2013-08-03 17:35:25,0,0,0,0
2013-08-03 17:35:26,0,0,0,0
2013-08-03 17:35:27,0,0,0,0
2013-08-03 17:35:28,0,0,0,0
2013-08-03 17:35:29,0,0,0,0
2013-08-03 17:35:30,0,0,0,0
2013-08-03 17:35:31,2,0,0,0
2013-08-03 17:35:32,2,0,0,0
2013-08-03 17:35:33,2,0,0,0
2013-08-03 17:35:34,2,0,0,0
2013-08-03 17:35:35,2,0,0,0
2013-08-03 17:35:36,0,0,0,0
2013-08-03 17:35:37,0,0,0,0
2013-08-03 17:35:38,0,0,0,0
2013-08-03 17:35:39,0,0,0,0
2013-08-03 17:35:40,0,0,0,0
2013-08-03 17:35:41,0,0,0,0
2013-08-03 17:35:42,0,0,0,0
2013-08-03 17:35:43,0,0,0,0
2013-08-03 17:35:44,0,0,0,0
2013-08-03 17:35:45,0,0,0,0
2013-08-03 17:35:46,0,2,0,0
2013-08-03 17:35:47,0,2,0,0
2013-08-03 17:35:48,0,2,0,0
2013-08-03 17:35:49,0,2,0,0
2013-08-03 17:35:50,0,2,0,0
2013-08-03 17:35:51,0,0,0,0
2013-08-03 17:35:52,0,0,0,0
2013-08-03 17:35:53,0,0,0,0
2013-08-03 17:35:54,0,0,0,0
2013-08-03 17:35:55,0,0,0,0
2013-08-03 17:35:56,0,0,0,0
