time,yvonne,christina,jonathan,charles
2014-04-28 18:06:21,4,4,2,0
2014-04-28 18:06:22,4,4,2,0
2014-04-28 18:06:23,4,8,2,0
2014-04-28 18:06:24,4,8,2,0
2014-04-28 18:06:25,4,8,2,0
2014-04-28 18:06:26,4,8,2,0
2014-04-28 18:06:27,0,8,2,0
2014-04-28 18:06:28,0,8,2,0
2014-04-28 18:06:29,2,8,2,0
2014-04-28 18:06:30,2,4,2,0
2014-04-28 18:06:31,2,4,2,0
2014-04-28 18:06:32,2,4,2,0
2014-04-28 18:06:33,2,2,2,0
2014-04-28 18:06:34,2,2,2,0
2014-04-28 18:06:35,2,2,2,0
2014-04-28 18:06:36,2,2,2,0
2014-04-28 18:06:37,2,8,3,0
2014-04-28 18:06:38,2,8,3,0
2014-04-28 18:06:39,0,2,3,0
2014-04-28 18:06:40,0,2,3,0
2014-04-28 18:06:41,2,2,4,0
2014-04-28 18:06:42,2,0,4,0
2014-04-28 18:06:43,2,0,4,0
2014-04-28 18:06:44,2,0,4,0
2014-04-28 18:06:45,2,2,3,0
2014-04-28 18:06:46,0,2,3,0
2014-04-28 18:06:47,2,2,3,0
2014-04-28 18:06:48,2,2,2,0
2014-04-28 18:06:49,2,2,2,0
2014-04-28 18:06:50,2,2,2,0
2014-04-28 18:06:51,2,3,3,0
2014-04-28 18:06:52,2,3,2,0
2014-04-28 18:06:53,4,3,3,0
2014-04-28 18:06:54,4,3,2,0
2014-04-28 18:06:55,4,3,3,0
2014-04-28 18:06:56,3,2,2,0
2014-04-28 18:06:57,3,8,2,0
2014-04-28 18:06:58,3,3,2,0
2014-04-28 18:06:59,3,3,2,0
2014-04-28 18:07:00,2,3,2,0
2014-04-28 18:07:01,4,8,2,0
2014-04-28 18:07:02,4,8,2,0
2014-04-28 18:07:03,2,8,2,0
2014-04-28 18:07:04,2,8,2,0
2014-04-28 18:07:05,2,8,2,0
2014-04-28 18:07:06,0,8,2,0
2014-04-28 18:07:07,0,2,2,0
2014-04-28 18:07:08,2,2,2,0
2014-04-28 18:07:09,2,2,2,0
2014-04-28 18:07:10,2,0,2,0
2014-04-28 18:07:11,2,0,3,0
2014-04-28 18:07:12,3,0,3,0
2014-04-28 18:07:13,3,0,3,0
2014-04-28 18:07:14,4,0,3,0
2014-04-28 18:07:15,4,0,3,0
2014-04-28 18:07:16,4,0,3,0
2014-04-28 18:07:17,4,0,3,0
2014-04-28 18:07:18,4,0,3,0
2014-04-28 18:07:19,4,0,2,0
2014-04-28 18:07:20,4,0,2,0
2014-04-28 18:07:21,4,0,2,0
2014-04-28 18:07:22,4,0,2,0
2014-04-28 18:07:23,4,0,2,0
2014-04-28 18:07:24,8,0,1,6
2014-04-28 18:07:25,2,0,2,6
2014-04-28 18:07:26,2,0,2,6
2014-04-28 18:07:27,3,0,2,6
2014-04-28 18:07:28,3,0,2,6
2014-04-28 18:07:29,2,0,2,0
2014-04-28 18:07:30,2,0,2,0
2014-04-28 18:07:31,2,0,2,0
2014-04-28 18:07:32,0,0,2,0
2014-04-28 18:07:33,0,0,2,0
2014-04-28 18:07:34,0,0,4,0
2014-04-28 18:07:35,0,0,4,2
2014-04-28 18:07:36,0,0,4,4
2014-04-28 18:07:37,0,0,3,4
2014-04-28 18:07:38,0,0,3,4
2014-04-28 18:07:39,0,0,4,4
2014-04-28 18:07:40,0,0,3,4
2014-04-28 18:07:41,0,0,3,2
2014-04-28 18:07:42,0,0,3,1
2014-04-28 18:07:43,0,0,3,1
2014-04-28 18:07:44,0,0,3,1
2014-04-28 18:07:45,0,0,3,3
2014-04-28 18:07:46,0,2,2,2
2014-04-28 18:07:47,0,2,2,0
2014-04-28 18:07:48,0,2,2,0
2014-04-28 18:07:49,0,2,2,0
2014-04-28 18:07:50,0,2,3,0
2014-04-28 18:07:51,0,2,3,0
2014-04-28 18:07:52,0,2,2,0
2014-04-28 18:07:53,0,2,2,0
2014-04-28 18:07:54,0,2,4,2
2014-04-28 18:07:55,0,2,2,2
2014-04-28 18:07:56,0,2,2,2
2014-04-28 18:07:57,0,2,2,2
2014-04-28 18:07:58,0,2,2,2
2014-04-28 18:07:59,0,2,2,3
2014-04-28 18:08:00,0,2,0,3
2014-04-28 18:08:01,0,2,2,3
2014-04-28 18:08:02,0,2,2,3
2014-04-28 18:08:03,0,0,2,3
2014-04-28 18:08:04,0,2,2,3
