time,christina,jonathan,charles
2014-03-08 11:51:01,7,7,7
2014-03-08 11:51:02,7,7,7
2014-03-08 11:51:03,7,7,7
2014-03-08 11:51:04,7,7,7
2014-03-08 11:51:05,7,7,7
2014-03-08 11:51:06,8,7,7
2014-03-08 11:51:07,6,7,7
2014-03-08 11:51:08,2,7,7
2014-03-08 11:51:09,2,7,7
2014-03-08 11:51:10,2,7,7
2014-03-08 11:51:11,2,7,7
2014-03-08 11:51:12,2,7,7
2014-03-08 11:51:13,2,7,7
2014-03-08 11:51:14,2,7,7
2014-03-08 11:51:15,2,7,7
2014-03-08 11:51:16,2,7,7
2014-03-08 11:51:17,2,7,7
2014-03-08 11:51:18,2,7,7
2014-03-08 11:51:19,2,7,7
2014-03-08 11:51:20,2,7,7
2014-03-08 11:51:21,2,7,7
2014-03-08 11:51:22,2,7,7
2014-03-08 11:51:23,2,7,7
2014-03-08 11:51:24,2,7,7
2014-03-08 11:51:25,2,7,7
2014-03-08 11:51:26,2,7,7
2014-03-08 11:51:27,2,7,7
2014-03-08 11:51:28,2,7,7
2014-03-08 11:51:29,2,7,7
2014-03-08 11:51:30,2,7,6
2014-03-08 11:51:31,2,7,6
2014-03-08 11:51:32,2,7,6
2014-03-08 11:51:33,2,7,6
2014-03-08 11:51:34,2,7,6
2014-03-08 11:51:35,2,7,6
2014-03-08 11:51:36,2,7,6
2014-03-08 11:51:37,2,7,6
2014-03-08 11:51:38,2,7,6
2014-03-08 11:51:39,2,7,6
2014-03-08 11:51:40,2,7,6
2014-03-08 11:51:41,2,7,6
2014-03-08 11:51:42,2,7,6
2014-03-08 11:51:43,2,7,6
2014-03-08 11:51:44,2,8,6
2014-03-08 11:51:45,2,8,6
2014-03-08 11:51:46,2,8,7
2014-03-08 11:51:47,2,2,7
2014-03-08 11:51:48,2,2,7
2014-03-08 11:51:49,2,2,7
2014-03-08 11:51:50,2,2,6
2014-03-08 11:51:51,2,2,6
2014-03-08 11:51:52,2,2,6
2014-03-08 11:51:53,2,2,6
2014-03-08 11:51:54,2,2,6
2014-03-08 11:51:55,2,2,6
2014-03-08 11:51:56,2,2,6
2014-03-08 11:51:57,2,2,6
2014-03-08 11:51:58,2,2,6
2014-03-08 11:51:59,2,2,6
2014-03-08 11:52:00,2,2,6
2014-03-08 11:52:01,2,2,6
2014-03-08 11:52:02,2,2,6
2014-03-08 11:52:03,2,2,6
2014-03-08 11:52:04,2,2,6
2014-03-08 11:52:05,2,2,6
2014-03-08 11:52:06,2,2,6
2014-03-08 11:52:07,2,2,6
2014-03-08 11:52:08,2,2,6
2014-03-08 11:52:09,2,2,6
2014-03-08 11:52:10,2,2,6
2014-03-08 11:52:11,2,2,6
2014-03-08 11:52:12,2,2,6
2014-03-08 11:52:13,2,2,6
2014-03-08 11:52:14,2,2,6
2014-03-08 11:52:15,2,2,6
2014-03-08 11:52:16,2,2,6
2014-03-08 11:52:17,2,2,6
2014-03-08 11:52:18,2,2,6
2014-03-08 11:52:19,2,2,6
2014-03-08 11:52:20,2,2,6
2014-03-08 11:52:21,2,2,6
2014-03-08 11:52:22,2,2,6
2014-03-08 11:52:23,2,2,4
2014-03-08 11:52:24,2,2,4
2014-03-08 11:52:25,2,2,4
