time,christina,yvonne,jonathan,charles
2014-04-28 19:22:51,8,2,2,4
2014-04-28 19:22:52,2,2,2,3
2014-04-28 19:22:53,2,2,2,4
2014-04-28 19:22:54,3,2,2,4
2014-04-28 19:22:55,3,2,2,3
2014-04-28 19:22:56,3,2,2,3
2014-04-28 19:22:57,3,2,2,3
2014-04-28 19:22:58,3,2,2,3
2014-04-28 19:22:59,2,2,2,2
2014-04-28 19:23:00,2,4,2,2
2014-04-28 19:23:01,2,4,2,2
2014-04-28 19:23:02,2,4,2,3
2014-04-28 19:23:03,0,4,2,3
2014-04-28 19:23:04,0,4,1,1
2014-04-28 19:23:05,0,4,1,1
2014-04-28 19:23:06,0,4,2,1
2014-04-28 19:23:07,0,4,2,1
2014-04-28 19:23:08,0,4,2,1
2014-04-28 19:23:09,0,4,0,1
2014-04-28 19:23:10,0,4,0,1
2014-04-28 19:23:11,0,4,0,3
2014-04-28 19:23:12,2,4,0,2
2014-04-28 19:23:13,2,4,0,2
2014-04-28 19:23:14,2,4,0,2
2014-04-28 19:23:15,8,4,0,2
2014-04-28 19:23:16,2,8,0,2
2014-04-28 19:23:17,2,4,0,2
2014-04-28 19:23:18,2,0,0,2
2014-04-28 19:23:19,2,0,0,2
2014-04-28 19:23:20,8,0,0,2
2014-04-28 19:23:21,2,0,0,2
2014-04-28 19:23:22,2,0,0,2
2014-04-28 19:23:23,2,0,0,2
2014-04-28 19:23:24,2,0,0,2
2014-04-28 19:23:25,0,0,0,2
2014-04-28 19:23:26,0,0,0,2
2014-04-28 19:23:27,0,0,0,2
2014-04-28 19:23:28,0,0,0,2
2014-04-28 19:23:29,0,0,0,2
2014-04-28 19:23:30,0,0,0,2
2014-04-28 19:23:31,0,0,0,2
2014-04-28 19:23:32,0,0,0,2
2014-04-28 19:23:33,0,0,0,2
2014-04-28 19:23:34,0,0,0,2
2014-04-28 19:23:35,0,0,0,2
2014-04-28 19:23:36,0,0,0,2
2014-04-28 19:23:37,0,0,0,2
2014-04-28 19:23:38,0,0,0,2
2014-04-28 19:23:39,0,0,0,2
2014-04-28 19:23:40,0,0,0,2
2014-04-28 19:23:41,0,0,0,2
2014-04-28 19:23:42,0,0,0,2
2014-04-28 19:23:43,0,0,0,2
2014-04-28 19:23:44,0,0,0,2
2014-04-28 19:23:45,0,0,0,2
2014-04-28 19:23:46,0,0,0,3
2014-04-28 19:23:47,0,0,0,3
2014-04-28 19:23:48,0,0,0,3
2014-04-28 19:23:49,0,0,0,4
2014-04-28 19:23:50,0,0,0,4
2014-04-28 19:23:51,0,0,0,3
2014-04-28 19:23:52,0,0,0,2
2014-04-28 19:23:53,0,0,0,2
2014-04-28 19:23:54,0,0,0,2
2014-04-28 19:23:55,0,0,0,0
2014-04-28 19:23:56,0,0,0,0
2014-04-28 19:23:57,0,0,0,0
2014-04-28 19:23:58,0,0,0,2
2014-04-28 19:23:59,0,0,0,2
2014-04-28 19:24:00,0,0,0,2
2014-04-28 19:24:01,0,0,0,2
2014-04-28 19:24:02,0,0,0,2
2014-04-28 19:24:03,0,0,0,2
2014-04-28 19:24:04,0,0,0,2
2014-04-28 19:24:05,0,0,0,2
2014-04-28 19:24:06,0,0,0,2
2014-04-28 19:24:07,0,0,0,2
2014-04-28 19:24:08,0,0,0,2
2014-04-28 19:24:09,0,0,0,2
2014-04-28 19:24:10,0,0,0,2
2014-04-28 19:24:11,0,0,0,2
2014-04-28 19:24:12,0,0,0,2
2014-04-28 19:24:13,0,0,0,2
2014-04-28 19:24:14,0,0,0,2
2014-04-28 19:24:15,0,0,0,2
2014-04-28 19:24:16,0,0,0,2
2014-04-28 19:24:17,0,0,0,2
2014-04-28 19:24:18,0,2,0,2
2014-04-28 19:24:19,0,4,0,2
2014-04-28 19:24:20,0,4,0,0
2014-04-28 19:24:21,0,4,0,0
2014-04-28 19:24:22,0,4,0,0
2014-04-28 19:24:23,0,4,0,0
2014-04-28 19:24:24,0,3,0,0
2014-04-28 19:24:25,0,3,0,0
2014-04-28 19:24:26,0,3,0,0
2014-04-28 19:24:27,0,3,0,0
2014-04-28 19:24:28,0,3,0,0
2014-04-28 19:24:29,0,8,0,0
2014-04-28 19:24:30,0,0,0,0
2014-04-28 19:24:31,0,0,0,0
2014-04-28 19:24:32,0,0,0,0
2014-04-28 19:24:33,0,0,0,0
2014-04-28 19:24:34,0,0,0,0
2014-04-28 19:24:35,3,0,0,0
2014-04-28 19:24:36,4,0,0,0
2014-04-28 19:24:37,4,0,0,0
2014-04-28 19:24:38,4,0,0,0
2014-04-28 19:24:39,4,0,0,0
2014-04-28 19:24:40,3,0,0,0
2014-04-28 19:24:41,0,0,0,0
2014-04-28 19:24:42,0,0,0,0
2014-04-28 19:24:43,0,0,0,0
2014-04-28 19:24:44,2,0,0,0
2014-04-28 19:24:45,2,0,0,0
2014-04-28 19:24:46,2,0,0,0
2014-04-28 19:24:47,2,0,0,0
2014-04-28 19:24:48,2,0,0,0
