time,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-06-03 12:06:50,2,2
2015-06-03 12:06:51,2,2
2015-06-03 12:06:52,2,2
2015-06-03 12:06:53,2,2
2015-06-03 12:06:54,0,2
2015-06-03 12:06:55,0,2
2015-06-03 12:06:56,0,2
2015-06-03 12:06:57,0,2
2015-06-03 12:06:58,0,0
2015-06-03 12:06:59,0,0
2015-06-03 12:07:00,6,0
2015-06-03 12:07:01,6,0
2015-06-03 12:07:02,6,0
2015-06-03 12:07:03,6,0
2015-06-03 12:07:04,2,0
2015-06-03 12:07:05,2,0
2015-06-03 12:07:06,2,0
2015-06-03 12:07:07,2,0
2015-06-03 12:07:08,2,0
2015-06-03 12:07:09,0,0
2015-06-03 12:07:10,0,0
2015-06-03 12:07:11,0,0
2015-06-03 12:07:12,0,0
2015-06-03 12:07:13,0,0
2015-06-03 12:07:14,0,0
2015-06-03 12:07:15,0,0
2015-06-03 12:07:16,0,0
2015-06-03 12:07:17,0,0
2015-06-03 12:07:18,0,0
2015-06-03 12:07:19,0,0
2015-06-03 12:07:20,0,0
2015-06-03 12:07:21,0,0
2015-06-03 12:07:22,0,0
2015-06-03 12:07:23,0,0
2015-06-03 12:07:24,0,0
2015-06-03 12:07:25,0,0
2015-06-03 12:07:26,0,0
2015-06-03 12:07:27,0,0
2015-06-03 12:07:28,0,0
2015-06-03 12:07:29,0,0
2015-06-03 12:07:30,0,0
2015-06-03 12:07:31,0,0
2015-06-03 12:07:32,0,0
2015-06-03 12:07:33,0,0
2015-06-03 12:07:34,0,0
2015-06-03 12:07:35,0,0
2015-06-03 12:07:36,0,0
2015-06-03 12:07:37,0,0
2015-06-03 12:07:38,2,0
2015-06-03 12:07:39,2,0
2015-06-03 12:07:40,2,0
2015-06-03 12:07:41,2,2
2015-06-03 12:07:42,1,2
2015-06-03 12:07:43,2,2
2015-06-03 12:07:44,1,2
2015-06-03 12:07:45,1,2
2015-06-03 12:07:46,1,2
2015-06-03 12:07:47,1,2
2015-06-03 12:07:48,1,0
2015-06-03 12:07:49,1,0
2015-06-03 12:07:50,3,0
2015-06-03 12:07:51,8,0
2015-06-03 12:07:52,7,0
2015-06-03 12:07:53,7,0
2015-06-03 12:07:54,7,0
2015-06-03 12:07:55,7,0
2015-06-03 12:07:56,0,0
2015-06-03 12:07:57,0,2
2015-06-03 12:07:58,0,2
2015-06-03 12:07:59,0,2
2015-06-03 12:08:00,0,2
2015-06-03 12:08:01,0,2
2015-06-03 12:08:02,0,2
2015-06-03 12:08:03,0,2
2015-06-03 12:08:04,0,3
2015-06-03 12:08:05,0,3
2015-06-03 12:08:06,0,0
