time,jonathan,christina,yvonne
2014-07-19 14:42:56,2,6,1
2014-07-19 14:42:57,2,6,1
2014-07-19 14:42:58,2,6,1
2014-07-19 14:42:59,2,6,1
2014-07-19 14:43:00,2,6,1
2014-07-19 14:43:01,2,6,1
2014-07-19 14:43:02,2,6,1
2014-07-19 14:43:03,2,6,1
2014-07-19 14:43:04,2,6,1
2014-07-19 14:43:05,2,6,1
2014-07-19 14:43:06,2,7,1
2014-07-19 14:43:07,2,7,1
2014-07-19 14:43:08,2,4,1
2014-07-19 14:43:09,2,4,1
2014-07-19 14:43:10,2,4,1
2014-07-19 14:43:11,2,4,1
2014-07-19 14:43:12,2,4,1
2014-07-19 14:43:13,2,4,1
2014-07-19 14:43:14,2,4,1
2014-07-19 14:43:15,2,4,1
2014-07-19 14:43:16,2,4,1
2014-07-19 14:43:17,2,4,1
2014-07-19 14:43:18,2,4,1
2014-07-19 14:43:19,2,4,1
2014-07-19 14:43:20,2,4,1
2014-07-19 14:43:21,2,4,1
2014-07-19 14:43:22,2,4,1
2014-07-19 14:43:23,2,4,1
2014-07-19 14:43:24,2,4,1
2014-07-19 14:43:25,2,4,1
2014-07-19 14:43:26,2,4,1
2014-07-19 14:43:27,2,7,1
2014-07-19 14:43:28,2,7,1
2014-07-19 14:43:29,2,7,1
2014-07-19 14:43:30,2,3,1
2014-07-19 14:43:31,2,3,1
2014-07-19 14:43:32,2,3,1
2014-07-19 14:43:33,2,1,1
2014-07-19 14:43:34,2,1,1
2014-07-19 14:43:35,0,1,1
2014-07-19 14:43:36,0,1,1
2014-07-19 14:43:37,0,1,1
2014-07-19 14:43:38,0,1,1
2014-07-19 14:43:39,0,1,1
2014-07-19 14:43:40,0,1,1
2014-07-19 14:43:41,0,1,1
2014-07-19 14:43:42,0,1,1
2014-07-19 14:43:43,0,1,1
2014-07-19 14:43:44,0,1,1
2014-07-19 14:43:45,0,1,1
2014-07-19 14:43:46,0,1,1
2014-07-19 14:43:47,0,1,1
2014-07-19 14:43:48,0,2,1
2014-07-19 14:43:49,2,2,1
2014-07-19 14:43:50,2,2,1
2014-07-19 14:43:51,2,2,1
2014-07-19 14:43:52,2,2,1
2014-07-19 14:43:53,2,0,1
2014-07-19 14:43:54,6,0,1
2014-07-19 14:43:55,7,2,1
2014-07-19 14:43:56,7,2,1
2014-07-19 14:43:57,7,3,1
2014-07-19 14:43:58,6,3,1
2014-07-19 14:43:59,7,1,1
2014-07-19 14:44:00,4,1,1
2014-07-19 14:44:01,4,1,2
2014-07-19 14:44:02,4,1,2
2014-07-19 14:44:03,2,1,2
2014-07-19 14:44:04,2,1,2
2014-07-19 14:44:05,2,1,2
2014-07-19 14:44:06,2,3,2
2014-07-19 14:44:07,2,0,2
2014-07-19 14:44:08,2,2,2
2014-07-19 14:44:09,2,2,2
2014-07-19 14:44:10,2,1,2
2014-07-19 14:44:11,1,3,2
2014-07-19 14:44:12,1,3,2
2014-07-19 14:44:13,1,3,2
2014-07-19 14:44:14,1,3,2
2014-07-19 14:44:15,1,3,2
2014-07-19 14:44:16,1,1,2
2014-07-19 14:44:17,1,1,2
2014-07-19 14:44:18,1,1,2
2014-07-19 14:44:19,1,1,1
2014-07-19 14:44:20,3,1,1
2014-07-19 14:44:21,1,1,1
2014-07-19 14:44:22,1,1,1
2014-07-19 14:44:23,1,1,1
2014-07-19 14:44:24,1,1,1
2014-07-19 14:44:25,1,0,2
2014-07-19 14:44:26,1,0,2
2014-07-19 14:44:27,3,0,2
2014-07-19 14:44:28,3,0,2
2014-07-19 14:44:29,1,0,2
2014-07-19 14:44:30,3,0,2
2014-07-19 14:44:31,1,0,0
2014-07-19 14:44:32,1,2,0
2014-07-19 14:44:33,2,2,0
2014-07-19 14:44:34,2,2,0
2014-07-19 14:44:35,2,2,0
2014-07-19 14:44:36,2,2,0
2014-07-19 14:44:37,2,2,0
2014-07-19 14:44:38,2,2,0
2014-07-19 14:44:39,2,2,0
2014-07-19 14:44:40,2,2,0
2014-07-19 14:44:41,2,2,0
2014-07-19 14:44:42,2,2,0
2014-07-19 14:44:43,2,2,0
2014-07-19 14:44:44,2,2,0
2014-07-19 14:44:45,2,2,0
2014-07-19 14:44:46,2,2,2
2014-07-19 14:44:47,2,2,2
2014-07-19 14:44:48,2,2,2
2014-07-19 14:44:49,2,2,2
2014-07-19 14:44:50,2,2,2
2014-07-19 14:44:51,2,2,2
2014-07-19 14:44:52,2,2,2
2014-07-19 14:44:53,2,2,2
2014-07-19 14:44:54,2,2,2
2014-07-19 14:44:55,2,2,2
2014-07-19 14:44:56,1,2,2
2014-07-19 14:44:57,1,2,2
2014-07-19 14:44:58,1,2,2
2014-07-19 14:44:59,1,2,2
2014-07-19 14:45:00,1,2,2
2014-07-19 14:45:01,0,2,2
2014-07-19 14:45:02,0,2,2
2014-07-19 14:45:03,0,2,2
2014-07-19 14:45:04,0,2,2
2014-07-19 14:45:05,0,2,2
2014-07-19 14:45:06,0,0,2
2014-07-19 14:45:07,0,0,2
2014-07-19 14:45:08,0,0,2
2014-07-19 14:45:09,0,0,1
2014-07-19 14:45:10,0,0,1
2014-07-19 14:45:11,0,0,1
2014-07-19 14:45:12,0,0,0
2014-07-19 14:45:13,0,0,0
2014-07-19 14:45:14,0,0,0
2014-07-19 14:45:15,0,0,0
2014-07-19 14:45:16,0,0,0
2014-07-19 14:45:17,0,0,0
2014-07-19 14:45:18,0,0,0
2014-07-19 14:45:19,0,0,0
2014-07-19 14:45:20,0,0,0
2014-07-19 14:45:21,0,0,0
2014-07-19 14:45:22,0,0,0
2014-07-19 14:45:23,0,0,0
2014-07-19 14:45:24,0,0,0
2014-07-19 14:45:25,0,0,0
2014-07-19 14:45:26,0,0,0
2014-07-19 14:45:27,0,0,3
2014-07-19 14:45:28,0,0,8
2014-07-19 14:45:29,0,0,8
2014-07-19 14:45:30,0,0,3
2014-07-19 14:45:31,0,0,0
