time,jonathan,yvonne,charles,christina
2014-04-29 15:20:56,4,0,0,0
2014-04-29 15:20:57,4,0,0,0
2014-04-29 15:20:58,4,0,0,0
2014-04-29 15:20:59,4,0,0,0
2014-04-29 15:21:00,3,0,0,0
2014-04-29 15:21:01,0,0,0,0
2014-04-29 15:21:02,0,0,0,0
2014-04-29 15:21:03,0,0,0,0
2014-04-29 15:21:04,0,0,0,0
2014-04-29 15:21:05,0,0,0,0
2014-04-29 15:21:06,0,0,0,0
2014-04-29 15:21:07,0,0,0,0
2014-04-29 15:21:08,0,0,0,0
2014-04-29 15:21:09,0,0,0,0
2014-04-29 15:21:10,2,0,0,0
2014-04-29 15:21:11,2,0,0,0
2014-04-29 15:21:12,2,0,0,0
2014-04-29 15:21:13,2,0,0,0
2014-04-29 15:21:14,2,0,0,0
2014-04-29 15:21:15,2,0,0,0
2014-04-29 15:21:16,2,0,0,0
2014-04-29 15:21:17,2,0,0,0
2014-04-29 15:21:18,2,0,0,0
2014-04-29 15:21:19,2,0,0,0
2014-04-29 15:21:20,2,0,0,0
2014-04-29 15:21:21,2,0,0,0
2014-04-29 15:21:22,2,0,0,0
2014-04-29 15:21:23,2,0,0,0
2014-04-29 15:21:24,2,0,0,0
2014-04-29 15:21:25,2,0,0,0
2014-04-29 15:21:26,2,0,0,0
2014-04-29 15:21:27,0,0,0,0
2014-04-29 15:21:28,0,0,0,0
2014-04-29 15:21:29,2,0,0,0
2014-04-29 15:21:30,2,0,0,0
2014-04-29 15:21:31,2,0,0,0
2014-04-29 15:21:32,2,0,0,0
2014-04-29 15:21:33,2,0,0,0
2014-04-29 15:21:34,2,0,0,0
2014-04-29 15:21:35,2,0,0,0
2014-04-29 15:21:36,2,0,0,0
2014-04-29 15:21:37,2,0,0,0
2014-04-29 15:21:38,2,0,0,0
2014-04-29 15:21:39,2,4,0,0
2014-04-29 15:21:40,0,4,0,0
2014-04-29 15:21:41,2,4,0,0
2014-04-29 15:21:42,2,4,0,0
2014-04-29 15:21:43,7,4,0,0
2014-04-29 15:21:44,5,4,0,0
2014-04-29 15:21:45,5,2,0,0
2014-04-29 15:21:46,6,2,0,0
2014-04-29 15:21:47,8,2,0,0
2014-04-29 15:21:48,3,3,0,0
2014-04-29 15:21:49,3,3,0,0
2014-04-29 15:21:50,1,3,0,0
2014-04-29 15:21:51,1,4,0,0
2014-04-29 15:21:52,1,4,0,0
2014-04-29 15:21:53,1,4,0,0
2014-04-29 15:21:54,3,4,0,0
2014-04-29 15:21:55,5,4,0,0
2014-04-29 15:21:56,5,2,0,0
2014-04-29 15:21:57,0,0,0,0
2014-04-29 15:21:58,0,0,0,0
2014-04-29 15:21:59,0,4,0,0
2014-04-29 15:22:00,0,4,0,0
2014-04-29 15:22:01,0,4,0,0
2014-04-29 15:22:02,0,4,0,0
2014-04-29 15:22:03,0,4,0,0
2014-04-29 15:22:04,0,4,0,0
2014-04-29 15:22:05,0,2,0,0
2014-04-29 15:22:06,0,4,0,0
2014-04-29 15:22:07,0,2,0,0
2014-04-29 15:22:08,0,2,0,0
