time,charles,charles_ipadair,yvonne
2014-05-05 20:28:11,3,0,0
2014-05-05 20:28:12,3,0,2
2014-05-05 20:28:13,3,0,2
2014-05-05 20:28:14,4,0,2
2014-05-05 20:28:15,4,0,4
2014-05-05 20:28:16,4,0,4
2014-05-05 20:28:17,4,0,2
2014-05-05 20:28:18,4,0,2
2014-05-05 20:28:19,2,0,4
2014-05-05 20:28:20,0,0,4
2014-05-05 20:28:21,0,0,4
2014-05-05 20:28:22,0,0,4
2014-05-05 20:28:23,0,0,3
2014-05-05 20:28:24,0,0,4
2014-05-05 20:28:25,2,0,2
2014-05-05 20:28:26,2,0,2
2014-05-05 20:28:27,3,0,2
2014-05-05 20:28:28,3,0,2
2014-05-05 20:28:29,3,0,2
2014-05-05 20:28:30,3,0,2
2014-05-05 20:28:31,3,0,2
2014-05-05 20:28:32,3,0,2
2014-05-05 20:28:33,3,0,2
2014-05-05 20:28:34,3,0,2
2014-05-05 20:28:35,4,0,2
2014-05-05 20:28:36,2,0,2
2014-05-05 20:28:37,2,0,2
2014-05-05 20:28:38,2,0,2
2014-05-05 20:28:39,2,0,4
2014-05-05 20:28:40,2,0,3
2014-05-05 20:28:41,2,0,3
2014-05-05 20:28:42,2,0,3
2014-05-05 20:28:43,4,0,3
2014-05-05 20:28:44,4,0,3
2014-05-05 20:28:45,4,0,3
2014-05-05 20:28:46,4,0,3
2014-05-05 20:28:47,4,0,3
2014-05-05 20:28:48,3,1,3
2014-05-05 20:28:49,3,1,1
2014-05-05 20:28:50,3,1,3
2014-05-05 20:28:51,3,1,3
2014-05-05 20:28:52,3,1,3
2014-05-05 20:28:53,3,1,4
2014-05-05 20:28:54,3,1,0
2014-05-05 20:28:55,3,1,2
2014-05-05 20:28:56,1,1,2
2014-05-05 20:28:57,1,1,2
2014-05-05 20:28:58,1,1,2
2014-05-05 20:28:59,1,1,2
2014-05-05 20:29:00,1,1,2
2014-05-05 20:29:01,3,3,2
2014-05-05 20:29:02,4,3,0
2014-05-05 20:29:03,3,7,1
2014-05-05 20:29:04,3,7,2
2014-05-05 20:29:05,3,6,2
2014-05-05 20:29:06,2,4,4
2014-05-05 20:29:07,2,4,4
2014-05-05 20:29:08,2,4,3
2014-05-05 20:29:09,2,3,3
2014-05-05 20:29:10,2,0,3
2014-05-05 20:29:11,2,0,3
2014-05-05 20:29:12,2,0,3
2014-05-05 20:29:13,2,0,3
2014-05-05 20:29:14,0,0,2
2014-05-05 20:29:15,0,0,3
2014-05-05 20:29:16,0,0,3
2014-05-05 20:29:17,0,0,2
2014-05-05 20:29:18,0,0,2
2014-05-05 20:29:19,2,0,2
2014-05-05 20:29:20,4,0,0
2014-05-05 20:29:21,4,0,0
2014-05-05 20:29:22,4,0,0
2014-05-05 20:29:23,4,0,0
2014-05-05 20:29:24,4,0,0
2014-05-05 20:29:25,3,0,0
2014-05-05 20:29:26,0,0,0
2014-05-05 20:29:27,0,0,0
2014-05-05 20:29:28,0,0,0
2014-05-05 20:29:29,0,0,0
2014-05-05 20:29:30,0,0,0
2014-05-05 20:29:31,0,0,0
2014-05-05 20:29:32,0,0,0
2014-05-05 20:29:33,0,0,0
2014-05-05 20:29:34,4,0,0
2014-05-05 20:29:35,4,0,0
2014-05-05 20:29:36,4,0,2
2014-05-05 20:29:37,4,0,2
2014-05-05 20:29:38,4,0,2
2014-05-05 20:29:39,4,0,2
2014-05-05 20:29:40,4,4,2
2014-05-05 20:29:41,4,4,2
2014-05-05 20:29:42,3,3,2
2014-05-05 20:29:43,2,3,2
2014-05-05 20:29:44,0,3,2
2014-05-05 20:29:45,0,3,2
2014-05-05 20:29:46,0,0,2
2014-05-05 20:29:47,0,0,2
2014-05-05 20:29:48,0,0,2
2014-05-05 20:29:49,0,0,0
2014-05-05 20:29:50,0,0,0
2014-05-05 20:29:51,0,0,0
2014-05-05 20:29:52,0,0,0
2014-05-05 20:29:53,0,0,0
2014-05-05 20:29:54,0,0,0
2014-05-05 20:29:55,0,0,0
2014-05-05 20:29:56,0,0,0
2014-05-05 20:29:57,0,0,0
2014-05-05 20:29:58,0,0,0
2014-05-05 20:29:59,0,0,0
2014-05-05 20:30:00,0,0,0
2014-05-05 20:30:01,0,0,0
2014-05-05 20:30:02,0,0,0
2014-05-05 20:30:03,0,0,0
2014-05-05 20:30:04,0,0,0
2014-05-05 20:30:05,0,0,0
2014-05-05 20:30:06,0,0,0
2014-05-05 20:30:07,0,0,0
2014-05-05 20:30:08,0,0,0
2014-05-05 20:30:09,0,0,0
2014-05-05 20:30:10,2,0,0
2014-05-05 20:30:11,0,0,0
2014-05-05 20:30:12,0,0,0
2014-05-05 20:30:13,0,0,0
2014-05-05 20:30:14,0,0,0
2014-05-05 20:30:15,0,0,0
2014-05-05 20:30:16,0,0,0
2014-05-05 20:30:17,0,0,0
2014-05-05 20:30:18,0,0,0
2014-05-05 20:30:19,0,0,2
2014-05-05 20:30:20,0,0,2
2014-05-05 20:30:21,0,0,0
2014-05-05 20:30:22,0,0,0
