time,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-05-01 18:39:19,3,2,4,3
2015-05-01 18:39:20,2,3,4,1
2015-05-01 18:39:21,3,4,4,3
2015-05-01 18:39:22,3,4,4,3
2015-05-01 18:39:23,3,4,4,3
2015-05-01 18:39:24,3,4,3,3
2015-05-01 18:39:25,3,4,4,3
2015-05-01 18:39:26,3,7,4,2
2015-05-01 18:39:27,3,4,4,1
2015-05-01 18:39:28,3,4,4,2
2015-05-01 18:39:29,3,4,4,2
2015-05-01 18:39:30,3,4,4,2
2015-05-01 18:39:31,3,4,2,2
2015-05-01 18:39:32,1,4,2,2
2015-05-01 18:39:33,3,2,2,2
2015-05-01 18:39:34,2,2,2,2
2015-05-01 18:39:35,3,2,2,2
2015-05-01 18:39:36,4,2,2,2
2015-05-01 18:39:37,4,2,2,2
2015-05-01 18:39:38,4,6,2,2
2015-05-01 18:39:39,7,2,2,2
2015-05-01 18:39:40,6,2,0,2
2015-05-01 18:39:41,7,2,0,2
2015-05-01 18:39:42,7,2,0,0
2015-05-01 18:39:43,4,2,6,0
2015-05-01 18:39:44,4,2,7,2
2015-05-01 18:39:45,2,2,7,2
2015-05-01 18:39:46,2,2,7,2
2015-05-01 18:39:47,2,8,7,2
2015-05-01 18:39:48,2,8,7,2
2015-05-01 18:39:49,2,7,7,2
2015-05-01 18:39:50,2,7,7,2
2015-05-01 18:39:51,2,7,7,2
2015-05-01 18:39:52,2,7,4,2
2015-05-01 18:39:53,2,7,4,2
2015-05-01 18:39:54,2,8,7,2
2015-05-01 18:39:55,8,8,7,2
2015-05-01 18:39:56,8,8,7,2
2015-05-01 18:39:57,8,8,5,8
2015-05-01 18:39:58,8,8,7,8
2015-05-01 18:39:59,7,8,7,8
2015-05-01 18:40:00,7,8,7,8
2015-05-01 18:40:01,7,8,7,8
2015-05-01 18:40:02,7,8,7,7
2015-05-01 18:40:03,7,8,7,7
2015-05-01 18:40:04,7,8,7,7
2015-05-01 18:40:05,7,8,7,7
2015-05-01 18:40:06,7,8,7,7
2015-05-01 18:40:07,7,7,7,7
2015-05-01 18:40:08,7,7,7,7
2015-05-01 18:40:09,7,7,7,7
2015-05-01 18:40:10,7,7,7,7
2015-05-01 18:40:11,7,7,0,7
2015-05-01 18:40:12,7,8,0,7
2015-05-01 18:40:13,7,6,0,7
2015-05-01 18:40:14,7,7,0,7
2015-05-01 18:40:15,7,7,0,7
2015-05-01 18:40:16,4,7,8,7
2015-05-01 18:40:17,4,7,8,7
2015-05-01 18:40:18,4,7,7,7
2015-05-01 18:40:19,4,7,4,7
2015-05-01 18:40:20,8,7,7,7
2015-05-01 18:40:21,4,7,4,7
2015-05-01 18:40:22,4,7,8,8
2015-05-01 18:40:23,4,4,2,7
2015-05-01 18:40:24,4,4,2,8
2015-05-01 18:40:25,4,2,2,8
2015-05-01 18:40:26,3,2,2,8
2015-05-01 18:40:27,3,2,2,8
2015-05-01 18:40:28,3,2,2,8
2015-05-01 18:40:29,3,2,2,7
2015-05-01 18:40:30,3,2,2,7
2015-05-01 18:40:31,3,2,2,8
2015-05-01 18:40:32,3,2,2,7
2015-05-01 18:40:33,3,2,7,8
2015-05-01 18:40:34,3,2,7,8
2015-05-01 18:40:35,3,2,7,8
2015-05-01 18:40:36,3,2,7,7
2015-05-01 18:40:37,2,2,7,7
2015-05-01 18:40:38,2,2,7,4
2015-05-01 18:40:39,2,2,7,4
2015-05-01 18:40:40,2,2,7,2
2015-05-01 18:40:41,2,2,7,2
2015-05-01 18:40:42,2,2,7,1
2015-05-01 18:40:43,2,2,7,2
2015-05-01 18:40:44,2,2,7,2
2015-05-01 18:40:45,2,2,7,2
2015-05-01 18:40:46,2,2,7,2
2015-05-01 18:40:47,2,2,7,2
2015-05-01 18:40:48,2,2,7,1
2015-05-01 18:40:49,2,2,7,1
2015-05-01 18:40:50,2,2,8,1
2015-05-01 18:40:51,2,2,8,1
2015-05-01 18:40:52,2,2,8,1
2015-05-01 18:40:53,2,2,5,1
2015-05-01 18:40:54,2,2,5,1
2015-05-01 18:40:55,2,2,5,1
2015-05-01 18:40:56,2,2,2,1
2015-05-01 18:40:57,2,2,2,1
2015-05-01 18:40:58,2,2,2,1
2015-05-01 18:40:59,2,2,2,1
2015-05-01 18:41:00,2,2,2,1
2015-05-01 18:41:01,2,2,2,2
2015-05-01 18:41:02,2,2,2,1
2015-05-01 18:41:03,2,2,2,1
2015-05-01 18:41:04,2,2,2,1
2015-05-01 18:41:05,2,2,2,1
2015-05-01 18:41:06,3,2,2,1
2015-05-01 18:41:07,2,2,2,1
2015-05-01 18:41:08,2,2,2,1
2015-05-01 18:41:09,2,2,2,2
2015-05-01 18:41:10,2,2,2,1
2015-05-01 18:41:11,2,2,2,2
2015-05-01 18:41:12,2,2,2,1
2015-05-01 18:41:13,2,2,2,1
2015-05-01 18:41:14,2,2,2,1
2015-05-01 18:41:15,2,2,2,2
2015-05-01 18:41:16,2,4,2,2
2015-05-01 18:41:17,2,4,2,2
2015-05-01 18:41:18,3,6,2,2
2015-05-01 18:41:19,3,6,2,2
2015-05-01 18:41:20,3,6,2,2
2015-05-01 18:41:21,3,0,2,2
2015-05-01 18:41:22,3,0,2,2
2015-05-01 18:41:23,2,0,2,2
2015-05-01 18:41:24,2,0,2,2
2015-05-01 18:41:25,2,6,2,2
2015-05-01 18:41:26,0,6,2,2
2015-05-01 18:41:27,0,6,2,2
2015-05-01 18:41:28,2,6,2,2
2015-05-01 18:41:29,2,6,2,2
2015-05-01 18:41:30,2,0,2,2
2015-05-01 18:41:31,2,0,2,2
2015-05-01 18:41:32,2,1,2,2
2015-05-01 18:41:33,2,1,2,2
2015-05-01 18:41:34,2,1,2,2
2015-05-01 18:41:35,2,2,2,2
2015-05-01 18:41:36,2,2,2,2
2015-05-01 18:41:37,2,6,2,2
2015-05-01 18:41:38,2,6,2,2
2015-05-01 18:41:39,2,2,2,2
2015-05-01 18:41:40,2,2,2,2
2015-05-01 18:41:41,2,2,2,2
2015-05-01 18:41:42,2,2,2,2
2015-05-01 18:41:43,2,2,2,2
2015-05-01 18:41:44,2,6,2,2
2015-05-01 18:41:45,2,6,2,2
2015-05-01 18:41:46,2,0,2,2
2015-05-01 18:41:47,2,0,2,2
2015-05-01 18:41:48,2,0,2,2
2015-05-01 18:41:49,2,0,2,1
2015-05-01 18:41:50,4,0,2,1
2015-05-01 18:41:51,3,0,2,1
2015-05-01 18:41:52,5,0,2,3
2015-05-01 18:41:53,6,0,2,3
2015-05-01 18:41:54,6,1,2,4
2015-05-01 18:41:55,7,1,3,4
2015-05-01 18:41:56,7,1,4,4
2015-05-01 18:41:57,7,2,4,4
