time,9A5116EA-2793-4C75-AC93-524C9EF550FD,24C41EC3-7ECC-40DA-B942-7ABE23017E74,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78
2015-05-08 15:45:25,3,2,8,2
2015-05-08 15:45:26,3,2,8,2
2015-05-08 15:45:27,3,2,8,2
2015-05-08 15:45:28,3,2,8,2
2015-05-08 15:45:29,4,2,8,2
2015-05-08 15:45:30,4,2,8,2
2015-05-08 15:45:31,4,2,8,2
2015-05-08 15:45:32,2,2,8,2
2015-05-08 15:45:33,2,2,8,2
2015-05-08 15:45:34,2,2,8,2
2015-05-08 15:45:35,2,2,8,2
2015-05-08 15:45:36,2,2,8,2
2015-05-08 15:45:37,2,2,8,2
2015-05-08 15:45:38,2,2,8,2
2015-05-08 15:45:39,2,2,8,2
2015-05-08 15:45:40,2,2,8,2
2015-05-08 15:45:41,2,2,8,2
2015-05-08 15:45:42,3,2,3,2
2015-05-08 15:45:43,2,2,3,2
2015-05-08 15:45:44,2,0,3,2
2015-05-08 15:45:45,2,2,3,2
2015-05-08 15:45:46,2,3,1,2
2015-05-08 15:45:47,2,1,3,2
2015-05-08 15:45:48,2,8,1,2
2015-05-08 15:45:49,2,8,1,2
2015-05-08 15:45:50,0,8,3,2
2015-05-08 15:45:51,0,1,3,2
2015-05-08 15:45:52,0,3,3,2
2015-05-08 15:45:53,2,3,1,2
2015-05-08 15:45:54,2,3,3,2
2015-05-08 15:45:55,2,7,1,2
2015-05-08 15:45:56,2,7,1,2
2015-05-08 15:45:57,2,3,1,2
2015-05-08 15:45:58,2,3,1,2
2015-05-08 15:45:59,2,1,2,2
2015-05-08 15:46:00,2,1,2,2
2015-05-08 15:46:01,2,1,1,2
2015-05-08 15:46:02,2,1,3,2
2015-05-08 15:46:03,2,1,3,2
2015-05-08 15:46:04,2,1,4,2
2015-05-08 15:46:05,2,1,4,2
2015-05-08 15:46:06,2,1,4,2
2015-05-08 15:46:07,2,1,3,2
2015-05-08 15:46:08,2,1,3,2
2015-05-08 15:46:09,2,1,3,2
2015-05-08 15:46:10,2,3,3,2
2015-05-08 15:46:11,2,3,3,2
2015-05-08 15:46:12,0,3,3,2
2015-05-08 15:46:13,2,3,3,2
2015-05-08 15:46:14,2,3,3,4
2015-05-08 15:46:15,2,4,3,4
2015-05-08 15:46:16,2,4,4,3
2015-05-08 15:46:17,2,4,7,3
2015-05-08 15:46:18,2,0,7,3
2015-05-08 15:46:19,2,0,7,3
2015-05-08 15:46:20,2,2,7,3
2015-05-08 15:46:21,2,2,7,3
2015-05-08 15:46:22,2,2,7,3
2015-05-08 15:46:23,2,2,7,4
2015-05-08 15:46:24,4,2,7,4
2015-05-08 15:46:25,8,2,7,4
2015-05-08 15:46:26,8,2,4,4
2015-05-08 15:46:27,8,1,3,4
2015-05-08 15:46:28,8,1,3,4
2015-05-08 15:46:29,8,1,3,4
2015-05-08 15:46:30,8,1,1,4
2015-05-08 15:46:31,6,1,1,8
2015-05-08 15:46:32,2,1,1,4
2015-05-08 15:46:33,2,1,1,3
2015-05-08 15:46:34,2,0,1,4
2015-05-08 15:46:35,0,0,1,4
2015-05-08 15:46:36,0,0,1,4
2015-05-08 15:46:37,0,2,1,4
2015-05-08 15:46:38,2,2,8,4
2015-05-08 15:46:39,2,2,8,4
2015-05-08 15:46:40,4,8,1,4
2015-05-08 15:46:41,8,7,1,4
2015-05-08 15:46:42,8,7,1,3
2015-05-08 15:46:43,7,7,1,3
2015-05-08 15:46:44,7,8,1,3
2015-05-08 15:46:45,7,8,1,3
2015-05-08 15:46:46,8,8,8,3
2015-05-08 15:46:47,0,7,8,3
2015-05-08 15:46:48,2,7,8,3
2015-05-08 15:46:49,4,7,1,3
2015-05-08 15:46:50,4,3,1,3
2015-05-08 15:46:51,4,3,1,3
2015-05-08 15:46:52,4,1,1,3
2015-05-08 15:46:53,4,1,1,3
2015-05-08 15:46:54,7,1,1,3
2015-05-08 15:46:55,2,3,1,3
2015-05-08 15:46:56,2,3,8,4
2015-05-08 15:46:57,5,3,8,3
