time,yvonne,jonathan,charles,christina
2014-03-17 18:37:21,4,0,2,0
2014-03-17 18:37:22,4,0,2,0
2014-03-17 18:37:23,4,0,2,0
2014-03-17 18:37:24,4,0,2,0
2014-03-17 18:37:25,4,0,2,0
2014-03-17 18:37:26,4,0,0,0
2014-03-17 18:37:27,7,0,0,0
2014-03-17 18:37:28,7,0,0,0
2014-03-17 18:37:29,4,0,0,0
2014-03-17 18:37:30,4,0,2,0
2014-03-17 18:37:31,4,0,2,0
2014-03-17 18:37:32,4,0,2,0
2014-03-17 18:37:33,4,0,2,0
2014-03-17 18:37:34,7,0,2,0
2014-03-17 18:37:35,7,0,2,0
2014-03-17 18:37:36,7,0,2,0
2014-03-17 18:37:37,7,0,2,0
2014-03-17 18:37:38,7,0,2,0
2014-03-17 18:37:39,7,0,2,0
2014-03-17 18:37:40,4,0,2,0
2014-03-17 18:37:41,7,0,2,0
2014-03-17 18:37:42,7,0,2,0
2014-03-17 18:37:43,2,0,2,0
2014-03-17 18:37:44,0,0,2,0
2014-03-17 18:37:45,0,0,2,0
2014-03-17 18:37:46,0,0,2,0
2014-03-17 18:37:47,0,0,2,0
2014-03-17 18:37:48,0,0,2,0
2014-03-17 18:37:49,0,0,2,0
2014-03-17 18:37:50,0,0,2,0
2014-03-17 18:37:51,0,0,2,0
2014-03-17 18:37:52,0,0,2,0
2014-03-17 18:37:53,0,0,2,0
2014-03-17 18:37:54,0,0,2,0
2014-03-17 18:37:55,0,0,2,0
2014-03-17 18:37:56,0,0,2,0
2014-03-17 18:37:57,0,0,2,0
2014-03-17 18:37:58,0,0,2,0
2014-03-17 18:37:59,0,0,2,0
2014-03-17 18:38:00,0,0,2,0
2014-03-17 18:38:01,0,0,2,0
2014-03-17 18:38:02,0,0,2,0
2014-03-17 18:38:03,0,0,2,0
2014-03-17 18:38:04,0,0,2,0
2014-03-17 18:38:05,0,0,2,0
2014-03-17 18:38:06,0,0,2,0
2014-03-17 18:38:07,0,0,2,0
2014-03-17 18:38:08,0,0,2,0
2014-03-17 18:38:09,0,0,2,0
2014-03-17 18:38:10,0,0,0,0
2014-03-17 18:38:11,0,0,0,0
2014-03-17 18:38:12,0,0,0,0
2014-03-17 18:38:13,0,0,0,0
2014-03-17 18:38:14,0,0,0,0
2014-03-17 18:38:15,0,0,0,0
2014-03-17 18:38:16,0,0,0,0
2014-03-17 18:38:17,0,0,0,0
2014-03-17 18:38:18,0,0,0,0
2014-03-17 18:38:19,0,0,0,0
2014-03-17 18:38:20,0,0,0,0
2014-03-17 18:38:21,0,0,0,0
2014-03-17 18:38:22,0,0,0,0
2014-03-17 18:38:23,0,0,0,0
2014-03-17 18:38:24,0,0,0,0
2014-03-17 18:38:25,0,0,0,0
2014-03-17 18:38:26,0,0,0,0
2014-03-17 18:38:27,0,0,0,0
2014-03-17 18:38:28,0,0,0,0
2014-03-17 18:38:29,0,0,0,0
2014-03-17 18:38:30,0,0,0,0
2014-03-17 18:38:31,0,0,0,0
2014-03-17 18:38:32,0,0,0,0
2014-03-17 18:38:33,0,0,0,0
2014-03-17 18:38:34,0,0,0,0
2014-03-17 18:38:35,0,0,0,0
2014-03-17 18:38:36,0,0,0,0
2014-03-17 18:38:37,0,0,0,0
2014-03-17 18:38:38,0,0,0,0
2014-03-17 18:38:39,0,0,0,0
2014-03-17 18:38:40,0,0,0,0
2014-03-17 18:38:41,0,0,0,0
2014-03-17 18:38:42,0,0,0,0
2014-03-17 18:38:43,0,0,0,0
2014-03-17 18:38:44,0,0,0,0
2014-03-17 18:38:45,0,0,0,0
2014-03-17 18:38:46,0,0,0,0
2014-03-17 18:38:47,0,0,0,0
2014-03-17 18:38:48,0,0,0,0
2014-03-17 18:38:49,0,0,0,0
2014-03-17 18:38:50,0,0,0,0
2014-03-17 18:38:51,0,0,0,0
2014-03-17 18:38:52,0,0,0,0
2014-03-17 18:38:53,0,0,0,0
2014-03-17 18:38:54,0,0,0,0
2014-03-17 18:38:55,0,0,0,0
2014-03-17 18:38:56,0,0,0,0
2014-03-17 18:38:57,0,0,0,0
2014-03-17 18:38:58,0,0,0,0
2014-03-17 18:38:59,0,0,0,0
2014-03-17 18:39:00,0,0,0,0
2014-03-17 18:39:01,0,0,0,0
2014-03-17 18:39:02,0,0,0,0
2014-03-17 18:39:03,0,0,0,0
2014-03-17 18:39:04,0,0,0,0
2014-03-17 18:39:05,0,0,0,0
2014-03-17 18:39:06,0,0,0,0
2014-03-17 18:39:07,0,0,0,0
2014-03-17 18:39:08,0,0,0,0
2014-03-17 18:39:09,0,0,0,0
2014-03-17 18:39:10,0,0,0,0
