time,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-06-22 15:15:04,3,3,3,2
2015-06-22 15:15:05,3,2,3,2
2015-06-22 15:15:06,3,2,3,2
2015-06-22 15:15:07,3,2,1,2
2015-06-22 15:15:08,3,2,1,2
2015-06-22 15:15:09,3,2,1,2
2015-06-22 15:15:10,3,2,1,2
2015-06-22 15:15:11,3,2,1,2
2015-06-22 15:15:12,3,2,1,2
2015-06-22 15:15:13,3,3,2,2
2015-06-22 15:15:14,3,3,1,8
2015-06-22 15:15:15,4,4,3,8
2015-06-22 15:15:16,4,7,3,8
2015-06-22 15:15:17,4,7,3,8
2015-06-22 15:15:18,4,7,3,8
2015-06-22 15:15:19,6,7,3,4
2015-06-22 15:15:20,6,7,1,7
2015-06-22 15:15:21,6,7,1,7
2015-06-22 15:15:22,6,7,1,7
2015-06-22 15:15:23,6,7,1,7
2015-06-22 15:15:24,7,7,1,7
2015-06-22 15:15:25,7,7,1,7
2015-06-22 15:15:26,7,7,1,8
2015-06-22 15:15:27,6,8,1,6
2015-06-22 15:15:28,6,3,1,4
2015-06-22 15:15:29,6,1,1,4
2015-06-22 15:15:30,6,1,1,7
2015-06-22 15:15:31,6,1,1,7
2015-06-22 15:15:32,4,1,1,6
2015-06-22 15:15:33,4,3,1,4
2015-06-22 15:15:34,7,3,1,4
2015-06-22 15:15:35,6,4,1,4
2015-06-22 15:15:36,6,4,1,3
2015-06-22 15:15:37,6,7,1,3
2015-06-22 15:15:38,6,4,1,3
2015-06-22 15:15:39,6,3,1,3
2015-06-22 15:15:40,4,3,1,3
2015-06-22 15:15:41,4,3,3,3
2015-06-22 15:15:42,8,3,3,3
2015-06-22 15:15:43,2,3,4,3
2015-06-22 15:15:44,2,8,3,3
2015-06-22 15:15:45,2,8,3,3
2015-06-22 15:15:46,2,8,3,3
2015-06-22 15:15:47,1,8,5,3
2015-06-22 15:15:48,1,3,3,3
2015-06-22 15:15:49,3,3,3,3
2015-06-22 15:15:50,3,4,3,3
2015-06-22 15:15:51,3,4,3,3
2015-06-22 15:15:52,3,7,3,3
2015-06-22 15:15:53,3,5,3,3
2015-06-22 15:15:54,3,7,3,3
2015-06-22 15:15:55,7,5,3,3
2015-06-22 15:15:56,8,7,3,4
2015-06-22 15:15:57,8,7,3,4
2015-06-22 15:15:58,8,7,3,7
2015-06-22 15:15:59,8,3,3,7
2015-06-22 15:16:00,8,3,3,6
2015-06-22 15:16:01,8,3,1,6
2015-06-22 15:16:02,8,3,1,7
2015-06-22 15:16:03,8,3,1,4
2015-06-22 15:16:04,8,3,1,4
2015-06-22 15:16:05,8,3,1,4
2015-06-22 15:16:06,8,2,1,2
2015-06-22 15:16:07,8,8,1,2
2015-06-22 15:16:08,8,4,1,3
2015-06-22 15:16:09,8,7,1,1
2015-06-22 15:16:10,8,7,1,3
2015-06-22 15:16:11,8,7,1,1
2015-06-22 15:16:12,8,8,1,1
2015-06-22 15:16:13,8,4,1,1
2015-06-22 15:16:14,3,3,1,1
2015-06-22 15:16:15,3,3,1,1
2015-06-22 15:16:16,4,3,1,1
2015-06-22 15:16:17,4,8,1,3
2015-06-22 15:16:18,0,8,1,1
2015-06-22 15:16:19,0,8,1,1
2015-06-22 15:16:20,2,3,1,1
2015-06-22 15:16:21,2,1,1,3
2015-06-22 15:16:22,1,2,1,8
2015-06-22 15:16:23,1,2,1,4
2015-06-22 15:16:24,1,2,1,4
2015-06-22 15:16:25,1,1,1,7
2015-06-22 15:16:26,1,1,1,4
2015-06-22 15:16:27,1,1,1,4
2015-06-22 15:16:28,1,1,1,4
2015-06-22 15:16:29,1,1,1,4
2015-06-22 15:16:30,1,1,1,3
2015-06-22 15:16:31,1,1,1,0
2015-06-22 15:16:32,1,1,1,0
2015-06-22 15:16:33,1,1,1,4
2015-06-22 15:16:34,1,1,1,4
2015-06-22 15:16:35,1,1,1,4
2015-06-22 15:16:36,1,1,1,4
2015-06-22 15:16:37,1,1,1,4
2015-06-22 15:16:38,1,1,1,4
2015-06-22 15:16:39,1,1,1,4
2015-06-22 15:16:40,1,1,1,4
2015-06-22 15:16:41,1,1,1,4
2015-06-22 15:16:42,1,1,1,4
2015-06-22 15:16:43,1,1,1,4
2015-06-22 15:16:44,1,1,1,4
2015-06-22 15:16:45,1,1,1,4
2015-06-22 15:16:46,1,1,1,4
2015-06-22 15:16:47,1,1,1,4
2015-06-22 15:16:48,1,1,1,4
2015-06-22 15:16:49,1,1,1,4
2015-06-22 15:16:50,1,1,1,4
2015-06-22 15:16:51,1,1,1,4
2015-06-22 15:16:52,1,1,1,4
2015-06-22 15:16:53,1,1,1,4
2015-06-22 15:16:54,1,1,1,4
2015-06-22 15:16:55,1,1,1,4
2015-06-22 15:16:56,1,3,3,4
2015-06-22 15:16:57,1,3,3,4
2015-06-22 15:16:58,1,7,3,6
2015-06-22 15:16:59,3,7,8,6
2015-06-22 15:17:00,6,6,8,6
2015-06-22 15:17:01,6,6,3,6
2015-06-22 15:17:02,4,7,3,4
2015-06-22 15:17:03,4,4,1,4
2015-06-22 15:17:04,3,4,1,4
2015-06-22 15:17:05,3,4,1,7
2015-06-22 15:17:06,3,6,3,4
2015-06-22 15:17:07,3,6,3,4
2015-06-22 15:17:08,3,6,3,6
2015-06-22 15:17:09,3,6,3,6
2015-06-22 15:17:10,3,6,3,6
2015-06-22 15:17:11,3,6,2,6
2015-06-22 15:17:12,1,6,2,4
2015-06-22 15:17:13,1,4,2,4
2015-06-22 15:17:14,1,4,1,4
2015-06-22 15:17:15,1,4,1,4
2015-06-22 15:17:16,1,6,1,6
2015-06-22 15:17:17,1,4,1,6
2015-06-22 15:17:18,3,7,1,6
2015-06-22 15:17:19,3,7,1,6
2015-06-22 15:17:20,4,6,1,7
2015-06-22 15:17:21,4,7,1,7
2015-06-22 15:17:22,4,7,1,7
2015-06-22 15:17:23,4,7,1,4
2015-06-22 15:17:24,4,6,1,4
2015-06-22 15:17:25,7,7,1,4
2015-06-22 15:17:26,7,6,1,4
2015-06-22 15:17:27,4,7,2,4
2015-06-22 15:17:28,3,4,2,4
2015-06-22 15:17:29,3,4,2,4
2015-06-22 15:17:30,1,4,2,4
2015-06-22 15:17:31,2,3,2,4
2015-06-22 15:17:32,2,3,2,3
2015-06-22 15:17:33,2,4,2,2
2015-06-22 15:17:34,2,3,2,2
2015-06-22 15:17:35,2,3,2,1
2015-06-22 15:17:36,2,3,2,1
2015-06-22 15:17:37,2,3,2,1
2015-06-22 15:17:38,2,1,2,1
2015-06-22 15:17:39,2,1,2,1
2015-06-22 15:17:40,2,1,2,1
2015-06-22 15:17:41,2,1,2,3
2015-06-22 15:17:42,2,1,2,3
2015-06-22 15:17:43,1,1,2,3
2015-06-22 15:17:44,1,1,2,3
2015-06-22 15:17:45,1,1,1,4
2015-06-22 15:17:46,1,1,1,7
2015-06-22 15:17:47,1,1,1,7
2015-06-22 15:17:48,1,1,1,4
2015-06-22 15:17:49,1,1,3,3
2015-06-22 15:17:50,1,1,2,3
2015-06-22 15:17:51,1,1,2,0
2015-06-22 15:17:52,1,1,3,0
2015-06-22 15:17:53,1,1,3,0
2015-06-22 15:17:54,3,1,3,0
2015-06-22 15:17:55,3,1,4,0
2015-06-22 15:17:56,3,3,4,0
2015-06-22 15:17:57,4,7,4,0
2015-06-22 15:17:58,4,6,4,0
2015-06-22 15:17:59,7,4,4,0
2015-06-22 15:18:00,7,4,4,0
2015-06-22 15:18:01,7,4,4,0
2015-06-22 15:18:02,7,2,4,0
2015-06-22 15:18:03,7,2,4,0
2015-06-22 15:18:04,7,2,4,0
2015-06-22 15:18:05,7,2,4,0
2015-06-22 15:18:06,7,2,4,0
2015-06-22 15:18:07,7,8,4,0
2015-06-22 15:18:08,4,4,4,0
2015-06-22 15:18:09,4,8,4,0
2015-06-22 15:18:10,4,3,4,0
2015-06-22 15:18:11,4,3,4,0
2015-06-22 15:18:12,4,8,2,0
2015-06-22 15:18:13,4,3,2,0
2015-06-22 15:18:14,4,2,2,0
2015-06-22 15:18:15,7,2,0,0
2015-06-22 15:18:16,7,2,3,0
2015-06-22 15:18:17,6,2,3,0
2015-06-22 15:18:18,5,2,3,0
2015-06-22 15:18:19,5,2,4,0
2015-06-22 15:18:20,5,2,4,0
2015-06-22 15:18:21,5,2,4,0
2015-06-22 15:18:22,5,2,4,0
2015-06-22 15:18:23,2,2,3,0
2015-06-22 15:18:24,2,2,2,0
2015-06-22 15:18:25,2,2,2,0
2015-06-22 15:18:26,2,0,2,0
2015-06-22 15:18:27,2,0,2,0
2015-06-22 15:18:28,2,0,2,0
2015-06-22 15:18:29,2,0,2,0
2015-06-22 15:18:30,2,0,0,0
2015-06-22 15:18:31,2,0,0,0
2015-06-22 15:18:32,2,0,0,0
2015-06-22 15:18:33,2,0,0,0
2015-06-22 15:18:34,2,0,0,0
2015-06-22 15:18:35,2,0,0,0
