time,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-04-29 18:39:09,2,3,3,2
2015-04-29 18:39:10,2,3,3,2
2015-04-29 18:39:11,2,3,3,2
2015-04-29 18:39:12,2,3,4,2
2015-04-29 18:39:13,2,1,4,2
2015-04-29 18:39:14,2,1,7,2
2015-04-29 18:39:15,2,3,8,2
2015-04-29 18:39:16,2,3,4,2
2015-04-29 18:39:17,2,3,7,2
2015-04-29 18:39:18,2,3,7,2
2015-04-29 18:39:19,2,3,4,2
2015-04-29 18:39:20,2,3,4,2
2015-04-29 18:39:21,2,3,3,2
2015-04-29 18:39:22,3,4,3,2
2015-04-29 18:39:23,3,4,3,2
2015-04-29 18:39:24,3,4,3,2
2015-04-29 18:39:25,3,4,3,2
2015-04-29 18:39:26,3,4,3,2
2015-04-29 18:39:27,3,4,1,2
2015-04-29 18:39:28,3,3,1,2
2015-04-29 18:39:29,3,3,1,2
2015-04-29 18:39:30,3,3,8,4
2015-04-29 18:39:31,3,3,8,4
2015-04-29 18:39:32,3,3,8,4
2015-04-29 18:39:33,3,3,8,7
2015-04-29 18:39:34,3,3,8,7
2015-04-29 18:39:35,3,3,8,8
2015-04-29 18:39:36,3,3,8,7
2015-04-29 18:39:37,3,3,3,7
2015-04-29 18:39:38,1,3,3,7
2015-04-29 18:39:39,8,3,1,7
2015-04-29 18:39:40,8,3,1,7
2015-04-29 18:39:41,8,4,1,7
2015-04-29 18:39:42,8,4,1,7
2015-04-29 18:39:43,8,4,3,7
2015-04-29 18:39:44,8,4,2,4
2015-04-29 18:39:45,8,4,2,4
2015-04-29 18:39:46,8,4,2,4
2015-04-29 18:39:47,8,4,2,0
2015-04-29 18:39:48,8,4,2,2
2015-04-29 18:39:49,8,4,2,7
2015-04-29 18:39:50,8,0,2,3
2015-04-29 18:39:51,8,0,4,3
2015-04-29 18:39:52,8,3,4,8
2015-04-29 18:39:53,8,3,8,6
2015-04-29 18:39:54,8,3,8,5
2015-04-29 18:39:55,8,3,8,2
2015-04-29 18:39:56,8,4,8,2
2015-04-29 18:39:57,8,3,8,2
2015-04-29 18:39:58,8,3,8,0
2015-04-29 18:39:59,8,3,8,0
2015-04-29 18:40:00,8,4,8,0
2015-04-29 18:40:01,7,4,8,0
2015-04-29 18:40:02,7,3,8,2
2015-04-29 18:40:03,7,3,8,2
2015-04-29 18:40:04,5,4,8,2
2015-04-29 18:40:05,6,4,8,2
2015-04-29 18:40:06,8,4,8,2
2015-04-29 18:40:07,8,3,8,2
2015-04-29 18:40:08,7,3,8,2
2015-04-29 18:40:09,7,3,8,2
2015-04-29 18:40:10,7,3,8,2
2015-04-29 18:40:11,7,3,4,2
2015-04-29 18:40:12,7,2,2,0
2015-04-29 18:40:13,8,2,2,0
2015-04-29 18:40:14,8,2,2,0
2015-04-29 18:40:15,2,2,3,0
2015-04-29 18:40:16,2,2,3,0
2015-04-29 18:40:17,2,2,3,2
2015-04-29 18:40:18,2,2,3,2
2015-04-29 18:40:19,2,2,3,2
2015-04-29 18:40:20,2,2,3,2
2015-04-29 18:40:21,2,2,1,2
2015-04-29 18:40:22,2,2,1,2
2015-04-29 18:40:23,2,2,1,2
2015-04-29 18:40:24,1,2,1,2
2015-04-29 18:40:25,1,2,1,2
2015-04-29 18:40:26,1,2,1,2
2015-04-29 18:40:27,1,2,1,2
2015-04-29 18:40:28,1,2,1,2
2015-04-29 18:40:29,1,2,1,2
2015-04-29 18:40:30,1,2,1,2
2015-04-29 18:40:31,1,2,1,2
2015-04-29 18:40:32,1,2,2,2
2015-04-29 18:40:33,1,3,1,2
2015-04-29 18:40:34,1,3,2,2
2015-04-29 18:40:35,1,3,3,2
2015-04-29 18:40:36,1,2,8,2
2015-04-29 18:40:37,1,2,4,2
2015-04-29 18:40:38,1,2,7,2
2015-04-29 18:40:39,1,2,8,2
2015-04-29 18:40:40,1,2,8,2
2015-04-29 18:40:41,1,2,8,2
2015-04-29 18:40:42,1,2,8,2
2015-04-29 18:40:43,1,2,8,2
2015-04-29 18:40:44,1,2,8,2
2015-04-29 18:40:45,1,2,8,2
2015-04-29 18:40:46,1,2,8,2
2015-04-29 18:40:47,1,2,8,2
2015-04-29 18:40:48,1,2,8,2
2015-04-29 18:40:49,1,2,8,2
2015-04-29 18:40:50,1,2,8,2
2015-04-29 18:40:51,1,2,8,2
2015-04-29 18:40:52,1,2,8,2
2015-04-29 18:40:53,1,2,8,2
2015-04-29 18:40:54,1,2,8,2
2015-04-29 18:40:55,1,2,8,2
2015-04-29 18:40:56,1,2,3,4
2015-04-29 18:40:57,1,2,3,4
2015-04-29 18:40:58,1,2,4,4
2015-04-29 18:40:59,1,2,4,4
2015-04-29 18:41:00,1,2,4,7
2015-04-29 18:41:01,1,2,4,7
2015-04-29 18:41:02,1,2,4,7
2015-04-29 18:41:03,1,2,4,7
2015-04-29 18:41:04,1,2,4,7
2015-04-29 18:41:05,1,2,4,4
2015-04-29 18:41:06,1,2,4,4
2015-04-29 18:41:07,1,2,4,4
2015-04-29 18:41:08,1,2,2,4
2015-04-29 18:41:09,1,2,2,4
2015-04-29 18:41:10,1,2,2,8
2015-04-29 18:41:11,1,2,2,8
2015-04-29 18:41:12,1,2,2,8
2015-04-29 18:41:13,2,2,2,4
2015-04-29 18:41:14,4,2,2,8
2015-04-29 18:41:15,4,2,2,4
2015-04-29 18:41:16,4,2,2,0
2015-04-29 18:41:17,4,2,2,0
2015-04-29 18:41:18,4,2,3,0
2015-04-29 18:41:19,7,2,3,0
2015-04-29 18:41:20,7,2,4,0
2015-04-29 18:41:21,7,2,4,0
2015-04-29 18:41:22,7,2,7,8
2015-04-29 18:41:23,7,2,8,7
2015-04-29 18:41:24,7,2,7,7
2015-04-29 18:41:25,8,2,7,7
2015-04-29 18:41:26,8,2,8,7
2015-04-29 18:41:27,8,2,7,7
2015-04-29 18:41:28,8,2,7,4
2015-04-29 18:41:29,4,2,8,4
2015-04-29 18:41:30,4,1,8,4
2015-04-29 18:41:31,4,1,3,3
2015-04-29 18:41:32,4,1,3,0
2015-04-29 18:41:33,4,3,3,2
2015-04-29 18:41:34,4,3,1,2
2015-04-29 18:41:35,3,1,1,2
2015-04-29 18:41:36,1,1,1,2
2015-04-29 18:41:37,1,1,1,1
2015-04-29 18:41:38,1,1,1,1
2015-04-29 18:41:39,1,1,1,1
2015-04-29 18:41:40,1,1,1,1
2015-04-29 18:41:41,1,1,1,1
2015-04-29 18:41:42,8,1,1,1
2015-04-29 18:41:43,8,1,1,1
2015-04-29 18:41:44,8,1,1,1
2015-04-29 18:41:45,8,1,1,1
2015-04-29 18:41:46,8,1,1,1
2015-04-29 18:41:47,8,1,1,1
2015-04-29 18:41:48,8,1,8,1
2015-04-29 18:41:49,8,1,8,1
2015-04-29 18:41:50,8,1,8,1
2015-04-29 18:41:51,8,1,8,1
2015-04-29 18:41:52,8,1,8,3
2015-04-29 18:41:53,8,1,8,2
2015-04-29 18:41:54,8,1,8,0
2015-04-29 18:41:55,8,1,8,0
2015-04-29 18:41:56,8,1,8,0
2015-04-29 18:41:57,8,1,8,0
2015-04-29 18:41:58,8,1,8,0
2015-04-29 18:41:59,8,1,8,0
2015-04-29 18:42:00,8,1,8,0
2015-04-29 18:42:01,8,1,1,0
2015-04-29 18:42:02,8,3,1,4
2015-04-29 18:42:03,1,3,1,4
2015-04-29 18:42:04,1,3,1,4
2015-04-29 18:42:05,1,3,1,4
2015-04-29 18:42:06,1,3,3,4
2015-04-29 18:42:07,1,3,3,4
2015-04-29 18:42:08,1,3,3,2
2015-04-29 18:42:09,1,3,3,2
2015-04-29 18:42:10,1,3,3,2
2015-04-29 18:42:11,1,3,6,2
2015-04-29 18:42:12,1,3,6,2
2015-04-29 18:42:13,1,3,4,2
2015-04-29 18:42:14,1,3,4,2
2015-04-29 18:42:15,1,3,4,2
2015-04-29 18:42:16,1,3,4,1
2015-04-29 18:42:17,1,3,4,1
2015-04-29 18:42:18,1,3,4,1
2015-04-29 18:42:19,1,3,4,1
2015-04-29 18:42:20,1,3,4,1
2015-04-29 18:42:21,1,3,4,2
2015-04-29 18:42:22,1,3,4,2
2015-04-29 18:42:23,1,3,4,2
2015-04-29 18:42:24,1,3,4,2
2015-04-29 18:42:25,1,3,3,2
2015-04-29 18:42:26,1,3,3,8
2015-04-29 18:42:27,1,3,3,4
2015-04-29 18:42:28,1,3,3,4
