time,christina,charles,jonathan
2014-03-08 12:17:04,2,6,7
2014-03-08 12:17:05,2,6,7
2014-03-08 12:17:06,2,6,7
2014-03-08 12:17:07,2,6,7
2014-03-08 12:17:08,2,6,7
2014-03-08 12:17:09,3,7,7
2014-03-08 12:17:10,2,7,7
2014-03-08 12:17:11,2,7,7
2014-03-08 12:17:12,3,7,7
2014-03-08 12:17:13,2,7,7
2014-03-08 12:17:14,2,7,7
2014-03-08 12:17:15,2,7,7
2014-03-08 12:17:16,2,7,7
2014-03-08 12:17:17,2,7,7
2014-03-08 12:17:18,2,6,7
2014-03-08 12:17:19,2,6,7
2014-03-08 12:17:20,2,6,7
2014-03-08 12:17:21,2,6,7
2014-03-08 12:17:22,2,6,7
2014-03-08 12:17:23,2,6,7
2014-03-08 12:17:24,2,7,7
2014-03-08 12:17:25,2,7,7
2014-03-08 12:17:26,2,7,7
2014-03-08 12:17:27,2,7,7
2014-03-08 12:17:28,2,7,7
2014-03-08 12:17:29,2,7,7
2014-03-08 12:17:30,2,7,7
2014-03-08 12:17:31,2,7,4
2014-03-08 12:17:32,2,7,4
2014-03-08 12:17:33,2,7,4
2014-03-08 12:17:34,2,7,2
2014-03-08 12:17:35,2,7,2
2014-03-08 12:17:36,2,7,2
2014-03-08 12:17:37,2,7,2
2014-03-08 12:17:38,2,7,2
2014-03-08 12:17:39,2,7,2
2014-03-08 12:17:40,2,7,2
2014-03-08 12:17:41,2,7,2
2014-03-08 12:17:42,2,7,2
2014-03-08 12:17:43,2,7,2
2014-03-08 12:17:44,2,7,2
2014-03-08 12:17:45,2,7,2
2014-03-08 12:17:46,2,7,2
2014-03-08 12:17:47,2,7,2
2014-03-08 12:17:48,2,7,2
2014-03-08 12:17:49,2,7,2
2014-03-08 12:17:50,2,7,2
2014-03-08 12:17:51,2,6,2
2014-03-08 12:17:52,2,7,2
2014-03-08 12:17:53,2,7,2
2014-03-08 12:17:54,2,7,2
2014-03-08 12:17:55,2,7,2
2014-03-08 12:17:56,2,7,2
2014-03-08 12:17:57,2,7,2
2014-03-08 12:17:58,2,7,2
2014-03-08 12:17:59,2,7,2
2014-03-08 12:18:00,2,7,2
2014-03-08 12:18:01,2,7,2
2014-03-08 12:18:02,2,7,2
2014-03-08 12:18:03,2,7,2
2014-03-08 12:18:04,2,6,2
2014-03-08 12:18:05,2,6,2
2014-03-08 12:18:06,2,6,2
2014-03-08 12:18:07,2,6,2
2014-03-08 12:18:08,2,4,2
2014-03-08 12:18:09,2,4,2
2014-03-08 12:18:10,2,4,2
2014-03-08 12:18:11,2,2,2
2014-03-08 12:18:12,2,2,2
2014-03-08 12:18:13,2,2,2
2014-03-08 12:18:14,2,2,2
2014-03-08 12:18:15,2,2,2
2014-03-08 12:18:16,2,2,2
2014-03-08 12:18:17,2,2,2
2014-03-08 12:18:18,2,2,2
2014-03-08 12:18:19,2,2,2
2014-03-08 12:18:20,2,2,2
2014-03-08 12:18:21,4,2,2
2014-03-08 12:18:22,2,2,2
2014-03-08 12:18:23,2,8,2
2014-03-08 12:18:24,2,8,2
2014-03-08 12:18:25,2,8,2
2014-03-08 12:18:26,2,8,2
2014-03-08 12:18:27,2,4,2
2014-03-08 12:18:28,2,4,2
2014-03-08 12:18:29,2,4,2
2014-03-08 12:18:30,2,4,2
2014-03-08 12:18:31,2,2,2
2014-03-08 12:18:32,2,2,2
2014-03-08 12:18:33,2,2,2
2014-03-08 12:18:34,2,2,2
2014-03-08 12:18:35,2,2,2
2014-03-08 12:18:36,2,2,2
2014-03-08 12:18:37,2,2,2
2014-03-08 12:18:38,2,2,2
2014-03-08 12:18:39,2,8,2
2014-03-08 12:18:40,2,4,2
2014-03-08 12:18:41,2,2,2
2014-03-08 12:18:42,2,2,2
2014-03-08 12:18:43,2,2,2
2014-03-08 12:18:44,2,2,2
2014-03-08 12:18:45,2,8,2
2014-03-08 12:18:46,2,8,2
2014-03-08 12:18:47,4,8,2
2014-03-08 12:18:48,4,4,2
2014-03-08 12:18:49,7,8,2
2014-03-08 12:18:50,7,8,8
2014-03-08 12:18:51,7,7,8
2014-03-08 12:18:52,7,7,8
2014-03-08 12:18:53,7,7,7
2014-03-08 12:18:54,7,7,7
2014-03-08 12:18:55,7,7,7
2014-03-08 12:18:56,0,0,0
2014-03-08 12:18:57,0,0,0
2014-03-08 12:18:58,0,0,0
