time,yvonne,jonathan,christina,charles
2014-08-24 14:41:50,4,7,4,2
2014-08-24 14:41:51,4,6,4,2
2014-08-24 14:41:52,4,7,6,2
2014-08-24 14:41:53,4,4,6,2
2014-08-24 14:41:54,4,4,6,2
2014-08-24 14:41:55,0,4,6,2
2014-08-24 14:41:56,0,4,6,2
2014-08-24 14:41:57,0,4,6,2
2014-08-24 14:41:58,4,2,6,2
2014-08-24 14:41:59,4,4,6,2
2014-08-24 14:42:00,4,4,6,2
2014-08-24 14:42:01,6,4,6,1
2014-08-24 14:42:02,6,4,6,1
2014-08-24 14:42:03,6,4,6,1
2014-08-24 14:42:04,6,4,6,1
2014-08-24 14:42:05,6,4,6,3
2014-08-24 14:42:06,6,4,4,3
2014-08-24 14:42:07,6,4,4,3
2014-08-24 14:42:08,6,4,4,4
2014-08-24 14:42:09,4,3,2,6
2014-08-24 14:42:10,4,2,2,7
2014-08-24 14:42:11,4,2,2,7
2014-08-24 14:42:12,4,2,2,7
2014-08-24 14:42:13,4,2,3,7
2014-08-24 14:42:14,4,2,4,7
2014-08-24 14:42:15,7,2,4,7
2014-08-24 14:42:16,7,2,4,6
2014-08-24 14:42:17,7,2,6,6
2014-08-24 14:42:18,7,2,4,6
2014-08-24 14:42:19,7,2,4,6
2014-08-24 14:42:20,7,3,6,6
2014-08-24 14:42:21,7,3,6,6
2014-08-24 14:42:22,4,3,6,6
2014-08-24 14:42:23,4,4,4,6
2014-08-24 14:42:24,4,4,4,6
2014-08-24 14:42:25,4,7,4,6
2014-08-24 14:42:26,4,7,4,6
2014-08-24 14:42:27,6,4,4,6
2014-08-24 14:42:28,4,4,4,7
2014-08-24 14:42:29,7,4,4,7
2014-08-24 14:42:30,6,2,4,7
2014-08-24 14:42:31,6,1,4,6
2014-08-24 14:42:32,4,3,4,6
2014-08-24 14:42:33,7,1,4,6
2014-08-24 14:42:34,7,1,4,7
2014-08-24 14:42:35,7,2,7,7
2014-08-24 14:42:36,4,3,7,7
2014-08-24 14:42:37,7,4,4,7
2014-08-24 14:42:38,7,4,3,7
2014-08-24 14:42:39,7,7,3,7
2014-08-24 14:42:40,4,7,3,7
2014-08-24 14:42:41,4,7,3,6
2014-08-24 14:42:42,4,7,2,7
2014-08-24 14:42:43,4,7,2,7
2014-08-24 14:42:44,4,7,2,7
2014-08-24 14:42:45,4,7,2,7
2014-08-24 14:42:46,4,4,2,7
2014-08-24 14:42:47,7,4,2,7
2014-08-24 14:42:48,6,3,2,7
