time,christina,jonathan,yvonne
2014-07-19 16:57:51,7,2,0
2014-07-19 16:57:52,7,2,0
2014-07-19 16:57:53,5,2,0
2014-07-19 16:57:54,5,3,0
2014-07-19 16:57:55,7,3,0
2014-07-19 16:57:56,7,3,0
2014-07-19 16:57:57,6,3,2
2014-07-19 16:57:58,6,3,7
2014-07-19 16:57:59,6,3,7
2014-07-19 16:58:00,6,3,7
2014-07-19 16:58:01,6,1,7
2014-07-19 16:58:02,6,1,7
2014-07-19 16:58:03,4,1,7
2014-07-19 16:58:04,4,1,7
2014-07-19 16:58:05,3,1,7
2014-07-19 16:58:06,3,1,7
2014-07-19 16:58:07,1,1,7
2014-07-19 16:58:08,1,1,7
2014-07-19 16:58:09,1,1,4
2014-07-19 16:58:10,8,1,7
2014-07-19 16:58:11,8,3,7
2014-07-19 16:58:12,8,3,4
2014-07-19 16:58:13,8,3,4
2014-07-19 16:58:14,8,3,7
2014-07-19 16:58:15,8,4,7
2014-07-19 16:58:16,8,3,6
2014-07-19 16:58:17,8,3,7
2014-07-19 16:58:18,8,3,7
2014-07-19 16:58:19,8,3,7
2014-07-19 16:58:20,8,1,7
2014-07-19 16:58:21,8,1,7
2014-07-19 16:58:22,3,1,7
2014-07-19 16:58:23,3,3,7
2014-07-19 16:58:24,3,3,4
2014-07-19 16:58:25,4,3,4
2014-07-19 16:58:26,2,2,4
2014-07-19 16:58:27,2,2,0
2014-07-19 16:58:28,2,2,0
2014-07-19 16:58:29,2,2,0
2014-07-19 16:58:30,2,3,0
2014-07-19 16:58:31,0,3,0
2014-07-19 16:58:32,0,3,0
2014-07-19 16:58:33,0,3,0
2014-07-19 16:58:34,2,3,2
2014-07-19 16:58:35,2,3,3
2014-07-19 16:58:36,2,3,1
2014-07-19 16:58:37,2,1,3
2014-07-19 16:58:38,2,2,1
2014-07-19 16:58:39,0,0,1
2014-07-19 16:58:40,2,2,1
2014-07-19 16:58:41,2,2,1
2014-07-19 16:58:42,2,1,1
2014-07-19 16:58:43,1,3,1
2014-07-19 16:58:44,1,3,1
2014-07-19 16:58:45,2,3,1
2014-07-19 16:58:46,2,3,1
2014-07-19 16:58:47,2,3,1
2014-07-19 16:58:48,2,1,1
2014-07-19 16:58:49,5,1,2
2014-07-19 16:58:50,5,3,1
2014-07-19 16:58:51,5,1,1
2014-07-19 16:58:52,5,1,1
2014-07-19 16:58:53,5,1,1
2014-07-19 16:58:54,5,1,1
2014-07-19 16:58:55,5,1,1
2014-07-19 16:58:56,2,1,1
2014-07-19 16:58:57,5,1,1
2014-07-19 16:58:58,5,1,1
2014-07-19 16:58:59,3,1,1
2014-07-19 16:59:00,3,1,1
2014-07-19 16:59:01,3,1,1
2014-07-19 16:59:02,7,1,1
2014-07-19 16:59:03,7,1,1
2014-07-19 16:59:04,7,1,1
2014-07-19 16:59:05,8,1,1
2014-07-19 16:59:06,7,1,1
2014-07-19 16:59:07,7,1,1
2014-07-19 16:59:08,7,1,1
2014-07-19 16:59:09,7,1,1
2014-07-19 16:59:10,7,1,1
2014-07-19 16:59:11,4,1,1
2014-07-19 16:59:12,4,1,1
2014-07-19 16:59:13,4,1,1
2014-07-19 16:59:14,4,1,1
2014-07-19 16:59:15,4,1,1
2014-07-19 16:59:16,4,1,1
2014-07-19 16:59:17,4,1,1
2014-07-19 16:59:18,4,1,1
2014-07-19 16:59:19,4,1,1
2014-07-19 16:59:20,7,1,1
2014-07-19 16:59:21,4,1,1
2014-07-19 16:59:22,4,1,1
2014-07-19 16:59:23,4,1,1
2014-07-19 16:59:24,2,3,1
2014-07-19 16:59:25,2,4,1
2014-07-19 16:59:26,2,0,1
2014-07-19 16:59:27,1,0,1
2014-07-19 16:59:28,1,2,1
2014-07-19 16:59:29,1,2,1
2014-07-19 16:59:30,3,2,1
2014-07-19 16:59:31,1,2,1
2014-07-19 16:59:32,2,2,1
2014-07-19 16:59:33,1,2,1
2014-07-19 16:59:34,3,2,1
2014-07-19 16:59:35,3,2,1
2014-07-19 16:59:36,3,1,1
2014-07-19 16:59:37,3,8,1
2014-07-19 16:59:38,3,8,1
2014-07-19 16:59:39,3,8,1
2014-07-19 16:59:40,3,8,1
2014-07-19 16:59:41,3,8,1
2014-07-19 16:59:42,3,8,1
2014-07-19 16:59:43,4,8,1
2014-07-19 16:59:44,5,8,1
2014-07-19 16:59:45,5,8,1
2014-07-19 16:59:46,7,2,3
2014-07-19 16:59:47,7,8,3
2014-07-19 16:59:48,7,8,3
2014-07-19 16:59:49,7,2,3
2014-07-19 16:59:50,7,2,1
2014-07-19 16:59:51,7,2,1
2014-07-19 16:59:52,7,2,1
2014-07-19 16:59:53,7,0,3
2014-07-19 16:59:54,5,0,3
2014-07-19 16:59:55,5,0,3
2014-07-19 16:59:56,7,2,3
2014-07-19 16:59:57,7,2,3
2014-07-19 16:59:58,7,2,3
2014-07-19 16:59:59,6,8,3
2014-07-19 17:00:00,6,8,3
2014-07-19 17:00:01,6,2,3
2014-07-19 17:00:02,7,8,3
2014-07-19 17:00:03,7,8,3
2014-07-19 17:00:04,7,2,3
2014-07-19 17:00:05,5,2,3
2014-07-19 17:00:06,7,3,3
2014-07-19 17:00:07,7,3,3
2014-07-19 17:00:08,7,3,3
2014-07-19 17:00:09,6,3,3
2014-07-19 17:00:10,7,8,3
2014-07-19 17:00:11,7,2,2
2014-07-19 17:00:12,8,2,3
2014-07-19 17:00:13,8,2,3
2014-07-19 17:00:14,8,2,3
2014-07-19 17:00:15,7,2,3
2014-07-19 17:00:16,7,8,3
2014-07-19 17:00:17,6,8,3
2014-07-19 17:00:18,6,8,2
2014-07-19 17:00:19,6,3,3
2014-07-19 17:00:20,6,3,3
2014-07-19 17:00:21,6,3,2
2014-07-19 17:00:22,7,8,2
2014-07-19 17:00:23,7,8,2
