time,jonathan,christina,yvonne,charles
2014-08-24 14:04:55,7,7,6,7
2014-08-24 14:04:56,7,7,6,7
2014-08-24 14:04:57,7,7,7,7
2014-08-24 14:04:58,7,7,7,7
2014-08-24 14:04:59,7,7,7,7
2014-08-24 14:05:00,7,7,7,7
2014-08-24 14:05:01,7,7,7,7
2014-08-24 14:05:02,7,7,7,7
2014-08-24 14:05:03,7,7,7,7
2014-08-24 14:05:04,7,7,6,7
2014-08-24 14:05:05,7,7,7,7
2014-08-24 14:05:06,7,7,7,7
2014-08-24 14:05:07,7,8,7,7
2014-08-24 14:05:08,7,8,7,7
2014-08-24 14:05:09,7,7,7,7
2014-08-24 14:05:10,7,8,7,7
2014-08-24 14:05:11,7,8,7,7
2014-08-24 14:05:12,7,7,7,7
2014-08-24 14:05:13,7,7,7,7
2014-08-24 14:05:14,7,7,7,7
2014-08-24 14:05:15,7,7,7,7
2014-08-24 14:05:16,7,7,6,7
2014-08-24 14:05:17,7,7,6,7
2014-08-24 14:05:18,7,7,6,7
2014-08-24 14:05:19,7,7,6,7
2014-08-24 14:05:20,7,7,6,7
2014-08-24 14:05:21,7,7,7,7
2014-08-24 14:05:22,7,7,6,7
2014-08-24 14:05:23,7,7,7,7
2014-08-24 14:05:24,7,7,7,7
2014-08-24 14:05:25,7,7,7,7
2014-08-24 14:05:26,7,7,6,7
2014-08-24 14:05:27,7,7,6,7
2014-08-24 14:05:28,7,7,6,7
2014-08-24 14:05:29,7,7,6,7
2014-08-24 14:05:30,7,7,6,7
2014-08-24 14:05:31,7,7,6,7
2014-08-24 14:05:32,7,7,6,7
2014-08-24 14:05:33,7,7,6,7
2014-08-24 14:05:34,7,7,6,7
2014-08-24 14:05:35,7,7,6,7
2014-08-24 14:05:36,7,7,6,7
2014-08-24 14:05:37,7,4,6,7
2014-08-24 14:05:38,7,7,6,7
2014-08-24 14:05:39,7,7,7,7
2014-08-24 14:05:40,7,7,6,7
2014-08-24 14:05:41,7,7,6,7
2014-08-24 14:05:42,7,7,6,7
2014-08-24 14:05:43,7,7,6,7
2014-08-24 14:05:44,7,7,6,7
2014-08-24 14:05:45,7,7,6,7
2014-08-24 14:05:46,7,7,6,7
2014-08-24 14:05:47,7,7,6,7
2014-08-24 14:05:48,7,7,7,7
2014-08-24 14:05:49,7,7,7,7
2014-08-24 14:05:50,7,7,7,7
2014-08-24 14:05:51,7,7,7,7
2014-08-24 14:05:52,7,7,7,7
2014-08-24 14:05:53,7,7,7,7
2014-08-24 14:05:54,7,7,7,7
2014-08-24 14:05:55,7,7,7,7
2014-08-24 14:05:56,7,7,7,7
2014-08-24 14:05:57,7,7,7,7
2014-08-24 14:05:58,7,7,7,7
2014-08-24 14:05:59,7,7,7,7
2014-08-24 14:06:00,7,7,6,7
2014-08-24 14:06:01,7,7,7,7
2014-08-24 14:06:02,7,7,6,7
2014-08-24 14:06:03,7,7,4,7
2014-08-24 14:06:04,7,7,4,7
2014-08-24 14:06:05,7,7,4,7
2014-08-24 14:06:06,7,7,4,7
2014-08-24 14:06:07,7,7,3,7
2014-08-24 14:06:08,7,7,3,7
2014-08-24 14:06:09,7,7,3,7
2014-08-24 14:06:10,7,7,4,7
2014-08-24 14:06:11,7,7,4,7
2014-08-24 14:06:12,7,7,4,7
2014-08-24 14:06:13,7,7,6,7
2014-08-24 14:06:14,7,7,6,7
2014-08-24 14:06:15,7,7,7,7
2014-08-24 14:06:16,7,7,7,7
2014-08-24 14:06:17,7,7,7,7
2014-08-24 14:06:18,7,7,7,7
2014-08-24 14:06:19,7,7,7,7
2014-08-24 14:06:20,7,7,7,7
2014-08-24 14:06:21,7,7,7,7
2014-08-24 14:06:22,7,7,6,7
2014-08-24 14:06:23,7,7,6,7
2014-08-24 14:06:24,7,7,6,7
2014-08-24 14:06:25,7,7,6,7
2014-08-24 14:06:26,7,7,6,7
2014-08-24 14:06:27,7,7,6,7
2014-08-24 14:06:28,7,7,4,7
2014-08-24 14:06:29,7,7,4,7
2014-08-24 14:06:30,7,7,4,8
2014-08-24 14:06:31,7,7,4,7
2014-08-24 14:06:32,7,7,6,8
2014-08-24 14:06:33,7,7,4,7
2014-08-24 14:06:34,7,7,6,8
2014-08-24 14:06:35,7,7,6,7
2014-08-24 14:06:36,7,7,7,7
2014-08-24 14:06:37,7,7,6,7
2014-08-24 14:06:38,7,7,6,7
2014-08-24 14:06:39,7,7,6,7
2014-08-24 14:06:40,7,7,6,7
2014-08-24 14:06:41,7,7,6,8
2014-08-24 14:06:42,5,7,7,7
2014-08-24 14:06:43,4,4,4,8
2014-08-24 14:06:44,4,0,7,6
2014-08-24 14:06:45,4,0,4,6
2014-08-24 14:06:46,4,0,4,6
2014-08-24 14:06:47,4,0,0,6
2014-08-24 14:06:48,4,0,0,6
2014-08-24 14:06:49,6,4,4,4
2014-08-24 14:06:50,6,4,4,7
2014-08-24 14:06:51,6,4,4,7
2014-08-24 14:06:52,6,4,4,7
2014-08-24 14:06:53,6,4,4,7
2014-08-24 14:06:54,4,4,4,4
2014-08-24 14:06:55,7,4,2,7
2014-08-24 14:06:56,7,4,2,7
2014-08-24 14:06:57,7,4,2,7
2014-08-24 14:06:58,7,4,2,7
2014-08-24 14:06:59,4,4,2,7
2014-08-24 14:07:00,6,4,2,6
2014-08-24 14:07:01,6,4,2,7
2014-08-24 14:07:02,6,4,2,7
2014-08-24 14:07:03,6,7,2,7
2014-08-24 14:07:04,6,7,2,7
2014-08-24 14:07:05,8,7,0,7
2014-08-24 14:07:06,8,7,0,7
2014-08-24 14:07:07,8,4,4,8
2014-08-24 14:07:08,8,7,4,7
2014-08-24 14:07:09,8,7,4,7
2014-08-24 14:07:10,3,4,4,7
2014-08-24 14:07:11,4,7,4,7
2014-08-24 14:07:12,4,4,4,7
2014-08-24 14:07:13,4,4,8,7
2014-08-24 14:07:14,4,7,8,7
2014-08-24 14:07:15,4,7,2,7
2014-08-24 14:07:16,6,7,2,7
2014-08-24 14:07:17,4,7,3,7
2014-08-24 14:07:18,7,7,4,6
2014-08-24 14:07:19,7,7,4,8
2014-08-24 14:07:20,7,7,4,8
2014-08-24 14:07:21,7,7,4,8
2014-08-24 14:07:22,8,4,4,7
2014-08-24 14:07:23,8,4,4,4
2014-08-24 14:07:24,8,4,4,4
2014-08-24 14:07:25,8,4,4,4
2014-08-24 14:07:26,8,4,4,4
2014-08-24 14:07:27,4,4,8,4
2014-08-24 14:07:28,4,4,4,4
2014-08-24 14:07:29,4,4,4,4
2014-08-24 14:07:30,4,4,4,4
2014-08-24 14:07:31,4,4,4,4
2014-08-24 14:07:32,8,4,4,4
2014-08-24 14:07:33,8,4,3,4
2014-08-24 14:07:34,4,4,3,7
2014-08-24 14:07:35,4,4,4,7
2014-08-24 14:07:36,4,4,4,7
2014-08-24 14:07:37,8,4,4,7
2014-08-24 14:07:38,8,4,4,4
2014-08-24 14:07:39,8,4,4,4
2014-08-24 14:07:40,8,4,4,4
2014-08-24 14:07:41,8,4,4,4
2014-08-24 14:07:42,5,4,4,4
2014-08-24 14:07:43,2,4,4,3
2014-08-24 14:07:44,2,4,4,2
2014-08-24 14:07:45,2,2,2,2
2014-08-24 14:07:46,2,2,2,2
2014-08-24 14:07:47,2,2,2,2
2014-08-24 14:07:48,2,2,2,2
2014-08-24 14:07:49,2,2,2,2
2014-08-24 14:07:50,2,2,2,2
2014-08-24 14:07:51,2,2,2,2
2014-08-24 14:07:52,2,2,2,2
