time,jonathan,yvonne,christina,charles
2014-04-28 19:37:13,0,0,0,0
2014-04-28 19:37:14,0,0,0,0
2014-04-28 19:37:15,0,0,0,0
2014-04-28 19:37:16,0,0,0,0
2014-04-28 19:37:17,0,0,0,0
2014-04-28 19:37:18,0,0,0,0
2014-04-28 19:37:19,0,0,0,0
2014-04-28 19:37:20,0,0,0,0
2014-04-28 19:37:21,0,0,0,0
2014-04-28 19:37:22,0,0,0,0
2014-04-28 19:37:23,0,0,0,0
2014-04-28 19:37:24,0,0,0,0
2014-04-28 19:37:25,0,0,0,0
2014-04-28 19:37:26,2,0,0,0
2014-04-28 19:37:27,2,0,0,0
2014-04-28 19:37:28,2,0,0,0
2014-04-28 19:37:29,1,0,0,0
2014-04-28 19:37:30,1,0,0,0
2014-04-28 19:37:31,1,0,0,0
2014-04-28 19:37:32,1,0,0,0
2014-04-28 19:37:33,2,0,0,0
2014-04-28 19:37:34,2,2,0,0
2014-04-28 19:37:35,0,2,0,0
2014-04-28 19:37:36,0,4,0,0
2014-04-28 19:37:37,0,3,0,0
2014-04-28 19:37:38,2,3,0,0
2014-04-28 19:37:39,2,3,0,0
2014-04-28 19:37:40,2,3,0,0
2014-04-28 19:37:41,2,3,0,0
2014-04-28 19:37:42,2,3,0,0
2014-04-28 19:37:43,2,3,0,0
2014-04-28 19:37:44,2,3,0,0
2014-04-28 19:37:45,2,3,0,0
2014-04-28 19:37:46,2,3,0,0
2014-04-28 19:37:47,2,3,0,0
2014-04-28 19:37:48,2,3,0,0
2014-04-28 19:37:49,2,4,0,0
2014-04-28 19:37:50,2,4,0,0
2014-04-28 19:37:51,2,8,2,0
2014-04-28 19:37:52,2,2,8,0
2014-04-28 19:37:53,2,0,8,0
2014-04-28 19:37:54,2,0,8,0
2014-04-28 19:37:55,4,0,8,0
2014-04-28 19:37:56,4,0,7,0
2014-04-28 19:37:57,6,0,7,0
2014-04-28 19:37:58,6,0,7,0
2014-04-28 19:37:59,7,0,7,0
2014-04-28 19:38:00,7,0,7,0
2014-04-28 19:38:01,7,3,8,0
2014-04-28 19:38:02,4,3,8,0
2014-04-28 19:38:03,4,4,8,0
2014-04-28 19:38:04,4,4,8,0
2014-04-28 19:38:05,3,4,6,0
2014-04-28 19:38:06,2,4,2,0
2014-04-28 19:38:07,1,4,3,0
2014-04-28 19:38:08,1,4,3,0
2014-04-28 19:38:09,1,3,3,4
2014-04-28 19:38:10,2,3,3,4
2014-04-28 19:38:11,2,0,3,4
2014-04-28 19:38:12,0,0,3,4
2014-04-28 19:38:13,2,0,3,4
2014-04-28 19:38:14,1,0,3,4
2014-04-28 19:38:15,1,0,3,4
2014-04-28 19:38:16,1,0,3,4
2014-04-28 19:38:17,1,0,3,0
2014-04-28 19:38:18,1,0,3,4
2014-04-28 19:38:19,2,0,1,8
2014-04-28 19:38:20,0,0,1,8
2014-04-28 19:38:21,0,0,1,8
2014-04-28 19:38:22,0,0,1,8
2014-04-28 19:38:23,0,0,1,8
2014-04-28 19:38:24,0,0,1,8
2014-04-28 19:38:25,0,0,1,4
2014-04-28 19:38:26,0,0,1,4
2014-04-28 19:38:27,0,0,1,4
2014-04-28 19:38:28,0,0,1,4
2014-04-28 19:38:29,0,0,3,4
2014-04-28 19:38:30,0,0,1,4
2014-04-28 19:38:31,0,0,1,4
2014-04-28 19:38:32,0,0,1,4
2014-04-28 19:38:33,0,0,2,4
2014-04-28 19:38:34,0,0,0,4
2014-04-28 19:38:35,0,0,0,3
2014-04-28 19:38:36,0,0,0,3
2014-04-28 19:38:37,0,0,0,3
2014-04-28 19:38:38,0,0,0,3
2014-04-28 19:38:39,0,0,0,3
2014-04-28 19:38:40,0,0,0,3
2014-04-28 19:38:41,0,0,0,4
2014-04-28 19:38:42,0,0,0,2
2014-04-28 19:38:43,4,0,0,4
2014-04-28 19:38:44,4,0,0,3
2014-04-28 19:38:45,4,0,0,3
2014-04-28 19:38:46,4,0,0,3
2014-04-28 19:38:47,4,0,0,3
2014-04-28 19:38:48,4,0,0,3
2014-04-28 19:38:49,4,0,0,4
2014-04-28 19:38:50,3,0,0,1
2014-04-28 19:38:51,3,0,0,1
2014-04-28 19:38:52,3,0,0,1
2014-04-28 19:38:53,3,0,0,1
2014-04-28 19:38:54,1,0,0,1
2014-04-28 19:38:55,1,0,0,3
2014-04-28 19:38:56,0,0,0,3
2014-04-28 19:38:57,0,0,0,7
2014-04-28 19:38:58,0,0,0,7
2014-04-28 19:38:59,0,0,0,8
2014-04-28 19:39:00,0,0,0,0
2014-04-28 19:39:01,0,0,0,0
2014-04-28 19:39:02,0,0,0,0
