time,christina,charles_ipadair,yvonne,jonathan_iPad2,charles,jonathan,6EAD764A-E424-48EB-9672-03EF44679A5E
2014-03-15 12:58:24,6,7,6,7,6,7,7
2014-03-15 12:58:25,8,8,8,8,8,8,8
2014-03-15 12:58:26,8,8,8,8,8,8,8
2014-03-15 12:58:27,7,7,6,8,6,7,8
2014-03-15 12:58:28,7,7,6,8,6,8,8
2014-03-15 12:58:29,6,7,6,7,6,7,7
2014-03-15 12:58:30,6,6,6,8,6,7,8
2014-03-15 12:58:31,6,8,8,8,6,7,8
2014-03-15 12:58:32,6,7,6,8,6,7,8
2014-03-15 12:58:33,8,8,8,8,8,7,8
2014-03-15 12:58:34,8,8,8,8,8,7,8
2014-03-15 12:58:35,6,7,7,8,6,7,8
2014-03-15 12:58:36,8,8,7,8,8,7,7
2014-03-15 12:58:37,6,7,7,7,6,6,7
2014-03-15 12:58:38,6,7,7,8,6,6,7
2014-03-15 12:58:39,6,7,7,8,6,6,7
2014-03-15 12:58:40,6,7,7,7,6,7,7
2014-03-15 12:58:41,6,8,7,8,6,8,7
2014-03-15 12:58:42,6,8,7,8,8,8,8
2014-03-15 12:58:43,6,7,7,7,6,7,7
2014-03-15 12:58:44,8,8,7,8,8,8,8
2014-03-15 12:58:45,8,8,8,8,8,8,8
2014-03-15 12:58:46,6,7,7,8,6,7,8
2014-03-15 12:58:47,8,7,8,8,8,8,8
2014-03-15 12:58:48,8,7,8,8,8,8,8
2014-03-15 12:58:49,6,6,7,8,6,7,8
2014-03-15 12:58:50,8,6,8,8,8,8,8
2014-03-15 12:58:51,6,6,7,7,6,7,7
2014-03-15 12:58:52,6,6,7,8,6,7,8
2014-03-15 12:58:53,8,8,8,8,8,7,8
2014-03-15 12:58:54,6,7,6,7,6,7,7
2014-03-15 12:58:55,6,7,6,8,6,4,8
2014-03-15 12:58:56,8,8,6,8,6,7,8
2014-03-15 12:58:57,6,7,6,7,6,7,7
2014-03-15 12:58:58,6,8,8,8,6,7,8
2014-03-15 12:58:59,6,7,8,8,6,7,8
2014-03-15 12:59:00,4,4,6,7,4,7,7
2014-03-15 12:59:01,4,4,8,7,4,4,7
2014-03-15 12:59:02,8,4,8,7,8,4,4
2014-03-15 12:59:03,2,3,6,4,2,4,4
2014-03-15 12:59:04,2,3,6,4,2,4,8
2014-03-15 12:59:05,2,3,6,4,2,8,8
2014-03-15 12:59:06,2,8,6,4,2,4,2
2014-03-15 12:59:07,2,8,6,4,2,4,2
2014-03-15 12:59:08,2,8,6,4,2,4,2
2014-03-15 12:59:09,2,8,6,4,2,7,2
2014-03-15 12:59:10,2,8,7,4,2,7,2
2014-03-15 12:59:11,2,8,7,4,2,7,2
2014-03-15 12:59:12,2,8,7,4,2,7,2
2014-03-15 12:59:13,2,8,4,4,2,6,2
2014-03-15 12:59:14,2,8,6,4,2,6,2
2014-03-15 12:59:15,2,8,4,4,2,6,2
2014-03-15 12:59:16,2,8,4,4,2,4,2
2014-03-15 12:59:17,2,8,6,4,2,4,2
2014-03-15 12:59:18,2,8,6,4,2,7,2
2014-03-15 12:59:19,2,8,6,4,2,4,2
2014-03-15 12:59:20,2,8,6,4,2,4,2
2014-03-15 12:59:21,2,8,6,4,2,7,2
2014-03-15 12:59:22,2,8,6,4,2,7,2
