time,jonathan,yvonne,christina,charles
2014-04-28 16:21:16,0,0,0,0
2014-04-28 16:21:17,0,0,0,0
2014-04-28 16:21:18,0,0,0,0
2014-04-28 16:21:19,8,0,0,0
2014-04-28 16:21:20,4,2,0,0
2014-04-28 16:21:21,4,2,0,0
2014-04-28 16:21:22,4,2,0,0
2014-04-28 16:21:23,4,2,0,0
2014-04-28 16:21:24,4,2,0,0
2014-04-28 16:21:25,0,0,0,0
2014-04-28 16:21:26,7,2,0,0
2014-04-28 16:21:27,7,2,0,0
2014-04-28 16:21:28,7,2,0,0
2014-04-28 16:21:29,4,8,0,0
2014-04-28 16:21:30,4,3,0,0
2014-04-28 16:21:31,2,8,0,0
2014-04-28 16:21:32,2,8,0,0
2014-04-28 16:21:33,3,8,0,0
2014-04-28 16:21:34,4,8,0,0
2014-04-28 16:21:35,4,8,0,4
2014-04-28 16:21:36,4,2,0,4
2014-04-28 16:21:37,7,8,0,4
2014-04-28 16:21:38,7,4,0,7
2014-04-28 16:21:39,4,4,0,7
2014-04-28 16:21:40,4,8,0,7
2014-04-28 16:21:41,4,4,0,7
2014-04-28 16:21:42,4,7,0,4
2014-04-28 16:21:43,4,4,0,4
2014-04-28 16:21:44,4,4,4,4
2014-04-28 16:21:45,4,4,4,4
2014-04-28 16:21:46,2,2,4,4
2014-04-28 16:21:47,2,2,7,4
2014-04-28 16:21:48,3,2,7,4
2014-04-28 16:21:49,3,2,7,0
2014-04-28 16:21:50,4,2,7,0
2014-04-28 16:21:51,4,3,8,0
2014-04-28 16:21:52,4,4,7,0
2014-04-28 16:21:53,4,4,7,0
2014-04-28 16:21:54,4,8,7,0
2014-04-28 16:21:55,4,3,4,0
2014-04-28 16:21:56,2,3,4,0
2014-04-28 16:21:57,2,3,3,0
2014-04-28 16:21:58,2,4,0,0
2014-04-28 16:21:59,2,4,0,0
2014-04-28 16:22:00,2,4,0,0
2014-04-28 16:22:01,0,8,0,0
2014-04-28 16:22:02,0,8,0,0
2014-04-28 16:22:03,0,4,0,0
2014-04-28 16:22:04,0,2,0,0
2014-04-28 16:22:05,0,6,0,0
2014-04-28 16:22:06,0,6,0,0
2014-04-28 16:22:07,0,2,0,0
2014-04-28 16:22:08,0,2,0,0
2014-04-28 16:22:09,0,2,0,0
2014-04-28 16:22:10,0,2,0,0
2014-04-28 16:22:11,0,3,0,0
2014-04-28 16:22:12,2,8,0,3
2014-04-28 16:22:13,3,8,0,4
2014-04-28 16:22:14,3,8,0,4
2014-04-28 16:22:15,3,8,0,4
2014-04-28 16:22:16,1,4,0,4
2014-04-28 16:22:17,1,8,0,4
2014-04-28 16:22:18,3,8,0,4
2014-04-28 16:22:19,3,8,0,4
2014-04-28 16:22:20,3,8,0,4
2014-04-28 16:22:21,8,8,0,4
2014-04-28 16:22:22,4,8,0,4
2014-04-28 16:22:23,3,8,0,3
2014-04-28 16:22:24,0,0,0,0
2014-04-28 16:22:25,0,0,0,0
2014-04-28 16:22:26,0,0,0,0
2014-04-28 16:22:27,0,0,0,0
2014-04-28 16:22:28,0,0,0,0
2014-04-28 16:22:29,0,0,0,0
2014-04-28 16:22:30,0,0,0,0
2014-04-28 16:22:31,0,0,0,0
2014-04-28 16:22:32,2,3,0,0
2014-04-28 16:22:33,4,4,0,0
2014-04-28 16:22:34,8,8,0,0
2014-04-28 16:22:35,8,8,0,0
2014-04-28 16:22:36,8,3,0,0
2014-04-28 16:22:37,8,3,0,0
2014-04-28 16:22:38,8,3,0,0
2014-04-28 16:22:39,8,4,0,0
2014-04-28 16:22:40,8,4,0,0
2014-04-28 16:22:41,4,4,0,0
2014-04-28 16:22:42,7,4,0,0
2014-04-28 16:22:43,2,0,0,0
2014-04-28 16:22:44,0,0,0,0
2014-04-28 16:22:45,0,0,0,0
2014-04-28 16:22:46,0,0,0,0
2014-04-28 16:22:47,0,0,0,0
2014-04-28 16:22:48,0,0,0,0
2014-04-28 16:22:49,0,0,0,0
2014-04-28 16:22:50,0,0,0,0
2014-04-28 16:22:51,0,0,0,0
2014-04-28 16:22:52,0,0,0,0
2014-04-28 16:22:53,0,0,0,0
2014-04-28 16:22:54,0,0,0,0
2014-04-28 16:22:55,0,0,0,0
2014-04-28 16:22:56,0,0,0,0
2014-04-28 16:22:57,0,0,0,0
2014-04-28 16:22:58,0,0,0,0
2014-04-28 16:22:59,0,0,0,0
2014-04-28 16:23:00,0,0,0,0
2014-04-28 16:23:01,0,0,0,0
2014-04-28 16:23:02,0,0,0,0
2014-04-28 16:23:03,0,0,0,0
2014-04-28 16:23:04,0,0,0,0
2014-04-28 16:23:05,0,0,0,0
2014-04-28 16:23:06,0,0,0,0
2014-04-28 16:23:07,0,0,0,0
2014-04-28 16:23:08,0,0,0,0
2014-04-28 16:23:09,0,0,0,0
2014-04-28 16:23:10,0,0,0,0
2014-04-28 16:23:11,0,0,0,0
2014-04-28 16:23:12,0,0,0,0
2014-04-28 16:23:13,0,0,0,0
2014-04-28 16:23:14,0,0,0,0
2014-04-28 16:23:15,0,0,0,0
2014-04-28 16:23:16,0,0,0,0
2014-04-28 16:23:17,0,0,0,0
2014-04-28 16:23:18,0,0,0,0
2014-04-28 16:23:19,0,0,0,0
2014-04-28 16:23:20,0,0,0,0
2014-04-28 16:23:21,0,0,0,0
2014-04-28 16:23:22,0,0,0,0
2014-04-28 16:23:23,0,0,0,0
2014-04-28 16:23:24,0,0,0,0
2014-04-28 16:23:25,0,0,0,0
2014-04-28 16:23:26,0,0,0,0
2014-04-28 16:23:27,0,0,0,0
2014-04-28 16:23:28,0,0,0,0
2014-04-28 16:23:29,0,0,0,0
2014-04-28 16:23:30,0,0,0,0
2014-04-28 16:23:31,0,0,0,0
2014-04-28 16:23:32,0,0,0,0
2014-04-28 16:23:33,0,0,0,0
2014-04-28 16:23:34,0,0,0,0
2014-04-28 16:23:35,0,0,0,0
2014-04-28 16:23:36,0,0,0,0
2014-04-28 16:23:37,0,0,0,0
2014-04-28 16:23:38,0,0,0,0
2014-04-28 16:23:39,0,0,0,0
2014-04-28 16:23:40,0,0,0,0
2014-04-28 16:23:41,0,0,0,0
2014-04-28 16:23:42,0,0,0,0
2014-04-28 16:23:43,0,0,0,0
2014-04-28 16:23:44,0,0,0,0
2014-04-28 16:23:45,0,0,0,0
2014-04-28 16:23:46,0,0,0,0
2014-04-28 16:23:47,0,8,0,0
2014-04-28 16:23:48,0,3,0,0
2014-04-28 16:23:49,0,3,0,0
2014-04-28 16:23:50,0,1,0,0
2014-04-28 16:23:51,0,1,0,0
2014-04-28 16:23:52,0,1,0,0
2014-04-28 16:23:53,0,1,0,0
2014-04-28 16:23:54,0,1,0,0
2014-04-28 16:23:55,0,3,0,0
2014-04-28 16:23:56,0,3,0,0
2014-04-28 16:23:57,0,2,0,0
2014-04-28 16:23:58,0,0,0,0
2014-04-28 16:23:59,0,0,0,0
2014-04-28 16:24:00,0,0,0,0
2014-04-28 16:24:01,0,0,0,0
2014-04-28 16:24:02,0,0,0,0
2014-04-28 16:24:03,0,0,0,0
2014-04-28 16:24:04,0,2,0,0
2014-04-28 16:24:05,0,3,0,0
2014-04-28 16:24:06,0,0,0,0
2014-04-28 16:24:07,0,0,0,0
2014-04-28 16:24:08,0,0,0,0
2014-04-28 16:24:09,0,0,0,0
2014-04-28 16:24:10,0,0,0,0
2014-04-28 16:24:11,0,0,0,0
2014-04-28 16:24:12,0,0,0,0
2014-04-28 16:24:13,0,0,0,0
2014-04-28 16:24:14,0,0,0,0
2014-04-28 16:24:15,0,0,0,0
2014-04-28 16:24:16,0,0,0,0
2014-04-28 16:24:17,0,0,0,0
2014-04-28 16:24:18,0,0,0,0
2014-04-28 16:24:19,0,0,0,0
2014-04-28 16:24:20,0,0,0,0
2014-04-28 16:24:21,0,0,0,0
2014-04-28 16:24:22,0,0,0,0
2014-04-28 16:24:23,0,0,0,0
2014-04-28 16:24:24,0,0,0,0
2014-04-28 16:24:25,0,0,0,0
2014-04-28 16:24:26,0,0,0,0
2014-04-28 16:24:27,0,0,0,0
2014-04-28 16:24:28,0,0,0,0
2014-04-28 16:24:29,0,0,0,0
2014-04-28 16:24:30,0,0,0,0
2014-04-28 16:24:31,0,0,0,0
2014-04-28 16:24:32,0,0,0,0
