time,BD49B35A-8999-4987-9759-8D3F28D1292B,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,275913F5-90E9-4C82-B94C-29A8AA3B4C57,2FA454D2-F35D-45D6-BE5D-D848B409B713,7FC04E34-F3AE-4764-9432-DD032ED6C36B
2015-03-20 14:06:43,3,1,2,2,3
2015-03-20 14:06:44,3,1,2,2,3
2015-03-20 14:06:45,3,1,2,2,3
2015-03-20 14:06:46,3,1,2,2,3
2015-03-20 14:06:47,3,1,2,2,3
2015-03-20 14:06:48,3,1,2,2,3
2015-03-20 14:06:49,3,1,2,2,3
2015-03-20 14:06:50,3,3,2,2,3
2015-03-20 14:06:51,3,1,2,2,3
2015-03-20 14:06:52,3,1,2,2,3
2015-03-20 14:06:53,3,1,2,2,3
2015-03-20 14:06:54,3,1,2,2,3
2015-03-20 14:06:55,3,3,2,2,3
2015-03-20 14:06:56,3,3,2,2,3
2015-03-20 14:06:57,3,3,2,2,3
2015-03-20 14:06:58,3,3,2,2,1
2015-03-20 14:06:59,3,2,2,3,3
2015-03-20 14:07:00,3,2,2,2,3
2015-03-20 14:07:01,3,2,2,2,1
2015-03-20 14:07:02,3,3,2,2,1
2015-03-20 14:07:03,3,8,2,2,3
2015-03-20 14:07:04,3,8,2,2,3
2015-03-20 14:07:05,3,8,2,2,3
2015-03-20 14:07:06,4,8,2,2,3
2015-03-20 14:07:07,4,8,2,2,3
2015-03-20 14:07:08,4,8,2,2,3
2015-03-20 14:07:09,4,8,2,2,3
2015-03-20 14:07:10,4,8,2,2,3
2015-03-20 14:07:11,4,8,2,2,3
2015-03-20 14:07:12,4,8,2,3,4
2015-03-20 14:07:13,4,8,2,8,4
2015-03-20 14:07:14,4,8,2,8,4
2015-03-20 14:07:15,4,8,2,8,4
2015-03-20 14:07:16,4,8,2,8,4
2015-03-20 14:07:17,4,8,2,8,4
2015-03-20 14:07:18,4,8,2,8,4
2015-03-20 14:07:19,4,8,2,8,4
2015-03-20 14:07:20,4,8,2,8,4
2015-03-20 14:07:21,4,8,2,8,4
2015-03-20 14:07:22,4,8,2,8,4
2015-03-20 14:07:23,7,8,2,8,4
2015-03-20 14:07:24,7,8,2,8,4
2015-03-20 14:07:25,7,8,2,8,4
2015-03-20 14:07:26,7,8,2,8,4
2015-03-20 14:07:27,7,8,2,8,4
2015-03-20 14:07:28,7,8,2,8,4
2015-03-20 14:07:29,7,8,2,3,4
2015-03-20 14:07:30,7,8,2,3,4
2015-03-20 14:07:31,7,8,2,3,4
2015-03-20 14:07:32,7,8,2,3,4
2015-03-20 14:07:33,7,8,2,3,4
2015-03-20 14:07:34,7,8,2,3,4
2015-03-20 14:07:35,7,8,2,3,4
2015-03-20 14:07:36,7,8,2,3,4
2015-03-20 14:07:37,7,8,2,3,4
2015-03-20 14:07:38,7,8,2,3,4
2015-03-20 14:07:39,7,8,2,8,4
2015-03-20 14:07:40,7,8,2,3,4
2015-03-20 14:07:41,7,8,2,3,4
2015-03-20 14:07:42,7,8,2,3,4
2015-03-20 14:07:43,7,8,2,3,4
2015-03-20 14:07:44,7,8,2,3,4
2015-03-20 14:07:45,7,8,2,3,4
2015-03-20 14:07:46,7,8,2,8,4
2015-03-20 14:07:47,7,8,2,4,4
2015-03-20 14:07:48,7,8,2,4,4
2015-03-20 14:07:49,7,8,2,4,4
2015-03-20 14:07:50,7,8,2,4,3
2015-03-20 14:07:51,7,8,2,4,4
2015-03-20 14:07:52,7,8,2,4,4
2015-03-20 14:07:53,8,8,2,4,4
2015-03-20 14:07:54,7,4,2,4,4
2015-03-20 14:07:55,7,4,2,4,4
2015-03-20 14:07:56,7,3,2,4,8
2015-03-20 14:07:57,8,3,2,4,8
2015-03-20 14:07:58,7,3,2,4,8
2015-03-20 14:07:59,8,3,2,4,8
2015-03-20 14:08:00,8,3,2,4,8
2015-03-20 14:08:01,8,3,2,4,8
2015-03-20 14:08:02,8,3,2,4,8
2015-03-20 14:08:03,8,3,2,4,8
2015-03-20 14:08:04,8,3,2,4,8
2015-03-20 14:08:05,8,8,2,4,8
2015-03-20 14:08:06,8,8,2,4,8
2015-03-20 14:08:07,8,8,2,4,8
2015-03-20 14:08:08,8,7,2,4,7
2015-03-20 14:08:09,8,7,2,4,7
2015-03-20 14:08:10,8,7,2,4,8
2015-03-20 14:08:11,8,8,2,4,7
2015-03-20 14:08:12,8,7,2,4,7
2015-03-20 14:08:13,8,8,2,4,8
2015-03-20 14:08:14,8,7,2,4,7
2015-03-20 14:08:15,8,7,8,4,7
2015-03-20 14:08:16,8,8,8,4,7
2015-03-20 14:08:17,8,8,8,4,8
2015-03-20 14:08:18,8,8,8,4,7
2015-03-20 14:08:19,8,8,7,4,8
2015-03-20 14:08:20,8,8,8,4,8
2015-03-20 14:08:21,4,8,8,4,8
2015-03-20 14:08:22,4,8,8,4,8
2015-03-20 14:08:23,4,8,7,4,8
2015-03-20 14:08:24,4,8,8,4,7
2015-03-20 14:08:25,4,8,8,4,8
2015-03-20 14:08:26,3,8,7,4,8
2015-03-20 14:08:27,0,8,8,4,8
2015-03-20 14:08:28,2,8,8,4,8
2015-03-20 14:08:29,2,8,8,4,8
2015-03-20 14:08:30,2,8,7,4,8
2015-03-20 14:08:31,3,8,8,4,8
2015-03-20 14:08:32,4,8,8,4,8
2015-03-20 14:08:33,4,8,8,4,4
2015-03-20 14:08:34,4,8,8,4,4
2015-03-20 14:08:35,4,8,8,4,4
2015-03-20 14:08:36,4,8,8,4,4
2015-03-20 14:08:37,4,8,8,4,4
2015-03-20 14:08:38,8,8,8,4,4
2015-03-20 14:08:39,8,8,8,4,4
2015-03-20 14:08:40,8,8,8,4,4
2015-03-20 14:08:41,8,8,8,4,4
2015-03-20 14:08:42,3,8,8,4,4
2015-03-20 14:08:43,3,8,8,4,4
2015-03-20 14:08:44,2,8,8,4,4
2015-03-20 14:08:45,3,8,8,4,4
2015-03-20 14:08:46,3,4,8,7,4
2015-03-20 14:08:47,3,8,8,7,4
2015-03-20 14:08:48,3,8,8,7,8
2015-03-20 14:08:49,3,7,7,7,8
2015-03-20 14:08:50,3,7,7,8,7
2015-03-20 14:08:51,2,5,7,8,7
2015-03-20 14:08:52,2,5,7,8,8
2015-03-20 14:08:53,2,5,7,8,7
2015-03-20 14:08:54,5,5,7,8,8
2015-03-20 14:08:55,7,5,7,8,8
2015-03-20 14:08:56,7,5,7,8,8
2015-03-20 14:08:57,7,7,7,7,8
2015-03-20 14:08:58,7,7,7,7,8
2015-03-20 14:08:59,5,7,7,7,7
2015-03-20 14:09:00,5,7,7,7,7
2015-03-20 14:09:01,5,7,7,7,7
2015-03-20 14:09:02,5,7,7,8,7
2015-03-20 14:09:03,5,7,7,8,7
2015-03-20 14:09:04,7,7,7,8,7
2015-03-20 14:09:05,7,6,7,8,7
2015-03-20 14:09:06,7,6,7,8,6
2015-03-20 14:09:07,7,7,7,8,6
2015-03-20 14:09:08,7,7,7,8,6
2015-03-20 14:09:09,7,7,7,8,6
2015-03-20 14:09:10,7,7,7,7,6
2015-03-20 14:09:11,7,7,7,7,6
2015-03-20 14:09:12,7,7,7,7,6
2015-03-20 14:09:13,7,7,7,7,7
2015-03-20 14:09:14,7,7,7,7,6
2015-03-20 14:09:15,7,7,7,8,7
2015-03-20 14:09:16,7,7,7,8,6
2015-03-20 14:09:17,7,7,7,7,6
2015-03-20 14:09:18,7,7,7,7,6
2015-03-20 14:09:19,7,7,7,7,6
2015-03-20 14:09:20,6,7,7,7,6
2015-03-20 14:09:21,6,7,7,3,6
2015-03-20 14:09:22,6,8,7,2,6
2015-03-20 14:09:23,6,8,7,1,7
2015-03-20 14:09:24,6,8,7,1,7
2015-03-20 14:09:25,6,8,7,1,3
2015-03-20 14:09:26,6,8,7,1,3
2015-03-20 14:09:27,3,8,8,1,1
2015-03-20 14:09:28,3,8,3,1,1
2015-03-20 14:09:29,1,8,8,1,1
2015-03-20 14:09:30,1,8,8,8,1
2015-03-20 14:09:31,1,8,8,8,1
2015-03-20 14:09:32,1,8,8,8,8
2015-03-20 14:09:33,1,8,8,1,8
2015-03-20 14:09:34,1,8,8,1,8
2015-03-20 14:09:35,1,1,8,8,8
2015-03-20 14:09:36,1,1,8,8,8
2015-03-20 14:09:37,1,1,8,8,8
2015-03-20 14:09:38,1,1,8,8,8
2015-03-20 14:09:39,1,1,8,8,8
2015-03-20 14:09:40,1,1,8,8,8
2015-03-20 14:09:41,1,1,8,8,1
2015-03-20 14:09:42,1,1,8,8,1
2015-03-20 14:09:43,1,1,8,8,8
2015-03-20 14:09:44,1,1,8,8,8
