time,charles,jonathan
2014-04-28 19:11:37,0,2
2014-04-28 19:11:38,0,2
2014-04-28 19:11:39,0,0
2014-04-28 19:11:40,0,0
2014-04-28 19:11:41,0,0
2014-04-28 19:11:42,2,0
2014-04-28 19:11:43,2,0
2014-04-28 19:11:44,3,0
2014-04-28 19:11:45,3,0
2014-04-28 19:11:46,3,0
2014-04-28 19:11:47,3,0
2014-04-28 19:11:48,2,0
2014-04-28 19:11:49,0,0
2014-04-28 19:11:50,0,0
2014-04-28 19:11:51,0,0
2014-04-28 19:11:52,0,0
2014-04-28 19:11:53,0,0
2014-04-28 19:11:54,0,0
2014-04-28 19:11:55,2,0
2014-04-28 19:11:56,2,0
2014-04-28 19:11:57,2,0
2014-04-28 19:11:58,2,0
2014-04-28 19:11:59,2,0
2014-04-28 19:12:00,2,0
2014-04-28 19:12:01,2,0
2014-04-28 19:12:02,2,0
2014-04-28 19:12:03,2,0
2014-04-28 19:12:04,2,0
2014-04-28 19:12:05,2,0
2014-04-28 19:12:06,3,0
2014-04-28 19:12:07,3,0
2014-04-28 19:12:08,3,0
2014-04-28 19:12:09,2,0
2014-04-28 19:12:10,2,0
2014-04-28 19:12:11,0,8
2014-04-28 19:12:12,0,4
2014-04-28 19:12:13,0,4
2014-04-28 19:12:14,0,7
2014-04-28 19:12:15,0,7
2014-04-28 19:12:16,0,7
2014-04-28 19:12:17,0,7
2014-04-28 19:12:18,0,8
2014-04-28 19:12:19,0,7
2014-04-28 19:12:20,0,7
2014-04-28 19:12:21,0,7
2014-04-28 19:12:22,0,7
2014-04-28 19:12:23,0,7
2014-04-28 19:12:24,0,7
2014-04-28 19:12:25,0,7
2014-04-28 19:12:26,0,0
2014-04-28 19:12:27,0,0
2014-04-28 19:12:28,0,0
2014-04-28 19:12:29,0,0
2014-04-28 19:12:30,0,0
2014-04-28 19:12:31,0,0
2014-04-28 19:12:32,0,0
2014-04-28 19:12:33,0,0
2014-04-28 19:12:34,0,0
2014-04-28 19:12:35,0,0
2014-04-28 19:12:36,0,0
2014-04-28 19:12:37,0,0
2014-04-28 19:12:38,0,0
2014-04-28 19:12:39,0,0
2014-04-28 19:12:40,0,0
2014-04-28 19:12:41,0,0
2014-04-28 19:12:42,0,0
2014-04-28 19:12:43,0,0
2014-04-28 19:12:44,0,0
2014-04-28 19:12:45,0,0
2014-04-28 19:12:46,0,0
2014-04-28 19:12:47,0,0
2014-04-28 19:12:48,0,0
