time,9A5116EA-2793-4C75-AC93-524C9EF550FD,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-05-07 18:42:52,2,1,4,2
2015-05-07 18:42:53,2,1,4,2
2015-05-07 18:42:54,2,1,4,2
2015-05-07 18:42:55,2,1,4,2
2015-05-07 18:42:56,2,1,4,2
2015-05-07 18:42:57,2,1,4,2
2015-05-07 18:42:58,2,1,4,2
2015-05-07 18:42:59,2,1,4,2
2015-05-07 18:43:00,2,1,4,2
2015-05-07 18:43:01,2,1,4,2
2015-05-07 18:43:02,1,1,4,2
2015-05-07 18:43:03,1,1,4,2
2015-05-07 18:43:04,1,1,4,2
2015-05-07 18:43:05,1,3,4,2
2015-05-07 18:43:06,1,3,6,2
2015-05-07 18:43:07,1,3,1,2
2015-05-07 18:43:08,1,3,1,2
2015-05-07 18:43:09,1,1,1,2
2015-05-07 18:43:10,1,1,1,2
2015-05-07 18:43:11,1,1,1,2
2015-05-07 18:43:12,1,1,1,2
2015-05-07 18:43:13,1,1,1,2
2015-05-07 18:43:14,1,1,1,2
2015-05-07 18:43:15,1,1,1,2
2015-05-07 18:43:16,1,1,1,2
2015-05-07 18:43:17,1,1,1,2
2015-05-07 18:43:18,1,1,1,2
2015-05-07 18:43:19,1,1,1,2
2015-05-07 18:43:20,1,1,1,3
2015-05-07 18:43:21,1,1,1,3
2015-05-07 18:43:22,1,1,1,3
2015-05-07 18:43:23,1,1,1,3
2015-05-07 18:43:24,1,1,1,3
2015-05-07 18:43:25,1,1,1,3
2015-05-07 18:43:26,1,1,1,3
2015-05-07 18:43:27,1,1,1,3
2015-05-07 18:43:28,1,1,1,3
2015-05-07 18:43:29,1,1,1,3
2015-05-07 18:43:30,1,1,1,3
2015-05-07 18:43:31,1,1,1,3
2015-05-07 18:43:32,1,1,3,2
2015-05-07 18:43:33,1,1,1,2
2015-05-07 18:43:34,1,1,1,2
2015-05-07 18:43:35,1,1,1,2
2015-05-07 18:43:36,1,1,1,3
2015-05-07 18:43:37,1,1,1,3
2015-05-07 18:43:38,1,1,1,3
2015-05-07 18:43:39,1,1,1,3
2015-05-07 18:43:40,1,1,1,3
2015-05-07 18:43:41,3,1,1,3
2015-05-07 18:43:42,3,1,1,3
2015-05-07 18:43:43,3,1,1,3
2015-05-07 18:43:44,7,1,1,3
2015-05-07 18:43:45,7,1,3,3
2015-05-07 18:43:46,7,1,3,2
2015-05-07 18:43:47,7,1,1,2
2015-05-07 18:43:48,7,1,1,2
2015-05-07 18:43:49,7,1,1,2
2015-05-07 18:43:50,4,1,1,2
2015-05-07 18:43:51,7,1,1,1
2015-05-07 18:43:52,8,1,1,1
2015-05-07 18:43:53,8,1,1,1
2015-05-07 18:43:54,8,1,1,1
2015-05-07 18:43:55,8,1,1,1
2015-05-07 18:43:56,7,1,1,1
2015-05-07 18:43:57,8,1,1,1
2015-05-07 18:43:58,7,1,1,1
2015-05-07 18:43:59,8,1,1,2
2015-05-07 18:44:00,7,1,1,1
2015-05-07 18:44:01,8,1,1,1
2015-05-07 18:44:02,3,1,1,3
2015-05-07 18:44:03,3,1,1,3
2015-05-07 18:44:04,4,1,1,4
2015-05-07 18:44:05,4,1,1,4
2015-05-07 18:44:06,4,1,1,4
2015-05-07 18:44:07,8,1,1,4
2015-05-07 18:44:08,7,1,1,4
2015-05-07 18:44:09,8,1,1,4
2015-05-07 18:44:10,7,1,1,4
2015-05-07 18:44:11,8,1,1,4
2015-05-07 18:44:12,7,1,1,4
2015-05-07 18:44:13,8,3,1,4
2015-05-07 18:44:14,7,3,1,4
2015-05-07 18:44:15,8,3,1,4
2015-05-07 18:44:16,7,2,1,4
2015-05-07 18:44:17,8,2,3,4
2015-05-07 18:44:18,7,2,3,3
2015-05-07 18:44:19,8,2,2,3
2015-05-07 18:44:20,7,2,4,2
2015-05-07 18:44:21,7,2,4,2
2015-05-07 18:44:22,7,2,4,2
2015-05-07 18:44:23,8,2,4,2
2015-05-07 18:44:24,7,2,3,2
2015-05-07 18:44:25,7,2,3,2
2015-05-07 18:44:26,7,2,4,2
2015-05-07 18:44:27,7,2,7,2
2015-05-07 18:44:28,8,2,7,2
2015-05-07 18:44:29,8,2,7,2
2015-05-07 18:44:30,3,2,7,2
2015-05-07 18:44:31,2,2,6,2
2015-05-07 18:44:32,2,1,6,2
2015-05-07 18:44:33,2,1,6,2
2015-05-07 18:44:34,2,2,7,2
2015-05-07 18:44:35,2,2,7,2
2015-05-07 18:44:36,2,3,7,2
2015-05-07 18:44:37,2,3,7,2
2015-05-07 18:44:38,2,2,7,2
2015-05-07 18:44:39,2,2,7,2
2015-05-07 18:44:40,2,2,7,2
2015-05-07 18:44:41,2,2,4,2
2015-05-07 18:44:42,2,2,7,2
2015-05-07 18:44:43,2,2,7,2
2015-05-07 18:44:44,2,2,7,2
2015-05-07 18:44:45,2,2,7,2
2015-05-07 18:44:46,2,2,7,2
2015-05-07 18:44:47,2,2,5,2
2015-05-07 18:44:48,2,2,5,2
2015-05-07 18:44:49,2,2,5,2
2015-05-07 18:44:50,2,2,5,2
2015-05-07 18:44:51,2,2,5,2
2015-05-07 18:44:52,2,1,5,2
2015-05-07 18:44:53,2,1,5,2
2015-05-07 18:44:54,2,1,5,2
2015-05-07 18:44:55,2,2,2,2
2015-05-07 18:44:56,2,2,8,2
2015-05-07 18:44:57,2,2,5,2
2015-05-07 18:44:58,2,2,5,2
2015-05-07 18:44:59,2,2,5,2
2015-05-07 18:45:00,2,2,5,2
2015-05-07 18:45:01,2,2,2,2
2015-05-07 18:45:02,2,2,1,2
2015-05-07 18:45:03,2,2,1,2
2015-05-07 18:45:04,2,2,1,2
2015-05-07 18:45:05,2,2,1,2
2015-05-07 18:45:06,3,2,1,2
2015-05-07 18:45:07,3,2,1,2
2015-05-07 18:45:08,3,2,5,2
2015-05-07 18:45:09,3,2,5,2
2015-05-07 18:45:10,3,2,5,2
2015-05-07 18:45:11,3,3,5,2
2015-05-07 18:45:12,3,3,2,2
2015-05-07 18:45:13,3,3,2,2
2015-05-07 18:45:14,1,3,2,2
2015-05-07 18:45:15,1,3,2,2
2015-05-07 18:45:16,1,1,2,2
2015-05-07 18:45:17,1,3,8,2
2015-05-07 18:45:18,1,3,1,2
2015-05-07 18:45:19,2,3,1,2
2015-05-07 18:45:20,2,3,1,2
2015-05-07 18:45:21,1,3,2,2
2015-05-07 18:45:22,3,3,2,2
2015-05-07 18:45:23,3,3,2,2
2015-05-07 18:45:24,3,3,2,2
2015-05-07 18:45:25,3,3,2,2
2015-05-07 18:45:26,3,3,2,2
2015-05-07 18:45:27,3,3,5,2
2015-05-07 18:45:28,3,3,5,2
2015-05-07 18:45:29,3,3,5,2
2015-05-07 18:45:30,3,3,5,2
2015-05-07 18:45:31,3,3,5,2
2015-05-07 18:45:32,3,3,5,2
2015-05-07 18:45:33,3,3,2,2
2015-05-07 18:45:34,2,3,8,2
2015-05-07 18:45:35,2,3,3,2
2015-05-07 18:45:36,2,3,3,2
2015-05-07 18:45:37,2,3,3,2
2015-05-07 18:45:38,2,3,3,2
2015-05-07 18:45:39,2,3,1,2
2015-05-07 18:45:40,2,3,1,2
2015-05-07 18:45:41,2,3,1,2
2015-05-07 18:45:42,2,3,1,2
2015-05-07 18:45:43,2,3,2,2
2015-05-07 18:45:44,2,3,2,2
2015-05-07 18:45:45,2,3,2,2
2015-05-07 18:45:46,1,3,1,2
2015-05-07 18:45:47,1,3,1,2
2015-05-07 18:45:48,3,3,1,2
2015-05-07 18:45:49,3,3,5,2
2015-05-07 18:45:50,3,3,5,2
2015-05-07 18:45:51,1,3,2,2
2015-05-07 18:45:52,1,3,2,1
2015-05-07 18:45:53,1,3,4,1
2015-05-07 18:45:54,1,3,3,1
2015-05-07 18:45:55,1,3,3,1
2015-05-07 18:45:56,1,3,3,1
2015-05-07 18:45:57,1,3,3,1
2015-05-07 18:45:58,1,3,3,1
2015-05-07 18:45:59,1,3,3,1
2015-05-07 18:46:00,3,3,3,1
