time,2FA454D2-F35D-45D6-BE5D-D848B409B713,7FC04E34-F3AE-4764-9432-DD032ED6C36B,24C41EC3-7ECC-40DA-B942-7ABE23017E74,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,BD49B35A-8999-4987-9759-8D3F28D1292B,275913F5-90E9-4C82-B94C-29A8AA3B4C57
2015-03-20 13:43:21,2,8,7,2,7,8
2015-03-20 13:43:22,2,8,7,2,2,8
2015-03-20 13:43:23,2,8,7,2,2,8
2015-03-20 13:43:24,2,8,7,2,2,8
2015-03-20 13:43:25,2,8,7,2,8,7
2015-03-20 13:43:26,2,7,7,2,8,7
2015-03-20 13:43:27,2,7,7,2,3,7
2015-03-20 13:43:28,2,7,7,2,8,7
2015-03-20 13:43:29,2,7,7,2,3,7
2015-03-20 13:43:30,2,7,7,2,3,7
2015-03-20 13:43:31,2,8,7,2,3,7
2015-03-20 13:43:32,2,8,7,2,3,7
2015-03-20 13:43:33,2,8,7,2,3,7
2015-03-20 13:43:34,2,8,8,2,3,7
2015-03-20 13:43:35,2,8,3,2,1,7
2015-03-20 13:43:36,2,8,3,2,3,7
2015-03-20 13:43:37,2,8,3,2,3,8
2015-03-20 13:43:38,2,8,3,2,8,8
2015-03-20 13:43:39,2,8,3,2,8,7
2015-03-20 13:43:40,2,8,3,2,8,7
2015-03-20 13:43:41,2,7,3,2,8,8
2015-03-20 13:43:42,2,7,3,2,1,7
2015-03-20 13:43:43,2,7,3,2,8,8
2015-03-20 13:43:44,2,7,3,2,8,8
2015-03-20 13:43:45,2,7,3,2,1,8
2015-03-20 13:43:46,2,8,3,2,1,8
2015-03-20 13:43:47,2,8,3,2,1,7
2015-03-20 13:43:48,2,8,3,2,1,8
2015-03-20 13:43:49,2,8,3,2,1,8
2015-03-20 13:43:50,2,8,3,2,1,8
2015-03-20 13:43:51,2,8,3,2,8,7
2015-03-20 13:43:52,2,8,3,2,8,7
2015-03-20 13:43:53,2,8,3,2,1,7
2015-03-20 13:43:54,2,8,3,2,8,7
2015-03-20 13:43:55,2,8,3,2,8,8
2015-03-20 13:43:56,2,3,3,2,1,7
2015-03-20 13:43:57,2,3,3,2,1,7
2015-03-20 13:43:58,2,3,3,2,2,7
2015-03-20 13:43:59,2,3,3,2,2,7
2015-03-20 13:44:00,2,3,3,2,2,7
2015-03-20 13:44:01,2,3,3,2,2,7
2015-03-20 13:44:02,2,3,3,2,2,7
2015-03-20 13:44:03,2,3,3,2,2,7
2015-03-20 13:44:04,2,3,3,2,2,7
2015-03-20 13:44:05,2,3,3,2,2,7
2015-03-20 13:44:06,2,3,3,2,2,7
2015-03-20 13:44:07,2,8,3,2,2,7
2015-03-20 13:44:08,2,8,3,2,2,7
2015-03-20 13:44:09,2,8,3,2,2,7
2015-03-20 13:44:10,2,3,3,2,2,7
2015-03-20 13:44:11,2,8,3,2,2,8
2015-03-20 13:44:12,2,3,3,2,2,8
2015-03-20 13:44:13,2,8,3,2,2,8
2015-03-20 13:44:14,2,8,3,2,2,8
2015-03-20 13:44:15,2,3,3,2,2,7
2015-03-20 13:44:16,2,3,3,2,2,7
2015-03-20 13:44:17,2,8,3,2,2,7
2015-03-20 13:44:18,2,3,3,2,2,7
2015-03-20 13:44:19,2,3,3,2,2,8
2015-03-20 13:44:20,2,3,3,2,2,8
2015-03-20 13:44:21,2,3,3,2,2,8
2015-03-20 13:44:22,2,3,3,2,2,8
2015-03-20 13:44:23,2,3,3,2,2,8
2015-03-20 13:44:24,2,3,3,2,2,8
2015-03-20 13:44:25,2,3,3,2,2,8
2015-03-20 13:44:26,2,3,2,2,2,8
2015-03-20 13:44:27,2,3,2,2,2,8
2015-03-20 13:44:28,2,8,2,2,2,8
2015-03-20 13:44:29,2,8,2,2,2,8
2015-03-20 13:44:30,2,3,2,2,2,8
2015-03-20 13:44:31,2,3,2,2,2,3
2015-03-20 13:44:32,2,3,2,2,2,3
2015-03-20 13:44:33,2,3,2,2,2,8
2015-03-20 13:44:34,2,3,2,2,2,3
2015-03-20 13:44:35,2,2,3,2,2,3
2015-03-20 13:44:36,2,2,3,2,2,3
2015-03-20 13:44:37,2,2,3,2,2,3
2015-03-20 13:44:38,2,2,3,2,2,8
2015-03-20 13:44:39,1,2,3,2,2,8
2015-03-20 13:44:40,2,2,3,2,2,8
2015-03-20 13:44:41,2,2,3,2,2,8
2015-03-20 13:44:42,2,2,2,2,2,8
2015-03-20 13:44:43,2,2,2,0,8,2
2015-03-20 13:44:44,2,2,2,3,8,2
2015-03-20 13:44:45,2,2,2,4,6,2
2015-03-20 13:44:46,2,2,2,4,7,2
2015-03-20 13:44:47,2,2,2,4,6,2
2015-03-20 13:44:48,2,2,2,4,7,2
2015-03-20 13:44:49,2,2,3,4,5,2
2015-03-20 13:44:50,2,2,3,4,7,2
2015-03-20 13:44:51,3,2,3,4,7,2
2015-03-20 13:44:52,3,2,3,4,7,2
2015-03-20 13:44:53,3,2,3,4,7,2
2015-03-20 13:44:54,3,2,3,4,7,2
2015-03-20 13:44:55,3,2,3,4,7,2
2015-03-20 13:44:56,3,2,3,4,7,2
2015-03-20 13:44:57,3,2,3,4,7,2
2015-03-20 13:44:58,3,2,3,4,7,2
2015-03-20 13:44:59,3,2,3,4,7,2
2015-03-20 13:45:00,3,2,3,4,7,2
2015-03-20 13:45:01,4,2,3,4,7,2
2015-03-20 13:45:02,4,2,3,4,6,2
2015-03-20 13:45:03,3,2,3,4,5,2
2015-03-20 13:45:04,4,2,3,4,5,2
2015-03-20 13:45:05,4,2,3,4,5,2
2015-03-20 13:45:06,4,2,3,4,7,2
2015-03-20 13:45:07,4,2,3,4,7,3
2015-03-20 13:45:08,4,2,3,4,7,3
2015-03-20 13:45:09,4,2,3,4,7,3
2015-03-20 13:45:10,4,2,3,4,7,3
2015-03-20 13:45:11,4,2,3,8,7,3
2015-03-20 13:45:12,4,2,3,4,7,3
2015-03-20 13:45:13,4,2,3,4,7,3
2015-03-20 13:45:14,4,2,3,3,7,2
2015-03-20 13:45:15,4,2,3,3,7,4
2015-03-20 13:45:16,4,2,3,3,7,2
2015-03-20 13:45:17,3,3,3,3,7,2
2015-03-20 13:45:18,3,3,3,3,7,2
2015-03-20 13:45:19,3,3,3,3,7,2
2015-03-20 13:45:20,3,3,3,3,7,2
2015-03-20 13:45:21,3,3,3,3,7,2
2015-03-20 13:45:22,3,3,3,3,7,2
2015-03-20 13:45:23,3,8,3,3,7,2
2015-03-20 13:45:24,3,8,3,4,7,2
2015-03-20 13:45:25,3,8,3,4,7,2
2015-03-20 13:45:26,3,7,3,4,7,2
2015-03-20 13:45:27,3,7,3,7,7,2
2015-03-20 13:45:28,3,5,3,7,7,2
2015-03-20 13:45:29,3,5,3,7,5,8
2015-03-20 13:45:30,3,7,3,7,5,8
2015-03-20 13:45:31,3,8,3,7,5,8
2015-03-20 13:45:32,3,8,3,7,5,8
2015-03-20 13:45:33,3,7,3,7,5,8
2015-03-20 13:45:34,3,7,3,7,5,7
2015-03-20 13:45:35,3,7,3,7,5,7
2015-03-20 13:45:36,3,7,3,7,5,7
2015-03-20 13:45:37,3,7,3,7,7,8
2015-03-20 13:45:38,3,8,3,4,5,8
2015-03-20 13:45:39,4,8,3,4,5,8
2015-03-20 13:45:40,4,8,3,4,5,8
2015-03-20 13:45:41,7,8,3,4,5,8
2015-03-20 13:45:42,7,7,3,4,7,8
2015-03-20 13:45:43,7,7,3,4,7,8
2015-03-20 13:45:44,7,7,3,4,7,8
2015-03-20 13:45:45,7,7,3,4,7,8
2015-03-20 13:45:46,7,7,3,4,7,8
2015-03-20 13:45:47,8,7,3,4,7,8
2015-03-20 13:45:48,7,7,3,4,7,8
2015-03-20 13:45:49,8,7,3,4,7,8
2015-03-20 13:45:50,7,7,3,4,7,8
2015-03-20 13:45:51,7,8,3,4,8,8
2015-03-20 13:45:52,7,8,3,4,8,8
2015-03-20 13:45:53,8,8,3,4,8,8
2015-03-20 13:45:54,7,8,3,4,8,8
2015-03-20 13:45:55,8,8,3,4,2,8
2015-03-20 13:45:56,7,8,3,4,2,8
2015-03-20 13:45:57,7,8,3,4,2,8
2015-03-20 13:45:58,7,4,3,4,2,8
2015-03-20 13:45:59,8,4,3,4,2,8
2015-03-20 13:46:00,7,4,3,4,2,8
2015-03-20 13:46:01,8,4,3,4,2,8
2015-03-20 13:46:02,7,4,3,4,2,8
2015-03-20 13:46:03,8,4,3,4,4,8
2015-03-20 13:46:04,7,4,3,4,4,8
2015-03-20 13:46:05,7,4,3,4,4,8
2015-03-20 13:46:06,7,4,3,7,4,8
2015-03-20 13:46:07,7,4,1,4,2,4
2015-03-20 13:46:08,7,4,1,4,2,3
2015-03-20 13:46:09,7,3,1,4,2,8
2015-03-20 13:46:10,7,3,2,4,2,2
2015-03-20 13:46:11,7,3,2,4,2,2
2015-03-20 13:46:12,7,3,2,4,4,2
2015-03-20 13:46:13,7,3,2,4,6,2
2015-03-20 13:46:14,7,4,1,4,7,8
2015-03-20 13:46:15,7,8,8,4,7,8
2015-03-20 13:46:16,7,7,8,7,7,4
2015-03-20 13:46:17,7,7,7,7,7,7
2015-03-20 13:46:18,7,7,7,7,7,7
2015-03-20 13:46:19,5,7,7,7,7,7
2015-03-20 13:46:20,5,7,7,7,7,7
2015-03-20 13:46:21,5,7,7,7,7,7
2015-03-20 13:46:22,5,7,7,7,7,7
2015-03-20 13:46:23,0,7,7,7,7,7
2015-03-20 13:46:24,7,7,7,7,7,7
2015-03-20 13:46:25,7,7,7,7,7,7
2015-03-20 13:46:26,7,5,7,7,7,7
2015-03-20 13:46:27,7,5,7,7,7,7
2015-03-20 13:46:28,7,5,7,7,7,7
2015-03-20 13:46:29,7,5,7,7,7,7
2015-03-20 13:46:30,7,5,7,7,7,7
2015-03-20 13:46:31,7,5,7,7,7,7
2015-03-20 13:46:32,7,7,7,7,7,7
2015-03-20 13:46:33,7,7,7,7,7,7
2015-03-20 13:46:34,7,7,7,8,7,7
2015-03-20 13:46:35,7,7,7,8,7,7
2015-03-20 13:46:36,7,7,7,8,7,7
2015-03-20 13:46:37,7,7,7,8,7,7
2015-03-20 13:46:38,7,7,7,8,7,7
2015-03-20 13:46:39,7,7,7,8,7,7
2015-03-20 13:46:40,8,6,7,8,7,3
2015-03-20 13:46:41,7,7,7,8,8,3
2015-03-20 13:46:42,7,7,7,8,3,3
2015-03-20 13:46:43,7,6,7,8,1,8
2015-03-20 13:46:44,5,7,7,8,1,8
2015-03-20 13:46:45,5,8,7,8,1,8
2015-03-20 13:46:46,5,8,8,1,1,8
2015-03-20 13:46:47,1,8,8,8,1,8
2015-03-20 13:46:48,1,8,8,8,1,8
2015-03-20 13:46:49,1,8,8,8,1,8
2015-03-20 13:46:50,1,8,8,8,1,8
2015-03-20 13:46:51,1,8,8,8,1,8
2015-03-20 13:46:52,1,8,8,8,1,8
2015-03-20 13:46:53,1,8,8,8,1,1
2015-03-20 13:46:54,1,8,8,8,1,8
2015-03-20 13:46:55,1,8,3,8,1,8
2015-03-20 13:46:56,1,8,1,1,1,8
2015-03-20 13:46:57,1,1,1,1,1,8
2015-03-20 13:46:58,1,1,1,1,1,8
2015-03-20 13:46:59,1,1,1,1,1,8
2015-03-20 13:47:00,1,1,1,1,1,8
2015-03-20 13:47:01,1,1,1,1,1,8
2015-03-20 13:47:02,1,1,1,1,1,8
2015-03-20 13:47:03,1,1,1,1,1,8
2015-03-20 13:47:04,1,1,1,1,1,8
2015-03-20 13:47:05,1,1,1,1,1,8
2015-03-20 13:47:06,1,1,1,1,1,8
2015-03-20 13:47:07,1,1,1,1,1,8
2015-03-20 13:47:08,1,1,1,1,1,8
2015-03-20 13:47:09,1,1,1,1,1,8
2015-03-20 13:47:10,1,1,1,1,1,8
2015-03-20 13:47:11,1,1,1,1,1,8
2015-03-20 13:47:12,1,1,1,1,1,8
2015-03-20 13:47:13,1,1,1,1,1,8
2015-03-20 13:47:14,1,1,1,1,1,8
2015-03-20 13:47:15,1,1,1,1,1,8
2015-03-20 13:47:16,1,1,1,1,1,8
2015-03-20 13:47:17,1,8,1,1,1,8
2015-03-20 13:47:18,1,1,1,1,1,8
2015-03-20 13:47:19,1,1,1,1,1,8
2015-03-20 13:47:20,1,1,1,1,1,8
2015-03-20 13:47:21,2,1,1,1,1,8
