time,charles_ipadair
2015-02-07 17:23:35,5
2015-02-07 17:23:36,5
2015-02-07 17:23:37,5
2015-02-07 17:23:38,5
2015-02-07 17:23:39,5
2015-02-07 17:23:40,5
2015-02-07 17:23:41,5
2015-02-07 17:23:42,5
2015-02-07 17:23:43,5
2015-02-07 17:23:44,5
2015-02-07 17:23:45,5
2015-02-07 17:23:46,5
2015-02-07 17:23:47,5
2015-02-07 17:23:48,5
2015-02-07 17:23:49,7
2015-02-07 17:23:50,8
2015-02-07 17:23:51,8
2015-02-07 17:23:52,8
2015-02-07 17:23:53,8
2015-02-07 17:23:54,8
2015-02-07 17:23:55,7
2015-02-07 17:23:56,5
2015-02-07 17:23:57,5
2015-02-07 17:23:58,5
2015-02-07 17:23:59,5
2015-02-07 17:24:00,2
2015-02-07 17:24:01,0
2015-02-07 17:24:02,0
2015-02-07 17:24:03,0
2015-02-07 17:24:04,0
2015-02-07 17:24:05,0
2015-02-07 17:24:06,0
2015-02-07 17:24:07,0
2015-02-07 17:24:08,0
2015-02-07 17:24:09,0
2015-02-07 17:24:10,0
2015-02-07 17:24:11,0
2015-02-07 17:24:12,0
2015-02-07 17:24:13,0
2015-02-07 17:24:14,0
2015-02-07 17:24:15,0
2015-02-07 17:24:16,0
2015-02-07 17:24:17,0
2015-02-07 17:24:18,2
2015-02-07 17:24:19,2
2015-02-07 17:24:20,2
2015-02-07 17:24:21,2
2015-02-07 17:24:22,2
2015-02-07 17:24:23,2
2015-02-07 17:24:24,2
2015-02-07 17:24:25,2
2015-02-07 17:24:26,2
2015-02-07 17:24:27,2
2015-02-07 17:24:28,2
2015-02-07 17:24:29,2
2015-02-07 17:24:30,2
2015-02-07 17:24:31,2
2015-02-07 17:24:32,2
2015-02-07 17:24:33,2
2015-02-07 17:24:34,2
2015-02-07 17:24:35,2
2015-02-07 17:24:36,2
2015-02-07 17:24:37,2
2015-02-07 17:24:38,2
2015-02-07 17:24:39,2
2015-02-07 17:24:40,2
2015-02-07 17:24:41,2
2015-02-07 17:24:42,2
2015-02-07 17:24:43,2
2015-02-07 17:24:44,2
2015-02-07 17:24:45,2
2015-02-07 17:24:46,2
2015-02-07 17:24:47,2
2015-02-07 17:24:48,2
2015-02-07 17:24:49,2
2015-02-07 17:24:50,2
2015-02-07 17:24:51,2
2015-02-07 17:24:52,2
2015-02-07 17:24:53,2
2015-02-07 17:24:54,2
2015-02-07 17:24:55,2
2015-02-07 17:24:56,2
2015-02-07 17:24:57,2
2015-02-07 17:24:58,2
2015-02-07 17:24:59,2
2015-02-07 17:25:00,2
2015-02-07 17:25:01,2
2015-02-07 17:25:02,2
2015-02-07 17:25:03,2
2015-02-07 17:25:04,2
2015-02-07 17:25:05,2
2015-02-07 17:25:06,2
2015-02-07 17:25:07,2
2015-02-07 17:25:08,2
2015-02-07 17:25:09,2
2015-02-07 17:25:10,2
2015-02-07 17:25:11,2
2015-02-07 17:25:12,2
2015-02-07 17:25:13,2
2015-02-07 17:25:14,2
2015-02-07 17:25:15,2
2015-02-07 17:25:16,2
2015-02-07 17:25:17,2
2015-02-07 17:25:18,2
2015-02-07 17:25:19,5
2015-02-07 17:25:20,2
2015-02-07 17:25:21,0
2015-02-07 17:25:22,0
2015-02-07 17:25:23,0
2015-02-07 17:25:24,0
2015-02-07 17:25:25,0
2015-02-07 17:25:26,0
2015-02-07 17:25:27,0
2015-02-07 17:25:28,0
2015-02-07 17:25:29,0
2015-02-07 17:25:30,0
2015-02-07 17:25:31,0
2015-02-07 17:25:32,0
2015-02-07 17:25:33,0
2015-02-07 17:25:34,0
2015-02-07 17:25:35,0
2015-02-07 17:25:36,0
2015-02-07 17:25:37,0
2015-02-07 17:25:38,2
2015-02-07 17:25:39,1
2015-02-07 17:25:40,1
2015-02-07 17:25:41,1
2015-02-07 17:25:42,1
2015-02-07 17:25:43,1
