time,christina,jonathan,yvonne,charles
2014-08-24 15:52:02,7,4,4,7
2014-08-24 15:52:03,7,4,4,8
2014-08-24 15:52:04,7,8,4,8
2014-08-24 15:52:05,7,4,4,4
2014-08-24 15:52:06,7,8,4,4
2014-08-24 15:52:07,4,8,4,4
2014-08-24 15:52:08,4,8,4,3
2014-08-24 15:52:09,4,4,4,4
2014-08-24 15:52:10,4,4,4,4
2014-08-24 15:52:11,4,4,4,4
2014-08-24 15:52:12,4,4,4,4
2014-08-24 15:52:13,4,4,4,4
2014-08-24 15:52:14,4,4,4,4
2014-08-24 15:52:15,4,8,4,8
2014-08-24 15:52:16,4,8,4,8
2014-08-24 15:52:17,4,4,4,8
2014-08-24 15:52:18,4,4,4,8
2014-08-24 15:52:19,4,8,4,8
2014-08-24 15:52:20,4,8,4,4
2014-08-24 15:52:21,4,4,4,7
2014-08-24 15:52:22,4,8,4,7
2014-08-24 15:52:23,4,8,4,7
2014-08-24 15:52:24,4,4,4,7
2014-08-24 15:52:25,4,8,2,6
2014-08-24 15:52:26,3,8,2,2
2014-08-24 15:52:27,2,8,2,2
2014-08-24 15:52:28,2,2,2,2
2014-08-24 15:52:29,2,2,8,2
2014-08-24 15:52:30,2,2,4,2
2014-08-24 15:52:31,2,2,4,2
2014-08-24 15:52:32,2,2,4,2
2014-08-24 15:52:33,2,2,4,2
2014-08-24 15:52:34,2,2,4,2
2014-08-24 15:52:35,2,2,2,2
2014-08-24 15:52:36,2,2,2,2
2014-08-24 15:52:37,2,2,3,2
2014-08-24 15:52:38,2,2,3,2
2014-08-24 15:52:39,2,2,3,2
2014-08-24 15:52:40,2,2,3,2
2014-08-24 15:52:41,2,2,3,2
2014-08-24 15:52:42,2,2,2,2
2014-08-24 15:52:43,2,2,2,2
2014-08-24 15:52:44,2,2,2,2
2014-08-24 15:52:45,2,2,2,2
2014-08-24 15:52:46,2,2,3,2
2014-08-24 15:52:47,2,2,3,2
2014-08-24 15:52:48,2,2,2,2
2014-08-24 15:52:49,2,2,2,2
2014-08-24 15:52:50,2,2,3,2
2014-08-24 15:52:51,2,2,3,2
2014-08-24 15:52:52,2,2,3,2
2014-08-24 15:52:53,2,2,4,2
2014-08-24 15:52:54,2,2,4,2
2014-08-24 15:52:55,2,2,4,2
2014-08-24 15:52:56,2,2,4,2
2014-08-24 15:52:57,2,2,4,2
2014-08-24 15:52:58,8,2,3,2
2014-08-24 15:52:59,8,2,3,2
2014-08-24 15:53:00,5,2,3,2
2014-08-24 15:53:01,5,2,3,2
2014-08-24 15:53:02,5,2,3,2
2014-08-24 15:53:03,5,2,3,2
2014-08-24 15:53:04,5,2,3,2
2014-08-24 15:53:05,5,2,3,2
2014-08-24 15:53:06,5,2,3,2
2014-08-24 15:53:07,5,2,3,2
2014-08-24 15:53:08,6,2,4,2
2014-08-24 15:53:09,6,2,3,2
2014-08-24 15:53:10,6,2,3,2
2014-08-24 15:53:11,8,2,3,2
2014-08-24 15:53:12,8,3,3,2
2014-08-24 15:53:13,8,3,3,2
2014-08-24 15:53:14,8,4,3,2
2014-08-24 15:53:15,8,4,3,2
2014-08-24 15:53:16,2,4,3,2
2014-08-24 15:53:17,2,4,3,2
2014-08-24 15:53:18,8,4,3,3
2014-08-24 15:53:19,8,8,3,8
2014-08-24 15:53:20,8,8,3,8
2014-08-24 15:53:21,8,8,3,8
2014-08-24 15:53:22,8,8,3,8
2014-08-24 15:53:23,4,8,3,8
2014-08-24 15:53:24,4,8,3,8
2014-08-24 15:53:25,4,8,3,8
2014-08-24 15:53:26,4,8,3,8
2014-08-24 15:53:27,3,8,2,8
2014-08-24 15:53:28,2,8,2,2
2014-08-24 15:53:29,2,2,3,2
2014-08-24 15:53:30,2,3,3,2
2014-08-24 15:53:31,2,3,3,3
2014-08-24 15:53:32,3,8,3,8
2014-08-24 15:53:33,3,8,3,8
2014-08-24 15:53:34,4,8,3,8
2014-08-24 15:53:35,4,8,3,8
2014-08-24 15:53:36,4,8,2,8
2014-08-24 15:53:37,4,8,2,8
2014-08-24 15:53:38,4,8,2,8
2014-08-24 15:53:39,4,8,2,8
2014-08-24 15:53:40,4,8,2,8
2014-08-24 15:53:41,3,8,3,8
2014-08-24 15:53:42,3,3,2,8
2014-08-24 15:53:43,2,3,4,2
2014-08-24 15:53:44,2,8,2,2
2014-08-24 15:53:45,2,8,3,2
2014-08-24 15:53:46,2,2,2,2
2014-08-24 15:53:47,2,2,2,2
2014-08-24 15:53:48,2,2,2,2
2014-08-24 15:53:49,2,2,3,2
2014-08-24 15:53:50,2,3,3,2
2014-08-24 15:53:51,2,3,3,2
2014-08-24 15:53:52,2,3,3,2
2014-08-24 15:53:53,2,2,4,2
2014-08-24 15:53:54,2,2,4,2
2014-08-24 15:53:55,2,2,3,2
2014-08-24 15:53:56,2,2,4,2
2014-08-24 15:53:57,2,2,3,2
2014-08-24 15:53:58,2,4,2,2
2014-08-24 15:53:59,2,8,2,2
2014-08-24 15:54:00,2,4,2,2
2014-08-24 15:54:01,2,4,2,2
2014-08-24 15:54:02,2,4,2,2
2014-08-24 15:54:03,2,2,2,2
2014-08-24 15:54:04,2,8,3,2
2014-08-24 15:54:05,2,8,3,2
2014-08-24 15:54:06,2,8,3,2
2014-08-24 15:54:07,2,8,3,2
2014-08-24 15:54:08,2,8,3,2
2014-08-24 15:54:09,2,2,2,2
2014-08-24 15:54:10,2,2,2,2
2014-08-24 15:54:11,2,2,2,2
2014-08-24 15:54:12,2,2,2,2
2014-08-24 15:54:13,2,2,3,2
2014-08-24 15:54:14,2,2,3,2
2014-08-24 15:54:15,2,3,3,2
2014-08-24 15:54:16,2,2,2,2
2014-08-24 15:54:17,2,2,2,2
2014-08-24 15:54:18,3,2,2,2
2014-08-24 15:54:19,2,2,2,2
2014-08-24 15:54:20,2,2,3,2
2014-08-24 15:54:21,2,3,3,3
2014-08-24 15:54:22,2,3,3,3
2014-08-24 15:54:23,2,3,3,3
2014-08-24 15:54:24,2,3,3,2
2014-08-24 15:54:25,2,3,3,3
2014-08-24 15:54:26,2,2,3,2
2014-08-24 15:54:27,2,2,3,2
2014-08-24 15:54:28,2,2,3,2
2014-08-24 15:54:29,2,2,3,2
2014-08-24 15:54:30,2,2,3,2
2014-08-24 15:54:31,0,0,3,2
2014-08-24 15:54:32,0,0,3,2
2014-08-24 15:54:33,0,0,3,2
2014-08-24 15:54:34,0,0,3,2
2014-08-24 15:54:35,0,0,3,2
2014-08-24 15:54:36,0,0,3,2
2014-08-24 15:54:37,0,0,2,2
2014-08-24 15:54:38,0,0,0,0
2014-08-24 15:54:39,0,0,0,0
2014-08-24 15:54:40,0,0,0,0
2014-08-24 15:54:41,0,0,0,0
2014-08-24 15:54:42,0,0,0,0
2014-08-24 15:54:43,0,0,0,0
2014-08-24 15:54:44,0,0,0,0
2014-08-24 15:54:45,0,0,0,0
2014-08-24 15:54:46,0,0,0,0
2014-08-24 15:54:47,0,0,0,0
2014-08-24 15:54:48,0,0,0,0
2014-08-24 15:54:49,0,0,0,0
2014-08-24 15:54:50,0,0,0,0
2014-08-24 15:54:51,0,0,0,0
2014-08-24 15:54:52,0,0,0,0
2014-08-24 15:54:53,0,0,0,0
2014-08-24 15:54:54,0,0,0,0
2014-08-24 15:54:55,0,0,0,0
2014-08-24 15:54:56,0,0,0,0
2014-08-24 15:54:57,0,0,0,0
2014-08-24 15:54:58,0,0,0,0
2014-08-24 15:54:59,0,0,0,0
2014-08-24 15:55:00,0,0,0,0
2014-08-24 15:55:01,0,0,0,0
2014-08-24 15:55:02,0,0,0,0
2014-08-24 15:55:03,0,0,0,0
2014-08-24 15:55:04,0,0,0,0
2014-08-24 15:55:05,0,0,0,0
2014-08-24 15:55:06,0,0,0,0
2014-08-24 15:55:07,0,0,0,0
2014-08-24 15:55:08,0,0,0,0
2014-08-24 15:55:09,0,0,0,0
2014-08-24 15:55:10,0,0,0,0
2014-08-24 15:55:11,0,0,0,0
2014-08-24 15:55:12,0,0,0,0
2014-08-24 15:55:13,0,0,0,0
2014-08-24 15:55:14,0,0,0,0
2014-08-24 15:55:15,0,0,0,0
2014-08-24 15:55:16,0,0,0,0
2014-08-24 15:55:17,0,0,0,0
2014-08-24 15:55:18,0,0,0,0
2014-08-24 15:55:19,0,0,0,0
2014-08-24 15:55:20,0,0,0,0
2014-08-24 15:55:21,0,0,0,0
2014-08-24 15:55:22,0,0,0,0
2014-08-24 15:55:23,0,0,0,0
2014-08-24 15:55:24,0,0,0,0
2014-08-24 15:55:25,0,0,0,0
2014-08-24 15:55:26,0,0,2,0
2014-08-24 15:55:27,0,0,2,0
2014-08-24 15:55:28,0,0,2,0
2014-08-24 15:55:29,0,0,2,0
2014-08-24 15:55:30,0,0,2,0
2014-08-24 15:55:31,0,0,0,0
2014-08-24 15:55:32,0,0,0,0
2014-08-24 15:55:33,0,0,0,0
2014-08-24 15:55:34,0,0,0,0
2014-08-24 15:55:35,0,0,0,0
2014-08-24 15:55:36,0,0,0,0
2014-08-24 15:55:37,0,0,0,0
2014-08-24 15:55:38,0,0,0,0
2014-08-24 15:55:39,0,0,0,0
2014-08-24 15:55:40,0,0,0,0
2014-08-24 15:55:41,0,0,0,0
2014-08-24 15:55:42,0,0,0,2
