time,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,BD49B35A-8999-4987-9759-8D3F28D1292B,7FC04E34-F3AE-4764-9432-DD032ED6C36B,24C41EC3-7ECC-40DA-B942-7ABE23017E74,275913F5-90E9-4C82-B94C-29A8AA3B4C57,2FA454D2-F35D-45D6-BE5D-D848B409B713
2015-03-21 23:52:24,2,8,8,2,3,2
2015-03-21 23:52:25,2,8,4,1,3,2
2015-03-21 23:52:26,2,8,4,2,3,2
2015-03-21 23:52:27,2,8,8,2,3,2
2015-03-21 23:52:28,3,8,4,2,3,2
2015-03-21 23:52:29,3,8,4,2,3,2
2015-03-21 23:52:30,3,8,8,2,3,2
2015-03-21 23:52:31,3,8,8,1,3,2
2015-03-21 23:52:32,2,8,8,2,3,2
2015-03-21 23:52:33,2,8,8,1,3,2
2015-03-21 23:52:34,2,8,8,1,3,2
2015-03-21 23:52:35,2,8,8,8,3,2
2015-03-21 23:52:36,2,8,8,8,3,2
2015-03-21 23:52:37,2,8,8,1,3,2
2015-03-21 23:52:38,2,8,4,1,3,2
2015-03-21 23:52:39,2,8,8,2,3,2
2015-03-21 23:52:40,2,8,8,2,3,2
2015-03-21 23:52:41,2,8,8,2,3,2
2015-03-21 23:52:42,2,8,8,8,3,2
2015-03-21 23:52:43,2,8,8,2,3,2
2015-03-21 23:52:44,2,8,8,2,3,2
2015-03-21 23:52:45,2,8,8,1,3,2
2015-03-21 23:52:46,2,8,4,1,3,2
2015-03-21 23:52:47,2,8,8,1,3,2
2015-03-21 23:52:48,2,8,8,2,3,2
2015-03-21 23:52:49,2,8,8,1,3,2
2015-03-21 23:52:50,2,8,8,3,3,2
2015-03-21 23:52:51,2,8,8,3,3,3
2015-03-21 23:52:52,2,8,8,3,3,3
2015-03-21 23:52:53,2,8,8,1,3,1
2015-03-21 23:52:54,2,3,8,1,3,1
2015-03-21 23:52:55,2,3,8,1,4,1
2015-03-21 23:52:56,2,8,8,1,3,1
2015-03-21 23:52:57,2,8,3,8,3,3
2015-03-21 23:52:58,2,8,8,8,2,3
2015-03-21 23:52:59,2,7,8,8,2,2
2015-03-21 23:53:00,2,7,8,8,2,2
2015-03-21 23:53:01,2,7,8,2,2,2
2015-03-21 23:53:02,2,7,8,2,2,2
2015-03-21 23:53:03,2,7,8,1,2,2
2015-03-21 23:53:04,2,7,8,2,2,2
2015-03-21 23:53:05,2,7,8,2,2,2
2015-03-21 23:53:06,2,7,8,2,2,2
2015-03-21 23:53:07,2,7,7,2,2,2
2015-03-21 23:53:08,1,7,8,2,2,2
2015-03-21 23:53:09,1,7,7,2,3,2
2015-03-21 23:53:10,1,8,7,2,3,2
2015-03-21 23:53:11,1,7,3,2,3,2
2015-03-21 23:53:12,1,7,3,2,3,2
2015-03-21 23:53:13,1,7,3,2,3,2
2015-03-21 23:53:14,1,7,3,8,3,2
2015-03-21 23:53:15,1,8,3,8,3,2
2015-03-21 23:53:16,1,8,3,8,3,1
2015-03-21 23:53:17,1,8,3,8,3,3
2015-03-21 23:53:18,1,8,3,8,3,3
2015-03-21 23:53:19,2,8,3,8,3,3
2015-03-21 23:53:20,2,8,3,1,3,3
2015-03-21 23:53:21,2,3,3,2,3,3
2015-03-21 23:53:22,2,3,3,2,3,1
2015-03-21 23:53:23,1,3,3,2,1,1
2015-03-21 23:53:24,1,3,3,2,1,1
2015-03-21 23:53:25,1,3,7,2,1,1
2015-03-21 23:53:26,1,3,3,2,2,1
2015-03-21 23:53:27,1,1,3,2,1,1
2015-03-21 23:53:28,1,1,3,2,1,2
2015-03-21 23:53:29,1,2,3,2,1,2
2015-03-21 23:53:30,1,2,3,2,1,1
2015-03-21 23:53:31,1,2,3,2,1,2
2015-03-21 23:53:32,1,2,3,2,1,2
2015-03-21 23:53:33,1,2,3,2,1,1
2015-03-21 23:53:34,1,2,3,2,1,2
2015-03-21 23:53:35,3,2,3,2,1,2
2015-03-21 23:53:36,3,2,8,2,1,2
2015-03-21 23:53:37,3,2,8,2,2,2
2015-03-21 23:53:38,8,2,3,2,2,2
2015-03-21 23:53:39,4,2,3,2,2,2
2015-03-21 23:53:40,4,2,3,2,2,2
2015-03-21 23:53:41,8,2,3,1,2,2
2015-03-21 23:53:42,8,2,3,1,2,3
2015-03-21 23:53:43,8,2,3,1,2,3
2015-03-21 23:53:44,8,2,3,3,3,3
2015-03-21 23:53:45,8,2,3,3,3,3
2015-03-21 23:53:46,8,2,3,3,3,3
2015-03-21 23:53:47,8,2,4,2,3,4
2015-03-21 23:53:48,8,2,4,3,3,3
2015-03-21 23:53:49,8,2,4,3,3,3
2015-03-21 23:53:50,8,2,4,2,3,3
2015-03-21 23:53:51,8,3,4,2,3,3
2015-03-21 23:53:52,8,3,4,1,3,3
2015-03-21 23:53:53,8,3,4,3,3,4
2015-03-21 23:53:54,8,3,4,3,3,4
2015-03-21 23:53:55,8,3,4,3,3,4
2015-03-21 23:53:56,8,3,4,1,3,4
2015-03-21 23:53:57,8,3,4,8,3,4
2015-03-21 23:53:58,8,3,4,2,3,4
2015-03-21 23:53:59,8,3,4,2,3,4
2015-03-21 23:54:00,8,3,4,4,3,3
2015-03-21 23:54:01,8,3,4,4,8,3
2015-03-21 23:54:02,8,3,4,4,8,3
2015-03-21 23:54:03,8,3,4,4,8,4
2015-03-21 23:54:04,8,3,4,4,8,4
2015-03-21 23:54:05,8,3,4,4,3,4
2015-03-21 23:54:06,8,3,4,4,3,4
2015-03-21 23:54:07,8,3,4,4,3,4
2015-03-21 23:54:08,8,3,4,4,3,3
2015-03-21 23:54:09,8,3,4,4,3,3
2015-03-21 23:54:10,8,3,4,4,3,3
2015-03-21 23:54:11,8,3,4,8,3,3
2015-03-21 23:54:12,8,3,4,8,3,3
2015-03-21 23:54:13,8,3,4,8,3,3
2015-03-21 23:54:14,8,3,4,8,3,3
2015-03-21 23:54:15,8,3,4,8,3,3
2015-03-21 23:54:16,8,3,4,8,3,3
2015-03-21 23:54:17,8,3,4,3,3,3
2015-03-21 23:54:18,8,3,4,3,3,3
2015-03-21 23:54:19,8,3,4,3,3,3
2015-03-21 23:54:20,3,3,4,3,3,3
2015-03-21 23:54:21,0,3,4,3,3,3
2015-03-21 23:54:22,0,3,4,3,3,8
2015-03-21 23:54:23,0,3,4,3,3,8
2015-03-21 23:54:24,0,3,4,3,3,8
2015-03-21 23:54:25,0,3,4,4,3,8
2015-03-21 23:54:26,0,3,4,4,3,8
2015-03-21 23:54:27,0,2,4,7,3,8
2015-03-21 23:54:28,8,2,4,8,3,7
2015-03-21 23:54:29,8,3,4,7,3,7
2015-03-21 23:54:30,4,2,4,8,3,7
2015-03-21 23:54:31,4,2,4,7,3,7
2015-03-21 23:54:32,7,2,4,8,3,7
2015-03-21 23:54:33,7,2,4,7,3,7
2015-03-21 23:54:34,7,8,8,8,3,7
2015-03-21 23:54:35,7,8,8,8,3,2
2015-03-21 23:54:36,7,4,8,8,3,0
2015-03-21 23:54:37,7,8,8,8,3,0
2015-03-21 23:54:38,8,8,7,8,3,2
2015-03-21 23:54:39,8,7,8,8,3,6
2015-03-21 23:54:40,7,7,7,7,3,7
2015-03-21 23:54:41,8,8,8,8,3,7
2015-03-21 23:54:42,7,8,8,8,3,7
2015-03-21 23:54:43,7,7,8,8,3,7
2015-03-21 23:54:44,7,7,8,8,3,7
2015-03-21 23:54:45,4,7,8,8,3,7
2015-03-21 23:54:46,8,7,8,8,3,7
2015-03-21 23:54:47,8,7,8,8,3,7
2015-03-21 23:54:48,8,7,8,8,3,7
2015-03-21 23:54:49,8,7,8,8,3,7
2015-03-21 23:54:50,4,7,8,8,3,7
2015-03-21 23:54:51,8,8,8,8,3,7
2015-03-21 23:54:52,8,8,8,8,3,7
2015-03-21 23:54:53,8,8,8,8,3,7
2015-03-21 23:54:54,8,8,8,4,3,7
2015-03-21 23:54:55,8,5,8,4,3,7
2015-03-21 23:54:56,8,8,4,8,3,7
2015-03-21 23:54:57,8,8,2,8,3,6
2015-03-21 23:54:58,8,8,2,8,3,7
2015-03-21 23:54:59,8,8,2,8,3,7
2015-03-21 23:55:00,8,8,2,8,3,7
2015-03-21 23:55:01,8,8,8,8,3,7
