time,yvonne,charles,christina
2013-04-21 11:48:54,8,2,3
2013-04-21 11:48:55,7,2,1
2013-04-21 11:48:56,7,2,1
2013-04-21 11:48:57,7,2,1
2013-04-21 11:48:58,7,2,1
2013-04-21 11:48:59,7,2,1
2013-04-21 11:49:00,7,2,1
2013-04-21 11:49:01,7,2,2
2013-04-21 11:49:02,7,2,3
2013-04-21 11:49:03,7,2,4
2013-04-21 11:49:04,7,2,7
2013-04-21 11:49:05,7,2,7
2013-04-21 11:49:06,7,2,6
2013-04-21 11:49:07,7,2,7
2013-04-21 11:49:08,7,2,7
2013-04-21 11:49:09,7,2,7
2013-04-21 11:49:10,7,2,7
2013-04-21 11:49:11,7,2,7
2013-04-21 11:49:12,7,2,7
2013-04-21 11:49:13,7,2,7
2013-04-21 11:49:14,7,2,7
2013-04-21 11:49:15,7,2,7
2013-04-21 11:49:16,7,2,7
2013-04-21 11:49:17,7,5,7
2013-04-21 11:49:18,7,5,7
2013-04-21 11:49:19,7,7,7
2013-04-21 11:49:20,7,7,7
2013-04-21 11:49:21,7,7,7
2013-04-21 11:49:22,7,7,7
2013-04-21 11:49:23,7,7,7
2013-04-21 11:49:24,7,5,7
2013-04-21 11:49:25,7,5,7
2013-04-21 11:49:26,7,5,7
2013-04-21 11:49:27,7,5,7
2013-04-21 11:49:28,7,5,7
2013-04-21 11:49:29,7,5,7
2013-04-21 11:49:30,6,7,7
2013-04-21 11:49:31,6,7,7
2013-04-21 11:49:32,6,7,7
2013-04-21 11:49:33,6,7,6
2013-04-21 11:49:34,6,7,6
2013-04-21 11:49:35,7,7,6
2013-04-21 11:49:36,7,7,6
2013-04-21 11:49:37,7,7,6
2013-04-21 11:49:38,7,7,7
2013-04-21 11:49:39,7,7,7
2013-04-21 11:49:40,7,7,7
2013-04-21 11:49:41,7,7,7
2013-04-21 11:49:42,7,7,7
2013-04-21 11:49:43,7,7,7
2013-04-21 11:49:44,7,7,7
2013-04-21 11:49:45,7,7,7
2013-04-21 11:49:46,7,7,7
2013-04-21 11:49:47,7,7,7
2013-04-21 11:49:48,7,7,7
2013-04-21 11:49:49,7,7,4
2013-04-21 11:49:50,7,7,4
2013-04-21 11:49:51,4,7,3
2013-04-21 11:49:52,4,7,2
2013-04-21 11:49:53,4,7,1
2013-04-21 11:49:54,3,7,1
2013-04-21 11:49:55,3,7,1
2013-04-21 11:49:56,3,7,1
2013-04-21 11:49:57,3,7,1
2013-04-21 11:49:58,3,8,1
2013-04-21 11:49:59,3,8,1
2013-04-21 11:50:00,3,8,1
2013-04-21 11:50:01,1,8,1
2013-04-21 11:50:02,1,8,1
2013-04-21 11:50:03,1,8,1
2013-04-21 11:50:04,1,8,1
2013-04-21 11:50:05,1,8,1
2013-04-21 11:50:06,1,1,1
2013-04-21 11:50:07,1,1,1
2013-04-21 11:50:08,1,1,1
2013-04-21 11:50:09,1,1,1
2013-04-21 11:50:10,1,1,1
2013-04-21 11:50:11,1,1,1
2013-04-21 11:50:12,1,1,1
2013-04-21 11:50:13,1,1,1
2013-04-21 11:50:14,1,1,1
2013-04-21 11:50:15,1,1,1
2013-04-21 11:50:16,1,1,1
2013-04-21 11:50:17,1,1,1
2013-04-21 11:50:18,1,1,1
2013-04-21 11:50:19,1,1,1
2013-04-21 11:50:20,1,1,1
2013-04-21 11:50:21,1,2,1
2013-04-21 11:50:22,1,2,1
2013-04-21 11:50:23,1,2,1
2013-04-21 11:50:24,1,8,1
2013-04-21 11:50:25,1,8,1
2013-04-21 11:50:26,1,7,1
2013-04-21 11:50:27,3,7,1
2013-04-21 11:50:28,3,7,1
2013-04-21 11:50:29,3,7,1
2013-04-21 11:50:30,3,7,1
2013-04-21 11:50:31,3,7,1
2013-04-21 11:50:32,8,7,1
2013-04-21 11:50:33,8,4,1
2013-04-21 11:50:34,2,7,1
2013-04-21 11:50:35,2,7,2
2013-04-21 11:50:36,2,4,2
2013-04-21 11:50:37,2,7,2
2013-04-21 11:50:38,2,7,2
2013-04-21 11:50:39,2,7,2
2013-04-21 11:50:40,2,7,2
2013-04-21 11:50:41,2,7,0
2013-04-21 11:50:42,2,7,5
2013-04-21 11:50:43,2,7,7
2013-04-21 11:50:44,2,5,7
2013-04-21 11:50:45,2,5,7
2013-04-21 11:50:46,2,5,7
2013-04-21 11:50:47,2,5,7
2013-04-21 11:50:48,2,7,7
2013-04-21 11:50:49,2,7,7
2013-04-21 11:50:50,2,7,7
2013-04-21 11:50:51,2,7,7
2013-04-21 11:50:52,2,7,4
2013-04-21 11:50:53,2,5,7
2013-04-21 11:50:54,2,5,7
2013-04-21 11:50:55,2,7,7
2013-04-21 11:50:56,2,6,7
2013-04-21 11:50:57,2,8,7
2013-04-21 11:50:58,2,7,7
2013-04-21 11:50:59,2,7,4
2013-04-21 11:51:00,2,5,4
2013-04-21 11:51:01,2,7,7
2013-04-21 11:51:02,2,7,7
2013-04-21 11:51:03,2,7,7
2013-04-21 11:51:04,2,7,7
2013-04-21 11:51:05,2,7,7
2013-04-21 11:51:06,2,7,7
2013-04-21 11:51:07,2,6,7
2013-04-21 11:51:08,2,7,7
2013-04-21 11:51:09,2,6,7
2013-04-21 11:51:10,2,7,7
2013-04-21 11:51:11,2,7,7
2013-04-21 11:51:12,2,7,7
2013-04-21 11:51:13,2,7,6
2013-04-21 11:51:14,2,7,7
2013-04-21 11:51:15,2,7,4
2013-04-21 11:51:16,2,7,4
2013-04-21 11:51:17,2,7,4
2013-04-21 11:51:18,2,7,3
2013-04-21 11:51:19,2,7,3
2013-04-21 11:51:20,2,7,4
2013-04-21 11:51:21,2,7,4
2013-04-21 11:51:22,2,7,4
2013-04-21 11:51:23,2,7,4
2013-04-21 11:51:24,2,7,7
2013-04-21 11:51:25,5,7,7
2013-04-21 11:51:26,1,7,7
2013-04-21 11:51:27,1,7,7
2013-04-21 11:51:28,5,7,7
2013-04-21 11:51:29,2,7,7
2013-04-21 11:51:30,5,7,7
2013-04-21 11:51:31,5,7,4
2013-04-21 11:51:32,2,7,4
2013-04-21 11:51:33,1,8,4
2013-04-21 11:51:34,2,7,7
2013-04-21 11:51:35,8,7,4
2013-04-21 11:51:36,8,7,3
2013-04-21 11:51:37,5,7,4
2013-04-21 11:51:38,5,7,7
2013-04-21 11:51:39,3,7,7
2013-04-21 11:51:40,8,7,4
2013-04-21 11:51:41,8,7,4
2013-04-21 11:51:42,8,7,4
2013-04-21 11:51:43,2,7,4
2013-04-21 11:51:44,2,7,2
2013-04-21 11:51:45,2,7,4
2013-04-21 11:51:46,2,7,4
2013-04-21 11:51:47,2,7,4
2013-04-21 11:51:48,2,7,4
2013-04-21 11:51:49,2,7,7
2013-04-21 11:51:50,8,7,7
2013-04-21 11:51:51,1,7,4
2013-04-21 11:51:52,1,7,4
2013-04-21 11:51:53,1,7,4
2013-04-21 11:51:54,1,7,4
2013-04-21 11:51:55,8,7,7
2013-04-21 11:51:56,8,7,7
2013-04-21 11:51:57,8,7,7
2013-04-21 11:51:58,8,7,7
2013-04-21 11:51:59,8,7,7
2013-04-21 11:52:00,2,7,7
2013-04-21 11:52:01,8,7,4
2013-04-21 11:52:02,8,4,4
2013-04-21 11:52:03,8,7,4
2013-04-21 11:52:04,8,7,4
2013-04-21 11:52:05,8,7,4
2013-04-21 11:52:06,8,7,4
2013-04-21 11:52:07,8,7,4
2013-04-21 11:52:08,8,7,4
2013-04-21 11:52:09,8,7,2
2013-04-21 11:52:10,2,7,2
2013-04-21 11:52:11,1,7,2
2013-04-21 11:52:12,1,7,2
2013-04-21 11:52:13,3,7,4
2013-04-21 11:52:14,3,7,4
2013-04-21 11:52:15,1,7,4
2013-04-21 11:52:16,1,8,7
2013-04-21 11:52:17,1,8,7
2013-04-21 11:52:18,1,8,7
2013-04-21 11:52:19,3,8,7
2013-04-21 11:52:20,2,7,4
2013-04-21 11:52:21,5,7,4
2013-04-21 11:52:22,5,7,7
2013-04-21 11:52:23,2,7,4
2013-04-21 11:52:24,2,5,4
2013-04-21 11:52:25,2,5,4
2013-04-21 11:52:26,2,5,7
2013-04-21 11:52:27,2,5,4
2013-04-21 11:52:28,2,7,4
2013-04-21 11:52:29,2,8,4
2013-04-21 11:52:30,8,8,4
2013-04-21 11:52:31,8,8,4
2013-04-21 11:52:32,8,8,4
2013-04-21 11:52:33,8,7,4
2013-04-21 11:52:34,8,7,4
2013-04-21 11:52:35,5,5,4
2013-04-21 11:52:36,2,5,4
2013-04-21 11:52:37,5,5,4
2013-04-21 11:52:38,5,5,4
2013-04-21 11:52:39,5,7,4
2013-04-21 11:52:40,5,5,4
2013-04-21 11:52:41,5,5,4
2013-04-21 11:52:42,2,5,4
2013-04-21 11:52:43,2,5,4
2013-04-21 11:52:44,2,5,4
2013-04-21 11:52:45,2,7,4
2013-04-21 11:52:46,5,7,4
2013-04-21 11:52:47,5,7,4
2013-04-21 11:52:48,5,7,4
2013-04-21 11:52:49,5,7,4
2013-04-21 11:52:50,5,7,4
2013-04-21 11:52:51,2,7,4
2013-04-21 11:52:52,5,7,4
2013-04-21 11:52:53,5,7,4
2013-04-21 11:52:54,5,7,4
2013-04-21 11:52:55,5,7,4
2013-04-21 11:52:56,5,7,4
2013-04-21 11:52:57,5,7,4
2013-04-21 11:52:58,2,7,4
2013-04-21 11:52:59,6,7,4
2013-04-21 11:53:00,2,7,0
2013-04-21 11:53:01,6,7,0
2013-04-21 11:53:02,5,7,0
2013-04-21 11:53:03,8,5,1
2013-04-21 11:53:04,8,4,5
2013-04-21 11:53:05,8,0,5
2013-04-21 11:53:06,8,0,5
2013-04-21 11:53:07,8,0,5
2013-04-21 11:53:08,8,0,5
2013-04-21 11:53:09,2,2,5
2013-04-21 11:53:10,2,2,5
2013-04-21 11:53:11,2,2,7
2013-04-21 11:53:12,0,2,7
2013-04-21 11:53:13,0,2,7
2013-04-21 11:53:14,0,2,7
2013-04-21 11:53:15,0,2,7
2013-04-21 11:53:16,0,2,7
2013-04-21 11:53:17,0,2,7
2013-04-21 11:53:18,0,0,7
2013-04-21 11:53:19,0,0,7
2013-04-21 11:53:20,0,0,7
2013-04-21 11:53:21,0,0,7
2013-04-21 11:53:22,0,0,7
2013-04-21 11:53:23,0,0,7
2013-04-21 11:53:24,0,0,7
2013-04-21 11:53:25,0,2,4
2013-04-21 11:53:26,0,2,4
2013-04-21 11:53:27,0,2,0
2013-04-21 11:53:28,0,2,0
2013-04-21 11:53:29,6,2,0
2013-04-21 11:53:30,5,2,2
2013-04-21 11:53:31,5,0,2
2013-04-21 11:53:32,5,2,2
2013-04-21 11:53:33,5,2,2
2013-04-21 11:53:34,5,2,2
2013-04-21 11:53:35,5,2,0
2013-04-21 11:53:36,5,2,6
2013-04-21 11:53:37,5,2,6
2013-04-21 11:53:38,5,0,6
2013-04-21 11:53:39,5,0,6
