time,9A5116EA-2793-4C75-AC93-524C9EF550FD,24C41EC3-7ECC-40DA-B942-7ABE23017E74,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-05-08 16:13:49,1,3,7,2
2015-05-08 16:13:50,1,4,7,3
2015-05-08 16:13:51,1,8,7,3
2015-05-08 16:13:52,1,8,7,3
2015-05-08 16:13:53,1,8,7,3
2015-05-08 16:13:54,3,3,7,3
2015-05-08 16:13:55,3,3,7,3
2015-05-08 16:13:56,3,2,7,3
2015-05-08 16:13:57,3,3,7,3
2015-05-08 16:13:58,3,3,7,3
2015-05-08 16:13:59,3,3,7,3
2015-05-08 16:14:00,3,3,7,3
2015-05-08 16:14:01,3,8,7,3
2015-05-08 16:14:02,3,4,7,3
2015-05-08 16:14:03,3,8,7,3
2015-05-08 16:14:04,3,8,7,3
2015-05-08 16:14:05,3,8,7,3
2015-05-08 16:14:06,3,8,6,3
2015-05-08 16:14:07,3,8,6,3
2015-05-08 16:14:08,3,8,6,3
2015-05-08 16:14:09,3,8,6,3
2015-05-08 16:14:10,3,2,6,3
2015-05-08 16:14:11,3,2,7,3
2015-05-08 16:14:12,3,2,7,3
2015-05-08 16:14:13,3,2,7,3
2015-05-08 16:14:14,3,2,7,3
2015-05-08 16:14:15,3,2,7,1
2015-05-08 16:14:16,3,3,7,1
2015-05-08 16:14:17,3,3,7,1
2015-05-08 16:14:18,4,3,7,1
2015-05-08 16:14:19,4,3,7,1
2015-05-08 16:14:20,6,3,7,1
2015-05-08 16:14:21,6,3,7,1
2015-05-08 16:14:22,6,3,7,1
2015-05-08 16:14:23,6,3,7,1
2015-05-08 16:14:24,6,3,7,1
2015-05-08 16:14:25,6,3,7,1
2015-05-08 16:14:26,6,3,7,1
2015-05-08 16:14:27,7,2,6,1
2015-05-08 16:14:28,7,2,6,3
2015-05-08 16:14:29,7,2,6,1
2015-05-08 16:14:30,7,2,6,1
2015-05-08 16:14:31,4,4,6,1
2015-05-08 16:14:32,4,3,6,1
2015-05-08 16:14:33,4,3,7,1
2015-05-08 16:14:34,4,3,7,1
2015-05-08 16:14:35,2,4,7,1
2015-05-08 16:14:36,2,4,7,1
2015-05-08 16:14:37,2,7,7,1
2015-05-08 16:14:38,2,7,7,1
2015-05-08 16:14:39,2,7,7,1
2015-05-08 16:14:40,2,7,7,1
2015-05-08 16:14:41,2,7,7,1
2015-05-08 16:14:42,0,7,7,1
2015-05-08 16:14:43,3,7,7,1
2015-05-08 16:14:44,3,7,7,1
2015-05-08 16:14:45,3,4,7,1
2015-05-08 16:14:46,3,4,7,3
2015-05-08 16:14:47,3,4,7,3
2015-05-08 16:14:48,0,4,7,3
2015-05-08 16:14:49,2,4,7,4
