time,yvonne,christina,charles,jonathan
2014-08-24 15:06:13,6,6,6,7
2014-08-24 15:06:14,6,6,6,7
2014-08-24 15:06:15,7,4,6,7
2014-08-24 15:06:16,4,4,6,7
2014-08-24 15:06:17,4,8,6,7
2014-08-24 15:06:18,4,2,6,7
2014-08-24 15:06:19,8,2,6,7
2014-08-24 15:06:20,2,2,6,7
2014-08-24 15:06:21,8,2,6,7
2014-08-24 15:06:22,8,2,6,7
2014-08-24 15:06:23,8,2,6,7
2014-08-24 15:06:24,8,2,6,7
2014-08-24 15:06:25,8,2,6,7
2014-08-24 15:06:26,8,2,6,7
2014-08-24 15:06:27,8,2,6,7
2014-08-24 15:06:28,8,2,6,7
2014-08-24 15:06:29,3,2,6,7
2014-08-24 15:06:30,8,2,6,7
2014-08-24 15:06:31,3,2,6,7
2014-08-24 15:06:32,3,2,6,7
2014-08-24 15:06:33,2,2,6,7
2014-08-24 15:06:34,2,2,6,5
2014-08-24 15:06:35,2,2,6,5
2014-08-24 15:06:36,2,2,6,5
2014-08-24 15:06:37,2,2,7,5
2014-08-24 15:06:38,2,2,7,5
2014-08-24 15:06:39,2,2,4,7
2014-08-24 15:06:40,2,2,4,7
2014-08-24 15:06:41,2,2,3,5
2014-08-24 15:06:42,2,2,2,5
2014-08-24 15:06:43,2,2,2,5
2014-08-24 15:06:44,2,3,2,5
2014-08-24 15:06:45,2,3,2,5
2014-08-24 15:06:46,2,2,2,5
2014-08-24 15:06:47,2,2,2,5
2014-08-24 15:06:48,2,2,2,5
2014-08-24 15:06:49,2,2,2,5
2014-08-24 15:06:50,2,2,2,5
2014-08-24 15:06:51,2,2,2,5
2014-08-24 15:06:52,2,2,2,5
2014-08-24 15:06:53,2,2,2,5
2014-08-24 15:06:54,2,2,2,5
2014-08-24 15:06:55,2,2,2,5
2014-08-24 15:06:56,2,2,2,5
2014-08-24 15:06:57,2,2,2,5
2014-08-24 15:06:58,2,2,2,5
2014-08-24 15:06:59,2,2,2,5
2014-08-24 15:07:00,2,2,2,7
2014-08-24 15:07:01,2,2,2,5
2014-08-24 15:07:02,2,2,2,4
2014-08-24 15:07:03,2,2,2,4
2014-08-24 15:07:04,2,2,2,4
2014-08-24 15:07:05,2,2,2,2
2014-08-24 15:07:06,2,2,2,2
2014-08-24 15:07:07,2,2,2,2
2014-08-24 15:07:08,2,2,2,2
2014-08-24 15:07:09,2,2,2,2
2014-08-24 15:07:10,2,2,2,2
2014-08-24 15:07:11,2,2,2,2
2014-08-24 15:07:12,2,2,2,2
2014-08-24 15:07:13,2,2,2,2
2014-08-24 15:07:14,2,2,2,2
2014-08-24 15:07:15,2,2,2,2
2014-08-24 15:07:16,2,2,2,2
2014-08-24 15:07:17,2,2,2,2
2014-08-24 15:07:18,2,2,2,2
2014-08-24 15:07:19,2,2,2,2
2014-08-24 15:07:20,2,2,2,2
2014-08-24 15:07:21,3,2,2,2
2014-08-24 15:07:22,3,3,8,8
2014-08-24 15:07:23,8,4,4,8
2014-08-24 15:07:24,8,4,4,8
2014-08-24 15:07:25,7,7,7,8
2014-08-24 15:07:26,7,7,7,7
2014-08-24 15:07:27,6,7,6,7
2014-08-24 15:07:28,6,7,6,7
2014-08-24 15:07:29,6,6,6,7
2014-08-24 15:07:30,6,6,6,7
2014-08-24 15:07:31,6,6,6,7
2014-08-24 15:07:32,6,6,6,6
2014-08-24 15:07:33,6,6,6,8
2014-08-24 15:07:34,6,7,6,8
2014-08-24 15:07:35,6,7,6,8
2014-08-24 15:07:36,6,6,6,8
2014-08-24 15:07:37,6,6,6,7
2014-08-24 15:07:38,6,7,6,7
2014-08-24 15:07:39,6,7,6,7
2014-08-24 15:07:40,6,6,6,7
2014-08-24 15:07:41,6,6,6,7
2014-08-24 15:07:42,6,6,6,7
2014-08-24 15:07:43,6,6,6,7
2014-08-24 15:07:44,6,7,6,7
2014-08-24 15:07:45,6,6,6,7
2014-08-24 15:07:46,6,6,7,7
2014-08-24 15:07:47,6,7,7,7
2014-08-24 15:07:48,6,7,7,8
2014-08-24 15:07:49,7,4,7,4
2014-08-24 15:07:50,4,8,4,4
2014-08-24 15:07:51,4,2,4,8
2014-08-24 15:07:52,4,2,4,8
2014-08-24 15:07:53,2,2,4,8
2014-08-24 15:07:54,2,2,4,8
2014-08-24 15:07:55,2,2,4,8
2014-08-24 15:07:56,8,2,4,8
2014-08-24 15:07:57,2,2,7,8
2014-08-24 15:07:58,8,2,4,8
2014-08-24 15:07:59,2,2,6,4
2014-08-24 15:08:00,8,2,6,8
2014-08-24 15:08:01,2,2,4,8
2014-08-24 15:08:02,2,2,4,4
2014-08-24 15:08:03,2,2,4,4
2014-08-24 15:08:04,8,2,4,8
2014-08-24 15:08:05,2,2,4,4
2014-08-24 15:08:06,2,2,4,4
2014-08-24 15:08:07,2,2,4,4
2014-08-24 15:08:08,2,2,4,4
2014-08-24 15:08:09,2,2,4,4
2014-08-24 15:08:10,2,2,4,4
2014-08-24 15:08:11,2,2,6,3
2014-08-24 15:08:12,3,3,6,3
2014-08-24 15:08:13,3,3,6,3
2014-08-24 15:08:14,3,3,6,3
2014-08-24 15:08:15,3,3,4,3
2014-08-24 15:08:16,3,3,4,3
2014-08-24 15:08:17,3,3,4,3
2014-08-24 15:08:18,3,3,4,3
2014-08-24 15:08:19,3,3,4,3
2014-08-24 15:08:20,3,1,4,3
2014-08-24 15:08:21,3,3,4,3
2014-08-24 15:08:22,3,3,4,3
2014-08-24 15:08:23,3,3,4,3
2014-08-24 15:08:24,3,3,4,3
2014-08-24 15:08:25,3,3,4,3
2014-08-24 15:08:26,3,3,4,3
2014-08-24 15:08:27,3,3,4,3
2014-08-24 15:08:28,3,3,4,3
2014-08-24 15:08:29,3,3,4,3
2014-08-24 15:08:30,3,3,4,3
2014-08-24 15:08:31,3,3,4,3
2014-08-24 15:08:32,3,3,4,3
2014-08-24 15:08:33,3,3,4,3
2014-08-24 15:08:34,3,2,4,3
2014-08-24 15:08:35,3,3,4,3
2014-08-24 15:08:36,3,3,4,3
2014-08-24 15:08:37,3,3,4,3
2014-08-24 15:08:38,2,3,4,3
2014-08-24 15:08:39,3,3,3,3
2014-08-24 15:08:40,3,3,4,3
2014-08-24 15:08:41,3,3,3,3
2014-08-24 15:08:42,3,3,3,3
2014-08-24 15:08:43,3,3,3,3
2014-08-24 15:08:44,3,3,3,3
2014-08-24 15:08:45,3,3,3,3
2014-08-24 15:08:46,3,3,3,3
2014-08-24 15:08:47,3,3,3,3
2014-08-24 15:08:48,3,3,3,3
2014-08-24 15:08:49,3,3,3,3
2014-08-24 15:08:50,3,3,3,3
2014-08-24 15:08:51,3,3,3,3
2014-08-24 15:08:52,3,1,3,3
2014-08-24 15:08:53,3,3,3,3
2014-08-24 15:08:54,3,3,3,3
2014-08-24 15:08:55,3,3,3,3
2014-08-24 15:08:56,3,3,3,3
2014-08-24 15:08:57,3,3,3,3
2014-08-24 15:08:58,3,1,3,3
2014-08-24 15:08:59,3,1,3,3
2014-08-24 15:09:00,3,3,3,3
2014-08-24 15:09:01,1,3,1,3
2014-08-24 15:09:02,1,3,1,1
2014-08-24 15:09:03,1,3,1,1
2014-08-24 15:09:04,3,3,1,3
2014-08-24 15:09:05,3,3,2,3
2014-08-24 15:09:06,3,3,2,3
2014-08-24 15:09:07,3,3,2,3
2014-08-24 15:09:08,3,3,2,3
2014-08-24 15:09:09,3,3,1,3
2014-08-24 15:09:10,3,3,1,3
2014-08-24 15:09:11,1,3,1,3
2014-08-24 15:09:12,1,3,1,3
2014-08-24 15:09:13,1,3,1,3
2014-08-24 15:09:14,3,3,1,3
2014-08-24 15:09:15,3,3,1,3
2014-08-24 15:09:16,3,3,1,1
2014-08-24 15:09:17,3,3,3,3
2014-08-24 15:09:18,3,3,1,3
2014-08-24 15:09:19,3,3,1,1
2014-08-24 15:09:20,3,1,1,1
2014-08-24 15:09:21,3,1,1,3
2014-08-24 15:09:22,3,1,1,3
2014-08-24 15:09:23,3,1,1,3
2014-08-24 15:09:24,3,3,1,3
2014-08-24 15:09:25,3,3,3,3
2014-08-24 15:09:26,3,3,3,3
2014-08-24 15:09:27,3,3,3,3
2014-08-24 15:09:28,4,3,3,8
2014-08-24 15:09:29,4,4,4,8
2014-08-24 15:09:30,4,4,4,4
2014-08-24 15:09:31,4,4,4,4
2014-08-24 15:09:32,4,4,4,4
2014-08-24 15:09:33,4,4,4,4
2014-08-24 15:09:34,4,4,4,4
2014-08-24 15:09:35,4,4,4,4
2014-08-24 15:09:36,4,4,4,4
2014-08-24 15:09:37,4,4,4,4
2014-08-24 15:09:38,4,4,4,4
2014-08-24 15:09:39,4,4,4,4
