time,9A5116EA-2793-4C75-AC93-524C9EF550FD,24C41EC3-7ECC-40DA-B942-7ABE23017E74,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-06-22 15:22:07,2,2,1,3
2015-06-22 15:22:08,2,2,1,3
2015-06-22 15:22:09,2,1,1,3
2015-06-22 15:22:10,2,1,1,3
2015-06-22 15:22:11,2,1,3,3
2015-06-22 15:22:12,2,1,3,4
2015-06-22 15:22:13,2,1,3,8
2015-06-22 15:22:14,6,1,3,8
2015-06-22 15:22:15,7,1,8,7
2015-06-22 15:22:16,7,1,8,7
2015-06-22 15:22:17,7,1,8,7
2015-06-22 15:22:18,7,2,7,7
2015-06-22 15:22:19,7,2,4,4
2015-06-22 15:22:20,7,3,4,4
2015-06-22 15:22:21,7,1,4,6
2015-06-22 15:22:22,4,1,4,6
2015-06-22 15:22:23,4,3,4,4
2015-06-22 15:22:24,4,1,4,4
2015-06-22 15:22:25,7,1,4,7
2015-06-22 15:22:26,7,8,4,7
2015-06-22 15:22:27,7,1,4,7
2015-06-22 15:22:28,7,2,4,6
2015-06-22 15:22:29,4,2,4,4
2015-06-22 15:22:30,7,2,3,4
2015-06-22 15:22:31,3,2,3,4
2015-06-22 15:22:32,3,1,3,4
2015-06-22 15:22:33,3,1,3,4
2015-06-22 15:22:34,3,1,3,8
2015-06-22 15:22:35,3,1,4,8
2015-06-22 15:22:36,3,1,4,8
2015-06-22 15:22:37,3,1,4,3
2015-06-22 15:22:38,3,1,4,3
2015-06-22 15:22:39,3,1,4,3
2015-06-22 15:22:40,8,1,4,3
2015-06-22 15:22:41,8,1,4,1
2015-06-22 15:22:42,7,2,3,2
2015-06-22 15:22:43,1,2,3,2
2015-06-22 15:22:44,1,1,3,2
2015-06-22 15:22:45,1,1,3,2
2015-06-22 15:22:46,0,3,3,7
2015-06-22 15:22:47,8,3,3,7
2015-06-22 15:22:48,8,3,3,7
2015-06-22 15:22:49,8,3,3,7
2015-06-22 15:22:50,1,3,3,7
2015-06-22 15:22:51,1,3,3,8
2015-06-22 15:22:52,2,3,3,8
2015-06-22 15:22:53,2,1,3,7
2015-06-22 15:22:54,2,1,3,4
2015-06-22 15:22:55,2,1,3,4
2015-06-22 15:22:56,2,1,3,4
2015-06-22 15:22:57,8,1,3,3
2015-06-22 15:22:58,7,1,3,3
2015-06-22 15:22:59,8,1,3,1
2015-06-22 15:23:00,8,1,3,1
2015-06-22 15:23:01,5,1,3,1
2015-06-22 15:23:02,7,1,3,1
2015-06-22 15:23:03,5,3,4,1
2015-06-22 15:23:04,6,3,4,3
2015-06-22 15:23:05,1,1,4,4
2015-06-22 15:23:06,1,1,4,4
2015-06-22 15:23:07,1,1,4,4
2015-06-22 15:23:08,1,1,4,4
2015-06-22 15:23:09,1,1,4,4
2015-06-22 15:23:10,1,1,4,3
2015-06-22 15:23:11,1,1,4,3
2015-06-22 15:23:12,3,1,3,1
2015-06-22 15:23:13,2,1,3,2
2015-06-22 15:23:14,2,3,3,2
2015-06-22 15:23:15,2,1,3,2
2015-06-22 15:23:16,3,1,3,2
2015-06-22 15:23:17,3,1,3,2
2015-06-22 15:23:18,1,1,2,2
2015-06-22 15:23:19,8,1,2,2
2015-06-22 15:23:20,8,1,2,3
2015-06-22 15:23:21,8,1,2,3
2015-06-22 15:23:22,8,1,2,3
2015-06-22 15:23:23,8,1,2,8
2015-06-22 15:23:24,8,1,2,8
2015-06-22 15:23:25,1,2,2,3
2015-06-22 15:23:26,1,2,1,3
2015-06-22 15:23:27,8,2,1,3
2015-06-22 15:23:28,4,2,3,3
2015-06-22 15:23:29,7,2,3,1
2015-06-22 15:23:30,7,1,4,1
2015-06-22 15:23:31,7,1,4,1
2015-06-22 15:23:32,7,1,4,3
2015-06-22 15:23:33,7,1,4,3
2015-06-22 15:23:34,8,3,3,4
2015-06-22 15:23:35,5,3,2,4
2015-06-22 15:23:36,2,3,2,4
2015-06-22 15:23:37,3,4,2,4
2015-06-22 15:23:38,8,4,3,4
2015-06-22 15:23:39,8,7,4,3
2015-06-22 15:23:40,7,4,4,3
2015-06-22 15:23:41,7,6,4,3
2015-06-22 15:23:42,7,4,7,1
2015-06-22 15:23:43,7,4,7,1
2015-06-22 15:23:44,7,6,7,2
2015-06-22 15:23:45,8,4,7,3
2015-06-22 15:23:46,8,4,7,4
2015-06-22 15:23:47,3,4,7,4
2015-06-22 15:23:48,3,4,3,4
2015-06-22 15:23:49,3,4,3,6
2015-06-22 15:23:50,3,3,1,6
2015-06-22 15:23:51,3,3,1,6
2015-06-22 15:23:52,3,1,1,6
2015-06-22 15:23:53,8,1,1,6
2015-06-22 15:23:54,8,1,1,4
2015-06-22 15:23:55,8,1,3,4
2015-06-22 15:23:56,8,1,3,3
2015-06-22 15:23:57,4,1,4,3
2015-06-22 15:23:58,4,1,4,3
2015-06-22 15:23:59,4,1,4,3
2015-06-22 15:24:00,3,1,4,3
2015-06-22 15:24:01,2,1,7,4
2015-06-22 15:24:02,2,1,8,4
2015-06-22 15:24:03,2,1,8,4
2015-06-22 15:24:04,1,1,8,8
2015-06-22 15:24:05,3,1,8,4
2015-06-22 15:24:06,3,1,8,4
2015-06-22 15:24:07,3,1,3,3
2015-06-22 15:24:08,1,1,2,3
2015-06-22 15:24:09,3,1,8,3
2015-06-22 15:24:10,3,1,2,3
2015-06-22 15:24:11,3,1,2,3
2015-06-22 15:24:12,3,1,1,8
2015-06-22 15:24:13,8,1,1,8
2015-06-22 15:24:14,6,1,2,3
2015-06-22 15:24:15,2,1,2,3
2015-06-22 15:24:16,2,1,2,3
2015-06-22 15:24:17,2,1,2,3
2015-06-22 15:24:18,2,1,2,1
2015-06-22 15:24:19,2,1,2,1
2015-06-22 15:24:20,2,1,2,2
2015-06-22 15:24:21,2,1,2,3
2015-06-22 15:24:22,2,1,1,3
2015-06-22 15:24:23,2,1,2,3
2015-06-22 15:24:24,2,1,1,3
2015-06-22 15:24:25,2,1,1,4
2015-06-22 15:24:26,2,1,1,4
2015-06-22 15:24:27,2,1,1,7
2015-06-22 15:24:28,2,1,1,8
2015-06-22 15:24:29,3,1,3,7
2015-06-22 15:24:30,3,1,3,5
2015-06-22 15:24:31,3,1,3,5
2015-06-22 15:24:32,8,1,8,5
2015-06-22 15:24:33,8,1,5,7
2015-06-22 15:24:34,8,1,2,7
2015-06-22 15:24:35,4,1,5,7
2015-06-22 15:24:36,4,1,6,7
2015-06-22 15:24:37,4,1,4,7
2015-06-22 15:24:38,4,1,4,7
2015-06-22 15:24:39,4,3,7,4
2015-06-22 15:24:40,4,3,7,4
2015-06-22 15:24:41,8,2,6,4
2015-06-22 15:24:42,8,1,5,3
2015-06-22 15:24:43,8,1,5,3
2015-06-22 15:24:44,8,1,4,3
2015-06-22 15:24:45,3,1,1,2
2015-06-22 15:24:46,3,1,1,6
2015-06-22 15:24:47,2,1,1,5
2015-06-22 15:24:48,0,1,8,4
2015-06-22 15:24:49,2,1,8,4
2015-06-22 15:24:50,2,1,8,4
2015-06-22 15:24:51,2,1,1,4
2015-06-22 15:24:52,2,1,4,4
2015-06-22 15:24:53,2,1,7,3
2015-06-22 15:24:54,2,1,7,3
2015-06-22 15:24:55,2,1,8,3
2015-06-22 15:24:56,2,1,4,1
2015-06-22 15:24:57,2,1,3,1
2015-06-22 15:24:58,2,1,8,3
2015-06-22 15:24:59,2,1,3,3
2015-06-22 15:25:00,2,1,8,3
2015-06-22 15:25:01,2,1,8,4
2015-06-22 15:25:02,2,1,7,4
2015-06-22 15:25:03,2,1,5,4
2015-06-22 15:25:04,2,1,5,4
2015-06-22 15:25:05,2,1,2,4
2015-06-22 15:25:06,2,1,2,8
2015-06-22 15:25:07,2,1,0,8
2015-06-22 15:25:08,0,1,2,8
2015-06-22 15:25:09,2,2,2,8
2015-06-22 15:25:10,2,2,2,7
2015-06-22 15:25:11,2,2,2,4
2015-06-22 15:25:12,2,2,2,4
2015-06-22 15:25:13,2,2,2,7
2015-06-22 15:25:14,2,2,2,7
2015-06-22 15:25:15,3,2,1,7
2015-06-22 15:25:16,3,8,2,7
2015-06-22 15:25:17,3,8,2,7
2015-06-22 15:25:18,3,8,2,4
2015-06-22 15:25:19,3,7,2,4
2015-06-22 15:25:20,3,7,2,4
2015-06-22 15:25:21,5,7,2,4
2015-06-22 15:25:22,7,7,2,5
2015-06-22 15:25:23,8,7,2,6
2015-06-22 15:25:24,8,7,2,8
2015-06-22 15:25:25,8,8,2,8
2015-06-22 15:25:26,7,8,2,8
2015-06-22 15:25:27,5,8,2,8
2015-06-22 15:25:28,5,1,2,8
2015-06-22 15:25:29,5,1,2,3
2015-06-22 15:25:30,5,1,3,8
2015-06-22 15:25:31,2,0,3,0
2015-06-22 15:25:32,2,0,4,0
2015-06-22 15:25:33,2,0,4,0
2015-06-22 15:25:34,2,0,4,0
2015-06-22 15:25:35,1,0,2,0
2015-06-22 15:25:36,1,0,2,0
2015-06-22 15:25:37,3,0,2,0
2015-06-22 15:25:38,1,0,2,0
2015-06-22 15:25:39,2,0,2,0
2015-06-22 15:25:40,2,0,2,0
2015-06-22 15:25:41,2,0,2,0
2015-06-22 15:25:42,4,0,2,0
2015-06-22 15:25:43,4,0,0,0
2015-06-22 15:25:44,4,0,0,0
2015-06-22 15:25:45,4,0,0,0
2015-06-22 15:25:46,0,0,0,0
2015-06-22 15:25:47,0,0,0,0
2015-06-22 15:25:48,0,0,0,0
2015-06-22 15:25:49,0,0,0,0
2015-06-22 15:25:50,0,0,0,0
2015-06-22 15:25:51,0,0,0,0
2015-06-22 15:25:52,0,0,0,0
2015-06-22 15:25:53,0,0,0,0
